"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,0.0249,"GSM2402989_6929689149_R06C01",0.679609796351094
"2",10,105000,135462374,0.0178,"GSM2402989_6929689149_R06C01",0.679609796351094
"3",11,130000,134873258,0.0411,"GSM2402989_6929689149_R06C01",0.679609796351094
"4",12,172870,133770948,0.0196,"GSM2402989_6929689149_R06C01",0.679609796351094
"5",13,19110000,115079939,0.0035,"GSM2402989_6929689149_R06C01",0.679609796351094
"6",14,19325000,107119770,-0.0019,"GSM2402989_6929689149_R06C01",0.679609796351094
"7",15,20225000,34625000,0.0046,"GSM2402989_6929689149_R06C01",0.679609796351094
"8",15,34700000,35150000,-0.3331,"GSM2402989_6929689149_R06C01",0.679609796351094
"9",15,35275000,102410696,0.0097,"GSM2402989_6929689149_R06C01",0.679609796351094
"10",16,105000,90222377,0.0442,"GSM2402989_6929689149_R06C01",0.679609796351094
"11",17,25000,81122605,-0.0424,"GSM2402989_6929689149_R06C01",0.679609796351094
"12",18,80000,77983624,-0.1163,"GSM2402989_6929689149_R06C01",0.679609796351094
"13",19,180000,59084492,-0.017,"GSM2402989_6929689149_R06C01",0.679609796351094
"14",2,130000,243026238,-0.0143,"GSM2402989_6929689149_R06C01",0.679609796351094
"15",20,155000,62907760,-0.002,"GSM2402989_6929689149_R06C01",0.679609796351094
"16",21,10848948,48084948,7e-04,"GSM2402989_6929689149_R06C01",0.679609796351094
"17",22,16373925,51222283,-1e-04,"GSM2402989_6929689149_R06C01",0.679609796351094
"18",3,155000,197831215,0.0211,"GSM2402989_6929689149_R06C01",0.679609796351094
"19",4,55000,190972138,-0.0502,"GSM2402989_6929689149_R06C01",0.679609796351094
"20",5,55000,180777630,0.008,"GSM2402989_6929689149_R06C01",0.679609796351094
"21",6,155000,170952534,-0.4698,"GSM2402989_6929689149_R06C01",0.679609796351094
"22",7,55000,159039332,0.0275,"GSM2402989_6929689149_R06C01",0.679609796351094
"23",8,105000,146277011,-0.0251,"GSM2402989_6929689149_R06C01",0.679609796351094
"24",9,130000,141076716,0.0282,"GSM2402989_6929689149_R06C01",0.679609796351094
"25",1,635684,249195311,-0.0107,"GSM2403963_9305651060_R03C02",0.546404266241952
"26",10,105000,135462374,-0.0091,"GSM2403963_9305651060_R03C02",0.546404266241952
"27",11,130000,134873258,-0.0129,"GSM2403963_9305651060_R03C02",0.546404266241952
"28",12,172870,133770948,-0.0188,"GSM2403963_9305651060_R03C02",0.546404266241952
