"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0091,"GSM2403502_8622007067_R05C02"
"2",10,105000,135462374,0.0596,"GSM2403502_8622007067_R05C02"
"3",11,130000,134873258,-0.0093,"GSM2403502_8622007067_R05C02"
"4",12,172870,133770948,0.0155,"GSM2403502_8622007067_R05C02"
"5",13,19110000,115079939,0.0828,"GSM2403502_8622007067_R05C02"
"6",14,19325000,107119770,0.0071,"GSM2403502_8622007067_R05C02"
"7",15,20225000,102410696,0.0304,"GSM2403502_8622007067_R05C02"
"8",16,105000,90222377,0.0716,"GSM2403502_8622007067_R05C02"
"9",17,25000,81122605,-0.0437,"GSM2403502_8622007067_R05C02"
"10",18,80000,77983624,-0.078,"GSM2403502_8622007067_R05C02"
"11",19,180000,59084492,0.0018,"GSM2403502_8622007067_R05C02"
"12",2,130000,243026238,0.0078,"GSM2403502_8622007067_R05C02"
"13",20,155000,62907760,-0.0423,"GSM2403502_8622007067_R05C02"
"14",21,10848948,48084948,0.051,"GSM2403502_8622007067_R05C02"
"15",22,16373925,51222283,-6e-04,"GSM2403502_8622007067_R05C02"
"16",3,155000,197831215,-0.0265,"GSM2403502_8622007067_R05C02"
"17",4,55000,190972138,-0.0278,"GSM2403502_8622007067_R05C02"
"18",5,55000,180777630,0.0315,"GSM2403502_8622007067_R05C02"
"19",6,155000,170952534,0.0203,"GSM2403502_8622007067_R05C02"
"20",7,55000,159039332,0.0756,"GSM2403502_8622007067_R05C02"
"21",8,105000,146277011,0.0272,"GSM2403502_8622007067_R05C02"
"22",9,130000,141076716,0.032,"GSM2403502_8622007067_R05C02"
"23",1,635684,249195311,0.0228,"GSM2403905_9305216208_R01C01"
"24",10,105000,135462374,0.0363,"GSM2403905_9305216208_R01C01"
"25",11,130000,134873258,0.0303,"GSM2403905_9305216208_R01C01"
"26",12,172870,133770948,0.0211,"GSM2403905_9305216208_R01C01"
"27",13,19110000,115079939,0.0544,"GSM2403905_9305216208_R01C01"
"28",14,19325000,107119770,0.0224,"GSM2403905_9305216208_R01C01"
"29",15,20225000,102410696,0.0335,"GSM2403905_9305216208_R01C01"
"30",16,105000,90222377,0.0539,"GSM2403905_9305216208_R01C01"
"31",17,25000,81122605,-0.0464,"GSM2403905_9305216208_R01C01"
"32",18,80000,77983624,-0.0768,"GSM2403905_9305216208_R01C01"
"33",19,180000,59084492,0.0038,"GSM2403905_9305216208_R01C01"
"34",2,130000,243026238,0.0093,"GSM2403905_9305216208_R01C01"
"35",20,155000,62907760,-0.0154,"GSM2403905_9305216208_R01C01"
"36",21,10848948,48084948,0.034,"GSM2403905_9305216208_R01C01"
