"chromosome","start","end","segmean","sample","noise"
"1",1,635684,16825000,-0.2396,"GSM2403839_9297949139_R04C01",0.791405368436599
"2",1,16875000,17187829,0.2164,"GSM2403839_9297949139_R04C01",0.791405368436599
"3",1,17225000,249195311,-0.4311,"GSM2403839_9297949139_R04C01",0.791405368436599
"4",10,105000,4300000,0.0507,"GSM2403839_9297949139_R04C01",0.791405368436599
"5",10,4625000,130075000,-0.3846,"GSM2403839_9297949139_R04C01",0.791405368436599
"6",10,130175000,135462374,0.0071,"GSM2403839_9297949139_R04C01",0.791405368436599
"7",11,130000,69837348,0.0713,"GSM2403839_9297949139_R04C01",0.791405368436599
"8",11,69925000,70800000,0.9267,"GSM2403839_9297949139_R04C01",0.791405368436599
"9",11,70900000,134873258,0.0564,"GSM2403839_9297949139_R04C01",0.791405368436599
"10",12,172870,133770948,-0.3875,"GSM2403839_9297949139_R04C01",0.791405368436599
"11",13,19110000,115079939,-0.1215,"GSM2403839_9297949139_R04C01",0.791405368436599
"12",14,19325000,107119770,0.0613,"GSM2403839_9297949139_R04C01",0.791405368436599
"13",15,20225000,102410696,0.1642,"GSM2403839_9297949139_R04C01",0.791405368436599
"14",16,105000,31825000,-0.0332,"GSM2403839_9297949139_R04C01",0.791405368436599
"15",16,32075000,46517901,0.3996,"GSM2403839_9297949139_R04C01",0.791405368436599
"16",16,46675000,90222377,-0.0386,"GSM2403839_9297949139_R04C01",0.791405368436599
"17",17,25000,81122605,-0.1097,"GSM2403839_9297949139_R04C01",0.791405368436599
"18",18,80000,77983624,-0.0931,"GSM2403839_9297949139_R04C01",0.791405368436599
"19",19,180000,59084492,-0.0935,"GSM2403839_9297949139_R04C01",0.791405368436599
"20",2,130000,243026238,-0.1272,"GSM2403839_9297949139_R04C01",0.791405368436599
"21",20,155000,62907760,0.3252,"GSM2403839_9297949139_R04C01",0.791405368436599
"22",21,10848948,15475000,0.3032,"GSM2403839_9297949139_R04C01",0.791405368436599
"23",21,15650000,48084948,-0.2989,"GSM2403839_9297949139_R04C01",0.791405368436599
"24",22,16373925,51222283,0.0639,"GSM2403839_9297949139_R04C01",0.791405368436599
"25",3,155000,75025000,-0.433,"GSM2403839_9297949139_R04C01",0.791405368436599
"26",3,75425000,75800000,0.2623,"GSM2403839_9297949139_R04C01",0.791405368436599
"27",3,76450000,197831215,-0.4345,"GSM2403839_9297949139_R04C01",0.791405368436599
"28",4,55000,187725000,-0.408,"GSM2403839_9297949139_R04C01",0.791405368436599
"29",4,187825000,190972138,0.0938,"GSM2403839_9297949139_R04C01",0.791405368436599
"30",5,55000,180777630,0.1029,"GSM2403839_9297949139_R04C01",0.791405368436599
"31",6,155000,170952534,0.0609,"GSM2403839_9297949139_R04C01",0.791405368436599
"32",7,55000,159039332,0.1048,"GSM2403839_9297949139_R04C01",0.791405368436599
"33",8,105000,146277011,-0.1233,"GSM2403839_9297949139_R04C01",0.791405368436599
"34",9,130000,141076716,-0.3835,"GSM2403839_9297949139_R04C01",0.791405368436599
"35",1,635684,249195311,-0.146,"GSM2404262_9406921148_R04C02",0.538903210434167
"36",10,105000,135462374,-0.1334,"GSM2404262_9406921148_R04C02",0.538903210434167
"37",11,130000,134873258,0.0668,"GSM2404262_9406921148_R04C02",0.538903210434167
"38",12,172870,133770948,-0.1962,"GSM2404262_9406921148_R04C02",0.538903210434167
"39",13,19110000,115079939,0.1796,"GSM2404262_9406921148_R04C02",0.538903210434167
"40",14,19325000,107119770,0.0635,"GSM2404262_9406921148_R04C02",0.538903210434167
"41",15,20225000,102410696,-0.1377,"GSM2404262_9406921148_R04C02",0.538903210434167
"42",16,105000,90222377,0.1724,"GSM2404262_9406921148_R04C02",0.538903210434167
"43",17,25000,81122605,-5e-04,"GSM2404262_9406921148_R04C02",0.538903210434167
"44",18,80000,77983624,-0.0012,"GSM2404262_9406921148_R04C02",0.538903210434167
"45",19,180000,59084492,0.1198,"GSM2404262_9406921148_R04C02",0.538903210434167
"46",2,130000,89315218,-0.1642,"GSM2404262_9406921148_R04C02",0.538903210434167
"47",2,91672552,95438086,0.1484,"GSM2404262_9406921148_R04C02",0.538903210434167
"48",2,95625000,243026238,-0.1618,"GSM2404262_9406921148_R04C02",0.538903210434167
"49",20,155000,62907760,0.1058,"GSM2404262_9406921148_R04C02",0.538903210434167
"50",21,10848948,15225000,0.2108,"GSM2404262_9406921148_R04C02",0.538903210434167
"51",21,15375000,48084948,-0.1398,"GSM2404262_9406921148_R04C02",0.538903210434167
"52",22,16373925,51222283,0.1493,"GSM2404262_9406921148_R04C02",0.538903210434167
"53",3,155000,197831215,-0.1861,"GSM2404262_9406921148_R04C02",0.538903210434167
"54",4,55000,190972138,-0.176,"GSM2404262_9406921148_R04C02",0.538903210434167
"55",5,55000,180777630,0.2688,"GSM2404262_9406921148_R04C02",0.538903210434167
"56",6,155000,170952534,-0.1674,"GSM2404262_9406921148_R04C02",0.538903210434167
"57",7,55000,159039332,0.1499,"GSM2404262_9406921148_R04C02",0.538903210434167
"58",8,105000,146277011,-0.1765,"GSM2404262_9406921148_R04C02",0.538903210434167
"59",9,130000,141076716,-0.1847,"GSM2404262_9406921148_R04C02",0.538903210434167
"60",1,635684,16825000,-0.169,"GSM2404279_9422491056_R05C01",0.576438151733583
"61",1,16875000,17225000,0.175,"GSM2404279_9422491056_R05C01",0.576438151733583
"62",1,17275000,249195311,-0.2546,"GSM2404279_9422491056_R05C01",0.576438151733583
"63",10,105000,135462374,-0.1866,"GSM2404279_9422491056_R05C01",0.576438151733583
"64",11,130000,134873258,0.2907,"GSM2404279_9422491056_R05C01",0.576438151733583
"65",12,172870,133770948,-0.2263,"GSM2404279_9422491056_R05C01",0.576438151733583
"66",13,19110000,115079939,-0.1827,"GSM2404279_9422491056_R05C01",0.576438151733583
"67",14,19325000,107119770,0.2123,"GSM2404279_9422491056_R05C01",0.576438151733583
"68",15,20225000,83725000,0.1228,"GSM2404279_9422491056_R05C01",0.576438151733583
"69",15,83850000,84250000,-0.2359,"GSM2404279_9422491056_R05C01",0.576438151733583
"70",15,84667237,102410696,0.1532,"GSM2404279_9422491056_R05C01",0.576438151733583
"71",16,105000,90222377,0.013,"GSM2404279_9422491056_R05C01",0.576438151733583
"72",17,25000,81122605,-0.0678,"GSM2404279_9422491056_R05C01",0.576438151733583
"73",18,80000,77983624,-0.2732,"GSM2404279_9422491056_R05C01",0.576438151733583
"74",19,180000,59084492,-0.2772,"GSM2404279_9422491056_R05C01",0.576438151733583
"75",2,130000,89315218,-0.223,"GSM2404279_9422491056_R05C01",0.576438151733583
"76",2,91672552,95438086,0.2219,"GSM2404279_9422491056_R05C01",0.576438151733583
"77",2,95625000,243026238,-0.2114,"GSM2404279_9422491056_R05C01",0.576438151733583
"78",20,155000,62907760,0.0617,"GSM2404279_9422491056_R05C01",0.576438151733583
"79",21,10848948,48084948,-0.0075,"GSM2404279_9422491056_R05C01",0.576438151733583
"80",22,16373925,51222283,0.1624,"GSM2404279_9422491056_R05C01",0.576438151733583
"81",3,155000,75025000,-0.5687,"GSM2404279_9422491056_R05C01",0.576438151733583
"82",3,75425000,75800000,0.2279,"GSM2404279_9422491056_R05C01",0.576438151733583
"83",3,76450000,125325000,-0.2548,"GSM2404279_9422491056_R05C01",0.576438151733583
"84",3,125425000,125750000,0.2526,"GSM2404279_9422491056_R05C01",0.576438151733583
"85",3,125825000,197831215,-0.2371,"GSM2404279_9422491056_R05C01",0.576438151733583
"86",4,55000,190972138,-0.2343,"GSM2404279_9422491056_R05C01",0.576438151733583
"87",5,55000,180777630,0.1468,"GSM2404279_9422491056_R05C01",0.576438151733583
"88",6,155000,28975000,0.1419,"GSM2404279_9422491056_R05C01",0.576438151733583
"89",6,29050000,29375000,0.4614,"GSM2404279_9422491056_R05C01",0.576438151733583
"90",6,29425000,170952534,0.1246,"GSM2404279_9422491056_R05C01",0.576438151733583
"91",7,55000,159039332,0.1759,"GSM2404279_9422491056_R05C01",0.576438151733583
"92",8,105000,146277011,-0.1213,"GSM2404279_9422491056_R05C01",0.576438151733583
"93",9,130000,141076716,-0.2138,"GSM2404279_9422491056_R05C01",0.576438151733583
"94",1,635684,249195311,-0.169,"GSM2404281_9422491056_R03C02",0.566989797386037
"95",10,105000,135462374,-0.1589,"GSM2404281_9422491056_R03C02",0.566989797386037
"96",11,130000,134873258,0.0769,"GSM2404281_9422491056_R03C02",0.566989797386037
"97",12,172870,133770948,-0.1915,"GSM2404281_9422491056_R03C02",0.566989797386037
"98",13,19110000,115079939,0.0852,"GSM2404281_9422491056_R03C02",0.566989797386037
"99",14,19325000,107119770,0.127,"GSM2404281_9422491056_R03C02",0.566989797386037
"100",15,20225000,102410696,0.1372,"GSM2404281_9422491056_R03C02",0.566989797386037
"101",16,105000,90222377,0.1305,"GSM2404281_9422491056_R03C02",0.566989797386037
"102",17,25000,81122605,-0.1319,"GSM2404281_9422491056_R03C02",0.566989797386037
"103",18,80000,77983624,0.1045,"GSM2404281_9422491056_R03C02",0.566989797386037
"104",19,180000,59084492,0.097,"GSM2404281_9422491056_R03C02",0.566989797386037
"105",2,130000,89315218,-0.1757,"GSM2404281_9422491056_R03C02",0.566989797386037
"106",2,91672552,95438086,0.173,"GSM2404281_9422491056_R03C02",0.566989797386037
"107",2,95625000,243026238,-0.1908,"GSM2404281_9422491056_R03C02",0.566989797386037
"108",20,155000,62907760,0.0658,"GSM2404281_9422491056_R03C02",0.566989797386037
"109",21,10848948,15475000,0.1714,"GSM2404281_9422491056_R03C02",0.566989797386037
"110",21,15650000,48084948,-0.1099,"GSM2404281_9422491056_R03C02",0.566989797386037
"111",22,16373925,51222283,0.1575,"GSM2404281_9422491056_R03C02",0.566989797386037
"112",3,155000,75025000,-0.2289,"GSM2404281_9422491056_R03C02",0.566989797386037
"113",3,75425000,75800000,0.1481,"GSM2404281_9422491056_R03C02",0.566989797386037
"114",3,76450000,125325000,-0.2797,"GSM2404281_9422491056_R03C02",0.566989797386037
"115",3,125425000,125750000,0.1357,"GSM2404281_9422491056_R03C02",0.566989797386037
"116",3,125825000,197831215,-0.2476,"GSM2404281_9422491056_R03C02",0.566989797386037
"117",4,55000,190972138,-0.21,"GSM2404281_9422491056_R03C02",0.566989797386037
"118",5,55000,180777630,0.087,"GSM2404281_9422491056_R03C02",0.566989797386037
"119",6,155000,32375000,-0.1866,"GSM2404281_9422491056_R03C02",0.566989797386037
"120",6,32425000,32650000,-0.6592,"GSM2404281_9422491056_R03C02",0.566989797386037
"121",6,32725000,166775000,-0.2309,"GSM2404281_9422491056_R03C02",0.566989797386037
"122",6,166825000,170952534,0.0185,"GSM2404281_9422491056_R03C02",0.566989797386037
"123",7,55000,159039332,0.1101,"GSM2404281_9422491056_R03C02",0.566989797386037
"124",8,105000,33575000,-0.0913,"GSM2404281_9422491056_R03C02",0.566989797386037
"125",8,34325000,37100000,-0.4651,"GSM2404281_9422491056_R03C02",0.566989797386037
"126",8,37375000,146277011,-0.2001,"GSM2404281_9422491056_R03C02",0.566989797386037
"127",9,130000,141076716,-0.1549,"GSM2404281_9422491056_R03C02",0.566989797386037
"128",1,635684,121193348,-0.1581,"GSM2404282_9422491056_R05C02",0.519842120339261
"129",1,121392717,145225000,0.1263,"GSM2404282_9422491056_R05C02",0.519842120339261
"130",1,145375000,249195311,-0.17,"GSM2404282_9422491056_R05C02",0.519842120339261
"131",10,105000,4300000,0.0598,"GSM2404282_9422491056_R05C02",0.519842120339261
"132",10,4625000,135462374,-0.1514,"GSM2404282_9422491056_R05C02",0.519842120339261
"133",11,130000,134873258,0.0515,"GSM2404282_9422491056_R05C02",0.519842120339261
"134",12,172870,133770948,-0.1746,"GSM2404282_9422491056_R05C02",0.519842120339261
"135",13,19110000,115079939,0.0049,"GSM2404282_9422491056_R05C02",0.519842120339261
"136",14,19325000,107119770,0.0814,"GSM2404282_9422491056_R05C02",0.519842120339261
"137",15,20225000,102410696,-0.1465,"GSM2404282_9422491056_R05C02",0.519842120339261
"138",16,105000,31825000,0.0622,"GSM2404282_9422491056_R05C02",0.519842120339261
