"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,0.0866,"GSM2403000_6929718020_R05C02",0.524519679088721
"2",10,105000,81675000,-0.0236,"GSM2403000_6929718020_R05C02",0.524519679088721
"3",10,81750000,135462374,-0.3512,"GSM2403000_6929718020_R05C02",0.524519679088721
"4",11,130000,99725000,-0.0019,"GSM2403000_6929718020_R05C02",0.524519679088721
"5",11,100650000,117025000,-0.2623,"GSM2403000_6929718020_R05C02",0.524519679088721
"6",11,117100000,134873258,0.0279,"GSM2403000_6929718020_R05C02",0.524519679088721
"7",12,172870,133770948,-0.0158,"GSM2403000_6929718020_R05C02",0.524519679088721
"8",13,19110000,115079939,-0.0664,"GSM2403000_6929718020_R05C02",0.524519679088721
"9",14,19325000,107119770,-0.0264,"GSM2403000_6929718020_R05C02",0.524519679088721
"10",15,20225000,102410696,-0.0234,"GSM2403000_6929718020_R05C02",0.524519679088721
"11",16,105000,49975000,0.0205,"GSM2403000_6929718020_R05C02",0.524519679088721
"12",16,50075000,90222377,-0.2927,"GSM2403000_6929718020_R05C02",0.524519679088721
"13",17,25000,81122605,-0.005,"GSM2403000_6929718020_R05C02",0.524519679088721
"14",18,80000,77983624,-0.1454,"GSM2403000_6929718020_R05C02",0.524519679088721
"15",19,180000,59084492,-0.0257,"GSM2403000_6929718020_R05C02",0.524519679088721
"16",2,130000,243026238,-0.0573,"GSM2403000_6929718020_R05C02",0.524519679088721
"17",20,155000,62907760,-0.0385,"GSM2403000_6929718020_R05C02",0.524519679088721
"18",21,10848948,48084948,0.1251,"GSM2403000_6929718020_R05C02",0.524519679088721
"19",22,16373925,51222283,0.0025,"GSM2403000_6929718020_R05C02",0.524519679088721
"20",3,155000,197831215,-0.0347,"GSM2403000_6929718020_R05C02",0.524519679088721
"21",4,55000,190972138,-0.0991,"GSM2403000_6929718020_R05C02",0.524519679088721
"22",5,55000,180777630,-0.0349,"GSM2403000_6929718020_R05C02",0.524519679088721
"23",6,155000,170952534,-0.0647,"GSM2403000_6929718020_R05C02",0.524519679088721
"24",7,55000,159039332,2e-04,"GSM2403000_6929718020_R05C02",0.524519679088721
"25",8,105000,146277011,0.1259,"GSM2403000_6929718020_R05C02",0.524519679088721
