"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,-0.0406,"GSM2403651_8963311099_R01C01",0.693821968656046
"2",10,105000,135462374,-0.2135,"GSM2403651_8963311099_R01C01",0.693821968656046
"3",11,130000,134873258,-0.1302,"GSM2403651_8963311099_R01C01",0.693821968656046
"4",12,172870,133770948,0.0516,"GSM2403651_8963311099_R01C01",0.693821968656046
"5",13,19110000,115079939,-0.139,"GSM2403651_8963311099_R01C01",0.693821968656046
"6",14,19325000,20800000,0.1936,"GSM2403651_8963311099_R01C01",0.693821968656046
"7",14,20875000,107119770,-0.1438,"GSM2403651_8963311099_R01C01",0.693821968656046
"8",15,20225000,102410696,-0.0343,"GSM2403651_8963311099_R01C01",0.693821968656046
"9",16,105000,31825000,-0.1448,"GSM2403651_8963311099_R01C01",0.693821968656046
"10",16,32075000,33986575,0.2124,"GSM2403651_8963311099_R01C01",0.693821968656046
"11",16,34286575,90222377,-0.1525,"GSM2403651_8963311099_R01C01",0.693821968656046
"12",17,25000,81122605,-0.0988,"GSM2403651_8963311099_R01C01",0.693821968656046
"13",18,80000,77983624,-0.1912,"GSM2403651_8963311099_R01C01",0.693821968656046
"14",19,180000,59084492,-0.0626,"GSM2403651_8963311099_R01C01",0.693821968656046
"15",2,130000,89315218,-0.0308,"GSM2403651_8963311099_R01C01",0.693821968656046
"16",2,91672552,92288086,0.3194,"GSM2403651_8963311099_R01C01",0.693821968656046
"17",2,95438086,236625000,-0.05,"GSM2403651_8963311099_R01C01",0.693821968656046
"18",2,236675000,236950000,0.3873,"GSM2403651_8963311099_R01C01",0.693821968656046
"19",2,237025000,243026238,0.0435,"GSM2403651_8963311099_R01C01",0.693821968656046
"20",20,155000,62907760,-0.0333,"GSM2403651_8963311099_R01C01",0.693821968656046
"21",21,10848948,48084948,0.0194,"GSM2403651_8963311099_R01C01",0.693821968656046
"22",22,16373925,51222283,-0.1033,"GSM2403651_8963311099_R01C01",0.693821968656046
"23",3,155000,197831215,-0.0223,"GSM2403651_8963311099_R01C01",0.693821968656046
"24",4,55000,190972138,-0.0928,"GSM2403651_8963311099_R01C01",0.693821968656046
"25",5,55000,180777630,0.0056,"GSM2403651_8963311099_R01C01",0.693821968656046
"26",6,155000,170952534,-0.1075,"GSM2403651_8963311099_R01C01",0.693821968656046
"27",7,55000,159039332,0.0792,"GSM2403651_8963311099_R01C01",0.693821968656046
"28",8,105000,146277011,-0.0502,"GSM2403651_8963311099_R01C01",0.693821968656046
"29",9,130000,141076716,-0.1322,"GSM2403651_8963311099_R01C01",0.693821968656046
"30",1,635684,249195311,-0.0828,"GSM2403652_8963311099_R02C01",0.668120981833685
"31",10,105000,135462374,-0.1234,"GSM2403652_8963311099_R02C01",0.668120981833685
"32",11,130000,49625000,-0.095,"GSM2403652_8963311099_R02C01",0.668120981833685
"33",11,49850000,56675000,0.2425,"GSM2403652_8963311099_R02C01",0.668120981833685
"34",11,56975000,134873258,-0.0927,"GSM2403652_8963311099_R02C01",0.668120981833685
"35",12,172870,133770948,-0.0025,"GSM2403652_8963311099_R02C01",0.668120981833685
"36",13,19110000,115079939,0.0226,"GSM2403652_8963311099_R02C01",0.668120981833685
"37",14,19325000,107119770,-0.1264,"GSM2403652_8963311099_R02C01",0.668120981833685
"38",15,20225000,102410696,-0.0159,"GSM2403652_8963311099_R02C01",0.668120981833685
"39",16,105000,90222377,-0.0103,"GSM2403652_8963311099_R02C01",0.668120981833685
"40",17,25000,81122605,-0.141,"GSM2403652_8963311099_R02C01",0.668120981833685
"41",18,80000,77983624,-0.0974,"GSM2403652_8963311099_R02C01",0.668120981833685
"42",19,180000,59084492,-0.0915,"GSM2403652_8963311099_R02C01",0.668120981833685
"43",2,130000,243026238,-0.0298,"GSM2403652_8963311099_R02C01",0.668120981833685
"44",20,155000,62907760,-0.07,"GSM2403652_8963311099_R02C01",0.668120981833685
"45",21,10848948,48084948,-0.0168,"GSM2403652_8963311099_R02C01",0.668120981833685
"46",22,16373925,51222283,-0.095,"GSM2403652_8963311099_R02C01",0.668120981833685
"47",3,155000,197831215,-0.033,"GSM2403652_8963311099_R02C01",0.668120981833685
"48",4,55000,190972138,-0.0176,"GSM2403652_8963311099_R02C01",0.668120981833685
"49",5,55000,180777630,0.0198,"GSM2403652_8963311099_R02C01",0.668120981833685
"50",6,155000,170952534,-0.0423,"GSM2403652_8963311099_R02C01",0.668120981833685
"51",7,55000,159039332,0.0548,"GSM2403652_8963311099_R02C01",0.668120981833685
"52",8,105000,146277011,-0.0658,"GSM2403652_8963311099_R02C01",0.668120981833685
"53",9,130000,141076716,-0.2171,"GSM2403652_8963311099_R02C01",0.668120981833685
"54",1,635684,249195311,0.0193,"GSM2403653_8963311099_R04C01",0.510410273308151
"55",10,105000,135462374,0.0154,"GSM2403653_8963311099_R04C01",0.510410273308151
"56",11,130000,134873258,0.013,"GSM2403653_8963311099_R04C01",0.510410273308151
"57",12,172870,133770948,0.0135,"GSM2403653_8963311099_R04C01",0.510410273308151
"58",13,19110000,115079939,0.0081,"GSM2403653_8963311099_R04C01",0.510410273308151
"59",14,19325000,107119770,0.0064,"GSM2403653_8963311099_R04C01",0.510410273308151
"60",15,20225000,83725000,0.0103,"GSM2403653_8963311099_R04C01",0.510410273308151
"61",15,83850000,84250000,-0.2363,"GSM2403653_8963311099_R04C01",0.510410273308151
"62",15,84667237,102410696,0.0318,"GSM2403653_8963311099_R04C01",0.510410273308151
"63",16,105000,90222377,0.0086,"GSM2403653_8963311099_R04C01",0.510410273308151
"64",17,25000,81122605,-0.0623,"GSM2403653_8963311099_R04C01",0.510410273308151
"65",18,80000,77983624,-0.089,"GSM2403653_8963311099_R04C01",0.510410273308151
"66",19,180000,59084492,-0.0528,"GSM2403653_8963311099_R04C01",0.510410273308151
"67",2,130000,243026238,-0.0065,"GSM2403653_8963311099_R04C01",0.510410273308151
"68",20,155000,62907760,-0.0388,"GSM2403653_8963311099_R04C01",0.510410273308151
