"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,-0.1009,"GSM2403779_9296930016_R06C02"
"2",10,105000,135462374,-0.0574,"GSM2403779_9296930016_R06C02"
"3",11,130000,134873258,0.0336,"GSM2403779_9296930016_R06C02"
"4",12,172870,133770948,0.1416,"GSM2403779_9296930016_R06C02"
"5",13,19110000,115079939,0.3278,"GSM2403779_9296930016_R06C02"
"6",14,19325000,107119770,-0.12,"GSM2403779_9296930016_R06C02"
"7",15,20225000,102410696,0.2855,"GSM2403779_9296930016_R06C02"
"8",16,105000,90222377,-0.0323,"GSM2403779_9296930016_R06C02"
"9",17,25000,81122605,-0.0079,"GSM2403779_9296930016_R06C02"
"10",18,80000,77983624,0.1308,"GSM2403779_9296930016_R06C02"
"11",19,180000,59084492,0.0255,"GSM2403779_9296930016_R06C02"
"12",2,130000,243026238,-0.1053,"GSM2403779_9296930016_R06C02"
"13",20,155000,62907760,0.0528,"GSM2403779_9296930016_R06C02"
"14",21,10848948,48084948,-0.4257,"GSM2403779_9296930016_R06C02"
"15",22,16373925,51222283,-0.0666,"GSM2403779_9296930016_R06C02"
"16",3,155000,197831215,0.1253,"GSM2403779_9296930016_R06C02"
"17",4,55000,190972138,0.0276,"GSM2403779_9296930016_R06C02"
"18",5,55000,180777630,0.147,"GSM2403779_9296930016_R06C02"
"19",6,155000,170952534,-0.0923,"GSM2403779_9296930016_R06C02"
"20",7,55000,159039332,0.2996,"GSM2403779_9296930016_R06C02"
"21",8,105000,146277011,0.1322,"GSM2403779_9296930016_R06C02"
"22",9,130000,141076716,0.2309,"GSM2403779_9296930016_R06C02"
"23",1,635684,775000,0.4793,"GSM2404015_9340996008_R04C02"
"24",1,825000,120841926,-0.0807,"GSM2404015_9340996008_R04C02"
"25",1,121193348,145225000,0.3872,"GSM2404015_9340996008_R04C02"
"26",1,145375000,249195311,-0.0641,"GSM2404015_9340996008_R04C02"
"27",10,105000,135462374,-0.0285,"GSM2404015_9340996008_R04C02"
"28",11,130000,134873258,-0.0259,"GSM2404015_9340996008_R04C02"
"29",12,172870,133770948,0.1287,"GSM2404015_9340996008_R04C02"
"30",13,19110000,115079939,0.0776,"GSM2404015_9340996008_R04C02"
"31",14,19325000,107119770,-0.0617,"GSM2404015_9340996008_R04C02"
"32",15,20225000,102410696,0.1189,"GSM2404015_9340996008_R04C02"
"33",16,105000,31825000,0.0293,"GSM2404015_9340996008_R04C02"
"34",16,32075000,46517901,0.4643,"GSM2404015_9340996008_R04C02"
"35",16,46675000,90222377,0.037,"GSM2404015_9340996008_R04C02"
"36",17,25000,81122605,0.0757,"GSM2404015_9340996008_R04C02"
"37",18,80000,77983624,-0.134,"GSM2404015_9340996008_R04C02"
"38",19,180000,59084492,-0.0316,"GSM2404015_9340996008_R04C02"
"39",2,130000,243026238,-0.044,"GSM2404015_9340996008_R04C02"
"40",20,155000,62907760,0.0787,"GSM2404015_9340996008_R04C02"
"41",21,10848948,48084948,0.0087,"GSM2404015_9340996008_R04C02"
"42",22,16373925,51222283,-0.0512,"GSM2404015_9340996008_R04C02"
"43",3,155000,197831215,-0.0416,"GSM2404015_9340996008_R04C02"
"44",4,55000,190972138,-0.0897,"GSM2404015_9340996008_R04C02"
"45",5,55000,180777630,0.1198,"GSM2404015_9340996008_R04C02"
"46",6,155000,170952534,-0.0333,"GSM2404015_9340996008_R04C02"
"47",7,55000,159039332,0.1892,"GSM2404015_9340996008_R04C02"
"48",8,105000,146277011,0.144,"GSM2404015_9340996008_R04C02"
"49",9,130000,141076716,0.0919,"GSM2404015_9340996008_R04C02"
"50",1,635684,249195311,-0.108,"GSM2404031_9340996058_R01C02"
"51",10,105000,135462374,-0.0742,"GSM2404031_9340996058_R01C02"
"52",11,130000,134873258,0.1199,"GSM2404031_9340996058_R01C02"
"53",12,172870,133770948,0.2856,"GSM2404031_9340996058_R01C02"
"54",13,19110000,115079939,0.1775,"GSM2404031_9340996058_R01C02"
"55",14,19325000,20025000,0.3023,"GSM2404031_9340996058_R01C02"
"56",14,20450000,107119770,-0.1026,"GSM2404031_9340996058_R01C02"
"57",15,20225000,102410696,0.2746,"GSM2404031_9340996058_R01C02"
"58",16,105000,90222377,-0.0468,"GSM2404031_9340996058_R01C02"
"59",17,25000,81122605,-0.1275,"GSM2404031_9340996058_R01C02"
"60",18,80000,77983624,0.064,"GSM2404031_9340996058_R01C02"
"61",19,180000,59084492,-0.0785,"GSM2404031_9340996058_R01C02"
"62",2,130000,243026238,-0.1007,"GSM2404031_9340996058_R01C02"
"63",20,155000,62907760,0.0763,"GSM2404031_9340996058_R01C02"
"64",21,10848948,48084948,-0.3871,"GSM2404031_9340996058_R01C02"
"65",22,16373925,51222283,-0.1064,"GSM2404031_9340996058_R01C02"
"66",3,155000,197831215,-0.1125,"GSM2404031_9340996058_R01C02"
"67",4,55000,190972138,0.0991,"GSM2404031_9340996058_R01C02"
"68",5,55000,180777630,0.1184,"GSM2404031_9340996058_R01C02"
"69",6,155000,170952534,-0.1003,"GSM2404031_9340996058_R01C02"
"70",7,55000,159039332,0.1675,"GSM2404031_9340996058_R01C02"
"71",8,105000,146277011,0.132,"GSM2404031_9340996058_R01C02"
"72",9,130000,141076716,0.1236,"GSM2404031_9340996058_R01C02"
"73",1,635684,249195311,0.0375,"GSM2404032_9340996058_R02C02"
"74",10,105000,135462374,-0.1476,"GSM2404032_9340996058_R02C02"
"75",11,130000,134873258,0.011,"GSM2404032_9340996058_R02C02"
"76",12,172870,133770948,0.1423,"GSM2404032_9340996058_R02C02"
"77",13,19110000,115079939,0.0112,"GSM2404032_9340996058_R02C02"
"78",14,19325000,107119770,0.0316,"GSM2404032_9340996058_R02C02"
"79",15,20225000,102410696,0.0418,"GSM2404032_9340996058_R02C02"
"80",16,105000,90222377,-0.1217,"GSM2404032_9340996058_R02C02"
"81",17,25000,81122605,-0.0296,"GSM2404032_9340996058_R02C02"
"82",18,80000,77983624,-0.0559,"GSM2404032_9340996058_R02C02"
"83",19,180000,59084492,0.0929,"GSM2404032_9340996058_R02C02"
"84",2,130000,243026238,-0.1706,"GSM2404032_9340996058_R02C02"
"85",20,155000,62907760,0.0868,"GSM2404032_9340996058_R02C02"
"86",21,10848948,15375000,-0.0239,"GSM2404032_9340996058_R02C02"
"87",21,15475000,48084948,-0.4212,"GSM2404032_9340996058_R02C02"
"88",22,16373925,51222283,0.0199,"GSM2404032_9340996058_R02C02"
"89",3,155000,197831215,0.1179,"GSM2404032_9340996058_R02C02"
"90",4,55000,190972138,-0.0361,"GSM2404032_9340996058_R02C02"
