"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.1047,"GSM2404023_9340996014_R04C02"
"2",10,105000,135462374,-0.123,"GSM2404023_9340996014_R04C02"
"3",11,130000,134873258,0.0918,"GSM2404023_9340996014_R04C02"
"4",12,172870,133770948,0.1646,"GSM2404023_9340996014_R04C02"
"5",13,19110000,115079939,0.2077,"GSM2404023_9340996014_R04C02"
"6",14,19325000,20025000,0.5226,"GSM2404023_9340996014_R04C02"
"7",14,20450000,107119770,-0.228,"GSM2404023_9340996014_R04C02"
"8",15,20225000,102410696,-0.1034,"GSM2404023_9340996014_R04C02"
"9",16,105000,90222377,0.1872,"GSM2404023_9340996014_R04C02"
"10",17,25000,81122605,-0.0473,"GSM2404023_9340996014_R04C02"
"11",18,80000,77983624,-0.1861,"GSM2404023_9340996014_R04C02"
"12",19,180000,59084492,-0.0293,"GSM2404023_9340996014_R04C02"
"13",2,130000,243026238,0.1384,"GSM2404023_9340996014_R04C02"
"14",20,155000,62907760,0.0294,"GSM2404023_9340996014_R04C02"
"15",21,10848948,48084948,-0.1131,"GSM2404023_9340996014_R04C02"
"16",22,16373925,51222283,-0.0134,"GSM2404023_9340996014_R04C02"
"17",3,155000,197831215,0.1995,"GSM2404023_9340996014_R04C02"
"18",4,55000,190972138,5e-04,"GSM2404023_9340996014_R04C02"
"19",5,55000,180777630,0.1511,"GSM2404023_9340996014_R04C02"
"20",6,155000,170952534,0.1331,"GSM2404023_9340996014_R04C02"
"21",7,55000,53950000,0.2941,"GSM2404023_9340996014_R04C02"
"22",7,54625000,55425000,1.7751,"GSM2404023_9340996014_R04C02"
"23",7,55525000,159039332,0.2982,"GSM2404023_9340996014_R04C02"
"24",8,105000,146277011,0.2282,"GSM2404023_9340996014_R04C02"
"25",9,130000,141076716,0.111,"GSM2404023_9340996014_R04C02"
"26",1,635684,249195311,-0.032,"GSM2404025_9340996014_R05C01"
"27",10,105000,135462374,-0.1154,"GSM2404025_9340996014_R05C01"
"28",11,130000,134873258,-0.1396,"GSM2404025_9340996014_R05C01"
"29",12,172870,133770948,-0.0548,"GSM2404025_9340996014_R05C01"
"30",13,19110000,115079939,-0.0224,"GSM2404025_9340996014_R05C01"
"31",14,19325000,107119770,-0.1273,"GSM2404025_9340996014_R05C01"
"32",15,20225000,102410696,0.0325,"GSM2404025_9340996014_R05C01"
"33",16,105000,90222377,0.1798,"GSM2404025_9340996014_R05C01"
"34",17,25000,81122605,-0.0499,"GSM2404025_9340996014_R05C01"
"35",18,80000,77983624,0.0379,"GSM2404025_9340996014_R05C01"
"36",19,180000,59084492,-0.0317,"GSM2404025_9340996014_R05C01"
"37",2,130000,243026238,-0.0177,"GSM2404025_9340996014_R05C01"
"38",20,155000,62907760,-0.0736,"GSM2404025_9340996014_R05C01"
"39",21,10848948,48084948,0.1448,"GSM2404025_9340996014_R05C01"
"40",22,16373925,51222283,-0.023,"GSM2404025_9340996014_R05C01"
"41",3,155000,197831215,0.0548,"GSM2404025_9340996014_R05C01"
"42",4,55000,190972138,-0.0894,"GSM2404025_9340996014_R05C01"
"43",5,55000,180777630,0.0353,"GSM2404025_9340996014_R05C01"
"44",6,155000,170952534,0.151,"GSM2404025_9340996014_R05C01"
"45",7,55000,159039332,0.214,"GSM2404025_9340996014_R05C01"
"46",8,105000,146277011,0.0214,"GSM2404025_9340996014_R05C01"
"47",9,130000,141076716,0.058,"GSM2404025_9340996014_R05C01"
"48",1,635684,249195311,-0.0134,"GSM2404131_9406921073_R04C01"
"49",10,105000,135462374,8e-04,"GSM2404131_9406921073_R04C01"
"50",11,130000,134873258,-0.0178,"GSM2404131_9406921073_R04C01"
"51",12,172870,133770948,-0.0071,"GSM2404131_9406921073_R04C01"
"52",13,19110000,115079939,0.0116,"GSM2404131_9406921073_R04C01"
"53",14,19325000,107119770,-7e-04,"GSM2404131_9406921073_R04C01"
"54",15,20225000,102410696,-0.002,"GSM2404131_9406921073_R04C01"
"55",16,105000,90222377,-0.0142,"GSM2404131_9406921073_R04C01"
"56",17,25000,81122605,-0.0717,"GSM2404131_9406921073_R04C01"
"57",18,80000,77983624,-0.0535,"GSM2404131_9406921073_R04C01"
"58",19,180000,59084492,-0.0823,"GSM2404131_9406921073_R04C01"
"59",2,130000,243026238,-0.0075,"GSM2404131_9406921073_R04C01"
"60",20,155000,62907760,-0.0879,"GSM2404131_9406921073_R04C01"
"61",21,10848948,48084948,0.0124,"GSM2404131_9406921073_R04C01"
"62",22,16373925,51222283,-0.0321,"GSM2404131_9406921073_R04C01"
"63",3,155000,197831215,0.2358,"GSM2404131_9406921073_R04C01"
"64",4,55000,190972138,-0.0227,"GSM2404131_9406921073_R04C01"
"65",5,55000,180777630,-0.0042,"GSM2404131_9406921073_R04C01"
"66",6,155000,170952534,-0.0031,"GSM2404131_9406921073_R04C01"
"67",7,55000,159039332,0.242,"GSM2404131_9406921073_R04C01"
"68",8,105000,146277011,0.0031,"GSM2404131_9406921073_R04C01"
"69",9,130000,141076716,-0.0271,"GSM2404131_9406921073_R04C01"
"70",1,635684,249195311,0.0581,"GSM2404499_9444375017_R01C01"
"71",10,105000,135462374,-0.246,"GSM2404499_9444375017_R01C01"
"72",11,130000,134873258,0.0327,"GSM2404499_9444375017_R01C01"
"73",12,172870,133770948,-0.0393,"GSM2404499_9444375017_R01C01"
"74",13,19110000,115079939,-0.1102,"GSM2404499_9444375017_R01C01"
"75",14,19325000,107119770,0.0632,"GSM2404499_9444375017_R01C01"
"76",15,20225000,102410696,0.0783,"GSM2404499_9444375017_R01C01"
"77",16,105000,90222377,0.0443,"GSM2404499_9444375017_R01C01"
"78",17,25000,81122605,-0.0076,"GSM2404499_9444375017_R01C01"
"79",18,80000,13425000,-0.3299,"GSM2404499_9444375017_R01C01"
"80",18,13625000,19250000,-0.0232,"GSM2404499_9444375017_R01C01"
"81",18,19500000,77983624,-0.2844,"GSM2404499_9444375017_R01C01"
"82",19,180000,59084492,0.0056,"GSM2404499_9444375017_R01C01"
"83",2,130000,243026238,0.0173,"GSM2404499_9444375017_R01C01"
"84",20,155000,62907760,0.0017,"GSM2404499_9444375017_R01C01"
"85",21,10848948,48084948,0.055,"GSM2404499_9444375017_R01C01"
"86",22,16373925,51222283,0.0657,"GSM2404499_9444375017_R01C01"
"87",3,155000,197831215,0.0448,"GSM2404499_9444375017_R01C01"
"88",4,55000,49574529,0.0426,"GSM2404499_9444375017_R01C01"
"89",4,52705059,55125000,1.0686,"GSM2404499_9444375017_R01C01"
"90",4,55325000,190972138,-0.1506,"GSM2404499_9444375017_R01C01"
"91",5,55000,180777630,0.0454,"GSM2404499_9444375017_R01C01"
"92",6,155000,170952534,0.0461,"GSM2404499_9444375017_R01C01"
"93",7,55000,159039332,0.076,"GSM2404499_9444375017_R01C01"
"94",8,105000,146277011,0.0488,"GSM2404499_9444375017_R01C01"
"95",9,130000,141076716,-0.0563,"GSM2404499_9444375017_R01C01"
"96",1,635684,181075000,-0.0169,"GSM2404617_9741950021_R01C02"
"97",1,181275000,202500000,-0.2765,"GSM2404617_9741950021_R01C02"
"98",1,202700000,205325000,0.9817,"GSM2404617_9741950021_R01C02"
"99",1,205400000,249195311,-0.0988,"GSM2404617_9741950021_R01C02"
"100",10,105000,135462374,0.1054,"GSM2404617_9741950021_R01C02"
"101",11,130000,134873258,-0.0022,"GSM2404617_9741950021_R01C02"
"102",12,172870,133770948,-0.0086,"GSM2404617_9741950021_R01C02"
"103",13,19110000,48825000,-0.0659,"GSM2404617_9741950021_R01C02"
"104",13,48875000,55125000,-0.5352,"GSM2404617_9741950021_R01C02"
"105",13,55800000,115079939,0.0215,"GSM2404617_9741950021_R01C02"
"106",14,19325000,107119770,0.0284,"GSM2404617_9741950021_R01C02"
"107",15,20225000,102410696,0.0862,"GSM2404617_9741950021_R01C02"
"108",16,105000,90222377,0.0341,"GSM2404617_9741950021_R01C02"
"109",17,25000,81122605,0.0212,"GSM2404617_9741950021_R01C02"
"110",18,80000,77983624,-0.1621,"GSM2404617_9741950021_R01C02"
"111",19,180000,59084492,-0.0028,"GSM2404617_9741950021_R01C02"
"112",2,130000,243026238,0.0809,"GSM2404617_9741950021_R01C02"
"113",20,155000,62907760,-0.0322,"GSM2404617_9741950021_R01C02"
"114",21,10848948,48084948,0.0894,"GSM2404617_9741950021_R01C02"
"115",22,16373925,51222283,0.0557,"GSM2404617_9741950021_R01C02"
"116",3,155000,197831215,-0.0958,"GSM2404617_9741950021_R01C02"
"117",4,55000,190972138,-0.0108,"GSM2404617_9741950021_R01C02"
"118",5,55000,180777630,-0.0227,"GSM2404617_9741950021_R01C02"
"119",6,155000,170952534,-0.0495,"GSM2404617_9741950021_R01C02"
"120",7,55000,53950000,0.1596,"GSM2404617_9741950021_R01C02"
"121",7,54625000,55425000,0.8219,"GSM2404617_9741950021_R01C02"
"122",7,55525000,159039332,0.1509,"GSM2404617_9741950021_R01C02"
"123",8,105000,146277011,0.054,"GSM2404617_9741950021_R01C02"
"124",9,130000,141076716,-0.2238,"GSM2404617_9741950021_R01C02"
"125",1,635684,120841926,0.1165,"GSM2404659_9741950109_R06C01"
"126",1,121193348,156175000,0.5162,"GSM2404659_9741950109_R06C01"
"127",1,156225000,157325000,-0.0359,"GSM2404659_9741950109_R06C01"
"128",1,157600000,160975000,0.628,"GSM2404659_9741950109_R06C01"
"129",1,161025000,249195311,-0.1921,"GSM2404659_9741950109_R06C01"
"130",10,105000,135462374,-0.2186,"GSM2404659_9741950109_R06C01"
"131",11,130000,134873258,-0.0495,"GSM2404659_9741950109_R06C01"
"132",12,172870,3575000,0.5886,"GSM2404659_9741950109_R06C01"
"133",12,3625000,133770948,0.181,"GSM2404659_9741950109_R06C01"
"134",13,19110000,97200000,-0.1356,"GSM2404659_9741950109_R06C01"
"135",13,97775000,115079939,0.4007,"GSM2404659_9741950109_R06C01"
"136",14,19325000,107119770,-0.0841,"GSM2404659_9741950109_R06C01"
"137",15,20225000,102410696,-0.0422,"GSM2404659_9741950109_R06C01"
"138",16,105000,90222377,0.1079,"GSM2404659_9741950109_R06C01"
"139",17,25000,7825000,-0.233,"GSM2404659_9741950109_R06C01"
"140",17,7900000,21508304,0.501,"GSM2404659_9741950109_R06C01"
"141",17,21733304,81122605,0.0798,"GSM2404659_9741950109_R06C01"
"142",18,80000,22500000,-0.1968,"GSM2404659_9741950109_R06C01"
"143",18,23350000,77983624,0.1369,"GSM2404659_9741950109_R06C01"
"144",19,180000,59084492,0.0761,"GSM2404659_9741950109_R06C01"
"145",2,130000,243026238,0.0375,"GSM2404659_9741950109_R06C01"
"146",20,155000,62907760,0.1274,"GSM2404659_9741950109_R06C01"
"147",21,10848948,48084948,-0.0108,"GSM2404659_9741950109_R06C01"
"148",22,16373925,21375000,-0.6684,"GSM2404659_9741950109_R06C01"
"149",22,21475000,51222283,0.0085,"GSM2404659_9741950109_R06C01"
"150",3,155000,197831215,0.0695,"GSM2404659_9741950109_R06C01"
"151",4,55000,40373548,-0.0924,"GSM2404659_9741950109_R06C01"
"152",4,40525000,48100000,-0.6226,"GSM2404659_9741950109_R06C01"
"153",4,48275000,190972138,-0.2182,"GSM2404659_9741950109_R06C01"
"154",5,55000,180777630,0.0742,"GSM2404659_9741950109_R06C01"
"155",6,155000,170952534,-0.0364,"GSM2404659_9741950109_R06C01"
"156",7,55000,65300000,0.1979,"GSM2404659_9741950109_R06C01"
"157",7,65425000,70450000,-0.0801,"GSM2404659_9741950109_R06C01"
"158",7,70850000,73025000,0.7998,"GSM2404659_9741950109_R06C01"
"159",7,73075000,77175000,-0.3712,"GSM2404659_9741950109_R06C01"
"160",7,77300000,89800000,-1.0828,"GSM2404659_9741950109_R06C01"
"161",7,89875000,94425000,1.1094,"GSM2404659_9741950109_R06C01"
"162",7,94775000,130075000,-0.2518,"GSM2404659_9741950109_R06C01"
"163",7,130127262,154675000,0.5284,"GSM2404659_9741950109_R06C01"
"164",7,154775000,157125000,0.0377,"GSM2404659_9741950109_R06C01"
"165",7,157175000,158075000,0.5573,"GSM2404659_9741950109_R06C01"
"166",7,158125000,159039332,-0.2699,"GSM2404659_9741950109_R06C01"
"167",8,105000,146277011,-0.0063,"GSM2404659_9741950109_R06C01"
"168",9,130000,2e+07,-0.2771,"GSM2404659_9741950109_R06C01"
"169",9,2.1e+07,27250000,-2.5552,"GSM2404659_9741950109_R06C01"
"170",9,28375000,141076716,0.0138,"GSM2404659_9741950109_R06C01"
"171",1,635684,249195311,0.0032,"GSM2404661_9741950109_R02C02"
"172",10,105000,135462374,0.0076,"GSM2404661_9741950109_R02C02"
"173",11,130000,134873258,-0.0287,"GSM2404661_9741950109_R02C02"
"174",12,172870,133770948,-0.0022,"GSM2404661_9741950109_R02C02"
"175",13,19110000,115079939,-0.0103,"GSM2404661_9741950109_R02C02"
"176",14,19325000,107119770,0.0032,"GSM2404661_9741950109_R02C02"
"177",15,20225000,102410696,0.0258,"GSM2404661_9741950109_R02C02"
"178",16,105000,90222377,0.0333,"GSM2404661_9741950109_R02C02"
"179",17,25000,81122605,0.0187,"GSM2404661_9741950109_R02C02"
"180",18,80000,77983624,-0.0343,"GSM2404661_9741950109_R02C02"
"181",19,180000,59084492,0.0174,"GSM2404661_9741950109_R02C02"
"182",2,130000,243026238,-0.0136,"GSM2404661_9741950109_R02C02"
"183",20,155000,62907760,-0.0534,"GSM2404661_9741950109_R02C02"
"184",21,10848948,48084948,0.0316,"GSM2404661_9741950109_R02C02"
"185",22,16373925,51222283,0.0404,"GSM2404661_9741950109_R02C02"
"186",3,155000,197831215,-0.0202,"GSM2404661_9741950109_R02C02"
"187",4,55000,190972138,-0.0416,"GSM2404661_9741950109_R02C02"
"188",5,55000,180777630,-0.0202,"GSM2404661_9741950109_R02C02"
"189",6,155000,170952534,-0.0241,"GSM2404661_9741950109_R02C02"
"190",7,55000,53950000,0.0213,"GSM2404661_9741950109_R02C02"
"191",7,54625000,55525000,1.2066,"GSM2404661_9741950109_R02C02"
"192",7,55625000,159039332,0.0219,"GSM2404661_9741950109_R02C02"
"193",8,105000,146277011,-0.0096,"GSM2404661_9741950109_R02C02"
"194",9,130000,141076716,0.0238,"GSM2404661_9741950109_R02C02"
"195",1,635684,249195311,0.0384,"GSM2404667_9741950099_R04C02"
"196",10,105000,4300000,-0.0869,"GSM2404667_9741950099_R04C02"
"197",10,4625000,130175000,-0.3882,"GSM2404667_9741950099_R04C02"
"198",10,130275000,135462374,-0.1268,"GSM2404667_9741950099_R04C02"
"199",11,130000,2775000,0.1241,"GSM2404667_9741950099_R04C02"
"200",11,2825000,3325000,-0.347,"GSM2404667_9741950099_R04C02"
"201",11,3425000,134873258,0.0029,"GSM2404667_9741950099_R04C02"
"202",12,172870,133770948,0.0237,"GSM2404667_9741950099_R04C02"
"203",13,19110000,115079939,0.0054,"GSM2404667_9741950099_R04C02"
"204",14,19325000,20025000,0.4079,"GSM2404667_9741950099_R04C02"
"205",14,20450000,107119770,0.0267,"GSM2404667_9741950099_R04C02"
"206",15,20225000,102410696,0.0491,"GSM2404667_9741950099_R04C02"
"207",16,105000,90222377,0.0757,"GSM2404667_9741950099_R04C02"
"208",17,25000,81122605,0.0089,"GSM2404667_9741950099_R04C02"
"209",18,80000,77983624,-0.0019,"GSM2404667_9741950099_R04C02"
"210",19,180000,59084492,0.0345,"GSM2404667_9741950099_R04C02"
"211",2,130000,243026238,0.0107,"GSM2404667_9741950099_R04C02"
"212",20,155000,62907760,-0.0232,"GSM2404667_9741950099_R04C02"
"213",21,10848948,48084948,0.0841,"GSM2404667_9741950099_R04C02"
"214",22,16373925,51222283,0.0615,"GSM2404667_9741950099_R04C02"
"215",3,155000,197831215,0.0115,"GSM2404667_9741950099_R04C02"
"216",4,55000,190972138,0.0115,"GSM2404667_9741950099_R04C02"
"217",5,55000,180777630,0.0123,"GSM2404667_9741950099_R04C02"
"218",6,155000,170952534,-0.0038,"GSM2404667_9741950099_R04C02"
"219",7,55000,54625000,0.0491,"GSM2404667_9741950099_R04C02"
"220",7,54725000,55875000,1.4334,"GSM2404667_9741950099_R04C02"
"221",7,55975000,159039332,0.0462,"GSM2404667_9741950099_R04C02"
"222",8,105000,146277011,0.0296,"GSM2404667_9741950099_R04C02"
"223",9,130000,141076716,0.0311,"GSM2404667_9741950099_R04C02"
"224",1,635684,249195311,0.1543,"GSM2404674_9741950100_R06C02"
"225",10,105000,135462374,-0.357,"GSM2404674_9741950100_R06C02"
"226",11,130000,134873258,-0.1776,"GSM2404674_9741950100_R06C02"
"227",12,172870,133770948,0.1772,"GSM2404674_9741950100_R06C02"
"228",13,19110000,91550000,0.0884,"GSM2404674_9741950100_R06C02"
"229",13,92025000,95375000,-0.7531,"GSM2404674_9741950100_R06C02"
"230",13,95550000,115079939,0.2199,"GSM2404674_9741950100_R06C02"
"231",14,19325000,20025000,0.3608,"GSM2404674_9741950100_R06C02"
"232",14,20450000,92900000,-0.4607,"GSM2404674_9741950100_R06C02"
"233",14,93075000,107119770,0.2119,"GSM2404674_9741950100_R06C02"
"234",15,20225000,20747317,0.0108,"GSM2404674_9741950100_R06C02"
"235",15,21166947,69800000,-0.3691,"GSM2404674_9741950100_R06C02"
"236",15,69975000,102410696,0.2818,"GSM2404674_9741950100_R06C02"
"237",16,105000,90222377,0.1818,"GSM2404674_9741950100_R06C02"
"238",17,25000,81122605,0.1148,"GSM2404674_9741950100_R06C02"
"239",18,80000,45150000,0.0344,"GSM2404674_9741950100_R06C02"
"240",18,45575000,66750000,-0.469,"GSM2404674_9741950100_R06C02"
"241",18,67475000,77983624,0.243,"GSM2404674_9741950100_R06C02"
"242",19,180000,48450000,0.1482,"GSM2404674_9741950100_R06C02"
