"chromosome","start","end","segmean","sample"
"1",1,635684,121392717,0.086,"GSM2402854_5684819014_R03C02"
"2",1,144500872,249195311,0.3351,"GSM2402854_5684819014_R03C02"
"3",10,105000,135462374,0.0366,"GSM2402854_5684819014_R03C02"
"4",11,130000,129450000,0.0508,"GSM2402854_5684819014_R03C02"
"5",11,129700000,134873258,-0.3989,"GSM2402854_5684819014_R03C02"
"6",12,172870,18975000,0.3212,"GSM2402854_5684819014_R03C02"
"7",12,19275000,133770948,0.0363,"GSM2402854_5684819014_R03C02"
"8",13,19110000,115079939,-0.0287,"GSM2402854_5684819014_R03C02"
"9",14,19325000,107119770,0.0476,"GSM2402854_5684819014_R03C02"
"10",15,20225000,102410696,0.0673,"GSM2402854_5684819014_R03C02"
"11",16,105000,90222377,0.0549,"GSM2402854_5684819014_R03C02"
"12",17,25000,81122605,0.0189,"GSM2402854_5684819014_R03C02"
"13",18,80000,77983624,-0.0692,"GSM2402854_5684819014_R03C02"
"14",19,180000,59084492,0.0017,"GSM2402854_5684819014_R03C02"
"15",2,130000,243026238,0.0102,"GSM2402854_5684819014_R03C02"
"16",20,155000,62907760,0.1999,"GSM2402854_5684819014_R03C02"
"17",21,10848948,48084948,0.026,"GSM2402854_5684819014_R03C02"
"18",22,16373925,51222283,0.052,"GSM2402854_5684819014_R03C02"
"19",3,155000,83925000,0.0254,"GSM2402854_5684819014_R03C02"
"20",3,85025000,163475000,-0.4679,"GSM2402854_5684819014_R03C02"
"21",3,164925000,197831215,0.0532,"GSM2402854_5684819014_R03C02"
"22",4,55000,17900000,0.037,"GSM2402854_5684819014_R03C02"
"23",4,18025000,190972138,-0.5548,"GSM2402854_5684819014_R03C02"
"24",5,55000,180777630,0.028,"GSM2402854_5684819014_R03C02"
"25",6,155000,170952534,0.0197,"GSM2402854_5684819014_R03C02"
"26",7,55000,159039332,0.0506,"GSM2402854_5684819014_R03C02"
"27",8,105000,146277011,0.0263,"GSM2402854_5684819014_R03C02"
"28",9,130000,141076716,0.0324,"GSM2402854_5684819014_R03C02"
"29",1,635684,249195311,0.1569,"GSM2402859_5684819014_R01C02"
"30",10,105000,91175000,0.0172,"GSM2402859_5684819014_R01C02"
"31",10,91250000,135462374,-0.3626,"GSM2402859_5684819014_R01C02"
"32",11,130000,134873258,0.1558,"GSM2402859_5684819014_R01C02"
"33",12,172870,53225000,0.1276,"GSM2402859_5684819014_R01C02"
"34",12,53275000,133770948,-0.1183,"GSM2402859_5684819014_R01C02"
"35",13,19110000,115079939,-0.047,"GSM2402859_5684819014_R01C02"
"36",14,19325000,107119770,0.132,"GSM2402859_5684819014_R01C02"
"37",15,20225000,102410696,0.1032,"GSM2402859_5684819014_R01C02"
"38",16,105000,90222377,0.1013,"GSM2402859_5684819014_R01C02"
"39",17,25000,68750000,-0.3718,"GSM2402859_5684819014_R01C02"
"40",17,69700000,81122605,0.0644,"GSM2402859_5684819014_R01C02"
"41",18,80000,77983624,-0.0136,"GSM2402859_5684819014_R01C02"
"42",19,180000,6925000,-0.2974,"GSM2402859_5684819014_R01C02"
"43",19,7075000,59084492,0.0619,"GSM2402859_5684819014_R01C02"
"44",2,130000,243026238,0.007,"GSM2402859_5684819014_R01C02"
"45",20,155000,62907760,0.1393,"GSM2402859_5684819014_R01C02"
"46",21,10848948,48084948,-0.3234,"GSM2402859_5684819014_R01C02"
"47",22,16373925,18400000,0.0516,"GSM2402859_5684819014_R01C02"
"48",22,18525000,38400000,-0.2573,"GSM2402859_5684819014_R01C02"
"49",22,38475000,39175000,0.1527,"GSM2402859_5684819014_R01C02"
"50",22,39250000,49825000,-0.2405,"GSM2402859_5684819014_R01C02"
"51",22,49925000,51222283,0.1306,"GSM2402859_5684819014_R01C02"
"52",3,155000,104625000,-0.0826,"GSM2402859_5684819014_R01C02"
"53",3,105075000,122025000,0.1755,"GSM2402859_5684819014_R01C02"
"54",3,122125000,1.66e+08,-0.3616,"GSM2402859_5684819014_R01C02"
"55",3,167250000,197831215,0.115,"GSM2402859_5684819014_R01C02"
"56",4,55000,190972138,-0.0983,"GSM2402859_5684819014_R01C02"
"57",5,55000,180777630,0.0888,"GSM2402859_5684819014_R01C02"
"58",6,155000,170952534,0.0369,"GSM2402859_5684819014_R01C02"
"59",7,55000,54625000,0.2356,"GSM2402859_5684819014_R01C02"
"60",7,54725000,55725000,1.4234,"GSM2402859_5684819014_R01C02"
"61",7,55875000,159039332,0.119,"GSM2402859_5684819014_R01C02"
"62",8,105000,146277011,0.118,"GSM2402859_5684819014_R01C02"
"63",9,130000,141076716,0.1267,"GSM2402859_5684819014_R01C02"
"64",1,635684,249195311,0.1062,"GSM2402860_5911815001_R04C01"
"65",10,105000,71250000,-0.1695,"GSM2402860_5911815001_R04C01"
"66",10,71325000,74125000,-0.5082,"GSM2402860_5911815001_R04C01"
"67",10,74300000,109325000,-0.0595,"GSM2402860_5911815001_R04C01"
"68",10,110200000,135462374,-0.4413,"GSM2402860_5911815001_R04C01"
"69",11,130000,9.6e+07,0.1037,"GSM2402860_5911815001_R04C01"
"70",11,96075000,129925000,-0.2948,"GSM2402860_5911815001_R04C01"
"71",11,129975000,134873258,0.178,"GSM2402860_5911815001_R04C01"
"72",12,172870,133770948,0.0822,"GSM2402860_5911815001_R04C01"
"73",13,19110000,115079939,-0.0729,"GSM2402860_5911815001_R04C01"
"74",14,19325000,107119770,-0.114,"GSM2402860_5911815001_R04C01"
"75",15,20225000,102410696,-0.0541,"GSM2402860_5911815001_R04C01"
"76",16,105000,90222377,0.028,"GSM2402860_5911815001_R04C01"
"77",17,25000,81122605,0.0228,"GSM2402860_5911815001_R04C01"
"78",18,80000,77983624,-0.1132,"GSM2402860_5911815001_R04C01"
"79",19,180000,59084492,-0.0918,"GSM2402860_5911815001_R04C01"
"80",2,130000,243026238,-0.0641,"GSM2402860_5911815001_R04C01"
"81",20,155000,62907760,0.0192,"GSM2402860_5911815001_R04C01"
"82",21,10848948,48084948,0.076,"GSM2402860_5911815001_R04C01"
"83",22,16373925,51222283,0.1089,"GSM2402860_5911815001_R04C01"
"84",3,155000,98525000,0.0672,"GSM2402860_5911815001_R04C01"
"85",3,98975000,167975000,-0.3207,"GSM2402860_5911815001_R04C01"
"86",3,168425000,197831215,0.1521,"GSM2402860_5911815001_R04C01"
"87",4,55000,190972138,0.0176,"GSM2402860_5911815001_R04C01"
"88",5,55000,180777630,0.0986,"GSM2402860_5911815001_R04C01"
"89",6,155000,170952534,-0.01,"GSM2402860_5911815001_R04C01"
"90",7,55000,159039332,0.2804,"GSM2402860_5911815001_R04C01"
"91",8,105000,27575000,0.1809,"GSM2402860_5911815001_R04C01"
"92",8,27700000,40775000,-0.1888,"GSM2402860_5911815001_R04C01"
"93",8,40975000,146277011,0.1609,"GSM2402860_5911815001_R04C01"
"94",9,130000,141076716,-0.1014,"GSM2402860_5911815001_R04C01"
"95",1,635684,249195311,0.0774,"GSM2402862_5911815001_R02C01"
"96",10,105000,77375000,0.1466,"GSM2402862_5911815001_R02C01"
"97",10,77725000,80950000,0.5604,"GSM2402862_5911815001_R02C01"
"98",10,81025000,86425000,0.0719,"GSM2402862_5911815001_R02C01"
"99",10,87275000,89625000,0.4694,"GSM2402862_5911815001_R02C01"
"100",10,89800000,135462374,-0.3561,"GSM2402862_5911815001_R02C01"
"101",11,130000,134873258,0.0449,"GSM2402862_5911815001_R02C01"
"102",12,172870,133770948,0.0805,"GSM2402862_5911815001_R02C01"
