"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.009,"GSM2403641_8622007203_R06C02"
"2",10,105000,135462374,0.0783,"GSM2403641_8622007203_R06C02"
"3",11,130000,134873258,0.045,"GSM2403641_8622007203_R06C02"
"4",12,172870,133770948,0.0371,"GSM2403641_8622007203_R06C02"
"5",13,19110000,115079939,0.1347,"GSM2403641_8622007203_R06C02"
"6",14,19325000,20025000,0.6169,"GSM2403641_8622007203_R06C02"
"7",14,20450000,107119770,-0.0043,"GSM2403641_8622007203_R06C02"
"8",15,20225000,102410696,0.0271,"GSM2403641_8622007203_R06C02"
"9",16,105000,31825000,0.0991,"GSM2403641_8622007203_R06C02"
"10",16,32075000,46517901,0.5252,"GSM2403641_8622007203_R06C02"
"11",16,46675000,90222377,0.1128,"GSM2403641_8622007203_R06C02"
"12",17,25000,81122605,-0.0185,"GSM2403641_8622007203_R06C02"
"13",18,80000,77983624,-0.0397,"GSM2403641_8622007203_R06C02"
"14",19,180000,59084492,0.0293,"GSM2403641_8622007203_R06C02"
"15",2,130000,243026238,0.0219,"GSM2403641_8622007203_R06C02"
"16",20,155000,62907760,-0.0183,"GSM2403641_8622007203_R06C02"
"17",21,10848948,48084948,0.101,"GSM2403641_8622007203_R06C02"
"18",22,16373925,51222283,-0.0099,"GSM2403641_8622007203_R06C02"
"19",3,155000,197831215,0.0377,"GSM2403641_8622007203_R06C02"
"20",4,55000,190972138,-8e-04,"GSM2403641_8622007203_R06C02"
"21",5,55000,180777630,0.0377,"GSM2403641_8622007203_R06C02"
"22",6,155000,29375000,0.061,"GSM2403641_8622007203_R06C02"
"23",6,29425000,30800000,-0.4825,"GSM2403641_8622007203_R06C02"
"24",6,30875000,170952534,-0.0091,"GSM2403641_8622007203_R06C02"
"25",7,55000,159039332,0.0974,"GSM2403641_8622007203_R06C02"
"26",8,105000,146277011,0.0337,"GSM2403641_8622007203_R06C02"
"27",9,130000,141076716,0.0425,"GSM2403641_8622007203_R06C02"
"28",1,635684,249195311,0.0338,"GSM2404043_9373550164_R06C02"
"29",10,105000,135462374,0.0316,"GSM2404043_9373550164_R06C02"
"30",11,130000,134873258,0.0155,"GSM2404043_9373550164_R06C02"
"31",12,172870,133770948,0.0147,"GSM2404043_9373550164_R06C02"
"32",13,19110000,115079939,-0.0291,"GSM2404043_9373550164_R06C02"
"33",14,19325000,107119770,0.021,"GSM2404043_9373550164_R06C02"
"34",15,20225000,102410696,0.0447,"GSM2404043_9373550164_R06C02"
"35",16,105000,90222377,0.0522,"GSM2404043_9373550164_R06C02"
"36",17,25000,81122605,-0.0218,"GSM2404043_9373550164_R06C02"
"37",18,80000,77983624,-0.0803,"GSM2404043_9373550164_R06C02"
"38",19,180000,59084492,0.0279,"GSM2404043_9373550164_R06C02"
"39",2,130000,243026238,-0.0174,"GSM2404043_9373550164_R06C02"
"40",20,155000,62907760,-0.0435,"GSM2404043_9373550164_R06C02"
"41",21,10848948,48084948,0.0426,"GSM2404043_9373550164_R06C02"
"42",22,16373925,51222283,0.068,"GSM2404043_9373550164_R06C02"
"43",3,155000,197831215,-0.0208,"GSM2404043_9373550164_R06C02"
"44",4,55000,190972138,-0.0503,"GSM2404043_9373550164_R06C02"
"45",5,55000,180777630,-0.008,"GSM2404043_9373550164_R06C02"
"46",6,155000,170952534,-0.0302,"GSM2404043_9373550164_R06C02"
"47",7,55000,159039332,0.043,"GSM2404043_9373550164_R06C02"
"48",8,105000,146277011,3e-04,"GSM2404043_9373550164_R06C02"
"49",9,130000,141076716,0.0301,"GSM2404043_9373550164_R06C02"
"50",1,635684,249195311,0.0183,"GSM2404044_9373550164_R01C01"
"51",10,105000,135462374,0.0489,"GSM2404044_9373550164_R01C01"
"52",11,130000,134873258,0.0244,"GSM2404044_9373550164_R01C01"
"53",12,172870,133770948,0.0299,"GSM2404044_9373550164_R01C01"
"54",13,19110000,115079939,0.0507,"GSM2404044_9373550164_R01C01"
"55",14,19325000,107119770,0.028,"GSM2404044_9373550164_R01C01"
"56",15,20225000,102410696,0.0293,"GSM2404044_9373550164_R01C01"
"57",16,105000,90222377,0.0635,"GSM2404044_9373550164_R01C01"
"58",17,25000,81122605,-0.0253,"GSM2404044_9373550164_R01C01"
"59",18,80000,77983624,-0.0352,"GSM2404044_9373550164_R01C01"
"60",19,180000,59084492,0.0268,"GSM2404044_9373550164_R01C01"
"61",2,130000,243026238,0.017,"GSM2404044_9373550164_R01C01"
"62",20,155000,62907760,-0.0187,"GSM2404044_9373550164_R01C01"
"63",21,10848948,48084948,0.0577,"GSM2404044_9373550164_R01C01"
"64",22,16373925,51222283,0.0202,"GSM2404044_9373550164_R01C01"
"65",3,155000,197831215,0.0117,"GSM2404044_9373550164_R01C01"
"66",4,55000,190972138,-0.0045,"GSM2404044_9373550164_R01C01"
"67",5,55000,180777630,0.0251,"GSM2404044_9373550164_R01C01"
"68",6,155000,170952534,0.0181,"GSM2404044_9373550164_R01C01"
"69",7,55000,159039332,0.0736,"GSM2404044_9373550164_R01C01"
"70",8,105000,146277011,0.0361,"GSM2404044_9373550164_R01C01"
"71",9,130000,141076716,0.0373,"GSM2404044_9373550164_R01C01"
"72",1,635684,249195311,0.0359,"GSM2404146_9406922161_R05C02"
"73",10,105000,135462374,0.1129,"GSM2404146_9406922161_R05C02"
