"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.1841,"GSM2404191_9376538153_R06C01"
"2",10,105000,125859736,-0.1505,"GSM2404191_9376538153_R06C01"
"3",10,126009736,135462374,0.3082,"GSM2404191_9376538153_R06C01"
"4",11,130000,134873258,-0.1998,"GSM2404191_9376538153_R06C01"
"5",12,172870,133770948,0.1768,"GSM2404191_9376538153_R06C01"
"6",13,19110000,115079939,-0.2005,"GSM2404191_9376538153_R06C01"
"7",14,19325000,107119770,0.1819,"GSM2404191_9376538153_R06C01"
"8",15,20225000,102410696,0.2099,"GSM2404191_9376538153_R06C01"
"9",16,105000,90222377,-0.0762,"GSM2404191_9376538153_R06C01"
"10",17,25000,81122605,-0.0454,"GSM2404191_9376538153_R06C01"
"11",18,80000,77983624,-0.0201,"GSM2404191_9376538153_R06C01"
"12",19,180000,59084492,-0.0437,"GSM2404191_9376538153_R06C01"
"13",2,130000,102850000,0.1977,"GSM2404191_9376538153_R06C01"
"14",2,102950000,243026238,-0.1942,"GSM2404191_9376538153_R06C01"
"15",20,155000,62907760,-0.1186,"GSM2404191_9376538153_R06C01"
"16",21,10848948,48084948,0.215,"GSM2404191_9376538153_R06C01"
"17",22,16373925,51222283,-0.0723,"GSM2404191_9376538153_R06C01"
"18",3,155000,197831215,-0.2286,"GSM2404191_9376538153_R06C01"
"19",4,55000,190972138,-0.1698,"GSM2404191_9376538153_R06C01"
"20",5,55000,180777630,-0.2171,"GSM2404191_9376538153_R06C01"
"21",6,155000,170952534,-0.2122,"GSM2404191_9376538153_R06C01"
"22",7,55000,159039332,0.1573,"GSM2404191_9376538153_R06C01"
"23",8,105000,146277011,0.1618,"GSM2404191_9376538153_R06C01"
"24",9,130000,141076716,-0.001,"GSM2404191_9376538153_R06C01"
"25",1,635684,249195311,0.1935,"GSM2404192_9376538153_R01C02"
"26",10,105000,135462374,0.2156,"GSM2404192_9376538153_R01C02"
"27",11,130000,134873258,-0.1453,"GSM2404192_9376538153_R01C02"
"28",12,172870,133770948,0.2118,"GSM2404192_9376538153_R01C02"
"29",13,19110000,115079939,0.2189,"GSM2404192_9376538153_R01C02"
"30",14,19325000,20025000,0.3214,"GSM2404192_9376538153_R01C02"
"31",14,20450000,107119770,-0.028,"GSM2404192_9376538153_R01C02"
"32",15,20225000,102410696,-0.1474,"GSM2404192_9376538153_R01C02"
"33",16,105000,31825000,-0.0907,"GSM2404192_9376538153_R01C02"
"34",16,32075000,46517901,0.2581,"GSM2404192_9376538153_R01C02"
"35",16,46675000,90222377,-0.0834,"GSM2404192_9376538153_R01C02"
"36",17,25000,81122605,-0.0639,"GSM2404192_9376538153_R01C02"
"37",18,80000,72925000,-0.2135,"GSM2404192_9376538153_R01C02"
"38",18,73275000,77625000,-0.0065,"GSM2404192_9376538153_R01C02"
"39",18,77675000,77983624,-0.2698,"GSM2404192_9376538153_R01C02"
"40",19,180000,59084492,-0.1225,"GSM2404192_9376538153_R01C02"
"41",2,130000,243026238,0.1852,"GSM2404192_9376538153_R01C02"
"42",20,155000,62907760,0.1648,"GSM2404192_9376538153_R01C02"
"43",21,10848948,48084948,0.2134,"GSM2404192_9376538153_R01C02"
"44",22,16373925,51222283,-0.1009,"GSM2404192_9376538153_R01C02"
"45",3,155000,197831215,-0.1732,"GSM2404192_9376538153_R01C02"
"46",4,55000,190972138,0.1628,"GSM2404192_9376538153_R01C02"
"47",5,55000,180777630,-0.158,"GSM2404192_9376538153_R01C02"
"48",6,155000,170952534,-0.1745,"GSM2404192_9376538153_R01C02"
"49",7,55000,159039332,-0.1092,"GSM2404192_9376538153_R01C02"
"50",8,105000,146277011,-0.1433,"GSM2404192_9376538153_R01C02"
"51",9,130000,141076716,-0.0516,"GSM2404192_9376538153_R01C02"
"52",1,635684,249195311,0.1722,"GSM2404203_9376561024_R02C02"
"53",10,105000,135462374,0.2053,"GSM2404203_9376561024_R02C02"
"54",11,130000,134873258,-0.1045,"GSM2404203_9376561024_R02C02"
"55",12,172870,133770948,0.2005,"GSM2404203_9376561024_R02C02"
"56",13,19110000,115079939,-0.077,"GSM2404203_9376561024_R02C02"
"57",14,19325000,107119770,0.1502,"GSM2404203_9376561024_R02C02"
"58",15,20225000,102410696,0.1414,"GSM2404203_9376561024_R02C02"
"59",16,105000,90222377,-0.0584,"GSM2404203_9376561024_R02C02"
"60",17,25000,81122605,-0.1486,"GSM2404203_9376561024_R02C02"
"61",18,80000,77983624,0.0546,"GSM2404203_9376561024_R02C02"
