"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,-0.143,"GSM2403641_8622007203_R06C02",0.859163063894918
"2",10,105000,135462374,-0.0721,"GSM2403641_8622007203_R06C02",0.859163063894918
"3",11,130000,134873258,-0.1046,"GSM2403641_8622007203_R06C02",0.859163063894918
"4",12,172870,133770948,-0.1173,"GSM2403641_8622007203_R06C02",0.859163063894918
"5",13,19110000,115079939,-0.0448,"GSM2403641_8622007203_R06C02",0.859163063894918
"6",14,19325000,20025000,0.4076,"GSM2403641_8622007203_R06C02",0.859163063894918
"7",14,20450000,107119770,-0.1644,"GSM2403641_8622007203_R06C02",0.859163063894918
"8",15,20225000,102410696,-0.1169,"GSM2403641_8622007203_R06C02",0.859163063894918
"9",16,105000,90222377,-0.0084,"GSM2403641_8622007203_R06C02",0.859163063894918
"10",17,25000,81122605,-0.1147,"GSM2403641_8622007203_R06C02",0.859163063894918
"11",18,80000,77983624,-0.1408,"GSM2403641_8622007203_R06C02",0.859163063894918
"12",19,180000,59084492,-0.1026,"GSM2403641_8622007203_R06C02",0.859163063894918
"13",2,130000,243026238,-0.1205,"GSM2403641_8622007203_R06C02",0.859163063894918
"14",20,155000,62907760,-0.1264,"GSM2403641_8622007203_R06C02",0.859163063894918
"15",21,10848948,48084948,-0.0233,"GSM2403641_8622007203_R06C02",0.859163063894918
"16",22,16373925,51222283,-0.1124,"GSM2403641_8622007203_R06C02",0.859163063894918
"17",3,155000,197831215,-0.126,"GSM2403641_8622007203_R06C02",0.859163063894918
"18",4,55000,190972138,-0.1352,"GSM2403641_8622007203_R06C02",0.859163063894918
"19",5,55000,180777630,-0.1289,"GSM2403641_8622007203_R06C02",0.859163063894918
"20",6,155000,29375000,-0.1036,"GSM2403641_8622007203_R06C02",0.859163063894918
"21",6,29425000,30800000,-0.6063,"GSM2403641_8622007203_R06C02",0.859163063894918
"22",6,30875000,170952534,-0.1568,"GSM2403641_8622007203_R06C02",0.859163063894918
"23",7,55000,101475000,-0.0649,"GSM2403641_8622007203_R06C02",0.859163063894918
"24",7,101525000,101875000,0.3472,"GSM2403641_8622007203_R06C02",0.859163063894918
"25",7,101925000,159039332,-0.0835,"GSM2403641_8622007203_R06C02",0.859163063894918
"26",8,105000,146277011,-0.129,"GSM2403641_8622007203_R06C02",0.859163063894918
"27",9,130000,141076716,-0.0855,"GSM2403641_8622007203_R06C02",0.859163063894918
"28",1,635684,249195311,-0.0444,"GSM2404043_9373550164_R06C02",0.723720333011111
"29",10,105000,135462374,-0.0338,"GSM2404043_9373550164_R06C02",0.723720333011111
"30",11,130000,50516927,-0.0591,"GSM2404043_9373550164_R06C02",0.723720333011111
"31",11,54922103,55950000,-0.4713,"GSM2404043_9373550164_R06C02",0.723720333011111
"32",11,56100000,134873258,-0.0276,"GSM2404043_9373550164_R06C02",0.723720333011111
