"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,-0.0058,"GSM2403776_9296930017_R05C02",0.516544184729539
"2",10,105000,135462374,0.0056,"GSM2403776_9296930017_R05C02",0.516544184729539
"3",11,130000,134873258,-0.0074,"GSM2403776_9296930017_R05C02",0.516544184729539
"4",12,172870,133770948,-0.0079,"GSM2403776_9296930017_R05C02",0.516544184729539
"5",13,19110000,115079939,0.0069,"GSM2403776_9296930017_R05C02",0.516544184729539
"6",14,19325000,107119770,-0.0221,"GSM2403776_9296930017_R05C02",0.516544184729539
"7",15,20225000,22429154,0.2711,"GSM2403776_9296930017_R05C02",0.516544184729539
"8",15,22748097,83725000,-0.0057,"GSM2403776_9296930017_R05C02",0.516544184729539
"9",15,83850000,84250000,-0.3159,"GSM2403776_9296930017_R05C02",0.516544184729539
"10",15,84667237,102410696,0.0084,"GSM2403776_9296930017_R05C02",0.516544184729539
"11",16,105000,90222377,0.0073,"GSM2403776_9296930017_R05C02",0.516544184729539
"12",17,25000,81122605,-0.0718,"GSM2403776_9296930017_R05C02",0.516544184729539
"13",18,80000,77983624,-0.1238,"GSM2403776_9296930017_R05C02",0.516544184729539
"14",19,180000,59084492,-0.0471,"GSM2403776_9296930017_R05C02",0.516544184729539
"15",2,130000,243026238,-0.0282,"GSM2403776_9296930017_R05C02",0.516544184729539
"16",20,155000,62907760,-0.0516,"GSM2403776_9296930017_R05C02",0.516544184729539
"17",21,10848948,48084948,-0.026,"GSM2403776_9296930017_R05C02",0.516544184729539
"18",22,16373925,51222283,-0.0186,"GSM2403776_9296930017_R05C02",0.516544184729539
"19",3,155000,197831215,-0.0069,"GSM2403776_9296930017_R05C02",0.516544184729539
"20",4,55000,190972138,-0.07,"GSM2403776_9296930017_R05C02",0.516544184729539
"21",5,55000,180777630,-0.0198,"GSM2403776_9296930017_R05C02",0.516544184729539
"22",6,155000,170952534,-0.0104,"GSM2403776_9296930017_R05C02",0.516544184729539
"23",7,55000,159039332,0.0146,"GSM2403776_9296930017_R05C02",0.516544184729539
"24",8,105000,146277011,-0.0351,"GSM2403776_9296930017_R05C02",0.516544184729539
"25",9,130000,141076716,3e-04,"GSM2403776_9296930017_R05C02",0.516544184729539
"26",1,635684,16825000,0.0247,"GSM2404145_9406922161_R06C01",0.66198375105076
"27",1,16875000,17225000,0.2597,"GSM2404145_9406922161_R06C01",0.66198375105076
"28",1,17275000,249195311,-0.0357,"GSM2404145_9406922161_R06C01",0.66198375105076
"29",10,105000,135462374,-0.0041,"GSM2404145_9406922161_R06C01",0.66198375105076
"30",11,130000,134873258,-0.0273,"GSM2404145_9406922161_R06C01",0.66198375105076
"31",12,172870,133770948,-0.0336,"GSM2404145_9406922161_R06C01",0.66198375105076
"32",13,19110000,115079939,-0.0423,"GSM2404145_9406922161_R06C01",0.66198375105076
"33",14,19325000,20450000,0.3449,"GSM2404145_9406922161_R06C01",0.66198375105076
"34",14,20800000,107119770,-0.0406,"GSM2404145_9406922161_R06C01",0.66198375105076
"35",15,20225000,102410696,-0.0239,"GSM2404145_9406922161_R06C01",0.66198375105076
"36",16,105000,90222377,0.0271,"GSM2404145_9406922161_R06C01",0.66198375105076
"37",17,25000,81122605,-0.066,"GSM2404145_9406922161_R06C01",0.66198375105076
"38",18,80000,77983624,-0.1178,"GSM2404145_9406922161_R06C01",0.66198375105076
"39",19,180000,59084492,-0.0493,"GSM2404145_9406922161_R06C01",0.66198375105076
"40",2,130000,243026238,-0.0598,"GSM2404145_9406922161_R06C01",0.66198375105076
"41",20,155000,62907760,-0.07,"GSM2404145_9406922161_R06C01",0.66198375105076
"42",21,10848948,48084948,-0.0086,"GSM2404145_9406922161_R06C01",0.66198375105076
"43",22,16373925,51222283,-0.0147,"GSM2404145_9406922161_R06C01",0.66198375105076
"44",3,155000,197831215,-0.0427,"GSM2404145_9406922161_R06C01",0.66198375105076
"45",4,55000,190972138,-0.0921,"GSM2404145_9406922161_R06C01",0.66198375105076
"46",5,55000,180777630,-0.043,"GSM2404145_9406922161_R06C01",0.66198375105076
"47",6,155000,170952534,-0.051,"GSM2404145_9406922161_R06C01",0.66198375105076
"48",7,55000,159039332,-0.0199,"GSM2404145_9406922161_R06C01",0.66198375105076
"49",8,105000,89100000,-0.0514,"GSM2404145_9406922161_R06C01",0.66198375105076
"50",8,89325000,92850000,-0.3728,"GSM2404145_9406922161_R06C01",0.66198375105076
"51",8,93125000,146277011,-0.0671,"GSM2404145_9406922161_R06C01",0.66198375105076
"52",9,130000,141076716,-0.0073,"GSM2404145_9406922161_R06C01",0.66198375105076
"53",1,635684,78500000,0.033,"GSM2404564_9553932088_R06C02",0.494195689138612
"54",1,78775000,84625000,-0.304,"GSM2404564_9553932088_R06C02",0.494195689138612
"55",1,84775000,185225000,-0.0243,"GSM2404564_9553932088_R06C02",0.494195689138612
"56",1,185525000,200825000,-0.2419,"GSM2404564_9553932088_R06C02",0.494195689138612
"57",1,200900000,249195311,-0.0029,"GSM2404564_9553932088_R06C02",0.494195689138612
