"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,-0.1015,"GSM2403646_8942351007_R03C02",0.707666698049584
"2",10,105000,4300000,0.2089,"GSM2403646_8942351007_R03C02",0.707666698049584
"3",10,4625000,135462374,-0.1961,"GSM2403646_8942351007_R03C02",0.707666698049584
"4",11,130000,134873258,-0.0719,"GSM2403646_8942351007_R03C02",0.707666698049584
"5",12,172870,133770948,0.1007,"GSM2403646_8942351007_R03C02",0.707666698049584
"6",13,19110000,115079939,-0.1181,"GSM2403646_8942351007_R03C02",0.707666698049584
"7",14,19325000,107119770,-0.0946,"GSM2403646_8942351007_R03C02",0.707666698049584
"8",15,20225000,102410696,0.0982,"GSM2403646_8942351007_R03C02",0.707666698049584
"9",16,105000,90222377,0.1124,"GSM2403646_8942351007_R03C02",0.707666698049584
"10",17,25000,81122605,0.0664,"GSM2403646_8942351007_R03C02",0.707666698049584
"11",18,80000,77983624,0.0348,"GSM2403646_8942351007_R03C02",0.707666698049584
"12",19,180000,59084492,0.0312,"GSM2403646_8942351007_R03C02",0.707666698049584
"13",2,130000,89315218,-0.0792,"GSM2403646_8942351007_R03C02",0.707666698049584
"14",2,91672552,95438086,0.2897,"GSM2403646_8942351007_R03C02",0.707666698049584
"15",2,95625000,101625000,-0.0766,"GSM2403646_8942351007_R03C02",0.707666698049584
"16",2,101725000,104200000,-0.8123,"GSM2403646_8942351007_R03C02",0.707666698049584
"17",2,105125000,243026238,-0.0805,"GSM2403646_8942351007_R03C02",0.707666698049584
"18",20,155000,62907760,0.0568,"GSM2403646_8942351007_R03C02",0.707666698049584
"19",21,10848948,48084948,-0.0469,"GSM2403646_8942351007_R03C02",0.707666698049584
"20",22,16373925,51222283,0.073,"GSM2403646_8942351007_R03C02",0.707666698049584
"21",3,155000,75025000,-0.3577,"GSM2403646_8942351007_R03C02",0.707666698049584
"22",3,75425000,76450000,0.1053,"GSM2403646_8942351007_R03C02",0.707666698049584
"23",3,77100000,197831215,-0.3557,"GSM2403646_8942351007_R03C02",0.707666698049584
