"chromosome","start","end","segmean","sample","noise"
"1",1,635684,9675000,-0.2531,"GSM2403010_6929718009_R05C01",0.526456048102121
"2",1,9725000,59850000,-0.0068,"GSM2403010_6929718009_R05C01",0.526456048102121
"3",1,60125000,62025000,-0.4033,"GSM2403010_6929718009_R05C01",0.526456048102121
"4",1,62200000,249195311,0.0462,"GSM2403010_6929718009_R05C01",0.526456048102121
"5",10,105000,135462374,-0.0222,"GSM2403010_6929718009_R05C01",0.526456048102121
"6",11,130000,134873258,0.1055,"GSM2403010_6929718009_R05C01",0.526456048102121
"7",12,172870,133770948,0.1159,"GSM2403010_6929718009_R05C01",0.526456048102121
"8",13,19110000,115079939,-0.1355,"GSM2403010_6929718009_R05C01",0.526456048102121
"9",14,19325000,107119770,-0.0351,"GSM2403010_6929718009_R05C01",0.526456048102121
"10",15,20225000,102410696,0.151,"GSM2403010_6929718009_R05C01",0.526456048102121
"11",16,105000,90222377,-0.0611,"GSM2403010_6929718009_R05C01",0.526456048102121
"12",17,25000,57550000,-0.0596,"GSM2403010_6929718009_R05C01",0.526456048102121
"13",17,57700000,58025000,-0.5292,"GSM2403010_6929718009_R05C01",0.526456048102121
"14",17,58100000,81122605,-0.0778,"GSM2403010_6929718009_R05C01",0.526456048102121
"15",18,80000,77983624,-0.0775,"GSM2403010_6929718009_R05C01",0.526456048102121
"16",19,180000,59084492,-0.0729,"GSM2403010_6929718009_R05C01",0.526456048102121
"17",2,130000,56425000,-0.0862,"GSM2403010_6929718009_R05C01",0.526456048102121
"18",2,57450000,60875000,-0.4348,"GSM2403010_6929718009_R05C01",0.526456048102121
"19",2,60975000,243026238,-0.0805,"GSM2403010_6929718009_R05C01",0.526456048102121
"20",20,155000,62907760,-0.127,"GSM2403010_6929718009_R05C01",0.526456048102121
"21",21,10848948,48084948,-0.0511,"GSM2403010_6929718009_R05C01",0.526456048102121
"22",22,16373925,51222283,-0.0074,"GSM2403010_6929718009_R05C01",0.526456048102121
"23",3,155000,197831215,0.0789,"GSM2403010_6929718009_R05C01",0.526456048102121
"24",4,55000,190972138,-0.0847,"GSM2403010_6929718009_R05C01",0.526456048102121
"25",5,55000,180777630,-0.0687,"GSM2403010_6929718009_R05C01",0.526456048102121
"26",6,155000,170952534,-0.0919,"GSM2403010_6929718009_R05C01",0.526456048102121
"27",7,55000,6425000,-0.0797,"GSM2403010_6929718009_R05C01",0.526456048102121
"28",7,6475000,7125000,-0.3829,"GSM2403010_6929718009_R05C01",0.526456048102121
"29",7,7200000,159039332,-0.0685,"GSM2403010_6929718009_R05C01",0.526456048102121
"30",8,105000,146277011,-0.061,"GSM2403010_6929718009_R05C01",0.526456048102121
"31",9,130000,81525000,-0.0841,"GSM2403010_6929718009_R05C01",0.526456048102121
"32",9,82800000,94875000,-0.3999,"GSM2403010_6929718009_R05C01",0.526456048102121
"33",9,95075000,97975000,-0.1072,"GSM2403010_6929718009_R05C01",0.526456048102121
"34",9,98175000,99525000,-0.3714,"GSM2403010_6929718009_R05C01",0.526456048102121
"35",9,99700000,141076716,-0.0574,"GSM2403010_6929718009_R05C01",0.526456048102121
"36",1,635684,24425000,0.027,"GSM2403644_8942351007_R01C02",0.60933832498558
"37",1,24550000,24900000,-0.3348,"GSM2403644_8942351007_R01C02",0.60933832498558
"38",1,2.5e+07,249195311,0.0358,"GSM2403644_8942351007_R01C02",0.60933832498558
"39",10,105000,57375000,0.0386,"GSM2403644_8942351007_R01C02",0.60933832498558
"40",10,57775000,67300000,-0.4124,"GSM2403644_8942351007_R01C02",0.60933832498558
"41",10,69075000,135462374,0.0265,"GSM2403644_8942351007_R01C02",0.60933832498558
"42",11,130000,134873258,0.0186,"GSM2403644_8942351007_R01C02",0.60933832498558
"43",12,172870,121425000,0.0215,"GSM2403644_8942351007_R01C02",0.60933832498558
"44",12,121475000,122400000,-0.2897,"GSM2403644_8942351007_R01C02",0.60933832498558
"45",12,122490312,133770948,0.0372,"GSM2403644_8942351007_R01C02",0.60933832498558
"46",13,19110000,55800000,-0.4105,"GSM2403644_8942351007_R01C02",0.60933832498558
"47",13,57200000,81600000,-0.0231,"GSM2403644_8942351007_R01C02",0.60933832498558
"48",13,83350000,93875000,-0.4271,"GSM2403644_8942351007_R01C02",0.60933832498558
"49",13,94175000,115079939,0.0201,"GSM2403644_8942351007_R01C02",0.60933832498558
"50",14,19325000,107119770,0.0166,"GSM2403644_8942351007_R01C02",0.60933832498558
"51",15,20225000,102410696,0.0248,"GSM2403644_8942351007_R01C02",0.60933832498558
"52",16,105000,90222377,0.0261,"GSM2403644_8942351007_R01C02",0.60933832498558
"53",17,25000,16575000,-0.3691,"GSM2403644_8942351007_R01C02",0.60933832498558
"54",17,16725000,43025000,-0.0087,"GSM2403644_8942351007_R01C02",0.60933832498558
"55",17,43075000,43400000,-0.3721,"GSM2403644_8942351007_R01C02",0.60933832498558
"56",17,43475000,81122605,-0.0086,"GSM2403644_8942351007_R01C02",0.60933832498558
"57",18,80000,77983624,-0.0367,"GSM2403644_8942351007_R01C02",0.60933832498558
"58",19,180000,59084492,-0.0144,"GSM2403644_8942351007_R01C02",0.60933832498558
"59",2,130000,243026238,0.0038,"GSM2403644_8942351007_R01C02",0.60933832498558
"60",20,155000,62907760,-0.0383,"GSM2403644_8942351007_R01C02",0.60933832498558
"61",21,10848948,48084948,0.0239,"GSM2403644_8942351007_R01C02",0.60933832498558
"62",22,16373925,51222283,0.0172,"GSM2403644_8942351007_R01C02",0.60933832498558
"63",3,155000,98225000,0.0121,"GSM2403644_8942351007_R01C02",0.60933832498558
"64",3,98350000,1.02e+08,0.8097,"GSM2403644_8942351007_R01C02",0.60933832498558
"65",3,103300000,197831215,0.0151,"GSM2403644_8942351007_R01C02",0.60933832498558
"66",4,55000,190972138,-0.0069,"GSM2403644_8942351007_R01C02",0.60933832498558
"67",5,55000,180777630,0.0172,"GSM2403644_8942351007_R01C02",0.60933832498558
"68",6,155000,21650000,-0.3546,"GSM2403644_8942351007_R01C02",0.60933832498558
"69",6,21750000,24225000,-0.6852,"GSM2403644_8942351007_R01C02",0.60933832498558
"70",6,24375000,32975000,-0.356,"GSM2403644_8942351007_R01C02",0.60933832498558
"71",6,33025000,56375000,0.0045,"GSM2403644_8942351007_R01C02",0.60933832498558
"72",6,56525000,57225000,-0.4756,"GSM2403644_8942351007_R01C02",0.60933832498558
"73",6,57718830,106150000,-0.0266,"GSM2403644_8942351007_R01C02",0.60933832498558
"74",6,106425000,159650000,-0.4128,"GSM2403644_8942351007_R01C02",0.60933832498558
"75",6,159900000,170952534,0.0683,"GSM2403644_8942351007_R01C02",0.60933832498558
"76",7,55000,159039332,0.0168,"GSM2403644_8942351007_R01C02",0.60933832498558
"77",8,105000,56775000,0.0186,"GSM2403644_8942351007_R01C02",0.60933832498558
"78",8,56875000,66875000,-0.3794,"GSM2403644_8942351007_R01C02",0.60933832498558
"79",8,67025000,146277011,-0.0201,"GSM2403644_8942351007_R01C02",0.60933832498558
"80",9,130000,6100000,0.5328,"GSM2403644_8942351007_R01C02",0.60933832498558
"81",9,6550000,141076716,0.0277,"GSM2403644_8942351007_R01C02",0.60933832498558
"82",1,635684,16825000,-0.0818,"GSM2403645_8942351007_R02C02",0.65949914545371
"83",1,16875000,17087829,0.2512,"GSM2403645_8942351007_R02C02",0.65949914545371
"84",1,17187829,121193348,-0.0827,"GSM2403645_8942351007_R02C02",0.65949914545371
"85",1,121392717,145425000,0.2625,"GSM2403645_8942351007_R02C02",0.65949914545371
"86",1,145475000,249195311,-0.0604,"GSM2403645_8942351007_R02C02",0.65949914545371
"87",10,105000,135462374,-0.0659,"GSM2403645_8942351007_R02C02",0.65949914545371
"88",11,130000,46025000,-0.1081,"GSM2403645_8942351007_R02C02",0.65949914545371
"89",11,46175000,46425000,-1.8478,"GSM2403645_8942351007_R02C02",0.65949914545371
"90",11,46525000,47500000,-0.361,"GSM2403645_8942351007_R02C02",0.65949914545371
"91",11,47575000,71325000,-0.0831,"GSM2403645_8942351007_R02C02",0.65949914545371
"92",11,71400000,71725000,0.2406,"GSM2403645_8942351007_R02C02",0.65949914545371
"93",11,71775000,134873258,-0.1022,"GSM2403645_8942351007_R02C02",0.65949914545371
"94",12,172870,133770948,0.1597,"GSM2403645_8942351007_R02C02",0.65949914545371
"95",13,19110000,115079939,-0.1013,"GSM2403645_8942351007_R02C02",0.65949914545371
"96",14,19325000,107119770,-0.0699,"GSM2403645_8942351007_R02C02",0.65949914545371
"97",15,20225000,44300000,-0.053,"GSM2403645_8942351007_R02C02",0.65949914545371
"98",15,44475000,45025000,-0.8673,"GSM2403645_8942351007_R02C02",0.65949914545371
"99",15,45225000,102410696,-0.0689,"GSM2403645_8942351007_R02C02",0.65949914545371
"100",16,105000,25425000,-0.0729,"GSM2403645_8942351007_R02C02",0.65949914545371
"101",16,25725000,28750000,-0.473,"GSM2403645_8942351007_R02C02",0.65949914545371
"102",16,28875000,90222377,-0.0731,"GSM2403645_8942351007_R02C02",0.65949914545371
"103",17,25000,29425000,-0.0956,"GSM2403645_8942351007_R02C02",0.65949914545371
"104",17,29550000,30025000,-0.4438,"GSM2403645_8942351007_R02C02",0.65949914545371
"105",17,30175000,81122605,-0.1022,"GSM2403645_8942351007_R02C02",0.65949914545371
"106",18,80000,77983624,-0.0958,"GSM2403645_8942351007_R02C02",0.65949914545371
"107",19,180000,6300000,-0.1207,"GSM2403645_8942351007_R02C02",0.65949914545371
"108",19,6375000,6775000,-0.4655,"GSM2403645_8942351007_R02C02",0.65949914545371
"109",19,6925000,59084492,0.0031,"GSM2403645_8942351007_R02C02",0.65949914545371
"110",2,130000,243026238,0.1163,"GSM2403645_8942351007_R02C02",0.65949914545371
"111",20,155000,62907760,-0.1544,"GSM2403645_8942351007_R02C02",0.65949914545371
"112",21,10848948,48084948,0.1489,"GSM2403645_8942351007_R02C02",0.65949914545371
"113",22,16373925,40425000,-0.0625,"GSM2403645_8942351007_R02C02",0.65949914545371
"114",22,40600000,41475000,-0.4581,"GSM2403645_8942351007_R02C02",0.65949914545371
"115",22,41550000,51222283,-0.083,"GSM2403645_8942351007_R02C02",0.65949914545371
"116",3,155000,197831215,-0.0826,"GSM2403645_8942351007_R02C02",0.65949914545371
"117",4,55000,190972138,-0.0888,"GSM2403645_8942351007_R02C02",0.65949914545371
"118",5,55000,180777630,-0.0769,"GSM2403645_8942351007_R02C02",0.65949914545371
"119",6,155000,170952534,-0.075,"GSM2403645_8942351007_R02C02",0.65949914545371
"120",7,55000,159039332,0.145,"GSM2403645_8942351007_R02C02",0.65949914545371
"121",8,105000,11900000,-0.0013,"GSM2403645_8942351007_R02C02",0.65949914545371
"122",8,12020927,12575000,0.3363,"GSM2403645_8942351007_R02C02",0.65949914545371
"123",8,12625000,146277011,-0.1084,"GSM2403645_8942351007_R02C02",0.65949914545371
"124",9,130000,141076716,-0.0923,"GSM2403645_8942351007_R02C02",0.65949914545371
"125",1,635684,249195311,0.0126,"GSM2403647_8942351007_R04C02",0.703234074529085
