"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,0.0045,"GSM2403536_8622007072_R05C01",0.535560002159909
"2",10,105000,135462374,-0.0191,"GSM2403536_8622007072_R05C01",0.535560002159909
"3",11,130000,36600000,-0.0176,"GSM2403536_8622007072_R05C01",0.535560002159909
"4",11,38475000,43325000,-0.3408,"GSM2403536_8622007072_R05C01",0.535560002159909
"5",11,43450000,55350000,0.0073,"GSM2403536_8622007072_R05C01",0.535560002159909
"6",11,55600000,56675000,-0.4302,"GSM2403536_8622007072_R05C01",0.535560002159909
"7",11,56975000,134873258,-0.0163,"GSM2403536_8622007072_R05C01",0.535560002159909
"8",12,172870,133770948,-0.0283,"GSM2403536_8622007072_R05C01",0.535560002159909
"9",13,19110000,115079939,-0.0996,"GSM2403536_8622007072_R05C01",0.535560002159909
"10",14,19325000,107119770,-0.0067,"GSM2403536_8622007072_R05C01",0.535560002159909
"11",15,20225000,102410696,0.0051,"GSM2403536_8622007072_R05C01",0.535560002159909
"12",16,105000,90222377,0.0213,"GSM2403536_8622007072_R05C01",0.535560002159909
"13",17,25000,81122605,-0.0142,"GSM2403536_8622007072_R05C01",0.535560002159909
"14",18,80000,77983624,-0.0746,"GSM2403536_8622007072_R05C01",0.535560002159909
"15",19,180000,59084492,0.0143,"GSM2403536_8622007072_R05C01",0.535560002159909
"16",2,130000,243026238,-0.0507,"GSM2403536_8622007072_R05C01",0.535560002159909
"17",20,155000,62907760,-0.0168,"GSM2403536_8622007072_R05C01",0.535560002159909
"18",21,10848948,48084948,-0.0102,"GSM2403536_8622007072_R05C01",0.535560002159909
"19",22,16373925,51222283,0.0554,"GSM2403536_8622007072_R05C01",0.535560002159909
"20",3,155000,197831215,-0.0563,"GSM2403536_8622007072_R05C01",0.535560002159909
"21",4,55000,190972138,-0.1095,"GSM2403536_8622007072_R05C01",0.535560002159909
"22",5,55000,180777630,-0.0458,"GSM2403536_8622007072_R05C01",0.535560002159909
"23",6,155000,32375000,-0.0583,"GSM2403536_8622007072_R05C01",0.535560002159909
"24",6,32425000,32650000,-0.5934,"GSM2403536_8622007072_R05C01",0.535560002159909
"25",6,32725000,170952534,-0.0795,"GSM2403536_8622007072_R05C01",0.535560002159909
"26",7,55000,77425000,-0.03,"GSM2403536_8622007072_R05C01",0.535560002159909
"27",7,77550000,86400000,-0.3832,"GSM2403536_8622007072_R05C01",0.535560002159909
"28",7,86650000,159039332,-0.0126,"GSM2403536_8622007072_R05C01",0.535560002159909
"29",8,105000,146277011,-0.0572,"GSM2403536_8622007072_R05C01",0.535560002159909
"30",9,130000,141076716,0.0151,"GSM2403536_8622007072_R05C01",0.535560002159909
"31",1,635684,185525000,0.016,"GSM2403537_8622007072_R06C01",0.587268086825245
"32",1,186025000,200825000,-0.3439,"GSM2403537_8622007072_R06C01",0.587268086825245
"33",1,200900000,249195311,-0.0063,"GSM2403537_8622007072_R06C01",0.587268086825245
"34",10,105000,135462374,-0.0265,"GSM2403537_8622007072_R06C01",0.587268086825245
"35",11,130000,36600000,-0.0192,"GSM2403537_8622007072_R06C01",0.587268086825245
"36",11,38475000,43325000,-0.5852,"GSM2403537_8622007072_R06C01",0.587268086825245
"37",11,43450000,50516927,0.0172,"GSM2403537_8622007072_R06C01",0.587268086825245
"38",11,54922103,56100000,-0.6615,"GSM2403537_8622007072_R06C01",0.587268086825245
"39",11,56300000,134873258,-0.0185,"GSM2403537_8622007072_R06C01",0.587268086825245
"40",12,172870,133770948,-0.0433,"GSM2403537_8622007072_R06C01",0.587268086825245
"41",13,19110000,115079939,-0.1264,"GSM2403537_8622007072_R06C01",0.587268086825245
"42",14,19325000,107119770,-0.01,"GSM2403537_8622007072_R06C01",0.587268086825245
"43",15,20225000,102410696,0.0056,"GSM2403537_8622007072_R06C01",0.587268086825245
"44",16,105000,90222377,0.0259,"GSM2403537_8622007072_R06C01",0.587268086825245
"45",17,25000,81122605,-0.0128,"GSM2403537_8622007072_R06C01",0.587268086825245
"46",18,80000,77983624,-0.0825,"GSM2403537_8622007072_R06C01",0.587268086825245
"47",19,180000,59084492,0.0141,"GSM2403537_8622007072_R06C01",0.587268086825245
"48",2,130000,243026238,-0.0667,"GSM2403537_8622007072_R06C01",0.587268086825245
"49",20,155000,62907760,-0.0132,"GSM2403537_8622007072_R06C01",0.587268086825245
"50",21,10848948,48084948,-0.0137,"GSM2403537_8622007072_R06C01",0.587268086825245
"51",22,16373925,51222283,0.0519,"GSM2403537_8622007072_R06C01",0.587268086825245
"52",3,155000,197831215,-0.0689,"GSM2403537_8622007072_R06C01",0.587268086825245
"53",4,55000,57775000,-0.0247,"GSM2403537_8622007072_R06C01",0.587268086825245
"54",4,57825000,71375000,-0.5391,"GSM2403537_8622007072_R06C01",0.587268086825245
"55",4,71575000,190972138,-0.1996,"GSM2403537_8622007072_R06C01",0.587268086825245
"56",5,55000,180777630,-0.0585,"GSM2403537_8622007072_R06C01",0.587268086825245
"57",6,155000,170952534,-0.0933,"GSM2403537_8622007072_R06C01",0.587268086825245
"58",7,55000,159039332,-0.0575,"GSM2403537_8622007072_R06C01",0.587268086825245
"59",8,105000,146277011,-0.0775,"GSM2403537_8622007072_R06C01",0.587268086825245
"60",9,130000,141076716,0.0139,"GSM2403537_8622007072_R06C01",0.587268086825245
"61",1,635684,185525000,0.0161,"GSM2403538_8622007072_R02C02",0.524218099838395
"62",1,186025000,200500000,-0.2433,"GSM2403538_8622007072_R02C02",0.524218099838395
"63",1,200700000,249195311,-0.007,"GSM2403538_8622007072_R02C02",0.524218099838395
"64",10,105000,135462374,-0.0198,"GSM2403538_8622007072_R02C02",0.524218099838395
"65",11,130000,55350000,-0.0154,"GSM2403538_8622007072_R02C02",0.524218099838395
"66",11,55600000,56300000,-0.4925,"GSM2403538_8622007072_R02C02",0.524218099838395
"67",11,56675000,134873258,-0.0154,"GSM2403538_8622007072_R02C02",0.524218099838395
"68",12,172870,133770948,-0.033,"GSM2403538_8622007072_R02C02",0.524218099838395
"69",13,19110000,115079939,-0.0992,"GSM2403538_8622007072_R02C02",0.524218099838395
"70",14,19325000,107119770,-0.0069,"GSM2403538_8622007072_R02C02",0.524218099838395
"71",15,20225000,102410696,0.0078,"GSM2403538_8622007072_R02C02",0.524218099838395
"72",16,105000,90222377,0.0188,"GSM2403538_8622007072_R02C02",0.524218099838395
"73",17,25000,81122605,-0.0164,"GSM2403538_8622007072_R02C02",0.524218099838395
"74",18,80000,77983624,-0.0754,"GSM2403538_8622007072_R02C02",0.524218099838395
