"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0693,"GSM2403727_9221197132_R01C02"
"2",10,105000,135462374,0.0905,"GSM2403727_9221197132_R01C02"
"3",11,130000,134873258,0.0296,"GSM2403727_9221197132_R01C02"
"4",12,172870,133770948,0.0779,"GSM2403727_9221197132_R01C02"
"5",13,19110000,115079939,0.1667,"GSM2403727_9221197132_R01C02"
"6",14,19325000,107119770,0.0578,"GSM2403727_9221197132_R01C02"
"7",15,20225000,22429154,0.3725,"GSM2403727_9221197132_R01C02"
"8",15,22748097,102410696,0.0747,"GSM2403727_9221197132_R01C02"
"9",16,105000,90222377,0.1276,"GSM2403727_9221197132_R01C02"
"10",17,25000,81122605,0.0184,"GSM2403727_9221197132_R01C02"
"11",18,80000,77983624,-0.0093,"GSM2403727_9221197132_R01C02"
"12",19,180000,59084492,0.0869,"GSM2403727_9221197132_R01C02"
"13",2,130000,243026238,0.0782,"GSM2403727_9221197132_R01C02"
"14",20,155000,62907760,0.0652,"GSM2403727_9221197132_R01C02"
"15",21,10848948,48084948,0.101,"GSM2403727_9221197132_R01C02"
"16",22,16373925,51222283,0.0485,"GSM2403727_9221197132_R01C02"
"17",3,155000,197831215,0.0901,"GSM2403727_9221197132_R01C02"
"18",4,55000,190972138,0.0165,"GSM2403727_9221197132_R01C02"
"19",5,55000,180777630,0.0694,"GSM2403727_9221197132_R01C02"
"20",6,155000,170952534,0.096,"GSM2403727_9221197132_R01C02"
"21",7,55000,159039332,0.1919,"GSM2403727_9221197132_R01C02"
"22",8,105000,146277011,0.0774,"GSM2403727_9221197132_R01C02"
"23",9,130000,141076716,0.1242,"GSM2403727_9221197132_R01C02"
"24",1,635684,249195311,0.0096,"GSM2403851_9305651037_R01C02"
"25",10,105000,135462374,0.0245,"GSM2403851_9305651037_R01C02"
"26",11,130000,134873258,-0.0163,"GSM2403851_9305651037_R01C02"
"27",12,172870,133770948,0.0031,"GSM2403851_9305651037_R01C02"
"28",13,19110000,115079939,0.0113,"GSM2403851_9305651037_R01C02"
"29",14,19325000,107119770,0.0203,"GSM2403851_9305651037_R01C02"
"30",15,20225000,102410696,0.0304,"GSM2403851_9305651037_R01C02"
"31",16,105000,90222377,0.0355,"GSM2403851_9305651037_R01C02"
"32",17,25000,81122605,-0.0208,"GSM2403851_9305651037_R01C02"
"33",18,80000,77983624,-0.038,"GSM2403851_9305651037_R01C02"
"34",19,180000,59084492,0.014,"GSM2403851_9305651037_R01C02"
"35",2,130000,243026238,-0.0047,"GSM2403851_9305651037_R01C02"
"36",20,155000,62907760,-0.0434,"GSM2403851_9305651037_R01C02"
"37",21,10848948,48084948,0.0324,"GSM2403851_9305651037_R01C02"
"38",22,16373925,51222283,0.0348,"GSM2403851_9305651037_R01C02"
"39",3,155000,197831215,-0.03,"GSM2403851_9305651037_R01C02"
"40",4,55000,190972138,-0.0343,"GSM2403851_9305651037_R01C02"
"41",5,55000,180777630,-0.0076,"GSM2403851_9305651037_R01C02"
"42",6,155000,170952534,-0.009,"GSM2403851_9305651037_R01C02"
"43",7,55000,159039332,0.0252,"GSM2403851_9305651037_R01C02"
"44",8,105000,146277011,0.0026,"GSM2403851_9305651037_R01C02"
"45",9,130000,141076716,0.0091,"GSM2403851_9305651037_R01C02"
"46",1,635684,249195311,-0.0036,"GSM2403997_9305651095_R04C01"
"47",10,105000,135462374,0.0264,"GSM2403997_9305651095_R04C01"
"48",11,130000,134873258,0.0094,"GSM2403997_9305651095_R04C01"
"49",12,172870,133770948,-0.0013,"GSM2403997_9305651095_R04C01"
"50",13,19110000,115079939,0.0517,"GSM2403997_9305651095_R04C01"
"51",14,19325000,107119770,0.0046,"GSM2403997_9305651095_R04C01"
"52",15,20225000,102410696,0.0081,"GSM2403997_9305651095_R04C01"
"53",16,105000,90222377,0.0477,"GSM2403997_9305651095_R04C01"
"54",17,25000,81122605,-0.0497,"GSM2403997_9305651095_R04C01"
"55",18,80000,77983624,-0.0673,"GSM2403997_9305651095_R04C01"
"56",19,180000,59084492,0.0045,"GSM2403997_9305651095_R04C01"
"57",2,130000,243026238,-0.0058,"GSM2403997_9305651095_R04C01"
"58",20,155000,62907760,-0.0283,"GSM2403997_9305651095_R04C01"
"59",21,10848948,48084948,0.0331,"GSM2403997_9305651095_R04C01"
"60",22,16373925,51222283,4e-04,"GSM2403997_9305651095_R04C01"
"61",3,155000,197831215,-0.0061,"GSM2403997_9305651095_R04C01"
"62",4,55000,190972138,-0.0412,"GSM2403997_9305651095_R04C01"
"63",5,55000,180777630,-0.003,"GSM2403997_9305651095_R04C01"
"64",6,155000,170952534,-0.0055,"GSM2403997_9305651095_R04C01"
"65",7,55000,159039332,0.0517,"GSM2403997_9305651095_R04C01"
"66",8,105000,146277011,0.0095,"GSM2403997_9305651095_R04C01"
"67",9,130000,141076716,0.0161,"GSM2403997_9305651095_R04C01"
"68",1,635684,249195311,0.0305,"GSM2404038_9373550164_R02C02"
"69",10,105000,135462374,0.0352,"GSM2404038_9373550164_R02C02"
"70",11,130000,134873258,0.0229,"GSM2404038_9373550164_R02C02"
"71",12,172870,133770948,0.02,"GSM2404038_9373550164_R02C02"
"72",13,19110000,115079939,0.0412,"GSM2404038_9373550164_R02C02"
"73",14,19325000,107119770,0.0236,"GSM2404038_9373550164_R02C02"
"74",15,20225000,102410696,0.0321,"GSM2404038_9373550164_R02C02"
"75",16,105000,90222377,0.0483,"GSM2404038_9373550164_R02C02"
"76",17,25000,81122605,-0.0539,"GSM2404038_9373550164_R02C02"
"77",18,80000,77983624,-0.0809,"GSM2404038_9373550164_R02C02"
"78",19,180000,59084492,-0.0057,"GSM2404038_9373550164_R02C02"
"79",2,130000,243026238,0.0081,"GSM2404038_9373550164_R02C02"
"80",20,155000,62907760,-0.0096,"GSM2404038_9373550164_R02C02"
"81",21,10848948,48084948,0.0163,"GSM2404038_9373550164_R02C02"
"82",22,16373925,51222283,0.0187,"GSM2404038_9373550164_R02C02"
"83",3,155000,197831215,0.0069,"GSM2404038_9373550164_R02C02"
"84",4,55000,190972138,-0.0498,"GSM2404038_9373550164_R02C02"
"85",5,55000,180777630,0.0166,"GSM2404038_9373550164_R02C02"
"86",6,155000,170952534,0.0126,"GSM2404038_9373550164_R02C02"
"87",7,55000,159039332,0.0689,"GSM2404038_9373550164_R02C02"
"88",8,105000,146277011,0.0275,"GSM2404038_9373550164_R02C02"
"89",9,130000,141076716,0.028,"GSM2404038_9373550164_R02C02"
"90",1,635684,249195311,0.0256,"GSM2404039_9373550164_R03C02"
"91",10,105000,135462374,-0.0675,"GSM2404039_9373550164_R03C02"
"92",11,130000,134873258,0.002,"GSM2404039_9373550164_R03C02"
"93",12,172870,133770948,0.0188,"GSM2404039_9373550164_R03C02"
"94",13,19110000,115079939,0.0318,"GSM2404039_9373550164_R03C02"
"95",14,19325000,107119770,0.0238,"GSM2404039_9373550164_R03C02"
"96",15,20225000,102410696,-0.054,"GSM2404039_9373550164_R03C02"
"97",16,105000,90222377,0.0411,"GSM2404039_9373550164_R03C02"
"98",17,25000,81122605,-0.0166,"GSM2404039_9373550164_R03C02"
"99",18,80000,77983624,-0.0599,"GSM2404039_9373550164_R03C02"
"100",19,180000,59084492,0.0139,"GSM2404039_9373550164_R03C02"
"101",2,130000,243026238,-0.0939,"GSM2404039_9373550164_R03C02"
"102",20,155000,62907760,-0.0199,"GSM2404039_9373550164_R03C02"
"103",21,10848948,48084948,-0.0494,"GSM2404039_9373550164_R03C02"
"104",22,16373925,51222283,0.0372,"GSM2404039_9373550164_R03C02"
"105",3,155000,197831215,-0.017,"GSM2404039_9373550164_R03C02"
"106",4,55000,190972138,-0.0395,"GSM2404039_9373550164_R03C02"
"107",5,55000,180777630,0.0054,"GSM2404039_9373550164_R03C02"
"108",6,155000,170952534,0.02,"GSM2404039_9373550164_R03C02"
"109",7,55000,159039332,0.0501,"GSM2404039_9373550164_R03C02"
"110",8,105000,146277011,0.0194,"GSM2404039_9373550164_R03C02"
"111",9,130000,141076716,0.0134,"GSM2404039_9373550164_R03C02"
"112",1,635684,249195311,0.0055,"GSM2404437_9420867053_R03C02"
"113",10,105000,135462374,0.0197,"GSM2404437_9420867053_R03C02"
"114",11,130000,134873258,0.0076,"GSM2404437_9420867053_R03C02"
"115",12,172870,133770948,-9e-04,"GSM2404437_9420867053_R03C02"
"116",13,19110000,115079939,0.0184,"GSM2404437_9420867053_R03C02"
"117",14,19325000,107119770,0.0062,"GSM2404437_9420867053_R03C02"
"118",15,20225000,102410696,0.013,"GSM2404437_9420867053_R03C02"
"119",16,105000,31825000,0.0232,"GSM2404437_9420867053_R03C02"
"120",16,32075000,34600000,0.2447,"GSM2404437_9420867053_R03C02"
"121",16,35017901,90222377,0.0364,"GSM2404437_9420867053_R03C02"
"122",17,25000,81122605,-0.0435,"GSM2404437_9420867053_R03C02"
"123",18,80000,77983624,-0.0775,"GSM2404437_9420867053_R03C02"
"124",19,180000,59084492,-0.0044,"GSM2404437_9420867053_R03C02"
"125",2,130000,243026238,-0.0046,"GSM2404437_9420867053_R03C02"
"126",20,155000,62907760,-0.0148,"GSM2404437_9420867053_R03C02"
"127",21,10848948,48084948,0.0114,"GSM2404437_9420867053_R03C02"
"128",22,16373925,51222283,0.0086,"GSM2404437_9420867053_R03C02"
"129",3,155000,197831215,-0.0074,"GSM2404437_9420867053_R03C02"
"130",4,55000,190972138,-0.0618,"GSM2404437_9420867053_R03C02"
"131",5,55000,180777630,-2e-04,"GSM2404437_9420867053_R03C02"
"132",6,155000,170952534,-0.0048,"GSM2404437_9420867053_R03C02"
"133",7,55000,159039332,0.0453,"GSM2404437_9420867053_R03C02"
"134",8,105000,146277011,0.0124,"GSM2404437_9420867053_R03C02"
"135",9,130000,141076716,-0.0168,"GSM2404437_9420867053_R03C02"
"136",1,635684,249195311,0.007,"GSM2404441_9420867097_R02C01"
"137",10,105000,135462374,0.0536,"GSM2404441_9420867097_R02C01"
"138",11,130000,134873258,0.0318,"GSM2404441_9420867097_R02C01"
"139",12,172870,133770948,0.0314,"GSM2404441_9420867097_R02C01"
"140",13,19110000,115079939,0.1447,"GSM2404441_9420867097_R02C01"
"141",14,19325000,20450000,0.4606,"GSM2404441_9420867097_R02C01"
"142",14,20800000,107119770,-0.0018,"GSM2404441_9420867097_R02C01"
"143",15,20225000,102410696,0.0152,"GSM2404441_9420867097_R02C01"
"144",16,105000,90222377,0.0673,"GSM2404441_9420867097_R02C01"
"145",17,25000,81122605,-0.0766,"GSM2404441_9420867097_R02C01"
"146",18,80000,77983624,-0.0966,"GSM2404441_9420867097_R02C01"
"147",19,180000,59084492,-0.0078,"GSM2404441_9420867097_R02C01"
"148",2,130000,243026238,0.0305,"GSM2404441_9420867097_R02C01"
"149",20,155000,62907760,-0.0167,"GSM2404441_9420867097_R02C01"
"150",21,10848948,48084948,0.0429,"GSM2404441_9420867097_R02C01"
"151",22,16373925,51222283,-0.0713,"GSM2404441_9420867097_R02C01"
"152",3,155000,197831215,0.0394,"GSM2404441_9420867097_R02C01"
"153",4,55000,190972138,-0.0342,"GSM2404441_9420867097_R02C01"
"154",5,55000,180777630,0.0381,"GSM2404441_9420867097_R02C01"
"155",6,155000,170952534,0.0414,"GSM2404441_9420867097_R02C01"
"156",7,55000,159039332,0.1151,"GSM2404441_9420867097_R02C01"
"157",8,105000,146277011,0.0418,"GSM2404441_9420867097_R02C01"
"158",9,130000,141076716,0.0211,"GSM2404441_9420867097_R02C01"
"159",1,635684,249195311,0.0205,"GSM2404442_9420867097_R03C01"
"160",10,105000,135462374,0.0142,"GSM2404442_9420867097_R03C01"
"161",11,130000,134873258,-9e-04,"GSM2404442_9420867097_R03C01"
"162",12,172870,133770948,0.0136,"GSM2404442_9420867097_R03C01"
"163",13,19110000,115079939,0.0251,"GSM2404442_9420867097_R03C01"
"164",14,19325000,107119770,0.0223,"GSM2404442_9420867097_R03C01"
"165",15,20225000,102410696,0.0162,"GSM2404442_9420867097_R03C01"
"166",16,105000,90222377,0.0272,"GSM2404442_9420867097_R03C01"
"167",17,25000,81122605,-0.039,"GSM2404442_9420867097_R03C01"
"168",18,80000,77983624,-0.0592,"GSM2404442_9420867097_R03C01"
"169",19,180000,59084492,-0.0076,"GSM2404442_9420867097_R03C01"
"170",2,130000,243026238,-0.0039,"GSM2404442_9420867097_R03C01"
"171",20,155000,62907760,-0.0155,"GSM2404442_9420867097_R03C01"
"172",21,10848948,48084948,0.0011,"GSM2404442_9420867097_R03C01"
"173",22,16373925,51222283,0.015,"GSM2404442_9420867097_R03C01"
"174",3,155000,197831215,-0.0029,"GSM2404442_9420867097_R03C01"
"175",4,55000,190972138,-0.0581,"GSM2404442_9420867097_R03C01"
"176",5,55000,180777630,0.0056,"GSM2404442_9420867097_R03C01"
"177",6,155000,170952534,-0.0078,"GSM2404442_9420867097_R03C01"
