"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,-0.1366,"GSM2404037_9373550164_R06C01"
"2",10,105000,135462374,0.0665,"GSM2404037_9373550164_R06C01"
"3",11,130000,134873258,0.0069,"GSM2404037_9373550164_R06C01"
"4",12,172870,133770948,0.0264,"GSM2404037_9373550164_R06C01"
"5",13,19110000,115079939,0.0286,"GSM2404037_9373550164_R06C01"
"6",14,19325000,107119770,0.0535,"GSM2404037_9373550164_R06C01"
"7",15,20225000,102410696,0.0844,"GSM2404037_9373550164_R06C01"
"8",16,105000,90222377,0.0801,"GSM2404037_9373550164_R06C01"
"9",17,25000,81122605,-0.0041,"GSM2404037_9373550164_R06C01"
"10",18,80000,77983624,-0.031,"GSM2404037_9373550164_R06C01"
"11",19,180000,59084492,-0.0675,"GSM2404037_9373550164_R06C01"
"12",2,130000,243026238,0.0046,"GSM2404037_9373550164_R06C01"
"13",20,155000,62907760,-0.0492,"GSM2404037_9373550164_R06C01"
"14",21,10848948,48084948,0.0919,"GSM2404037_9373550164_R06C01"
"15",22,16373925,51222283,0.0686,"GSM2404037_9373550164_R06C01"
"16",3,155000,197831215,-0.0123,"GSM2404037_9373550164_R06C01"
"17",4,55000,190972138,-0.0094,"GSM2404037_9373550164_R06C01"
"18",5,55000,180777630,0.0214,"GSM2404037_9373550164_R06C01"
"19",6,155000,170952534,0.0175,"GSM2404037_9373550164_R06C01"
"20",7,55000,159039332,0.0807,"GSM2404037_9373550164_R06C01"
"21",8,105000,8175000,0.3264,"GSM2404037_9373550164_R06C01"
"22",8,8225000,146277011,0.0052,"GSM2404037_9373550164_R06C01"
"23",9,130000,141076716,0.0278,"GSM2404037_9373550164_R06C01"
"24",1,635684,249195311,-0.1108,"GSM2405004_9969477022_R03C02"
"25",10,105000,135462374,0.0548,"GSM2405004_9969477022_R03C02"
"26",11,130000,134873258,0.0522,"GSM2405004_9969477022_R03C02"
"27",12,172870,133770948,0.0567,"GSM2405004_9969477022_R03C02"
"28",13,19110000,115079939,0.1001,"GSM2405004_9969477022_R03C02"
"29",14,19325000,107119770,0.0603,"GSM2405004_9969477022_R03C02"
"30",15,20225000,102410696,0.0468,"GSM2405004_9969477022_R03C02"
"31",16,105000,90222377,0.0536,"GSM2405004_9969477022_R03C02"
"32",17,25000,81122605,-0.0543,"GSM2405004_9969477022_R03C02"
"33",18,80000,77983624,-0.0276,"GSM2405004_9969477022_R03C02"
"34",19,180000,59084492,-0.0115,"GSM2405004_9969477022_R03C02"
"35",2,130000,243026238,0.0156,"GSM2405004_9969477022_R03C02"
"36",20,155000,62907760,-0.0383,"GSM2405004_9969477022_R03C02"
"37",21,10848948,48084948,0.071,"GSM2405004_9969477022_R03C02"
"38",22,16373925,51222283,-0.0113,"GSM2405004_9969477022_R03C02"
"39",3,155000,197831215,0.0374,"GSM2405004_9969477022_R03C02"
"40",4,55000,190972138,-3e-04,"GSM2405004_9969477022_R03C02"
"41",5,55000,180777630,0.0407,"GSM2405004_9969477022_R03C02"
"42",6,155000,170952534,0.1157,"GSM2405004_9969477022_R03C02"
"43",7,55000,159039332,0.1872,"GSM2405004_9969477022_R03C02"
"44",8,105000,146277011,0.08,"GSM2405004_9969477022_R03C02"
"45",9,130000,141076716,0.0223,"GSM2405004_9969477022_R03C02"
"46",1,635684,121193348,-0.1002,"GSM2405501_3999543047_R01C01"
"47",1,121392717,249195311,0.0951,"GSM2405501_3999543047_R01C01"
"48",10,105000,135462374,0.0053,"GSM2405501_3999543047_R01C01"
"49",11,130000,134873258,-0.0317,"GSM2405501_3999543047_R01C01"
"50",12,172870,133770948,-0.0174,"GSM2405501_3999543047_R01C01"
"51",13,19110000,115079939,-0.0555,"GSM2405501_3999543047_R01C01"
"52",14,19325000,20025000,0.3471,"GSM2405501_3999543047_R01C01"
"53",14,20450000,107119770,0.0176,"GSM2405501_3999543047_R01C01"
"54",15,20225000,102410696,0.025,"GSM2405501_3999543047_R01C01"
"55",16,105000,90222377,0.0215,"GSM2405501_3999543047_R01C01"
"56",17,25000,81122605,-0.0081,"GSM2405501_3999543047_R01C01"
"57",18,80000,77983624,-0.0404,"GSM2405501_3999543047_R01C01"
"58",19,180000,59084492,-0.0024,"GSM2405501_3999543047_R01C01"
"59",2,130000,209225000,-0.0381,"GSM2405501_3999543047_R01C01"
"60",2,209775000,215450000,-0.2238,"GSM2405501_3999543047_R01C01"
"61",2,215900000,243026238,0.0151,"GSM2405501_3999543047_R01C01"
"62",20,155000,62907760,-0.0365,"GSM2405501_3999543047_R01C01"
"63",21,10848948,48084948,0.1697,"GSM2405501_3999543047_R01C01"
"64",22,16373925,51222283,0.0518,"GSM2405501_3999543047_R01C01"
"65",3,155000,197831215,-0.0496,"GSM2405501_3999543047_R01C01"
"66",4,55000,190972138,-0.0614,"GSM2405501_3999543047_R01C01"
"67",5,55000,180777630,-0.032,"GSM2405501_3999543047_R01C01"
"68",6,155000,170952534,-0.0404,"GSM2405501_3999543047_R01C01"
"69",7,55000,159039332,0.1106,"GSM2405501_3999543047_R01C01"
"70",8,105000,146277011,0.0993,"GSM2405501_3999543047_R01C01"
"71",9,130000,141076716,0.0176,"GSM2405501_3999543047_R01C01"
"72",1,635684,775000,0.1015,"GSM2405539_3998909070_R04C01"
"73",1,825000,120548578,-0.3387,"GSM2405539_3998909070_R04C01"
"74",1,120841926,249195311,0.0498,"GSM2405539_3998909070_R04C01"
"75",10,105000,135462374,0.0553,"GSM2405539_3998909070_R04C01"
"76",11,130000,134873258,0.0415,"GSM2405539_3998909070_R04C01"
"77",12,172870,133770948,0.0369,"GSM2405539_3998909070_R04C01"
"78",13,19110000,115079939,0.0653,"GSM2405539_3998909070_R04C01"
"79",14,19325000,107119770,0.0412,"GSM2405539_3998909070_R04C01"
"80",15,20225000,102410696,0.0553,"GSM2405539_3998909070_R04C01"
"81",16,105000,90222377,0.0637,"GSM2405539_3998909070_R04C01"
"82",17,25000,81122605,-0.0213,"GSM2405539_3998909070_R04C01"
"83",18,80000,77983624,-0.0442,"GSM2405539_3998909070_R04C01"
"84",19,180000,28015891,0.0257,"GSM2405539_3998909070_R04C01"
"85",19,28775000,59084492,-0.2945,"GSM2405539_3998909070_R04C01"
"86",2,130000,243026238,0.0242,"GSM2405539_3998909070_R04C01"
"87",20,155000,62907760,-0.006,"GSM2405539_3998909070_R04C01"
"88",21,10848948,48084948,0.0544,"GSM2405539_3998909070_R04C01"
"89",22,16373925,51222283,0.0393,"GSM2405539_3998909070_R04C01"
"90",3,155000,197831215,0.0252,"GSM2405539_3998909070_R04C01"
