"chromosome","start","end","segmean","sample"
"1",1,635684,55625000,0.3163,"GSM2402870_5684819026_R01C02"
"2",1,55850000,58500000,0.5635,"GSM2402870_5684819026_R01C02"
"3",1,58850000,249195311,0.3207,"GSM2402870_5684819026_R01C02"
"4",10,105000,4625000,-0.6704,"GSM2402870_5684819026_R01C02"
"5",10,4875000,105625000,-0.1702,"GSM2402870_5684819026_R01C02"
"6",10,105675000,130525000,-0.7187,"GSM2402870_5684819026_R01C02"
"7",10,130675000,135462374,-0.1236,"GSM2402870_5684819026_R01C02"
"8",11,130000,9800000,-0.1609,"GSM2402870_5684819026_R01C02"
"9",11,10100000,50516927,0.1002,"GSM2402870_5684819026_R01C02"
"10",11,54922103,60675000,0.4222,"GSM2402870_5684819026_R01C02"
"11",11,60725000,67275000,0.0887,"GSM2402870_5684819026_R01C02"
"12",11,67350000,112025000,-0.1987,"GSM2402870_5684819026_R01C02"
"13",11,112075000,134873258,0.1134,"GSM2402870_5684819026_R01C02"
"14",12,172870,34475000,0.1097,"GSM2402870_5684819026_R01C02"
"15",12,34525000,133770948,-0.16,"GSM2402870_5684819026_R01C02"
"16",13,19110000,115079939,0.3867,"GSM2402870_5684819026_R01C02"
"17",14,19325000,107119770,-0.1247,"GSM2402870_5684819026_R01C02"
"18",15,20225000,98525000,0.1464,"GSM2402870_5684819026_R01C02"
"19",15,98750000,99675000,1.5433,"GSM2402870_5684819026_R01C02"
"20",15,99825000,102410696,0.1259,"GSM2402870_5684819026_R01C02"
"21",16,105000,90222377,0.104,"GSM2402870_5684819026_R01C02"
"22",17,25000,81122605,-0.1775,"GSM2402870_5684819026_R01C02"
"23",18,80000,77225000,-0.2431,"GSM2402870_5684819026_R01C02"
"24",18,77275000,77983624,-0.6023,"GSM2402870_5684819026_R01C02"
"25",19,180000,59084492,0.064,"GSM2402870_5684819026_R01C02"
"26",2,130000,8750000,0.1999,"GSM2402870_5684819026_R01C02"
"27",2,8825000,10275000,0.9881,"GSM2402870_5684819026_R01C02"
"28",2,10350000,20125000,0.4272,"GSM2402870_5684819026_R01C02"
"29",2,20175000,29325000,0.013,"GSM2402870_5684819026_R01C02"
"30",2,29725000,243026238,0.3409,"GSM2402870_5684819026_R01C02"
"31",20,155000,62907760,0.166,"GSM2402870_5684819026_R01C02"
"32",21,10848948,48084948,0.1013,"GSM2402870_5684819026_R01C02"
"33",22,16373925,51222283,0.1131,"GSM2402870_5684819026_R01C02"
"34",3,155000,197831215,-0.1921,"GSM2402870_5684819026_R01C02"
"35",4,55000,190972138,-0.205,"GSM2402870_5684819026_R01C02"
"36",5,55000,29900000,0.0845,"GSM2402870_5684819026_R01C02"
"37",5,31025000,37025000,-0.2059,"GSM2402870_5684819026_R01C02"
"38",5,37275000,62500000,0.2139,"GSM2402870_5684819026_R01C02"
"39",5,63275000,81575000,-0.2569,"GSM2402870_5684819026_R01C02"
"40",5,81975000,111075000,-0.8109,"GSM2402870_5684819026_R01C02"
"41",5,111300000,180777630,-0.182,"GSM2402870_5684819026_R01C02"
"42",6,155000,170952534,-0.2452,"GSM2402870_5684819026_R01C02"
"43",7,55000,54625000,0.3874,"GSM2402870_5684819026_R01C02"
"44",7,54725000,55975000,1.2404,"GSM2402870_5684819026_R01C02"
"45",7,56050000,132650000,0.2685,"GSM2402870_5684819026_R01C02"
"46",7,132950000,134500000,1.817,"GSM2402870_5684819026_R01C02"
"47",7,134575000,159039332,0.3538,"GSM2402870_5684819026_R01C02"
"48",8,105000,146277011,-0.2029,"GSM2402870_5684819026_R01C02"
"49",9,130000,141076716,0.2504,"GSM2402870_5684819026_R01C02"
"50",1,635684,249195311,0.0428,"GSM2403896_9297949146_R06C02"
"51",10,105000,135462374,0.0134,"GSM2403896_9297949146_R06C02"
"52",11,130000,67275000,0.0066,"GSM2403896_9297949146_R06C02"
"53",11,67350000,70375000,0.3359,"GSM2403896_9297949146_R06C02"
"54",11,70425000,134873258,-0.1879,"GSM2403896_9297949146_R06C02"
"55",12,172870,133770948,0.005,"GSM2403896_9297949146_R06C02"
"56",13,19110000,109025000,-0.4806,"GSM2403896_9297949146_R06C02"
"57",13,109450000,111975000,0.3464,"GSM2403896_9297949146_R06C02"
