"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,-0.0048,"GSM2402884_6969568005_R02C01"
"2",10,105000,135462374,-0.0179,"GSM2402884_6969568005_R02C01"
"3",11,130000,134873258,0.0863,"GSM2402884_6969568005_R02C01"
"4",12,172870,133770948,0.081,"GSM2402884_6969568005_R02C01"
"5",13,19110000,115079939,-0.0459,"GSM2402884_6969568005_R02C01"
"6",14,19325000,107119770,-0.0246,"GSM2402884_6969568005_R02C01"
"7",15,20225000,102410696,-0.0154,"GSM2402884_6969568005_R02C01"
"8",16,105000,90222377,0.0056,"GSM2402884_6969568005_R02C01"
"9",17,25000,81122605,-0.0845,"GSM2402884_6969568005_R02C01"
"10",18,80000,77983624,-0.0604,"GSM2402884_6969568005_R02C01"
"11",19,180000,59084492,-0.0342,"GSM2402884_6969568005_R02C01"
"12",2,130000,243026238,-0.0565,"GSM2402884_6969568005_R02C01"
"13",20,155000,62907760,0.0369,"GSM2402884_6969568005_R02C01"
"14",21,10848948,48084948,-0.022,"GSM2402884_6969568005_R02C01"
"15",22,16373925,51222283,-0.0103,"GSM2402884_6969568005_R02C01"
"16",3,155000,197831215,-0.0307,"GSM2402884_6969568005_R02C01"
"17",4,55000,190972138,-0.0955,"GSM2402884_6969568005_R02C01"
"18",5,55000,180777630,0.0698,"GSM2402884_6969568005_R02C01"
"19",6,155000,170952534,0.1369,"GSM2402884_6969568005_R02C01"
"20",7,55000,159039332,0.18,"GSM2402884_6969568005_R02C01"
"21",8,105000,146277011,0.0602,"GSM2402884_6969568005_R02C01"
"22",9,130000,141076716,-0.0107,"GSM2402884_6969568005_R02C01"
"23",1,635684,249195311,0.0593,"GSM2402885_6929689168_R02C02"
"24",10,105000,135462374,0.0477,"GSM2402885_6929689168_R02C02"
"25",11,130000,134873258,0.0767,"GSM2402885_6929689168_R02C02"
"26",12,172870,133770948,0.0475,"GSM2402885_6929689168_R02C02"
"27",13,19110000,115079939,0.0819,"GSM2402885_6929689168_R02C02"
"28",14,19325000,107119770,0.027,"GSM2402885_6929689168_R02C02"
"29",15,20225000,102410696,0.0291,"GSM2402885_6929689168_R02C02"
"30",16,105000,90222377,0.0758,"GSM2402885_6929689168_R02C02"
"31",17,25000,81122605,-0.0624,"GSM2402885_6929689168_R02C02"
"32",18,80000,77983624,-0.1354,"GSM2402885_6929689168_R02C02"
"33",19,180000,59084492,0.007,"GSM2402885_6929689168_R02C02"
"34",2,130000,243026238,0.0166,"GSM2402885_6929689168_R02C02"
"35",20,155000,62907760,0.0202,"GSM2402885_6929689168_R02C02"
"36",21,10848948,48084948,0.0322,"GSM2402885_6929689168_R02C02"
"37",22,16373925,51222283,-8e-04,"GSM2402885_6929689168_R02C02"
"38",3,155000,197831215,0.0612,"GSM2402885_6929689168_R02C02"
"39",4,55000,190972138,-0.0463,"GSM2402885_6929689168_R02C02"
"40",5,55000,180777630,0.042,"GSM2402885_6929689168_R02C02"
"41",6,155000,170952534,0.0359,"GSM2402885_6929689168_R02C02"
"42",7,55000,159039332,0.0993,"GSM2402885_6929689168_R02C02"
"43",8,105000,146277011,0.0196,"GSM2402885_6929689168_R02C02"
"44",9,130000,141076716,0.0645,"GSM2402885_6929689168_R02C02"
"45",1,635684,249195311,0.0472,"GSM2402887_6969568005_R04C01"
"46",10,105000,135462374,0.0277,"GSM2402887_6969568005_R04C01"
"47",11,130000,134873258,0.0503,"GSM2402887_6969568005_R04C01"
"48",12,172870,133770948,0.0342,"GSM2402887_6969568005_R04C01"
"49",13,19110000,115079939,0.0263,"GSM2402887_6969568005_R04C01"
"50",14,19325000,107119770,0.0209,"GSM2402887_6969568005_R04C01"
"51",15,20225000,102410696,0.0272,"GSM2402887_6969568005_R04C01"
"52",16,105000,90222377,0.0605,"GSM2402887_6969568005_R04C01"
"53",17,25000,81122605,-0.0419,"GSM2402887_6969568005_R04C01"
"54",18,80000,77983624,-0.1244,"GSM2402887_6969568005_R04C01"
"55",19,180000,59084492,0.0108,"GSM2402887_6969568005_R04C01"
"56",2,130000,243026238,0.0012,"GSM2402887_6969568005_R04C01"
"57",20,155000,62907760,0.0031,"GSM2402887_6969568005_R04C01"
"58",21,10848948,48084948,0.0255,"GSM2402887_6969568005_R04C01"
"59",22,16373925,51222283,0.0271,"GSM2402887_6969568005_R04C01"
"60",3,155000,197831215,0.0303,"GSM2402887_6969568005_R04C01"
"61",4,55000,190972138,-0.0532,"GSM2402887_6969568005_R04C01"
"62",5,55000,180777630,0.0203,"GSM2402887_6969568005_R04C01"
"63",6,155000,170952534,0.0055,"GSM2402887_6969568005_R04C01"
"64",7,55000,159039332,0.0613,"GSM2402887_6969568005_R04C01"
"65",8,105000,146277011,0.0078,"GSM2402887_6969568005_R04C01"
"66",9,130000,141076716,0.0497,"GSM2402887_6969568005_R04C01"
"67",1,635684,249195311,0.0464,"GSM2402888_6969568005_R05C01"
"68",10,105000,135462374,0.0293,"GSM2402888_6969568005_R05C01"
"69",11,130000,134873258,0.0556,"GSM2402888_6969568005_R05C01"
"70",12,172870,133770948,0.0319,"GSM2402888_6969568005_R05C01"
"71",13,19110000,115079939,0.0335,"GSM2402888_6969568005_R05C01"
"72",14,19325000,107119770,0.0197,"GSM2402888_6969568005_R05C01"
"73",15,20225000,102410696,0.0336,"GSM2402888_6969568005_R05C01"
"74",16,105000,90222377,0.057,"GSM2402888_6969568005_R05C01"
"75",17,25000,81122605,-0.0461,"GSM2402888_6969568005_R05C01"
"76",18,80000,77983624,-0.1171,"GSM2402888_6969568005_R05C01"
"77",19,180000,59084492,0.012,"GSM2402888_6969568005_R05C01"
"78",2,130000,243026238,-0.0025,"GSM2402888_6969568005_R05C01"
"79",20,155000,62907760,0.005,"GSM2402888_6969568005_R05C01"
"80",21,10848948,48084948,0.0202,"GSM2402888_6969568005_R05C01"
"81",22,16373925,51222283,0.0152,"GSM2402888_6969568005_R05C01"
"82",3,155000,197831215,0.0327,"GSM2402888_6969568005_R05C01"
"83",4,55000,190972138,-0.051,"GSM2402888_6969568005_R05C01"
"84",5,55000,180777630,0.0267,"GSM2402888_6969568005_R05C01"
"85",6,155000,170952534,0.0087,"GSM2402888_6969568005_R05C01"
"86",7,55000,159039332,0.0637,"GSM2402888_6969568005_R05C01"
"87",8,105000,146277011,0.011,"GSM2402888_6969568005_R05C01"
"88",9,130000,141076716,0.048,"GSM2402888_6969568005_R05C01"
"89",1,635684,249195311,0.061,"GSM2402889_6969568005_R06C01"
"90",10,105000,135462374,0.0432,"GSM2402889_6969568005_R06C01"
"91",11,130000,134873258,0.0631,"GSM2402889_6969568005_R06C01"
"92",12,172870,133770948,0.0495,"GSM2402889_6969568005_R06C01"
"93",13,19110000,115079939,0.0427,"GSM2402889_6969568005_R06C01"
"94",14,19325000,107119770,0.0368,"GSM2402889_6969568005_R06C01"
"95",15,20225000,102410696,0.0427,"GSM2402889_6969568005_R06C01"
"96",16,105000,90222377,0.0681,"GSM2402889_6969568005_R06C01"
"97",17,25000,81122605,-0.0517,"GSM2402889_6969568005_R06C01"
"98",18,80000,77983624,-0.1219,"GSM2402889_6969568005_R06C01"
"99",19,180000,59084492,0.0245,"GSM2402889_6969568005_R06C01"
"100",2,130000,243026238,0.0071,"GSM2402889_6969568005_R06C01"
"101",20,155000,62907760,0.011,"GSM2402889_6969568005_R06C01"
"102",21,10848948,48084948,0.0319,"GSM2402889_6969568005_R06C01"
"103",22,16373925,51222283,0.0263,"GSM2402889_6969568005_R06C01"
"104",3,155000,197831215,0.0473,"GSM2402889_6969568005_R06C01"
"105",4,55000,190972138,-0.0477,"GSM2402889_6969568005_R06C01"
"106",5,55000,180777630,0.0364,"GSM2402889_6969568005_R06C01"
"107",6,155000,170952534,0.0125,"GSM2402889_6969568005_R06C01"
"108",7,55000,159039332,0.0765,"GSM2402889_6969568005_R06C01"
"109",8,105000,146277011,0.0089,"GSM2402889_6969568005_R06C01"
"110",9,130000,141076716,0.0589,"GSM2402889_6969568005_R06C01"
"111",1,635684,249195311,0.0595,"GSM2402890_6929689168_R03C02"
"112",10,105000,135462374,0.0385,"GSM2402890_6929689168_R03C02"
"113",11,130000,134873258,0.0697,"GSM2402890_6929689168_R03C02"
"114",12,172870,133770948,0.0454,"GSM2402890_6929689168_R03C02"
"115",13,19110000,115079939,0.0613,"GSM2402890_6929689168_R03C02"
"116",14,19325000,107119770,0.0326,"GSM2402890_6929689168_R03C02"
"117",15,20225000,102410696,0.0367,"GSM2402890_6929689168_R03C02"
"118",16,105000,90222377,0.0711,"GSM2402890_6929689168_R03C02"
"119",17,25000,81122605,-0.0562,"GSM2402890_6929689168_R03C02"
"120",18,80000,77983624,-0.135,"GSM2402890_6929689168_R03C02"
"121",19,180000,59084492,0.01,"GSM2402890_6929689168_R03C02"
"122",2,130000,243026238,0.0132,"GSM2402890_6929689168_R03C02"
"123",20,155000,62907760,0.0119,"GSM2402890_6929689168_R03C02"
"124",21,10848948,48084948,0.0324,"GSM2402890_6929689168_R03C02"
"125",22,16373925,51222283,0.0187,"GSM2402890_6929689168_R03C02"
"126",3,155000,197831215,0.0546,"GSM2402890_6929689168_R03C02"
"127",4,55000,190972138,-0.0469,"GSM2402890_6929689168_R03C02"
"128",5,55000,180777630,0.0403,"GSM2402890_6929689168_R03C02"
"129",6,155000,170952534,0.0308,"GSM2402890_6929689168_R03C02"
"130",7,55000,159039332,0.0875,"GSM2402890_6929689168_R03C02"
"131",8,105000,146277011,0.0157,"GSM2402890_6929689168_R03C02"
"132",9,130000,141076716,0.0593,"GSM2402890_6929689168_R03C02"
"133",1,635684,249195311,0.0318,"GSM2402891_6969568005_R01C02"
"134",10,105000,135462374,0.0233,"GSM2402891_6969568005_R01C02"
"135",11,130000,134873258,0.0391,"GSM2402891_6969568005_R01C02"
"136",12,172870,133770948,0.0244,"GSM2402891_6969568005_R01C02"
