"chromosome","start","end","segmean","sample"
"1",1,635684,121193348,-0.0079,"GSM2402978_6929718027_R05C02"
"2",1,121392717,249195311,0.2172,"GSM2402978_6929718027_R05C02"
"3",10,105000,135462374,-0.021,"GSM2402978_6929718027_R05C02"
"4",11,130000,96193792,0.0274,"GSM2402978_6929718027_R05C02"
"5",11,97668792,134873258,-0.2421,"GSM2402978_6929718027_R05C02"
"6",12,172870,133770948,-0.0068,"GSM2402978_6929718027_R05C02"
"7",13,19110000,115079939,-0.0472,"GSM2402978_6929718027_R05C02"
"8",14,19325000,107119770,0.0439,"GSM2402978_6929718027_R05C02"
"9",15,20225000,102410696,0.0332,"GSM2402978_6929718027_R05C02"
"10",16,105000,33986575,0.0024,"GSM2402978_6929718027_R05C02"
"11",16,34286575,90222377,-0.3202,"GSM2402978_6929718027_R05C02"
"12",17,25000,81122605,-0.0494,"GSM2402978_6929718027_R05C02"
"13",18,80000,77983624,-0.1224,"GSM2402978_6929718027_R05C02"
"14",19,180000,59084492,0.1034,"GSM2402978_6929718027_R05C02"
"15",2,130000,243026238,-0.0283,"GSM2402978_6929718027_R05C02"
"16",20,155000,62907760,0.0455,"GSM2402978_6929718027_R05C02"
"17",21,10848948,48084948,-0.0274,"GSM2402978_6929718027_R05C02"
"18",22,16373925,51222283,0.0052,"GSM2402978_6929718027_R05C02"
"19",3,155000,160825000,-0.0216,"GSM2402978_6929718027_R05C02"
"20",3,160950000,197831215,0.2108,"GSM2402978_6929718027_R05C02"
"21",4,55000,190972138,-0.0812,"GSM2402978_6929718027_R05C02"
"22",5,55000,180777630,-0.0074,"GSM2402978_6929718027_R05C02"
"23",6,155000,58540083,0.3339,"GSM2402978_6929718027_R05C02"
"24",6,62589295,170952534,-0.0243,"GSM2402978_6929718027_R05C02"
"25",7,55000,159039332,0.0687,"GSM2402978_6929718027_R05C02"
"26",8,105000,146277011,-0.0717,"GSM2402978_6929718027_R05C02"
"27",9,130000,141076716,0.0102,"GSM2402978_6929718027_R05C02"
"28",1,635684,249195311,0.0458,"GSM2404551_9553932053_R01C02"
"29",10,105000,135462374,-0.016,"GSM2404551_9553932053_R01C02"
"30",11,130000,41375000,-0.3323,"GSM2404551_9553932053_R01C02"
"31",11,42500000,102725000,0.0184,"GSM2404551_9553932053_R01C02"
"32",11,102850000,134873258,-0.3352,"GSM2404551_9553932053_R01C02"
"33",12,172870,29925000,-0.3534,"GSM2404551_9553932053_R01C02"
"34",12,30425000,34525000,0.235,"GSM2404551_9553932053_R01C02"
"35",12,34703347,41075000,0.0152,"GSM2404551_9553932053_R01C02"
"36",12,41350000,47575000,-0.4348,"GSM2404551_9553932053_R01C02"
"37",12,47875000,129325000,0.0307,"GSM2404551_9553932053_R01C02"
"38",12,129400000,133770948,0.3624,"GSM2404551_9553932053_R01C02"
"39",13,19110000,44525000,-0.0013,"GSM2404551_9553932053_R01C02"
"40",13,44650000,54325000,-0.4782,"GSM2404551_9553932053_R01C02"
"41",13,55125000,115079939,0.0681,"GSM2404551_9553932053_R01C02"
"42",14,19325000,107119770,0.0144,"GSM2404551_9553932053_R01C02"
"43",15,20225000,102410696,3e-04,"GSM2404551_9553932053_R01C02"
"44",16,105000,90222377,-0.217,"GSM2404551_9553932053_R01C02"
"45",17,25000,81122605,0.0456,"GSM2404551_9553932053_R01C02"
"46",18,80000,77983624,0.1108,"GSM2404551_9553932053_R01C02"
"47",19,180000,59084492,0.0664,"GSM2404551_9553932053_R01C02"
"48",2,130000,243026238,-0.0022,"GSM2404551_9553932053_R01C02"
"49",20,155000,62907760,0.026,"GSM2404551_9553932053_R01C02"
"50",21,10848948,48084948,0.0711,"GSM2404551_9553932053_R01C02"
"51",22,16373925,51222283,0.0446,"GSM2404551_9553932053_R01C02"
"52",3,155000,197831215,-0.0184,"GSM2404551_9553932053_R01C02"
"53",4,55000,190972138,-0.021,"GSM2404551_9553932053_R01C02"
"54",5,55000,2650000,0.32,"GSM2404551_9553932053_R01C02"
"55",5,2725000,180777630,-0.0391,"GSM2404551_9553932053_R01C02"
"56",6,155000,170952534,-0.0031,"GSM2404551_9553932053_R01C02"
"57",7,55000,159039332,0.0399,"GSM2404551_9553932053_R01C02"
"58",8,105000,146277011,-0.0226,"GSM2404551_9553932053_R01C02"
"59",9,130000,141076716,0.0217,"GSM2404551_9553932053_R01C02"
"60",1,635684,2875000,-0.0243,"GSM2404589_9611519030_R06C01"
"61",1,2925000,35850000,-0.3217,"GSM2404589_9611519030_R06C01"
"62",1,36025000,249195311,0.1114,"GSM2404589_9611519030_R06C01"
"63",10,105000,135462374,0.0761,"GSM2404589_9611519030_R06C01"
"64",11,130000,88175000,0.0921,"GSM2404589_9611519030_R06C01"
"65",11,88725000,134873258,-0.3167,"GSM2404589_9611519030_R06C01"
"66",12,172870,21200000,-0.2259,"GSM2404589_9611519030_R06C01"
"67",12,21600000,133770948,0.2691,"GSM2404589_9611519030_R06C01"
"68",13,19110000,115079939,0.1279,"GSM2404589_9611519030_R06C01"
"69",14,19325000,107119770,0.0758,"GSM2404589_9611519030_R06C01"
"70",15,20225000,102410696,0.0822,"GSM2404589_9611519030_R06C01"
"71",16,105000,90222377,-0.3104,"GSM2404589_9611519030_R06C01"
"72",17,25000,81122605,-0.0487,"GSM2404589_9611519030_R06C01"
"73",18,80000,77983624,-0.0672,"GSM2404589_9611519030_R06C01"
"74",19,180000,54975000,0.0356,"GSM2404589_9611519030_R06C01"
"75",19,55025000,59084492,0.2637,"GSM2404589_9611519030_R06C01"
