"chrom","start.pos","end.pos","n.probes","GSM2402922_6929689152_R05C02","GSM2403509_8622007070_R04C01","GSM2403610_8622007119_R01C01","GSM2403615_8622007119_R06C01","GSM2403658_8963311099_R03C02","GSM2403703_9007217153_R03C02","GSM2403708_9007217153_R04C02","GSM2403709_9007217153_R05C02","GSM2403743_9007225091_R05C01","GSM2403814_9297949098_R01C02","GSM2404040_9373550131_R03C01","GSM2404319_9422492026_R03C02","GSM2404335_9422492075_R01C01","GSM2404476_9444374133_R02C02","GSM2404583_9611519028_R01C01","GSM2404769_9829119122_R06C02","GSM2404771_9829119124_R02C01","GSM2404847_9533774088_R01C02","GSM2405145_9878820017_R05C01","GSM2405250_9878827227_R03C01","GSM2405284_10006823130_R02C01","GSM2405330_10006823160_R05C01","GSM2405334_3999834001_R02C01","GSM2405491_3999308200_R02C02","GSM2940783_10006823144_R01C01","GSM2940799_10006823160_R03C01","GSM2940849_200325530104_R02C01","GSM2940977_3998523057_R02C02","GSM2941097_3998909181_R02C01","GSM2941111_3998919099_R02C02","GSM2941148_3999002044_R02C01","GSM2941200_3999095103_R06C02","GSM2941220_3999543042_R05C02","GSM2941243_3999834002_R06C02","GSM2941278_3999834105_R05C02","GSM2941306_3999875073_R02C02","GSM2941339_9373550131_R03C02","GSM2941377_9406921070_R05C01","GSM2941413_9444374133_R03C02","GSM2941442_9513149129_R06C01","GSM2941547_9741950008_R04C01","GSM2941655_9878820156_R05C02","GSM2941740_9969477022_R05C02","GSM2941767_9969477074_R05C01","GSM2941775_9969477086_R04C01"
"1",1,521369,249150001,1593,0.046,-0.019,-0.027,-0.071,-0.004,-0.016,-0.029,-0.041,-0.052,-0.009,-0.001,-0.018,0.019,-0.071,-0.014,-0.016,0.017,0.061,-0.006,0.034,-0.075,0.043,0.034,0.021,-0.005,0.014,0.005,-0.002,-0.002,-0.008,0.025,-0.061,-0.034,0.046,0.014,0.003,-0.067,-0.056,0.044,0.056,-0.038,0.006,0.009,0.022,0.006
"2",2,10001,242950001,1282,0.023,-0.003,0.002,-0.078,-0.087,-0.033,-0.043,-0.065,-0.021,0.027,-0.012,0.022,-0.069,-0.037,-0.019,0.04,0.011,-0.167,-0.021,-0.03,-0.119,0.078,-0.005,-0.024,-0.043,-0.033,-0.035,0.005,-0.05,0.014,-0.032,-0.117,-0.088,-0.018,-0.011,-0.049,0.021,-0.001,0.004,0.023,-0.06,0.006,0.053,-0.033,-0.034
"3",3,60001,197700001,978,0.055,0.008,0.022,-0.053,-0.01,-0.052,-0.05,-0.084,-0.012,0.03,-0.028,0.007,-0.027,-0.075,-0.048,0.048,0.021,-0.052,-0.029,-0.04,-0.083,0.093,-0.054,-0.021,0.13,-0.056,-0.075,-0.01,0.055,-0.018,-0.04,-0.12,-0.119,-0.037,-0.02,0.006,0.017,-0.019,0.006,0.051,-0.099,-0.029,0.05,-0.062,-0.059
"4",4,10001,190900001,742,-0.043,-0.041,-0.055,-0.118,-0.063,-0.059,-0.065,-0.093,0.141,-0.033,-0.063,-0.008,-0.04,-0.109,-0.041,-0.016,-0.056,-0.196,-0.083,-0.096,-0.084,0.039,-0.066,-0.107,-0.132,-0.082,-0.089,-0.062,-0.117,-0.009,-0.102,-0.011,-0.14,-0.036,-0.045,-0.134,-0.035,-0.06,-0.07,-0.056,-0.062,-0.01,0.05,-0.086,-0.049
"5",5,10001,180650001,849,0.047,0.005,0.252,0.261,0.062,0.043,0.106,0.103,0.17,0.04,0.043,0.024,0.061,-0.031,-0.036,0.131,0.02,-0.01,0.169,0.053,0.081,0.086,0.01,0.05,-0.066,-0.022,0.108,0.003,0.064,0.019,0.069,0.147,0.114,-0.004,-0.008,0.066,0.028,0.037,0.02,0.049,0.074,-0.011,0.06,-0.04,-0.024
"6",6,60001,170850001,988,0.044,0.016,0.025,0.109,0.184,0.027,0.098,0.194,-0.002,0.041,0.057,0.027,0.072,-0.118,-0.029,0.07,0.032,0.126,0.088,0.025,0.008,0.097,0.056,0.03,-0.069,-0.018,0.037,-0.004,0.051,0.007,0.056,0.056,-0.111,-0.034,-0.021,0.128,0.02,-0.028,-0.009,0.032,0.094,-0.014,0.053,0.023,0.03
"7",7,10001,158950001,952,0.105,0.209,0.21,0.001,0.227,0.055,0.239,0.108,0.269,0.085,0.124,0.067,0.122,-0.045,0.155,0.212,0.075,0.138,0.125,0.066,0.107,0.092,0.102,0.023,0.157,0.049,0.068,0.033,0.097,0.076,0.103,0.099,0.125,-0.004,0.024,0.049,0.075,0.013,0.055,0.242,0.227,0.018,0.152,0.114,0.121
"8",8,10001,146250001,726,0.031,0.026,0.001,0.109,-0.071,0.004,-0.035,-0.053,-0.027,0.043,0.019,0.046,0.027,0.011,-0.003,0.115,0.023,-0.066,-0.011,-0.012,0.094,0.081,0.003,0.05,-0.041,0.002,-0.002,0.019,0.073,0.032,-0.009,0.078,0.133,-0.002,-0.004,-0.04,0.042,0.019,0.014,0.027,-0.023,0.024,0.063,-0.015,-0.004
"9",9,10001,141000001,383,0.062,0.098,-0.002,0.117,-0.002,-0.015,-0.027,0.079,-0.028,0.032,0.056,0.026,0.009,0.054,-0.014,0.029,0.032,-0.04,0.006,0.018,0.032,0.038,0.129,0.029,0.161,0.015,-0.003,0.028,0.076,0.002,0.013,0.03,0.147,0.015,0.013,0.049,0.05,0.039,0.049,0.03,0.09,0.012,0.207,0.011,-0.01
"10",10,60001,135400001,840,0.056,0.059,0.033,-0.035,0.073,0.004,-0.003,0.117,0.003,0.052,0.011,0.069,0.06,0.006,-0.002,0.057,0.044,-0.047,0.101,0.018,0.009,0.062,0.09,0.078,0.167,0.014,-0.003,0.033,0.086,0.035,0.011,0.108,0.154,0.049,0.024,-0.006,0.049,0.042,0.033,0.045,-0.03,0.044,0.15,0,0.006
"11",11,60001,134800001,914,0.074,0.017,0.022,0.126,0.007,0.026,-0.048,0.065,-0.014,0.038,-0.011,0.064,0.01,0.001,-0.05,0.112,0.023,-0.107,-0.012,0.055,0.069,0.062,0.025,0.071,0.135,-0.022,-0.038,0.016,-0.032,0.006,0.082,0.086,0.113,-0.026,-0.008,0.075,0.029,0.011,0.031,0.068,0.07,-0.026,0.017,0.055,-0.043
"12",12,145740,133700001,848,0.049,0.018,0.124,0.121,0.056,-0.018,-0.021,-0.049,0.207,0.037,-0.009,0.032,-0.014,0.021,-0.023,0.036,0.028,0.014,0.088,-0.008,0.07,0.045,0.079,-0.003,-0.042,0.036,0.051,0.016,0.071,-0.004,-0.007,0.002,0.126,0.026,0.002,0.029,0.029,0.016,0.028,0.04,-0.056,-0.005,0.121,0.046,-0.023
"13",13,19020001,115050001,431,0.086,0.029,0.119,0.161,-0.058,-0.023,-0.034,-0.079,0.096,0.078,0.023,0.041,0.033,-0.196,-0.025,0.174,0.081,-0.201,-0.127,-0.071,-0.014,0.177,0.073,-0.02,-0.087,-0.065,-0.058,-0.095,0.052,0.024,-0.047,0.025,-0.135,-0.078,-0.01,-0.064,0.024,-0.065,0.012,0.063,-0.098,0.017,0.241,-0.089,-0.064
"14",14,19000001,106950001,528,0.029,-0.036,-0.032,0.109,-0.018,-0.009,-0.025,-0.032,-0.067,0.026,-0.007,0.019,0.013,0.062,-0.008,0.003,0.012,-0.027,-0.018,0.03,0.055,0.051,0.021,-0.001,-0.025,-0.014,0.003,0.038,-0.015,0.042,0.008,0.023,-0.04,0.056,0.012,0.044,0.047,0.054,0.029,0.029,-0.026,0.016,0.031,0.02,0.062
"15",15,20000001,102300001,571,0.036,0.027,0.118,-0.053,0.06,0.012,-0.011,-0.023,-0.055,0.049,0.007,0.056,0.069,0.083,-0.005,-0.011,0.019,-0.01,-0.005,0.039,0.014,0.034,0.029,0.074,-0.007,0.034,0.012,0.052,0.098,0.038,0.021,0.03,-0.023,0.067,0.031,0.058,0.064,0.072,0.055,0.043,-0.023,0.039,0.024,0.031,0.01
"16",16,60001,90150001,624,0.067,0.055,0.048,0.129,0.114,0.011,0,-0.028,0.038,0.032,0.025,0.059,0.02,0.075,0.008,0.056,0.061,-0.013,0.012,0.038,-0.001,-0.009,0.054,0.049,0.011,0.047,0.022,0.051,-0.002,0.01,0.04,0.037,-0.002,0.051,0.037,0.068,0.04,0.05,0.039,0.043,-0.027,0.062,-0.067,0.021,0.006
