"chromosome","start","end","segmean","sample"
"1",1,635684,775000,0.2401,"GSM2404537_9553932008_R05C02"
"2",1,825000,121193348,-0.2064,"GSM2404537_9553932008_R05C02"
"3",1,121392717,249195311,0.1544,"GSM2404537_9553932008_R05C02"
"4",10,105000,135462374,-0.1896,"GSM2404537_9553932008_R05C02"
"5",11,130000,134873258,0.1426,"GSM2404537_9553932008_R05C02"
"6",12,172870,133770948,0.1585,"GSM2404537_9553932008_R05C02"
"7",13,19110000,115079939,-0.2572,"GSM2404537_9553932008_R05C02"
"8",14,19325000,20025000,0.114,"GSM2404537_9553932008_R05C02"
"9",14,20450000,107119770,-0.1573,"GSM2404537_9553932008_R05C02"
"10",15,20225000,102410696,0.1764,"GSM2404537_9553932008_R05C02"
"11",16,105000,90222377,0.1624,"GSM2404537_9553932008_R05C02"
"12",17,25000,2.2e+07,-0.2152,"GSM2404537_9553932008_R05C02"
"13",17,22156503,81122605,0.1005,"GSM2404537_9553932008_R05C02"
"14",18,80000,77983624,-0.2582,"GSM2404537_9553932008_R05C02"
"15",19,180000,28015891,0.1332,"GSM2404537_9553932008_R05C02"
"16",19,28775000,59084492,-0.1981,"GSM2404537_9553932008_R05C02"
"17",2,130000,243026238,0.1181,"GSM2404537_9553932008_R05C02"
"18",20,155000,62907760,0.0741,"GSM2404537_9553932008_R05C02"
"19",21,10848948,15475000,0.0808,"GSM2404537_9553932008_R05C02"
"20",21,15650000,48084948,-0.1704,"GSM2404537_9553932008_R05C02"
"21",22,16373925,51222283,-0.1779,"GSM2404537_9553932008_R05C02"
"22",3,155000,197831215,-0.2441,"GSM2404537_9553932008_R05C02"
"23",4,55000,190972138,-0.2561,"GSM2404537_9553932008_R05C02"
"24",5,55000,46027821,-0.1681,"GSM2404537_9553932008_R05C02"
"25",5,49677821,180777630,0.1474,"GSM2404537_9553932008_R05C02"
"26",6,155000,170952534,0.1393,"GSM2404537_9553932008_R05C02"
"27",7,55000,159039332,0.1913,"GSM2404537_9553932008_R05C02"
"28",8,105000,146277011,0.1558,"GSM2404537_9553932008_R05C02"
"29",9,130000,141076716,-0.2117,"GSM2404537_9553932008_R05C02"
"30",1,635684,249195311,-0.0294,"GSM2404538_9553932008_R06C02"
"31",10,105000,135462374,0.047,"GSM2404538_9553932008_R06C02"
"32",11,130000,134873258,-0.0057,"GSM2404538_9553932008_R06C02"
"33",12,172870,133770948,0.2491,"GSM2404538_9553932008_R06C02"
"34",13,19110000,115079939,0.0748,"GSM2404538_9553932008_R06C02"
"35",14,19325000,20800000,0.5403,"GSM2404538_9553932008_R06C02"
"36",14,20875000,107119770,-0.075,"GSM2404538_9553932008_R06C02"
"37",15,20225000,102410696,-0.0298,"GSM2404538_9553932008_R06C02"
"38",16,105000,90222377,0.1095,"GSM2404538_9553932008_R06C02"
"39",17,25000,81122605,-0.0569,"GSM2404538_9553932008_R06C02"
"40",18,80000,77983624,0.1742,"GSM2404538_9553932008_R06C02"
"41",19,180000,59084492,-0.0172,"GSM2404538_9553932008_R06C02"
"42",2,130000,243026238,-0.0356,"GSM2404538_9553932008_R06C02"
"43",20,155000,62907760,0.149,"GSM2404538_9553932008_R06C02"
"44",21,10848948,48084948,0.0582,"GSM2404538_9553932008_R06C02"
"45",22,16373925,51222283,-0.0735,"GSM2404538_9553932008_R06C02"
"46",3,155000,197831215,-0.0164,"GSM2404538_9553932008_R06C02"
"47",4,55000,190972138,-0.0324,"GSM2404538_9553932008_R06C02"
"48",5,55000,180777630,0.2364,"GSM2404538_9553932008_R06C02"
"49",6,155000,170952534,0.1793,"GSM2404538_9553932008_R06C02"
"50",7,55000,159039332,0.3018,"GSM2404538_9553932008_R06C02"
"51",8,105000,146277011,0.0112,"GSM2404538_9553932008_R06C02"
"52",9,130000,141076716,-0.4161,"GSM2404538_9553932008_R06C02"
"53",1,635684,775000,0.161,"GSM2404610_9741950007_R05C02"
"54",1,825000,121193348,-0.287,"GSM2404610_9741950007_R05C02"
"55",1,121392717,249195311,0.3524,"GSM2404610_9741950007_R05C02"
"56",10,105000,135462374,-0.3108,"GSM2404610_9741950007_R05C02"
"57",11,130000,134873258,0.0952,"GSM2404610_9741950007_R05C02"
"58",12,172870,133770948,0.1079,"GSM2404610_9741950007_R05C02"
"59",13,19110000,19300000,-0.0505,"GSM2404610_9741950007_R05C02"
"60",13,19525000,115079939,-0.3734,"GSM2404610_9741950007_R05C02"
"61",14,19325000,107119770,-0.3106,"GSM2404610_9741950007_R05C02"
"62",15,20225000,102410696,0.1307,"GSM2404610_9741950007_R05C02"
