"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,-0.0394,"GSM2403626_8622007189_R04C01"
"2",10,105000,135462374,-0.003,"GSM2403626_8622007189_R04C01"
"3",11,130000,134873258,0.0954,"GSM2403626_8622007189_R04C01"
"4",12,172870,133770948,0.1059,"GSM2403626_8622007189_R04C01"
"5",13,19110000,115079939,0.0272,"GSM2403626_8622007189_R04C01"
"6",14,19325000,2.1e+07,0.2748,"GSM2403626_8622007189_R04C01"
"7",14,21075000,107119770,-0.035,"GSM2403626_8622007189_R04C01"
"8",15,20225000,102410696,-0.0142,"GSM2403626_8622007189_R04C01"
"9",16,105000,90222377,0.0017,"GSM2403626_8622007189_R04C01"
"10",17,25000,81122605,-0.0669,"GSM2403626_8622007189_R04C01"
"11",18,80000,77983624,0.0725,"GSM2403626_8622007189_R04C01"
"12",19,180000,59084492,0.0963,"GSM2403626_8622007189_R04C01"
"13",2,130000,243026238,-0.0245,"GSM2403626_8622007189_R04C01"
"14",20,155000,62907760,0.0589,"GSM2403626_8622007189_R04C01"
"15",21,10848948,48084948,0.0094,"GSM2403626_8622007189_R04C01"
"16",22,16373925,51222283,-0.021,"GSM2403626_8622007189_R04C01"
"17",3,155000,197831215,-0.0433,"GSM2403626_8622007189_R04C01"
"18",4,55000,190972138,-0.0419,"GSM2403626_8622007189_R04C01"
"19",5,55000,180777630,0.1053,"GSM2403626_8622007189_R04C01"
"20",6,155000,170952534,-0.023,"GSM2403626_8622007189_R04C01"
"21",7,55000,159039332,0.1508,"GSM2403626_8622007189_R04C01"
"22",8,105000,146277011,-0.0127,"GSM2403626_8622007189_R04C01"
"23",9,130000,141076716,-0.0358,"GSM2403626_8622007189_R04C01"
"24",1,635684,249195311,-0.0346,"GSM2403815_9297949098_R05C01"
"25",10,105000,135462374,-0.0182,"GSM2403815_9297949098_R05C01"
"26",11,130000,134873258,0.0917,"GSM2403815_9297949098_R05C01"
"27",12,172870,133770948,0.0949,"GSM2403815_9297949098_R05C01"
"28",13,19110000,115079939,-0.1734,"GSM2403815_9297949098_R05C01"
"29",14,19325000,107119770,-0.0406,"GSM2403815_9297949098_R05C01"
"30",15,20225000,102410696,0.1044,"GSM2403815_9297949098_R05C01"
"31",16,105000,90222377,-0.0093,"GSM2403815_9297949098_R05C01"
"32",17,25000,81122605,-0.0854,"GSM2403815_9297949098_R05C01"
"33",18,80000,77983624,-0.1184,"GSM2403815_9297949098_R05C01"
"34",19,180000,59084492,0.053,"GSM2403815_9297949098_R05C01"
"35",2,130000,243026238,-0.0425,"GSM2403815_9297949098_R05C01"
"36",20,155000,62907760,0.1433,"GSM2403815_9297949098_R05C01"
"37",21,10848948,48084948,-0.0196,"GSM2403815_9297949098_R05C01"
"38",22,16373925,51222283,-0.0427,"GSM2403815_9297949098_R05C01"
"39",3,155000,197831215,-0.0597,"GSM2403815_9297949098_R05C01"
"40",4,55000,190972138,-0.1007,"GSM2403815_9297949098_R05C01"
"41",5,55000,180777630,0.0894,"GSM2403815_9297949098_R05C01"
"42",6,155000,170952534,-0.0409,"GSM2403815_9297949098_R05C01"
"43",7,55000,159039332,0.2311,"GSM2403815_9297949098_R05C01"
"44",8,105000,146277011,0.1124,"GSM2403815_9297949098_R05C01"
"45",9,130000,141076716,-0.0346,"GSM2403815_9297949098_R05C01"
"46",1,635684,249195311,0.048,"GSM2404323_9422492035_R03C02"
"47",10,105000,135462374,0.0546,"GSM2404323_9422492035_R03C02"
"48",11,130000,134873258,0.03,"GSM2404323_9422492035_R03C02"
"49",12,172870,133770948,0.0318,"GSM2404323_9422492035_R03C02"
"50",13,19110000,115079939,0.0537,"GSM2404323_9422492035_R03C02"
"51",14,19325000,107119770,0.0513,"GSM2404323_9422492035_R03C02"
"52",15,20225000,102410696,0.0624,"GSM2404323_9422492035_R03C02"
"53",16,105000,90222377,0.026,"GSM2404323_9422492035_R03C02"
"54",17,25000,81122605,-0.0383,"GSM2404323_9422492035_R03C02"
"55",18,80000,77983624,-0.0588,"GSM2404323_9422492035_R03C02"
"56",19,180000,59084492,-0.03,"GSM2404323_9422492035_R03C02"
"57",2,130000,243026238,0.0167,"GSM2404323_9422492035_R03C02"
"58",20,155000,62907760,-0.0379,"GSM2404323_9422492035_R03C02"
"59",21,10848948,48084948,0.031,"GSM2404323_9422492035_R03C02"
"60",22,16373925,51222283,0.0238,"GSM2404323_9422492035_R03C02"
"61",3,155000,197831215,0.0063,"GSM2404323_9422492035_R03C02"
"62",4,55000,190972138,-0.0194,"GSM2404323_9422492035_R03C02"
"63",5,55000,180777630,0.0363,"GSM2404323_9422492035_R03C02"
"64",6,155000,170952534,0.0291,"GSM2404323_9422492035_R03C02"
"65",7,55000,159039332,0.0548,"GSM2404323_9422492035_R03C02"
"66",8,105000,146277011,0.039,"GSM2404323_9422492035_R03C02"
"67",9,130000,141076716,0.0106,"GSM2404323_9422492035_R03C02"
"68",1,635684,249195311,0.1007,"GSM2404324_9422492075_R03C01"
"69",10,105000,135462374,0.0688,"GSM2404324_9422492075_R03C01"
"70",11,130000,134873258,-0.007,"GSM2404324_9422492075_R03C01"
"71",12,172870,133770948,-5e-04,"GSM2404324_9422492075_R03C01"
"72",13,19110000,115079939,-0.0888,"GSM2404324_9422492075_R03C01"
"73",14,19325000,107119770,0.0839,"GSM2404324_9422492075_R03C01"
"74",15,20225000,102410696,0.1072,"GSM2404324_9422492075_R03C01"
"75",16,105000,90222377,0.0569,"GSM2404324_9422492075_R03C01"
"76",17,25000,81122605,0.0911,"GSM2404324_9422492075_R03C01"
"77",18,80000,77983624,0.0521,"GSM2404324_9422492075_R03C01"
"78",19,180000,59084492,0.0449,"GSM2404324_9422492075_R03C01"
"79",2,130000,243026238,-0.0067,"GSM2404324_9422492075_R03C01"
