"chrom","start.pos","end.pos","n.probes","GSM2405224_9980102125_R01C02","GSM2405225_9980102125_R02C02","GSM2405226_9980102125_R03C02","GSM2405229_9878827214_R04C01","GSM2405230_9878827214_R05C01","GSM2405231_9878827214_R06C01","GSM2405232_9878827214_R01C02","GSM2405233_9878827214_R02C02","GSM2405234_9878827214_R03C02","GSM2405235_9878827214_R04C02","GSM2405236_9878827214_R05C02","GSM2405237_9878827214_R06C02","GSM2405238_9878827214_R02C01","GSM2405239_9878827214_R03C01","GSM2405254_10006823005_R01C01","GSM2405255_10006823005_R02C01","GSM2405256_10006823005_R03C01","GSM2405257_10006823005_R04C01","GSM2405258_10006823005_R05C01"
"1",1,521369,249150001,1593,0.051,0.075,0.079,0.073,0.135,0.092,0.061,0.037,0.039,0.068,0.047,0.057,0.074,0.06,0.072,0.049,0.108,0.076,0.056
"2",2,10001,242950001,1282,-0.019,-0.028,0.068,0.068,0.007,0.011,0.018,-0.031,-0.031,0.01,0.021,0.013,0.025,-0.016,0.021,-0.042,-0.015,-0.011,-0.001
"3",3,60001,197700001,978,-0.009,0.108,-0.011,-0.012,0.008,0.019,0.023,-0.015,-0.029,-0.001,0,0.013,0.008,-0.022,-0.01,-0.032,-0.027,-0.032,-0.009
"4",4,10001,190900001,742,-0.084,-0.099,-0.08,-0.013,-0.077,-0.228,-0.066,-0.096,-0.11,-0.082,-0.069,-0.078,-0.127,-0.094,-0.081,-0.114,-0.09,-0.108,-0.079
"5",5,10001,180650001,849,-0.008,-0.014,-0.011,0.11,0.006,0.025,0.015,-0.015,-0.023,-0.003,0.003,0.005,0.029,-0.006,-0.006,-0.029,-0.056,-0.026,-0.003
"6",6,60001,53200001,471,0.084,0.366,0.006,0.352,0.042,0.056,0.029,0.318,0.345,0.09,0.043,0.063,0.29,0.021,0.018,0.351,0.292,0.021,0.032
"7",6,53250001,170850001,517,-0.109,-0.093,-0.063,-0.201,-0.031,-0.014,-0.024,-0.063,-0.062,-0.031,-0.032,-0.053,-0.457,-0.067,-0.062,-0.074,-0.065,-0.102,-0.066
"8",7,10001,158950001,952,-0.005,0.001,0.006,0.084,-0.098,0.043,0.038,0.002,-0.009,0.035,0.034,0.033,0.03,0.005,0.018,-0.017,-0.012,0.006,0
"9",8,10001,146250001,726,-0.015,-0.027,-0.018,-0.176,0,0.012,0.006,-0.023,-0.03,-0.004,0.001,0.002,-0.032,-0.018,-0.011,-0.036,-0.035,-0.026,-0.005
"10",9,10001,141000001,383,0.037,0.108,0.023,-0.004,0.036,0.048,0.048,0.016,-0.018,0.02,0.023,0.033,-0.014,0.027,0.048,0.014,0.012,0.024,0.021
"11",10,60001,135400001,840,0.021,-0.047,0.013,-0.179,0.022,0.04,0.031,0.008,-0.001,0.009,0.017,0.025,-0.02,0.003,0.011,-0.003,0.001,-0.001,0.019
"12",11,60001,134800001,914,0.024,0.011,0.015,-0.005,0.032,0.039,0.04,0.007,-0.002,0.017,0.018,0.027,0.044,0.001,0.012,-0.002,-0.004,0.004,0.012
"13",12,145740,133700001,848,0.01,0.013,0.006,0.003,0.02,0.036,0.028,0.001,0.008,0.011,0.012,0.032,0.037,0.001,0.008,-0.009,-0.007,-0.009,0.011
"14",13,19020001,115050001,431,-0.08,-0.101,-0.053,-0.06,0.003,-0.185,0.007,-0.059,-0.067,0,-0.014,-0.131,-0.039,-0.046,-0.047,-0.097,-0.08,-0.103,-0.059
"15",14,19000001,106950001,528,0.045,0.039,0.023,-0.06,0.034,0.059,0.036,0.022,0.018,0.025,0.032,0.039,0.004,0.026,0.044,0.019,0.025,0.032,0.043
"16",15,20000001,102300001,571,0.047,0.053,0.059,0.039,0.039,0.07,0.039,0.033,0.034,0.065,0.062,0.044,0.069,0.04,0.046,0.078,0.047,0.043,0.053
"17",16,60001,90150001,624,0.048,-0.204,0.032,0.01,-0.138,0.037,-0.168,0.02,0.038,0.028,0.039,0.032,-0.24,0.03,0.031,0.029,-0.058,0.036,0.035
"18",17,1,81050001,814,0.015,-0.004,-0.012,-0.043,-0.014,-0.003,-0.019,-0.034,-0.042,-0.036,-0.04,-0.025,0.031,-0.007,-0.012,-0.024,-0.021,0.005,0.001
"19",18,10001,77950001,243,-0.065,-0.081,-0.062,-0.068,-0.073,-0.058,-0.075,-0.101,-0.101,-0.089,-0.066,-0.087,-0.004,-0.08,-0.055,-0.097,-0.073,-0.061,-0.054
"20",19,60001,59050001,711,0.027,0.037,0.016,-0.009,0.031,0.019,0.027,0.007,0.005,0.006,0.008,0.038,0.073,0.018,0.02,0.007,0.053,0.015,0.02
"21",20,60001,62850001,359,0.008,0.005,0.005,-0.03,0.034,0.049,0.031,-0.003,-0.014,0.011,0.015,0.029,0.054,0.012,0.015,-0.007,-0.016,0.006,0.01
"22",21,10697897,48050001,157,0.002,0.007,-0.004,0.004,0.004,0.005,0.007,-0.016,-0.022,-0.021,-0.006,-0.003,0.111,-0.026,-0.007,0.191,-0.018,-0.021,-0.004
"23",22,16050001,51200001,300,0.082,0.097,0.06,0.052,0.043,0.04,0.057,0.034,0.056,0.033,0.03,0.035,0.085,0.057,0.065,0.044,0.084,0.081,0.071
