"chromosome","start","end","segmean","sample","noise"
"1",1,635684,78500000,-0.0598,"GSM2403489_8622007063_R01C01",0.529544853572538
"2",1,78775000,84625000,-0.4119,"GSM2403489_8622007063_R01C01",0.529544853572538
"3",1,84775000,117375000,-0.0805,"GSM2403489_8622007063_R01C01",0.529544853572538
"4",1,117475000,117800000,0.4092,"GSM2403489_8622007063_R01C01",0.529544853572538
"5",1,1.18e+08,249195311,0.0849,"GSM2403489_8622007063_R01C01",0.529544853572538
"6",10,105000,135462374,-0.1177,"GSM2403489_8622007063_R01C01",0.529544853572538
"7",11,130000,49850000,-0.0027,"GSM2403489_8622007063_R01C01",0.529544853572538
"8",11,50050000,57275000,-0.4873,"GSM2403489_8622007063_R01C01",0.529544853572538
"9",11,57350000,102650000,-0.0778,"GSM2403489_8622007063_R01C01",0.529544853572538
"10",11,102725000,134873258,-0.4198,"GSM2403489_8622007063_R01C01",0.529544853572538
"11",12,172870,46500000,0.0943,"GSM2403489_8622007063_R01C01",0.529544853572538
"12",12,46700000,52225000,0.4391,"GSM2403489_8622007063_R01C01",0.529544853572538
"13",12,52275000,59125000,0.1828,"GSM2403489_8622007063_R01C01",0.529544853572538
"14",12,59325000,133770948,-0.1079,"GSM2403489_8622007063_R01C01",0.529544853572538
"15",13,19110000,37500000,-0.3027,"GSM2403489_8622007063_R01C01",0.529544853572538
"16",13,37575000,52475000,-0.8638,"GSM2403489_8622007063_R01C01",0.529544853572538
"17",13,52625000,63200000,-0.5923,"GSM2403489_8622007063_R01C01",0.529544853572538
"18",13,64975000,73625000,-0.2991,"GSM2403489_8622007063_R01C01",0.529544853572538
"19",13,73950000,114925000,0.0903,"GSM2403489_8622007063_R01C01",0.529544853572538
"20",13,1.15e+08,115079939,-0.2983,"GSM2403489_8622007063_R01C01",0.529544853572538
"21",14,19325000,107119770,-0.0349,"GSM2403489_8622007063_R01C01",0.529544853572538
"22",15,20225000,28125000,0.0374,"GSM2403489_8622007063_R01C01",0.529544853572538
"23",15,28250000,102410696,-0.2101,"GSM2403489_8622007063_R01C01",0.529544853572538
"24",16,105000,90222377,0.0898,"GSM2403489_8622007063_R01C01",0.529544853572538
"25",17,25000,19750000,-0.2352,"GSM2403489_8622007063_R01C01",0.529544853572538
"26",17,19900000,81122605,0.0844,"GSM2403489_8622007063_R01C01",0.529544853572538
"27",18,80000,77983624,-0.2712,"GSM2403489_8622007063_R01C01",0.529544853572538
"28",19,180000,59084492,-0.0109,"GSM2403489_8622007063_R01C01",0.529544853572538
"29",2,130000,115650000,-0.0607,"GSM2403489_8622007063_R01C01",0.529544853572538
"30",2,116700000,122950000,-0.3759,"GSM2403489_8622007063_R01C01",0.529544853572538
"31",2,124075000,243026238,-0.1102,"GSM2403489_8622007063_R01C01",0.529544853572538
"32",20,155000,62907760,0.0515,"GSM2403489_8622007063_R01C01",0.529544853572538
"33",21,10848948,48084948,-0.234,"GSM2403489_8622007063_R01C01",0.529544853572538
"34",22,16373925,43575000,0.0686,"GSM2403489_8622007063_R01C01",0.529544853572538
"35",22,43700000,49825000,-0.5931,"GSM2403489_8622007063_R01C01",0.529544853572538
"36",22,49925000,51222283,-0.1346,"GSM2403489_8622007063_R01C01",0.529544853572538
"37",3,155000,197831215,0.1091,"GSM2403489_8622007063_R01C01",0.529544853572538
"38",4,55000,142850000,-0.0208,"GSM2403489_8622007063_R01C01",0.529544853572538
"39",4,143450000,146025000,0.5852,"GSM2403489_8622007063_R01C01",0.529544853572538
"40",4,146100000,190972138,0.0317,"GSM2403489_8622007063_R01C01",0.529544853572538
"41",5,55000,180777630,-0.0639,"GSM2403489_8622007063_R01C01",0.529544853572538
"42",6,155000,52525000,0.0439,"GSM2403489_8622007063_R01C01",0.529544853572538
"43",6,52650000,170952534,-0.3406,"GSM2403489_8622007063_R01C01",0.529544853572538
"44",7,55000,875000,-0.1599,"GSM2403489_8622007063_R01C01",0.529544853572538
"45",7,925000,87075000,0.1032,"GSM2403489_8622007063_R01C01",0.529544853572538
"46",7,87200000,97475000,-0.2274,"GSM2403489_8622007063_R01C01",0.529544853572538
"47",7,97575000,115025000,0.0051,"GSM2403489_8622007063_R01C01",0.529544853572538
"48",7,115650000,117325000,1.1051,"GSM2403489_8622007063_R01C01",0.529544853572538
"49",7,117725000,119925000,0.2775,"GSM2403489_8622007063_R01C01",0.529544853572538
"50",7,120225000,126625000,-0.4756,"GSM2403489_8622007063_R01C01",0.529544853572538
"51",7,126875000,159039332,-0.1639,"GSM2403489_8622007063_R01C01",0.529544853572538
"52",8,105000,146277011,0.0975,"GSM2403489_8622007063_R01C01",0.529544853572538
"53",9,130000,10800000,-0.2909,"GSM2403489_8622007063_R01C01",0.529544853572538
"54",9,13525000,2e+07,0.3212,"GSM2403489_8622007063_R01C01",0.529544853572538
"55",9,2.1e+07,27250000,-1.6627,"GSM2403489_8622007063_R01C01",0.529544853572538
"56",9,28375000,109050000,-0.0715,"GSM2403489_8622007063_R01C01",0.529544853572538
"57",9,109925000,129500000,0.4095,"GSM2403489_8622007063_R01C01",0.529544853572538
"58",9,129750000,141076716,0.0592,"GSM2403489_8622007063_R01C01",0.529544853572538
"59",1,635684,121392717,-0.0843,"GSM2404067_9374341006_R04C02",0.477064925490401
"60",1,144500872,148817074,0.1934,"GSM2404067_9374341006_R04C02",0.477064925490401
"61",1,148927230,149379823,-0.1162,"GSM2404067_9374341006_R04C02",0.477064925490401
"62",1,149579823,249195311,0.2097,"GSM2404067_9374341006_R04C02",0.477064925490401
"63",10,105000,135462374,-0.0978,"GSM2404067_9374341006_R04C02",0.477064925490401
"64",11,130000,36600000,0.0312,"GSM2404067_9374341006_R04C02",0.477064925490401
"65",11,38475000,43775000,-0.2837,"GSM2404067_9374341006_R04C02",0.477064925490401
"66",11,43925000,50516927,-0.0543,"GSM2404067_9374341006_R04C02",0.477064925490401
"67",11,54922103,56675000,-0.5685,"GSM2404067_9374341006_R04C02",0.477064925490401
"68",11,56975000,65900000,-0.2006,"GSM2404067_9374341006_R04C02",0.477064925490401
"69",11,66025000,83500000,0.0485,"GSM2404067_9374341006_R04C02",0.477064925490401
"70",11,84325000,134873258,-0.3111,"GSM2404067_9374341006_R04C02",0.477064925490401
"71",12,172870,133770948,0.0167,"GSM2404067_9374341006_R04C02",0.477064925490401
"72",13,19110000,115079939,-0.1516,"GSM2404067_9374341006_R04C02",0.477064925490401
"73",14,19325000,26075000,-0.0176,"GSM2404067_9374341006_R04C02",0.477064925490401
"74",14,26875000,87275000,-0.2573,"GSM2404067_9374341006_R04C02",0.477064925490401
"75",14,88525000,107119770,-0.0409,"GSM2404067_9374341006_R04C02",0.477064925490401
