"chrom","start.pos","end.pos","n.probes","GSM2402978_6929718027_R05C02","GSM2404551_9553932053_R01C02","GSM2404589_9611519030_R06C01","GSM2405117_9855358027_R03C01","GSM2405208_9878820123_R06C02","GSM2405410_9407210157_R04C01","GSM2405424_9741950159_R01C01","GSM2405597_9993943074_R03C01","GSM2405653_200078650174_R03C01"
"1",1,521369,36350001,417,-0.032,-0.01,-0.302,-0.019,-0.069,-0.002,0.037,-0.044,0.008
"2",1,36550001,121086696,483,0.003,-0.089,0.101,-0.003,-0.217,0.061,-0.023,-0.029,0.075
"3",1,121300001,249150001,693,0.215,0.176,0.111,0.215,0.316,0.058,0.253,0.394,0.137
"4",2,10001,42050001,262,0.009,0.031,0.083,0.176,0.052,0.029,0.115,0.434,0.147
"5",2,42100001,242950001,1020,-0.036,-0.01,0.064,-0.041,0.013,-0.066,-0.015,0.034,0.048
"6",3,60001,197700001,978,0.02,-0.025,0.113,-0.044,-0.004,-0.018,-0.034,0.047,0.067
"7",4,10001,190900001,742,-0.083,-0.026,-0.04,-0.117,-0.013,-0.058,-0.114,0.002,-0.01
"8",5,10001,180650001,849,-0.009,-0.018,0.094,-0.023,0.032,0.002,0.167,0.051,0.062
"9",6,60001,47650001,449,0.336,0.019,0.098,0.375,0.38,0.109,0.207,0.058,0.088
"10",6,47750001,170850001,539,0.005,-0.006,0.071,0.012,-0.204,-0.098,-0.026,0.05,0.077
"11",7,10001,158950001,952,0.068,0.044,0.131,0.007,0.162,0.012,0.135,0.148,0.108
"12",8,10001,101700001,500,-0.074,-0.017,-0.001,-0.072,-0.168,-0.011,-0.025,0.074,0.06
"13",8,101750001,146250001,226,-0.06,-0.035,-0.052,-0.054,-0.166,0.015,-0.023,-0.559,0.051
"14",9,10001,141000001,383,0.009,0.022,0.085,0.001,0.025,0.079,0.04,0.029,0.036
"15",10,60001,135400001,840,-0.016,-0.011,0.079,0.071,-0.117,0.041,0.171,-0.484,0.058
"16",11,60001,88100001,629,0.026,-0.134,0.091,-0.026,0.054,0.037,0.027,0.056,0.037
"17",11,88250001,134800001,285,-0.211,-0.281,-0.316,-0.062,0.029,-0.049,0.057,0.046,0.081
"18",12,145740,20850001,159,0.007,-0.328,-0.237,-0.006,0.077,-0.015,0.084,0.12,0.07
"19",12,21550001,133700001,689,-0.01,0.019,0.267,-0.028,0.044,0.035,0.013,0.05,0.058
"20",13,19020001,115050001,431,-0.045,-0.051,0.128,0.133,0.042,-0.092,0.278,0.197,0.124
"21",14,19000001,106950001,528,0.044,0.009,0.076,-0.033,0.049,0.059,-0.128,0.026,0.046
"22",15,20000001,102300001,571,0.038,-0.007,0.08,0.085,-0.128,0.075,-0.012,0.045,0.047
"23",16,60001,90150001,624,-0.177,-0.215,-0.315,-0.069,-0.384,-0.151,-0.094,-0.408,0.014
"24",17,1,21900001,237,-0.102,0.064,-0.073,-0.091,0.211,0.04,-0.464,-0.153,-0.109
"25",17,21950001,81050001,577,-0.022,0.049,-0.038,-0.038,0.194,0.048,0.141,0.193,-0.076
"26",18,10001,77950001,243,-0.116,0.122,-0.067,-0.111,0.041,-0.037,-0.113,0.049,-0.068
"27",19,60001,59050001,711,0.103,0.062,0.055,-0.04,0.125,0.082,-0.018,0.094,-0.065
"28",20,60001,62850001,359,0.044,0.024,0.067,-0.076,0.002,0.062,-0.093,0.035,0.014
"29",21,10697897,48050001,157,-0.03,0.068,0.032,-0.006,0.134,0.004,0.043,0.116,0.01
"30",22,16050001,51200001,300,0.009,0.045,0.003,0.087,0.118,0.108,0.001,0.244,-0.016
