"chromosome","start","end","segmean","sample","noise"
"1",1,635684,78500000,-0.2503,"GSM2404114_9379082039_R02C01",0.606542573525888
"2",1,78775000,83300000,-0.8457,"GSM2404114_9379082039_R02C01",0.606542573525888
"3",1,84400000,184675000,-0.3397,"GSM2404114_9379082039_R02C01",0.606542573525888
"4",1,184850000,200500000,-0.5644,"GSM2404114_9379082039_R02C01",0.606542573525888
"5",1,200700000,249195311,-0.3038,"GSM2404114_9379082039_R02C01",0.606542573525888
"6",10,105000,135462374,0.0635,"GSM2404114_9379082039_R02C01",0.606542573525888
"7",11,130000,134873258,0.017,"GSM2404114_9379082039_R02C01",0.606542573525888
"8",12,172870,133770948,0.0363,"GSM2404114_9379082039_R02C01",0.606542573525888
"9",13,19110000,115079939,-0.0196,"GSM2404114_9379082039_R02C01",0.606542573525888
"10",14,19325000,107119770,0.0638,"GSM2404114_9379082039_R02C01",0.606542573525888
"11",15,20225000,102410696,-0.2759,"GSM2404114_9379082039_R02C01",0.606542573525888
"12",16,105000,5125000,0.0968,"GSM2404114_9379082039_R02C01",0.606542573525888
"13",16,5475000,7575000,-0.2196,"GSM2404114_9379082039_R02C01",0.606542573525888
"14",16,8193461,90222377,0.0719,"GSM2404114_9379082039_R02C01",0.606542573525888
"15",17,25000,81122605,0.0454,"GSM2404114_9379082039_R02C01",0.606542573525888
"16",18,80000,77983624,0.0292,"GSM2404114_9379082039_R02C01",0.606542573525888
"17",19,180000,59084492,0.0435,"GSM2404114_9379082039_R02C01",0.606542573525888
"18",2,130000,243026238,-0.3481,"GSM2404114_9379082039_R02C01",0.606542573525888
"19",20,155000,62907760,8e-04,"GSM2404114_9379082039_R02C01",0.606542573525888
"20",21,10848948,48084948,0.0711,"GSM2404114_9379082039_R02C01",0.606542573525888
"21",22,16373925,51222283,0.1213,"GSM2404114_9379082039_R02C01",0.606542573525888
"22",3,155000,197831215,-6e-04,"GSM2404114_9379082039_R02C01",0.606542573525888
"23",4,55000,190972138,0.0108,"GSM2404114_9379082039_R02C01",0.606542573525888
"24",5,55000,180777630,0.0307,"GSM2404114_9379082039_R02C01",0.606542573525888
"25",6,155000,170952534,0.0081,"GSM2404114_9379082039_R02C01",0.606542573525888
"26",7,55000,40175000,0.0482,"GSM2404114_9379082039_R02C01",0.606542573525888
"27",7,40500000,41875000,-0.2544,"GSM2404114_9379082039_R02C01",0.606542573525888
"28",7,42025000,159039332,0.0505,"GSM2404114_9379082039_R02C01",0.606542573525888
"29",8,105000,87525000,-0.3154,"GSM2404114_9379082039_R02C01",0.606542573525888
"30",8,88200000,94375000,-0.6397,"GSM2404114_9379082039_R02C01",0.606542573525888
"31",8,94650000,146277011,-0.3249,"GSM2404114_9379082039_R02C01",0.606542573525888
"32",9,130000,141076716,-0.1402,"GSM2404114_9379082039_R02C01",0.606542573525888
"33",1,635684,249195311,-0.1055,"GSM2404201_9376561024_R06C01",0.70716713897812
"34",10,105000,135462374,-0.0967,"GSM2404201_9376561024_R06C01",0.70716713897812
"35",11,130000,134873258,-0.1127,"GSM2404201_9376561024_R06C01",0.70716713897812
"36",12,172870,133770948,-0.1123,"GSM2404201_9376561024_R06C01",0.70716713897812
"37",13,19110000,115079939,0.0855,"GSM2404201_9376561024_R06C01",0.70716713897812
"38",14,19325000,107119770,0.1144,"GSM2404201_9376561024_R06C01",0.70716713897812
"39",15,20225000,102410696,-0.1035,"GSM2404201_9376561024_R06C01",0.70716713897812
"40",16,105000,90222377,-0.0384,"GSM2404201_9376561024_R06C01",0.70716713897812
"41",17,25000,81122605,-0.1373,"GSM2404201_9376561024_R06C01",0.70716713897812
"42",18,80000,77983624,-0.2234,"GSM2404201_9376561024_R06C01",0.70716713897812
"43",19,180000,59084492,0.1015,"GSM2404201_9376561024_R06C01",0.70716713897812
"44",2,130000,243026238,-0.1602,"GSM2404201_9376561024_R06C01",0.70716713897812
"45",20,155000,62907760,-0.1449,"GSM2404201_9376561024_R06C01",0.70716713897812
"46",21,10848948,48084948,-0.0977,"GSM2404201_9376561024_R06C01",0.70716713897812
"47",22,16373925,51222283,-0.1039,"GSM2404201_9376561024_R06C01",0.70716713897812
"48",3,155000,197831215,-0.1498,"GSM2404201_9376561024_R06C01",0.70716713897812
"49",4,55000,190972138,0.0548,"GSM2404201_9376561024_R06C01",0.70716713897812
"50",5,55000,180777630,0.1184,"GSM2404201_9376561024_R06C01",0.70716713897812
"51",6,155000,32375000,-0.1282,"GSM2404201_9376561024_R06C01",0.70716713897812
"52",6,32425000,32650000,-0.5802,"GSM2404201_9376561024_R06C01",0.70716713897812
"53",6,32725000,170952534,-0.172,"GSM2404201_9376561024_R06C01",0.70716713897812
"54",7,55000,159039332,0.1333,"GSM2404201_9376561024_R06C01",0.70716713897812
"55",8,105000,146277011,0.0752,"GSM2404201_9376561024_R06C01",0.70716713897812
"56",9,130000,141076716,-0.0844,"GSM2404201_9376561024_R06C01",0.70716713897812
"57",1,635684,152325000,-0.1129,"GSM2404356_9407210069_R01C02",0.770325383667602
"58",1,152475000,193400000,-0.5302,"GSM2404356_9407210069_R01C02",0.770325383667602
"59",1,195150000,249195311,-0.0246,"GSM2404356_9407210069_R01C02",0.770325383667602
"60",10,105000,135462374,-0.0303,"GSM2404356_9407210069_R01C02",0.770325383667602
"61",11,130000,134873258,-0.0564,"GSM2404356_9407210069_R01C02",0.770325383667602
"62",12,172870,113850000,-0.0231,"GSM2404356_9407210069_R01C02",0.770325383667602
"63",12,113925000,116200000,-0.4209,"GSM2404356_9407210069_R01C02",0.770325383667602
"64",12,116500000,133770948,-0.0208,"GSM2404356_9407210069_R01C02",0.770325383667602
"65",13,19110000,115079939,0.0534,"GSM2404356_9407210069_R01C02",0.770325383667602
"66",14,19325000,107119770,-0.0586,"GSM2404356_9407210069_R01C02",0.770325383667602
"67",15,20225000,102410696,-0.0789,"GSM2404356_9407210069_R01C02",0.770325383667602
"68",16,105000,90222377,-0.0508,"GSM2404356_9407210069_R01C02",0.770325383667602
"69",17,25000,31050000,-0.1654,"GSM2404356_9407210069_R01C02",0.770325383667602
"70",17,31275000,33100000,-0.5142,"GSM2404356_9407210069_R01C02",0.770325383667602
"71",17,33275000,81122605,-0.1836,"GSM2404356_9407210069_R01C02",0.770325383667602
"72",18,80000,77983624,-0.0869,"GSM2404356_9407210069_R01C02",0.770325383667602
"73",19,180000,59084492,-0.1469,"GSM2404356_9407210069_R01C02",0.770325383667602
"74",2,130000,176475000,-0.0342,"GSM2404356_9407210069_R01C02",0.770325383667602
