"chrom","start.pos","end.pos","n.probes","GSM2403712_9007225017_R03C02","GSM2403713_9007225026_R02C02","GSM2403716_9007225017_R01C01","GSM2403766_9296930031_R05C02","GSM2403767_9296930031_R06C02","GSM2403784_9296930094_R06C02","GSM2403785_9296930094_R03C02","GSM2403786_9296930094_R02C02","GSM2403789_9296930089_R06C02","GSM2403790_9296930094_R01C01","GSM2404001_9305651095_R06C02","GSM2404169_9407201033_R06C01","GSM2404170_9407201032_R06C02","GSM2404171_9407201033_R02C01","GSM2404174_9407201033_R04C01","GSM2404176_9407201033_R05C01","GSM2404177_9407201033_R01C01","GSM2404606_9741950007_R03C02","GSM2405044_9969477081_R06C02","GSM2405045_9969477083_R01C01","GSM2405046_9969477081_R02C02","GSM2405047_9969477081_R01C02","GSM2405049_9969477081_R03C02","GSM2405050_9969477081_R05C02","GSM2405051_9969477081_R04C01"
"1",1,521369,249150001,1593,0.002,-0.031,-0.069,0.005,0.009,-0.044,0.002,-0.027,0.014,0.018,0.016,-0.086,-0.018,-0.066,-0.332,-0.049,-0.003,-0.054,-0.018,0.003,0.004,-0.016,-0.005,0.003,0.006
"2",2,10001,242950001,1282,-0.008,-0.064,-0.081,-0.021,-0.034,-0.055,-0.012,-0.038,-0.006,-0.01,-0.026,-0.034,-0.04,-0.091,-0.26,-0.05,-0.024,-0.093,-0.086,-0.033,-0.05,-0.083,-0.072,-0.047,-0.042
"3",3,60001,197700001,978,0.016,-0.086,-0.093,-0.007,-0.033,-0.039,-0.003,-0.045,0.007,0.009,0.009,-0.042,-0.028,-0.08,-0.289,-0.065,-0.032,-0.081,-0.109,-0.051,-0.059,-0.119,-0.094,-0.062,-0.059
"4",4,10001,190900001,742,-0.041,-0.117,-0.147,-0.059,-0.072,-0.127,-0.047,-0.064,-0.048,-0.057,-0.079,-0.07,-0.09,-0.171,-0.296,-0.096,-0.065,-0.176,-0.178,-0.084,-0.106,-0.145,-0.149,-0.115,-0.095
"5",5,10001,180650001,849,0.004,-0.068,-0.106,-0.007,-0.022,-0.064,0.003,-0.026,0.011,0.014,-0.003,-0.055,-0.039,-0.13,-0.281,-0.067,-0.029,-0.116,-0.105,-0.044,-0.053,-0.099,-0.086,-0.059,-0.054
"6",6,60001,170850001,988,0.003,-0.078,-0.08,-0.022,-0.046,-0.026,-0.007,-0.034,0.005,-0.007,-0.024,-0.036,-0.029,-0.065,-0.242,-0.03,-0.023,-0.06,-0.128,-0.059,-0.069,-0.124,-0.107,-0.078,-0.059
"7",7,10001,158950001,952,0.009,-0.034,-0.074,0.025,-0.005,-0.037,0.026,0.019,0.033,0.025,0.016,-0.025,0.013,-0.099,-0.173,-0.028,0.001,-0.086,-0.1,-0.034,-0.031,-0.098,-0.071,-0.038,-0.032
"8",8,10001,146250001,726,-0.022,-0.067,-0.106,-0.019,-0.038,-0.079,-0.006,-0.02,-0.003,-0.003,-0.039,-0.051,-0.016,-0.137,-0.234,-0.061,-0.026,-0.119,-0.097,-0.029,-0.051,-0.087,-0.075,-0.046,-0.044
"9",9,10001,141000001,383,-0.015,-0.006,-0.057,0.012,0.015,-0.036,0.001,-0.019,-0.002,0.009,0.021,-0.006,-0.017,-0.064,-0.259,-0.042,0,-0.062,-0.007,-0.001,0.003,-0.006,0.001,0.003,0.001
"10",10,60001,135400001,840,-0.012,-0.032,-0.072,0.012,0.002,-0.052,0.012,-0.001,0.019,0.021,0.015,-0.044,-0.051,-0.108,-0.203,-0.046,-0.011,-0.094,-0.059,-0.025,-0.025,-0.062,-0.047,-0.025,-0.024
"11",11,60001,134800001,914,-0.009,-0.061,-0.089,0.011,-0.006,-0.046,0.001,-0.03,0.01,0.02,0.028,-0.052,-0.026,-0.091,-0.258,-0.064,-0.026,-0.074,-0.056,-0.025,-0.02,-0.065,-0.044,-0.026,-0.028
"12",12,145740,133700001,848,0.002,-0.05,-0.075,-0.005,-0.016,-0.039,-0.01,-0.036,-0.004,0.001,-0.003,-0.032,-0.024,-0.06,-0.279,-0.053,-0.017,-0.062,-0.086,-0.038,-0.035,-0.079,-0.056,-0.046,-0.035
"13",13,19020001,115050001,431,0.037,-0.059,-0.027,-0.004,-0.06,0.026,0.019,-0.006,0.025,0.007,-0.019,-0.017,-0.041,-0.022,-0.107,-0.003,-0.01,-0.019,-0.165,-0.072,-0.085,-0.178,-0.142,-0.097,-0.08
"14",14,19000001,106950001,528,-0.012,-0.034,-0.09,-0.007,0.002,-0.076,-0.007,-0.035,0.001,0.002,-0.006,-0.019,-0.028,-0.103,-0.334,-0.064,-0.009,-0.1,-0.028,-0.002,-0.004,-0.026,-0.015,-0.009,-0.002
"15",15,20000001,102300001,571,-0.006,-0.024,-0.072,-0.003,0.012,-0.066,-0.002,-0.019,0.012,0.013,0.005,-0.022,-0.053,-0.095,-0.298,-0.048,-0.002,-0.078,-0.016,0.005,-0.002,-0.008,-0.008,-0.004,0.004
"16",16,60001,90150001,624,-0.032,-0.002,-0.029,0.015,0.003,-0.031,-0.006,0.003,-0.019,-0.001,0.017,-0.06,-0.01,-0.044,-0.108,-0.02,-0.007,-0.045,-0.011,-0.013,0.009,-0.017,0.008,0.006,0.003
"17",17,1,81050001,814,-0.088,-0.055,-0.07,-0.077,-0.052,-0.114,-0.09,-0.094,-0.109,-0.092,-0.082,-0.039,-0.068,-0.076,-0.301,-0.074,-0.051,-0.076,-0.024,-0.033,-0.027,0.005,-0.003,-0.025,-0.022
"18",18,10001,77950001,243,-0.085,-0.09,-0.126,-0.121,-0.089,-0.199,-0.099,-0.108,-0.104,-0.107,-0.155,-0.084,-0.118,-0.19,-0.355,-0.118,-0.079,-0.202,-0.087,-0.051,-0.09,-0.04,-0.082,-0.08,-0.072
"19",19,60001,59050001,711,-0.088,-0.024,-0.049,-0.047,-0.031,-0.138,-0.08,-0.054,-0.11,-0.096,-0.056,-0.062,-0.072,-0.113,-0.286,-0.081,-0.051,-0.123,-0.026,-0.034,-0.01,0.002,0.009,-0.021,-0.005
"20",20,60001,62850001,359,-0.051,-0.057,-0.073,-0.046,-0.04,-0.11,-0.047,-0.06,-0.051,-0.045,-0.048,-0.06,-0.072,-0.139,-0.329,-0.097,-0.054,-0.115,-0.018,-0.023,-0.019,-0.019,-0.012,-0.023,-0.02
"21",21,10697897,48050001,157,-0.013,-0.015,-0.016,-0.003,-0.005,-0.019,-0.006,-0.019,-0.012,-0.01,-0.023,-0.163,0.018,-0.046,-0.154,-0.009,0.004,-0.027,-0.045,-0.013,-0.016,-0.033,-0.029,-0.036,-0.016
"22",22,16050001,51200001,300,-0.066,0.021,-0.03,-0.012,0.022,-0.082,-0.028,-0.032,-0.04,-0.032,-0.018,-0.065,-0.013,-0.048,-0.316,-0.035,0.012,-0.056,0.074,0.045,0.041,0.093,0.08,0.052,0.06
