"chromosome","start","end","segmean","sample","noise"
"1",1,635684,775000,0.1654,"GSM2404537_9553932008_R05C02",0.567729814749033
"2",1,825000,121193348,-0.2638,"GSM2404537_9553932008_R05C02",0.567729814749033
"3",1,121392717,249195311,0.0962,"GSM2404537_9553932008_R05C02",0.567729814749033
"4",10,105000,4300000,-0.0394,"GSM2404537_9553932008_R05C02",0.567729814749033
"5",10,4625000,135462374,-0.2615,"GSM2404537_9553932008_R05C02",0.567729814749033
"6",11,130000,134873258,0.0806,"GSM2404537_9553932008_R05C02",0.567729814749033
"7",12,172870,133770948,0.0953,"GSM2404537_9553932008_R05C02",0.567729814749033
"8",13,19110000,109025000,-0.3471,"GSM2404537_9553932008_R05C02",0.567729814749033
"9",13,109450000,115079939,-0.139,"GSM2404537_9553932008_R05C02",0.567729814749033
"10",14,19325000,20025000,0.0591,"GSM2404537_9553932008_R05C02",0.567729814749033
"11",14,20450000,107119770,-0.2251,"GSM2404537_9553932008_R05C02",0.567729814749033
"12",15,20225000,83725000,0.1199,"GSM2404537_9553932008_R05C02",0.567729814749033
"13",15,83850000,84250000,-0.1496,"GSM2404537_9553932008_R05C02",0.567729814749033
"14",15,84667237,102410696,0.1357,"GSM2404537_9553932008_R05C02",0.567729814749033
"15",16,105000,90222377,0.1207,"GSM2404537_9553932008_R05C02",0.567729814749033
"16",17,25000,2.2e+07,-0.2374,"GSM2404537_9553932008_R05C02",0.567729814749033
"17",17,22156503,81122605,0.0699,"GSM2404537_9553932008_R05C02",0.567729814749033
"18",18,80000,77983624,-0.2907,"GSM2404537_9553932008_R05C02",0.567729814749033
"19",19,180000,28015891,0.0988,"GSM2404537_9553932008_R05C02",0.567729814749033
"20",19,28775000,59084492,-0.2465,"GSM2404537_9553932008_R05C02",0.567729814749033
"21",2,130000,243026238,0.0675,"GSM2404537_9553932008_R05C02",0.567729814749033
"22",20,155000,62907760,0.0379,"GSM2404537_9553932008_R05C02",0.567729814749033
"23",21,10848948,15475000,0.0508,"GSM2404537_9553932008_R05C02",0.567729814749033
"24",21,15650000,48084948,-0.2042,"GSM2404537_9553932008_R05C02",0.567729814749033
"25",22,16373925,51222283,-0.2041,"GSM2404537_9553932008_R05C02",0.567729814749033
"26",3,155000,74175000,-0.3115,"GSM2404537_9553932008_R05C02",0.567729814749033
"27",3,75025000,75800000,0.0299,"GSM2404537_9553932008_R05C02",0.567729814749033
"28",3,76450000,197831215,-0.3243,"GSM2404537_9553932008_R05C02",0.567729814749033
"29",4,55000,190972138,-0.3115,"GSM2404537_9553932008_R05C02",0.567729814749033
"30",5,55000,46027821,-0.2242,"GSM2404537_9553932008_R05C02",0.567729814749033
"31",5,49677821,180777630,0.0772,"GSM2404537_9553932008_R05C02",0.567729814749033
"32",6,155000,170952534,0.0764,"GSM2404537_9553932008_R05C02",0.567729814749033
"33",7,55000,159039332,0.1288,"GSM2404537_9553932008_R05C02",0.567729814749033
"34",8,105000,146277011,0.0907,"GSM2404537_9553932008_R05C02",0.567729814749033
"35",9,130000,141076716,-0.2624,"GSM2404537_9553932008_R05C02",0.567729814749033
"36",1,635684,249195311,-0.2426,"GSM2404538_9553932008_R06C02",0.98030028223578
"37",10,105000,135462374,-0.1532,"GSM2404538_9553932008_R06C02",0.98030028223578
"38",11,130000,134873258,-0.2078,"GSM2404538_9553932008_R06C02",0.98030028223578
"39",12,172870,133770948,0.039,"GSM2404538_9553932008_R06C02",0.98030028223578
"40",13,19110000,115079939,-0.1501,"GSM2404538_9553932008_R06C02",0.98030028223578
"41",14,19325000,20025000,0.6146,"GSM2404538_9553932008_R06C02",0.98030028223578
"42",14,20450000,107119770,-0.2758,"GSM2404538_9553932008_R06C02",0.98030028223578
"43",15,20225000,102410696,-0.2227,"GSM2404538_9553932008_R06C02",0.98030028223578
"44",16,105000,31825000,-0.0786,"GSM2404538_9553932008_R06C02",0.98030028223578
"45",16,32075000,33986575,0.5235,"GSM2404538_9553932008_R06C02",0.98030028223578
"46",16,34286575,90222377,-0.0655,"GSM2404538_9553932008_R06C02",0.98030028223578
"47",17,25000,81122605,-0.2089,"GSM2404538_9553932008_R06C02",0.98030028223578
"48",18,80000,77983624,0.0086,"GSM2404538_9553932008_R06C02",0.98030028223578
"49",19,180000,59084492,-0.2002,"GSM2404538_9553932008_R06C02",0.98030028223578
"50",2,130000,236575000,-0.2518,"GSM2404538_9553932008_R06C02",0.98030028223578
"51",2,236625000,237025000,0.5774,"GSM2404538_9553932008_R06C02",0.98030028223578
"52",2,237075000,243026238,0.0269,"GSM2404538_9553932008_R06C02",0.98030028223578
"53",20,155000,62907760,-0.0124,"GSM2404538_9553932008_R06C02",0.98030028223578
"54",21,10848948,15475000,0.4099,"GSM2404538_9553932008_R06C02",0.98030028223578
"55",21,15650000,48084948,-0.141,"GSM2404538_9553932008_R06C02",0.98030028223578
"56",22,16373925,51222283,-0.2187,"GSM2404538_9553932008_R06C02",0.98030028223578
"57",3,155000,74175000,-0.2456,"GSM2404538_9553932008_R06C02",0.98030028223578
"58",3,75025000,75800000,0.3462,"GSM2404538_9553932008_R06C02",0.98030028223578
"59",3,76450000,197831215,-0.2423,"GSM2404538_9553932008_R06C02",0.98030028223578
"60",4,55000,190972138,-0.2274,"GSM2404538_9553932008_R06C02",0.98030028223578
"61",5,55000,180777630,0.0204,"GSM2404538_9553932008_R06C02",0.98030028223578
"62",6,155000,170952534,-0.0133,"GSM2404538_9553932008_R06C02",0.98030028223578
"63",7,55000,159039332,0.0965,"GSM2404538_9553932008_R06C02",0.98030028223578
"64",8,105000,146277011,-0.2025,"GSM2404538_9553932008_R06C02",0.98030028223578
"65",9,130000,141076716,-0.5941,"GSM2404538_9553932008_R06C02",0.98030028223578
