"chromosome","start","end","segmean","sample","noise"
"1",1,635684,825000,0.2598,"GSM2403516_8622007065_R02C02",0.853878939360012
"2",1,875000,2925000,-0.3862,"GSM2403516_8622007065_R02C02",0.853878939360012
"3",1,2975000,3275000,0.6728,"GSM2403516_8622007065_R02C02",0.853878939360012
"4",1,3325000,46875000,0.0823,"GSM2403516_8622007065_R02C02",0.853878939360012
"5",1,46925000,48350000,-0.5435,"GSM2403516_8622007065_R02C02",0.853878939360012
"6",1,48700000,54300000,0.2172,"GSM2403516_8622007065_R02C02",0.853878939360012
"7",1,54375000,55175000,1.353,"GSM2403516_8622007065_R02C02",0.853878939360012
"8",1,55225000,249195311,-0.0037,"GSM2403516_8622007065_R02C02",0.853878939360012
"9",10,105000,37100000,0.5332,"GSM2403516_8622007065_R02C02",0.853878939360012
"10",10,37775000,63225000,0.0024,"GSM2403516_8622007065_R02C02",0.853878939360012
"11",10,63450000,81250000,0.4666,"GSM2403516_8622007065_R02C02",0.853878939360012
"12",10,81500000,96650000,-0.5405,"GSM2403516_8622007065_R02C02",0.853878939360012
"13",10,9.7e+07,104550000,0.5063,"GSM2403516_8622007065_R02C02",0.853878939360012
"14",10,104625000,124700000,-0.5487,"GSM2403516_8622007065_R02C02",0.853878939360012
"15",10,124800000,126009736,-1.0487,"GSM2403516_8622007065_R02C02",0.853878939360012
"16",10,126125000,127575000,-0.5116,"GSM2403516_8622007065_R02C02",0.853878939360012
"17",10,127725000,135462374,-1.2559,"GSM2403516_8622007065_R02C02",0.853878939360012
"18",11,130000,12400000,-0.6243,"GSM2403516_8622007065_R02C02",0.853878939360012
"19",11,12550000,69475000,-0.0887,"GSM2403516_8622007065_R02C02",0.853878939360012
"20",11,69525000,69975000,-0.8923,"GSM2403516_8622007065_R02C02",0.853878939360012
"21",11,70025000,130650000,-0.1348,"GSM2403516_8622007065_R02C02",0.853878939360012
"22",11,130775000,134873258,0.4155,"GSM2403516_8622007065_R02C02",0.853878939360012
"23",12,172870,32925000,0.2497,"GSM2403516_8622007065_R02C02",0.853878939360012
"24",12,33250000,57825000,-0.2547,"GSM2403516_8622007065_R02C02",0.853878939360012
"25",12,57875000,58175000,1.204,"GSM2403516_8622007065_R02C02",0.853878939360012
"26",12,58225000,129975000,-0.2092,"GSM2403516_8622007065_R02C02",0.853878939360012
"27",12,130225000,131225000,-0.6842,"GSM2403516_8622007065_R02C02",0.853878939360012
"28",12,131275000,133770948,-0.0925,"GSM2403516_8622007065_R02C02",0.853878939360012
"29",13,19110000,110050000,-0.4426,"GSM2403516_8622007065_R02C02",0.853878939360012
"30",13,110350000,111125000,1.5486,"GSM2403516_8622007065_R02C02",0.853878939360012
"31",13,111175000,115079939,-0.2371,"GSM2403516_8622007065_R02C02",0.853878939360012
"32",14,19325000,20800000,0.341,"GSM2403516_8622007065_R02C02",0.853878939360012
"33",14,20875000,107119770,-0.3793,"GSM2403516_8622007065_R02C02",0.853878939360012
"34",15,20225000,102410696,-0.2208,"GSM2403516_8622007065_R02C02",0.853878939360012
"35",16,105000,90222377,0.0476,"GSM2403516_8622007065_R02C02",0.853878939360012
"36",17,25000,30450000,-0.2823,"GSM2403516_8622007065_R02C02",0.853878939360012
"37",17,30600000,33100000,-0.7006,"GSM2403516_8622007065_R02C02",0.853878939360012
"38",17,33275000,77075000,-0.3475,"GSM2403516_8622007065_R02C02",0.853878939360012
"39",17,77125000,77450000,-0.9194,"GSM2403516_8622007065_R02C02",0.853878939360012
"40",17,77523231,81122605,-0.1361,"GSM2403516_8622007065_R02C02",0.853878939360012
"41",18,80000,77983624,-0.0837,"GSM2403516_8622007065_R02C02",0.853878939360012
"42",19,180000,31825000,-0.2664,"GSM2403516_8622007065_R02C02",0.853878939360012
"43",19,32325000,33325000,0.797,"GSM2403516_8622007065_R02C02",0.853878939360012
"44",19,33475000,38350000,-0.3345,"GSM2403516_8622007065_R02C02",0.853878939360012
"45",19,38550000,39675000,0.8645,"GSM2403516_8622007065_R02C02",0.853878939360012
"46",19,39750000,50750000,-0.3047,"GSM2403516_8622007065_R02C02",0.853878939360012
"47",19,50825000,51075000,0.7793,"GSM2403516_8622007065_R02C02",0.853878939360012
"48",19,51125000,59084492,-0.2982,"GSM2403516_8622007065_R02C02",0.853878939360012
"49",2,130000,15250000,0.3817,"GSM2403516_8622007065_R02C02",0.853878939360012
"50",2,15725000,16825000,1.5963,"GSM2403516_8622007065_R02C02",0.853878939360012
"51",2,17275000,243026238,-0.0355,"GSM2403516_8622007065_R02C02",0.853878939360012
"52",20,155000,62907760,-0.1209,"GSM2403516_8622007065_R02C02",0.853878939360012
"53",21,10848948,44825000,-0.1011,"GSM2403516_8622007065_R02C02",0.853878939360012
"54",21,44875000,47650000,-1.1662,"GSM2403516_8622007065_R02C02",0.853878939360012
"55",21,47750000,48084948,-0.2717,"GSM2403516_8622007065_R02C02",0.853878939360012
"56",22,16373925,51222283,-0.301,"GSM2403516_8622007065_R02C02",0.853878939360012
"57",3,155000,197831215,0.125,"GSM2403516_8622007065_R02C02",0.853878939360012
"58",4,55000,57825000,0.1546,"GSM2403516_8622007065_R02C02",0.853878939360012
"59",4,57925000,190972138,-0.5175,"GSM2403516_8622007065_R02C02",0.853878939360012
"60",5,55000,105125000,0.1227,"GSM2403516_8622007065_R02C02",0.853878939360012
"61",5,106550000,142075000,-0.4911,"GSM2403516_8622007065_R02C02",0.853878939360012
"62",5,142150000,154325000,-0.0238,"GSM2403516_8622007065_R02C02",0.853878939360012
"63",5,154725000,180777630,-0.6275,"GSM2403516_8622007065_R02C02",0.853878939360012
"64",6,155000,170952534,0.0277,"GSM2403516_8622007065_R02C02",0.853878939360012
"65",7,55000,72975000,-0.1444,"GSM2403516_8622007065_R02C02",0.853878939360012
"66",7,73025000,73475000,-0.6519,"GSM2403516_8622007065_R02C02",0.853878939360012
"67",7,73550000,159039332,-0.0355,"GSM2403516_8622007065_R02C02",0.853878939360012
"68",8,105000,146277011,-0.0015,"GSM2403516_8622007065_R02C02",0.853878939360012
"69",9,130000,33675000,-0.4613,"GSM2403516_8622007065_R02C02",0.853878939360012
"70",9,33950000,137400000,0.1363,"GSM2403516_8622007065_R02C02",0.853878939360012
"71",9,137575000,138675000,-0.4129,"GSM2403516_8622007065_R02C02",0.853878939360012
"72",9,138725000,141076716,0.0346,"GSM2403516_8622007065_R02C02",0.853878939360012
"73",1,635684,249195311,-0.3335,"GSM2403569_8622007083_R06C02",1.24473179816081
"74",10,105000,135462374,-0.4343,"GSM2403569_8622007083_R06C02",1.24473179816081
"75",11,130000,134873258,-0.227,"GSM2403569_8622007083_R06C02",1.24473179816081
"76",12,172870,133770948,-0.451,"GSM2403569_8622007083_R06C02",1.24473179816081
"77",13,19110000,115079939,-0.4702,"GSM2403569_8622007083_R06C02",1.24473179816081
"78",14,19325000,107119770,-0.3563,"GSM2403569_8622007083_R06C02",1.24473179816081
"79",15,20225000,102410696,-0.2294,"GSM2403569_8622007083_R06C02",1.24473179816081
"80",16,105000,90222377,-0.0771,"GSM2403569_8622007083_R06C02",1.24473179816081
"81",17,25000,81122605,-0.0907,"GSM2403569_8622007083_R06C02",1.24473179816081
"82",18,80000,77983624,-0.3874,"GSM2403569_8622007083_R06C02",1.24473179816081
"83",19,180000,59084492,-0.258,"GSM2403569_8622007083_R06C02",1.24473179816081
"84",2,130000,243026238,-0.1844,"GSM2403569_8622007083_R06C02",1.24473179816081
"85",20,155000,62907760,-0.2715,"GSM2403569_8622007083_R06C02",1.24473179816081
"86",21,10848948,48084948,-0.1491,"GSM2403569_8622007083_R06C02",1.24473179816081
"87",22,16373925,25575000,-0.3144,"GSM2403569_8622007083_R06C02",1.24473179816081
"88",22,25675000,51222283,-0.9157,"GSM2403569_8622007083_R06C02",1.24473179816081
"89",3,155000,197831215,-0.1282,"GSM2403569_8622007083_R06C02",1.24473179816081
"90",4,55000,190972138,-0.2722,"GSM2403569_8622007083_R06C02",1.24473179816081
"91",5,55000,180777630,-0.4094,"GSM2403569_8622007083_R06C02",1.24473179816081
"92",6,155000,170952534,-0.2513,"GSM2403569_8622007083_R06C02",1.24473179816081
"93",7,55000,159039332,-0.1167,"GSM2403569_8622007083_R06C02",1.24473179816081
"94",8,105000,146277011,-0.0889,"GSM2403569_8622007083_R06C02",1.24473179816081
"95",9,130000,141076716,-0.2986,"GSM2403569_8622007083_R06C02",1.24473179816081
"96",1,635684,249195311,-0.012,"GSM2403590_8622007091_R01C02",0.729388700764881
"97",10,105000,4300000,0.2076,"GSM2403590_8622007091_R01C02",0.729388700764881
"98",10,4625000,135462374,-0.1362,"GSM2403590_8622007091_R01C02",0.729388700764881
"99",11,130000,134873258,-0.0489,"GSM2403590_8622007091_R01C02",0.729388700764881
"100",12,172870,133770948,-0.0265,"GSM2403590_8622007091_R01C02",0.729388700764881
"101",13,19110000,115079939,-0.0748,"GSM2403590_8622007091_R01C02",0.729388700764881
"102",14,19325000,20025000,0.3615,"GSM2403590_8622007091_R01C02",0.729388700764881
"103",14,20450000,107119770,-0.1704,"GSM2403590_8622007091_R01C02",0.729388700764881
"104",15,20225000,102410696,-0.1281,"GSM2403590_8622007091_R01C02",0.729388700764881
"105",16,105000,90222377,0.013,"GSM2403590_8622007091_R01C02",0.729388700764881
"106",17,25000,81122605,-0.0305,"GSM2403590_8622007091_R01C02",0.729388700764881
"107",18,80000,77983624,-0.0341,"GSM2403590_8622007091_R01C02",0.729388700764881
"108",19,180000,59084492,-0.0162,"GSM2403590_8622007091_R01C02",0.729388700764881
"109",2,130000,243026238,-0.0884,"GSM2403590_8622007091_R01C02",0.729388700764881
"110",20,155000,62907760,-0.118,"GSM2403590_8622007091_R01C02",0.729388700764881
"111",21,10848948,48084948,0.0209,"GSM2403590_8622007091_R01C02",0.729388700764881
"112",22,16373925,51222283,-0.1098,"GSM2403590_8622007091_R01C02",0.729388700764881
"113",3,155000,197831215,-0.0692,"GSM2403590_8622007091_R01C02",0.729388700764881
"114",4,55000,190972138,-0.1201,"GSM2403590_8622007091_R01C02",0.729388700764881
"115",5,55000,180777630,-0.1288,"GSM2403590_8622007091_R01C02",0.729388700764881
"116",6,155000,32375000,-0.0114,"GSM2403590_8622007091_R01C02",0.729388700764881
"117",6,32425000,32650000,-0.7315,"GSM2403590_8622007091_R01C02",0.729388700764881
"118",6,32725000,170952534,-0.0385,"GSM2403590_8622007091_R01C02",0.729388700764881
"119",7,55000,159039332,-0.0119,"GSM2403590_8622007091_R01C02",0.729388700764881
"120",8,105000,146277011,-0.07,"GSM2403590_8622007091_R01C02",0.729388700764881
"121",9,130000,3.5e+07,-0.4627,"GSM2403590_8622007091_R01C02",0.729388700764881
"122",9,35075000,141076716,-0.0098,"GSM2403590_8622007091_R01C02",0.729388700764881
"123",1,635684,147475000,-0.0671,"GSM2403607_8622007118_R04C01",0.69611911765878
"124",1,147725000,148927230,0.2901,"GSM2403607_8622007118_R04C01",0.69611911765878
"125",1,149077230,249195311,-0.1032,"GSM2403607_8622007118_R04C01",0.69611911765878
"126",10,105000,4300000,0.1611,"GSM2403607_8622007118_R04C01",0.69611911765878
"127",10,4625000,135462374,-0.1767,"GSM2403607_8622007118_R04C01",0.69611911765878
"128",11,130000,134873258,-0.0597,"GSM2403607_8622007118_R04C01",0.69611911765878
"129",12,172870,11525000,-0.0373,"GSM2403607_8622007118_R04C01",0.69611911765878
"130",12,11775000,16775000,-0.635,"GSM2403607_8622007118_R04C01",0.69611911765878
"131",12,17750000,21200000,0.2311,"GSM2403607_8622007118_R04C01",0.69611911765878
"132",12,21600000,133770948,-0.1174,"GSM2403607_8622007118_R04C01",0.69611911765878
"133",13,19110000,23625000,-0.0502,"GSM2403607_8622007118_R04C01",0.69611911765878
"134",13,23850000,25325000,-0.6152,"GSM2403607_8622007118_R04C01",0.69611911765878
"135",13,25425000,37500000,-0.1521,"GSM2403607_8622007118_R04C01",0.69611911765878
"136",13,37575000,52775000,-0.6342,"GSM2403607_8622007118_R04C01",0.69611911765878
"137",13,52900000,115079939,-0.0466,"GSM2403607_8622007118_R04C01",0.69611911765878
"138",14,19325000,20450000,0.4899,"GSM2403607_8622007118_R04C01",0.69611911765878
"139",14,20800000,107119770,-0.1314,"GSM2403607_8622007118_R04C01",0.69611911765878
"140",15,20225000,102410696,-0.0437,"GSM2403607_8622007118_R04C01",0.69611911765878
"141",16,105000,90222377,-0.0014,"GSM2403607_8622007118_R04C01",0.69611911765878
"142",17,25000,81122605,-0.0549,"GSM2403607_8622007118_R04C01",0.69611911765878
"143",18,80000,77983624,-0.1133,"GSM2403607_8622007118_R04C01",0.69611911765878
"144",19,180000,12625000,-0.0338,"GSM2403607_8622007118_R04C01",0.69611911765878
"145",19,12675000,13025000,-0.3787,"GSM2403607_8622007118_R04C01",0.69611911765878
"146",19,13075000,35925000,-0.0059,"GSM2403607_8622007118_R04C01",0.69611911765878
"147",19,36025000,38350000,-0.5639,"GSM2403607_8622007118_R04C01",0.69611911765878
"148",19,38550000,42325000,-0.0386,"GSM2403607_8622007118_R04C01",0.69611911765878
"149",19,42375000,42925000,-0.4245,"GSM2403607_8622007118_R04C01",0.69611911765878
"150",19,43150000,57925000,-0.07,"GSM2403607_8622007118_R04C01",0.69611911765878
"151",19,57975000,59084492,-0.5151,"GSM2403607_8622007118_R04C01",0.69611911765878
"152",2,130000,243026238,-0.0596,"GSM2403607_8622007118_R04C01",0.69611911765878
"153",20,155000,62907760,-0.0999,"GSM2403607_8622007118_R04C01",0.69611911765878
"154",21,10848948,48084948,-0.0521,"GSM2403607_8622007118_R04C01",0.69611911765878
"155",22,16373925,51222283,-0.0345,"GSM2403607_8622007118_R04C01",0.69611911765878
"156",3,155000,197831215,-0.078,"GSM2403607_8622007118_R04C01",0.69611911765878
"157",4,55000,190972138,-0.1003,"GSM2403607_8622007118_R04C01",0.69611911765878
"158",5,55000,180777630,-0.0756,"GSM2403607_8622007118_R04C01",0.69611911765878
"159",6,155000,170952534,-0.1299,"GSM2403607_8622007118_R04C01",0.69611911765878
"160",7,55000,159039332,0.1883,"GSM2403607_8622007118_R04C01",0.69611911765878
"161",8,105000,146277011,-0.0627,"GSM2403607_8622007118_R04C01",0.69611911765878
"162",9,130000,28375000,-0.5645,"GSM2403607_8622007118_R04C01",0.69611911765878
"163",9,30825000,141076716,-0.0392,"GSM2403607_8622007118_R04C01",0.69611911765878
"164",1,635684,79250000,0.1145,"GSM2403735_9007225086_R05C01",0.869887451377574
"165",1,8e+07,110675000,-0.4121,"GSM2403735_9007225086_R05C01",0.869887451377574
"166",1,110750000,249195311,0.0263,"GSM2403735_9007225086_R05C01",0.869887451377574
"167",10,105000,135462374,-0.3501,"GSM2403735_9007225086_R05C01",0.869887451377574
"168",11,130000,134873258,-0.1204,"GSM2403735_9007225086_R05C01",0.869887451377574
"169",12,172870,325000,-0.6636,"GSM2403735_9007225086_R05C01",0.869887451377574
"170",12,425000,4500000,0.4238,"GSM2403735_9007225086_R05C01",0.869887451377574
"171",12,4575000,8225000,-0.05,"GSM2403735_9007225086_R05C01",0.869887451377574
"172",12,8300000,9625000,0.4102,"GSM2403735_9007225086_R05C01",0.869887451377574
"173",12,9825000,133770948,-0.1403,"GSM2403735_9007225086_R05C01",0.869887451377574
"174",13,19110000,22075000,-0.0999,"GSM2403735_9007225086_R05C01",0.869887451377574
"175",13,22175000,25425000,-0.7116,"GSM2403735_9007225086_R05C01",0.869887451377574
