"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0643,"GSM2403088_6229017103_R06C01"
"2",10,105000,135462374,-0.4239,"GSM2403088_6229017103_R06C01"
"3",11,130000,134873258,0.0431,"GSM2403088_6229017103_R06C01"
"4",12,172870,57125000,0.043,"GSM2403088_6229017103_R06C01"
"5",12,57275000,57925000,0.3205,"GSM2403088_6229017103_R06C01"
"6",12,57975000,133770948,0.0396,"GSM2403088_6229017103_R06C01"
"7",13,19110000,115079939,-0.0404,"GSM2403088_6229017103_R06C01"
"8",14,19325000,107119770,0.0471,"GSM2403088_6229017103_R06C01"
"9",15,20225000,102410696,0.0591,"GSM2403088_6229017103_R06C01"
"10",16,105000,90222377,0.0531,"GSM2403088_6229017103_R06C01"
"11",17,25000,81122605,-0.0099,"GSM2403088_6229017103_R06C01"
"12",18,80000,77983624,-0.0501,"GSM2403088_6229017103_R06C01"
"13",19,180000,59084492,0.2156,"GSM2403088_6229017103_R06C01"
"14",2,130000,243026238,-0.0033,"GSM2403088_6229017103_R06C01"
"15",20,155000,62907760,0.0066,"GSM2403088_6229017103_R06C01"
"16",21,10848948,48084948,0.0376,"GSM2403088_6229017103_R06C01"
"17",22,16373925,51222283,0.0472,"GSM2403088_6229017103_R06C01"
"18",3,155000,197831215,0.0342,"GSM2403088_6229017103_R06C01"
"19",4,55000,190972138,-0.0172,"GSM2403088_6229017103_R06C01"
"20",5,55000,180777630,0.0325,"GSM2403088_6229017103_R06C01"
"21",6,155000,161425000,-0.0047,"GSM2403088_6229017103_R06C01"
"22",6,161575000,164800000,-0.4595,"GSM2403088_6229017103_R06C01"
"23",6,165550000,170952534,0.02,"GSM2403088_6229017103_R06C01"
"24",7,55000,159039332,0.2412,"GSM2403088_6229017103_R06C01"
"25",8,105000,146277011,0.0083,"GSM2403088_6229017103_R06C01"
"26",9,130000,141076716,0.0439,"GSM2403088_6229017103_R06C01"
"27",1,635684,249195311,0.0653,"GSM2403089_6229017111_R01C02"
"28",10,105000,135462374,-0.3645,"GSM2403089_6229017111_R01C02"
"29",11,130000,134873258,0.0465,"GSM2403089_6229017111_R01C02"
"30",12,172870,133770948,0.0399,"GSM2403089_6229017111_R01C02"
"31",13,19110000,115079939,-0.0188,"GSM2403089_6229017111_R01C02"
"32",14,19325000,107119770,0.0438,"GSM2403089_6229017111_R01C02"
"33",15,20225000,102410696,0.0572,"GSM2403089_6229017111_R01C02"
"34",16,105000,90222377,0.0592,"GSM2403089_6229017111_R01C02"
"35",17,25000,22156503,-0.0122,"GSM2403089_6229017111_R01C02"
"36",17,25431503,30450000,-0.3294,"GSM2403089_6229017111_R01C02"
"37",17,30600000,81122605,-0.0069,"GSM2403089_6229017111_R01C02"
"38",18,80000,77983624,-0.0552,"GSM2403089_6229017111_R01C02"
"39",19,180000,59084492,0.1835,"GSM2403089_6229017111_R01C02"
"40",2,130000,103100000,3e-04,"GSM2403089_6229017111_R01C02"
"41",2,103225000,110325669,-0.4232,"GSM2403089_6229017111_R01C02"
"42",2,110675000,243026238,0.0059,"GSM2403089_6229017111_R01C02"
"43",20,155000,62907760,0.0046,"GSM2403089_6229017111_R01C02"
"44",21,10848948,48084948,0.0298,"GSM2403089_6229017111_R01C02"
"45",22,16373925,51222283,0.0442,"GSM2403089_6229017111_R01C02"
"46",3,155000,197831215,0.0347,"GSM2403089_6229017111_R01C02"
"47",4,55000,190972138,-0.0235,"GSM2403089_6229017111_R01C02"
"48",5,55000,180777630,0.0307,"GSM2403089_6229017111_R01C02"
"49",6,155000,115450000,0.0032,"GSM2403089_6229017111_R01C02"
"50",6,116300000,159650000,-0.4825,"GSM2403089_6229017111_R01C02"
"51",6,159900000,170952534,0.0406,"GSM2403089_6229017111_R01C02"
"52",7,55000,16750000,0.0197,"GSM2403089_6229017111_R01C02"
"53",7,16850000,38525000,0.2978,"GSM2403089_6229017111_R01C02"
"54",7,38700000,54625000,0.0637,"GSM2403089_6229017111_R01C02"
"55",7,54725000,55625000,1.1028,"GSM2403089_6229017111_R01C02"
"56",7,55725000,73550000,0.0135,"GSM2403089_6229017111_R01C02"
"57",7,73625000,159039332,0.2687,"GSM2403089_6229017111_R01C02"
"58",8,105000,146277011,0.0176,"GSM2403089_6229017111_R01C02"
"59",9,130000,2.1e+07,-0.1527,"GSM2403089_6229017111_R01C02"
"60",9,21700000,28375000,-1.9879,"GSM2403089_6229017111_R01C02"
"61",9,30825000,141076716,0.062,"GSM2403089_6229017111_R01C02"
"62",1,635684,55625000,0.2948,"GSM2403095_6229017120_R05C01"
"63",1,55850000,58500000,0.5042,"GSM2403095_6229017120_R05C01"
"64",1,58850000,249195311,0.3149,"GSM2403095_6229017120_R05C01"
"65",10,105000,135462374,-0.3922,"GSM2403095_6229017120_R05C01"
"66",11,130000,134873258,0.1219,"GSM2403095_6229017120_R05C01"
"67",12,172870,133770948,-0.0465,"GSM2403095_6229017120_R05C01"
"68",13,19110000,115079939,-0.0926,"GSM2403095_6229017120_R05C01"
"69",14,19325000,107119770,-0.0457,"GSM2403095_6229017120_R05C01"
"70",15,20225000,102410696,0.0097,"GSM2403095_6229017120_R05C01"
"71",16,105000,90222377,-0.0198,"GSM2403095_6229017120_R05C01"
"72",17,25000,73725000,-0.107,"GSM2403095_6229017120_R05C01"
"73",17,73775000,81122605,0.1873,"GSM2403095_6229017120_R05C01"
"74",18,80000,77983624,0.1685,"GSM2403095_6229017120_R05C01"
"75",19,180000,59084492,0.1198,"GSM2403095_6229017120_R05C01"
"76",2,130000,243026238,-0.0425,"GSM2403095_6229017120_R05C01"
"77",20,155000,62907760,0.2267,"GSM2403095_6229017120_R05C01"
"78",21,10848948,48084948,0.1469,"GSM2403095_6229017120_R05C01"
"79",22,16373925,23525000,0.2566,"GSM2403095_6229017120_R05C01"
"80",22,23650000,51222283,-0.0517,"GSM2403095_6229017120_R05C01"
"81",3,155000,197831215,0.1208,"GSM2403095_6229017120_R05C01"
"82",4,55000,190972138,-0.0847,"GSM2403095_6229017120_R05C01"
"83",5,55000,180777630,-0.0302,"GSM2403095_6229017120_R05C01"
"84",6,155000,170952534,-0.0874,"GSM2403095_6229017120_R05C01"
"85",7,55000,17500000,-0.0445,"GSM2403095_6229017120_R05C01"
"86",7,17875000,53200000,0.2115,"GSM2403095_6229017120_R05C01"
"87",7,53950000,55625000,1.1436,"GSM2403095_6229017120_R05C01"
"88",7,55725000,63100000,0.2149,"GSM2403095_6229017120_R05C01"
"89",7,63275000,159039332,-0.0341,"GSM2403095_6229017120_R05C01"
"90",8,105000,146277011,-0.0389,"GSM2403095_6229017120_R05C01"
"91",9,130000,141076716,-0.0031,"GSM2403095_6229017120_R05C01"
"92",1,635684,10600000,-0.2165,"GSM2403097_6229017103_R03C02"
"93",1,10675000,249195311,0.048,"GSM2403097_6229017103_R03C02"
"94",10,105000,135462374,-0.3134,"GSM2403097_6229017103_R03C02"
"95",11,130000,49850000,0.0285,"GSM2403097_6229017103_R03C02"
"96",11,50050000,62325000,-0.2811,"GSM2403097_6229017103_R03C02"
"97",11,62375000,134873258,0.0167,"GSM2403097_6229017103_R03C02"
"98",12,172870,133770948,0.027,"GSM2403097_6229017103_R03C02"
