"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,-0.0017,"GSM2404306_9407201030_R06C02",0.486109145706295
"2",10,105000,135462374,-0.0089,"GSM2404306_9407201030_R06C02",0.486109145706295
"3",11,130000,134873258,-0.0388,"GSM2404306_9407201030_R06C02",0.486109145706295
"4",12,172870,133770948,-0.0631,"GSM2404306_9407201030_R06C02",0.486109145706295
"5",13,19110000,115079939,-0.0675,"GSM2404306_9407201030_R06C02",0.486109145706295
"6",14,19325000,107119770,-0.0102,"GSM2404306_9407201030_R06C02",0.486109145706295
"7",15,20225000,102410696,-0.0107,"GSM2404306_9407201030_R06C02",0.486109145706295
"8",16,105000,90222377,0.0167,"GSM2404306_9407201030_R06C02",0.486109145706295
"9",17,25000,81122605,-0.0348,"GSM2404306_9407201030_R06C02",0.486109145706295
"10",18,80000,77983624,-0.0601,"GSM2404306_9407201030_R06C02",0.486109145706295
"11",19,180000,59084492,-0.0061,"GSM2404306_9407201030_R06C02",0.486109145706295
"12",2,130000,243026238,-0.0454,"GSM2404306_9407201030_R06C02",0.486109145706295
"13",20,155000,62907760,-0.0353,"GSM2404306_9407201030_R06C02",0.486109145706295
"14",21,10848948,48084948,0.0149,"GSM2404306_9407201030_R06C02",0.486109145706295
"15",22,16373925,51222283,0.0259,"GSM2404306_9407201030_R06C02",0.486109145706295
"16",3,155000,197831215,-0.0642,"GSM2404306_9407201030_R06C02",0.486109145706295
"17",4,55000,190972138,-0.0816,"GSM2404306_9407201030_R06C02",0.486109145706295
"18",5,55000,180777630,-0.0456,"GSM2404306_9407201030_R06C02",0.486109145706295
"19",6,155000,32375000,-0.051,"GSM2404306_9407201030_R06C02",0.486109145706295
"20",6,32425000,32650000,-0.4999,"GSM2404306_9407201030_R06C02",0.486109145706295
"21",6,32725000,170952534,-0.0661,"GSM2404306_9407201030_R06C02",0.486109145706295
"22",7,55000,159039332,-0.0029,"GSM2404306_9407201030_R06C02",0.486109145706295
"23",8,105000,88875000,-0.024,"GSM2404306_9407201030_R06C02",0.486109145706295
"24",8,89100000,94075000,-0.2851,"GSM2404306_9407201030_R06C02",0.486109145706295
"25",8,94375000,146277011,-0.0459,"GSM2404306_9407201030_R06C02",0.486109145706295
"26",9,130000,141076716,0.0064,"GSM2404306_9407201030_R06C02",0.486109145706295
"27",1,635684,249195311,-0.0219,"GSM2404367_9407210090_R02C02",0.564535641532488
"28",10,105000,135462374,-0.0063,"GSM2404367_9407210090_R02C02",0.564535641532488
"29",11,130000,134873258,-0.0295,"GSM2404367_9407210090_R02C02",0.564535641532488
"30",12,172870,133770948,-0.0226,"GSM2404367_9407210090_R02C02",0.564535641532488
"31",13,19110000,115079939,-8e-04,"GSM2404367_9407210090_R02C02",0.564535641532488
"32",14,19325000,36625000,-0.0346,"GSM2404367_9407210090_R02C02",0.564535641532488
"33",14,36975000,39125000,-0.3739,"GSM2404367_9407210090_R02C02",0.564535641532488
"34",14,39575000,107119770,-0.048,"GSM2404367_9407210090_R02C02",0.564535641532488
"35",15,20225000,83725000,-0.0312,"GSM2404367_9407210090_R02C02",0.564535641532488
"36",15,83850000,84250000,-0.4481,"GSM2404367_9407210090_R02C02",0.564535641532488
"37",15,84667237,102410696,0.0068,"GSM2404367_9407210090_R02C02",0.564535641532488
"38",16,105000,90222377,0.0253,"GSM2404367_9407210090_R02C02",0.564535641532488
"39",17,25000,81122605,-0.0864,"GSM2404367_9407210090_R02C02",0.564535641532488
"40",18,80000,77983624,-0.1414,"GSM2404367_9407210090_R02C02",0.564535641532488
"41",19,180000,59084492,-0.0626,"GSM2404367_9407210090_R02C02",0.564535641532488
"42",2,130000,243026238,-0.0414,"GSM2404367_9407210090_R02C02",0.564535641532488
"43",20,155000,62907760,-0.067,"GSM2404367_9407210090_R02C02",0.564535641532488
"44",21,10848948,48084948,-0.0171,"GSM2404367_9407210090_R02C02",0.564535641532488
"45",22,16373925,51222283,-0.0468,"GSM2404367_9407210090_R02C02",0.564535641532488
"46",3,155000,197831215,-0.0347,"GSM2404367_9407210090_R02C02",0.564535641532488
"47",4,55000,190972138,-0.0972,"GSM2404367_9407210090_R02C02",0.564535641532488
"48",5,55000,180777630,-0.028,"GSM2404367_9407210090_R02C02",0.564535641532488
"49",6,155000,170952534,-0.0256,"GSM2404367_9407210090_R02C02",0.564535641532488
"50",7,55000,159039332,0.0139,"GSM2404367_9407210090_R02C02",0.564535641532488
"51",8,105000,146277011,-0.0352,"GSM2404367_9407210090_R02C02",0.564535641532488
"52",9,130000,141076716,-0.0165,"GSM2404367_9407210090_R02C02",0.564535641532488
"53",1,635684,249195311,-0.0168,"GSM2404733_9741950101_R05C01",0.592036581813567
"54",10,105000,135462374,-0.0142,"GSM2404733_9741950101_R05C01",0.592036581813567
"55",11,130000,134873258,-0.0505,"GSM2404733_9741950101_R05C01",0.592036581813567
"56",12,172870,133770948,-0.0491,"GSM2404733_9741950101_R05C01",0.592036581813567
"57",13,19110000,115079939,-0.0466,"GSM2404733_9741950101_R05C01",0.592036581813567
"58",14,19325000,107119770,-0.0315,"GSM2404733_9741950101_R05C01",0.592036581813567
"59",15,20225000,102410696,-0.0189,"GSM2404733_9741950101_R05C01",0.592036581813567
"60",16,105000,90222377,0.0123,"GSM2404733_9741950101_R05C01",0.592036581813567
"61",17,25000,81122605,-0.0467,"GSM2404733_9741950101_R05C01",0.592036581813567
"62",18,80000,77983624,-0.0739,"GSM2404733_9741950101_R05C01",0.592036581813567
"63",19,180000,59084492,-0.0305,"GSM2404733_9741950101_R05C01",0.592036581813567
"64",2,130000,210425000,-0.0403,"GSM2404733_9741950101_R05C01",0.592036581813567
"65",2,210725000,214050000,-0.28,"GSM2404733_9741950101_R05C01",0.592036581813567
"66",2,214675000,243026238,0.0164,"GSM2404733_9741950101_R05C01",0.592036581813567
"67",20,155000,62907760,-0.0415,"GSM2404733_9741950101_R05C01",0.592036581813567
"68",21,10848948,48084948,0.0023,"GSM2404733_9741950101_R05C01",0.592036581813567
"69",22,16373925,51222283,-0.0019,"GSM2404733_9741950101_R05C01",0.592036581813567
"70",3,155000,197831215,-0.0626,"GSM2404733_9741950101_R05C01",0.592036581813567
"71",4,55000,190972138,-0.0874,"GSM2404733_9741950101_R05C01",0.592036581813567
"72",5,55000,180777630,-0.0386,"GSM2404733_9741950101_R05C01",0.592036581813567
"73",6,155000,32375000,-0.0425,"GSM2404733_9741950101_R05C01",0.592036581813567
"74",6,32425000,32650000,-0.7423,"GSM2404733_9741950101_R05C01",0.592036581813567
"75",6,32725000,170952534,-0.0581,"GSM2404733_9741950101_R05C01",0.592036581813567
"76",7,55000,159039332,-0.0055,"GSM2404733_9741950101_R05C01",0.592036581813567
"77",8,105000,146277011,-0.0396,"GSM2404733_9741950101_R05C01",0.592036581813567
"78",9,130000,141076716,-0.0038,"GSM2404733_9741950101_R05C01",0.592036581813567
"79",1,635684,249195311,-5e-04,"GSM2405064_9969477104_R02C02",0.506653292094497
"80",10,105000,135462374,0.0039,"GSM2405064_9969477104_R02C02",0.506653292094497
"81",11,130000,134873258,-0.0044,"GSM2405064_9969477104_R02C02",0.506653292094497
"82",12,172870,133770948,-0.011,"GSM2405064_9969477104_R02C02",0.506653292094497
"83",13,19110000,115079939,-0.0103,"GSM2405064_9969477104_R02C02",0.506653292094497
"84",14,19325000,107119770,-0.0119,"GSM2405064_9969477104_R02C02",0.506653292094497
"85",15,20225000,102410696,-0.003,"GSM2405064_9969477104_R02C02",0.506653292094497
"86",16,105000,90222377,0.0218,"GSM2405064_9969477104_R02C02",0.506653292094497
"87",17,25000,81122605,-0.0614,"GSM2405064_9969477104_R02C02",0.506653292094497
"88",18,80000,77983624,-0.1081,"GSM2405064_9969477104_R02C02",0.506653292094497
"89",19,180000,59084492,-0.0344,"GSM2405064_9969477104_R02C02",0.506653292094497
"90",2,130000,243026238,-0.0249,"GSM2405064_9969477104_R02C02",0.506653292094497
"91",20,155000,62907760,-0.0442,"GSM2405064_9969477104_R02C02",0.506653292094497
"92",21,10848948,48084948,-0.0051,"GSM2405064_9969477104_R02C02",0.506653292094497
"93",22,16373925,51222283,0.0058,"GSM2405064_9969477104_R02C02",0.506653292094497
"94",3,155000,197831215,-0.0226,"GSM2405064_9969477104_R02C02",0.506653292094497
"95",4,55000,190972138,-0.0668,"GSM2405064_9969477104_R02C02",0.506653292094497
