"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,0.2234,"GSM2402870_5684819026_R01C02",0.626170099475139
"2",10,105000,4625000,-0.7246,"GSM2402870_5684819026_R01C02",0.626170099475139
"3",10,4875000,105625000,-0.2451,"GSM2402870_5684819026_R01C02",0.626170099475139
"4",10,105675000,130525000,-0.7811,"GSM2402870_5684819026_R01C02",0.626170099475139
"5",10,130675000,135462374,-0.1776,"GSM2402870_5684819026_R01C02",0.626170099475139
"6",11,130000,10100000,-0.2169,"GSM2402870_5684819026_R01C02",0.626170099475139
"7",11,10325000,67625000,0.0689,"GSM2402870_5684819026_R01C02",0.626170099475139
"8",11,67775000,112025000,-0.265,"GSM2402870_5684819026_R01C02",0.626170099475139
"9",11,112075000,134873258,0.0564,"GSM2402870_5684819026_R01C02",0.626170099475139
"10",12,172870,38525000,0.0189,"GSM2402870_5684819026_R01C02",0.626170099475139
"11",12,38650000,133770948,-0.2368,"GSM2402870_5684819026_R01C02",0.626170099475139
"12",13,19110000,115079939,0.2986,"GSM2402870_5684819026_R01C02",0.626170099475139
"13",14,19325000,107119770,-0.2092,"GSM2402870_5684819026_R01C02",0.626170099475139
"14",15,20225000,98525000,0.0447,"GSM2402870_5684819026_R01C02",0.626170099475139
"15",15,98750000,99675000,1.3939,"GSM2402870_5684819026_R01C02",0.626170099475139
"16",15,99825000,102410696,0.0349,"GSM2402870_5684819026_R01C02",0.626170099475139
"17",16,105000,90222377,0.0546,"GSM2402870_5684819026_R01C02",0.626170099475139
"18",17,25000,46825000,-0.2018,"GSM2402870_5684819026_R01C02",0.626170099475139
"19",17,46900000,47400000,-0.7627,"GSM2402870_5684819026_R01C02",0.626170099475139
"20",17,47500000,81122605,-0.1997,"GSM2402870_5684819026_R01C02",0.626170099475139
"21",18,80000,77225000,-0.2958,"GSM2402870_5684819026_R01C02",0.626170099475139
"22",18,77275000,77983624,-0.649,"GSM2402870_5684819026_R01C02",0.626170099475139
"23",19,180000,59084492,0.0157,"GSM2402870_5684819026_R01C02",0.626170099475139
"24",2,130000,8750000,0.1369,"GSM2402870_5684819026_R01C02",0.626170099475139
"25",2,8825000,10275000,0.9484,"GSM2402870_5684819026_R01C02",0.626170099475139
"26",2,10350000,14775000,0.1404,"GSM2402870_5684819026_R01C02",0.626170099475139
"27",2,15250000,16825000,1.326,"GSM2402870_5684819026_R01C02",0.626170099475139
"28",2,17275000,39975000,0.0165,"GSM2402870_5684819026_R01C02",0.626170099475139
"29",2,40250000,243026238,0.2522,"GSM2402870_5684819026_R01C02",0.626170099475139
"30",20,155000,62907760,0.1331,"GSM2402870_5684819026_R01C02",0.626170099475139
"31",21,10848948,48084948,0.0332,"GSM2402870_5684819026_R01C02",0.626170099475139
"32",22,16373925,51222283,0.0607,"GSM2402870_5684819026_R01C02",0.626170099475139
"33",3,155000,197831215,-0.2758,"GSM2402870_5684819026_R01C02",0.626170099475139
"34",4,55000,190972138,-0.2987,"GSM2402870_5684819026_R01C02",0.626170099475139
"35",5,55000,29900000,0.0163,"GSM2402870_5684819026_R01C02",0.626170099475139
"36",5,31025000,37025000,-0.2827,"GSM2402870_5684819026_R01C02",0.626170099475139
"37",5,37275000,62500000,0.0708,"GSM2402870_5684819026_R01C02",0.626170099475139
"38",5,63275000,64050000,-0.8708,"GSM2402870_5684819026_R01C02",0.626170099475139
"39",5,64225000,81575000,-0.2778,"GSM2402870_5684819026_R01C02",0.626170099475139
"40",5,81975000,112250000,-0.8926,"GSM2402870_5684819026_R01C02",0.626170099475139
"41",5,112325000,114525000,-0.3421,"GSM2402870_5684819026_R01C02",0.626170099475139
"42",5,114575000,114925000,-0.796,"GSM2402870_5684819026_R01C02",0.626170099475139
"43",5,115050000,180777630,-0.2453,"GSM2402870_5684819026_R01C02",0.626170099475139
"44",6,155000,32375000,-0.2992,"GSM2402870_5684819026_R01C02",0.626170099475139
"45",6,32425000,32650000,-1.9341,"GSM2402870_5684819026_R01C02",0.626170099475139
"46",6,32725000,170952534,-0.3158,"GSM2402870_5684819026_R01C02",0.626170099475139
"47",7,55000,54625000,0.2727,"GSM2402870_5684819026_R01C02",0.626170099475139
"48",7,54725000,56050000,1.0882,"GSM2402870_5684819026_R01C02",0.626170099475139
"49",7,56125000,91650000,0.1364,"GSM2402870_5684819026_R01C02",0.626170099475139
"50",7,91775000,92675000,1.3647,"GSM2402870_5684819026_R01C02",0.626170099475139
"51",7,93025000,132650000,0.153,"GSM2402870_5684819026_R01C02",0.626170099475139
"52",7,132950000,134500000,1.6008,"GSM2402870_5684819026_R01C02",0.626170099475139
"53",7,134575000,159039332,0.2759,"GSM2402870_5684819026_R01C02",0.626170099475139
"54",8,105000,146277011,-0.2978,"GSM2402870_5684819026_R01C02",0.626170099475139
"55",9,130000,141076716,0.1788,"GSM2402870_5684819026_R01C02",0.626170099475139
"56",1,635684,249195311,-0.013,"GSM2403896_9297949146_R06C02",0.516894954843853
"57",10,105000,135462374,-0.0417,"GSM2403896_9297949146_R06C02",0.516894954843853
"58",11,130000,50516927,-0.0382,"GSM2403896_9297949146_R06C02",0.516894954843853
"59",11,54922103,56675000,-0.4906,"GSM2403896_9297949146_R06C02",0.516894954843853
"60",11,56975000,67275000,0.0098,"GSM2403896_9297949146_R06C02",0.516894954843853
"61",11,67350000,69625000,0.2586,"GSM2403896_9297949146_R06C02",0.516894954843853
"62",11,69687348,70325000,0.564,"GSM2403896_9297949146_R06C02",0.516894954843853
"63",11,70375000,134873258,-0.2414,"GSM2403896_9297949146_R06C02",0.516894954843853
"64",12,172870,133770948,-0.0539,"GSM2403896_9297949146_R06C02",0.516894954843853
"65",13,19110000,109025000,-0.5371,"GSM2403896_9297949146_R06C02",0.516894954843853
"66",13,109450000,111975000,0.2718,"GSM2403896_9297949146_R06C02",0.516894954843853
"67",13,112075000,115079939,-0.333,"GSM2403896_9297949146_R06C02",0.516894954843853
"68",14,19325000,107119770,-0.1324,"GSM2403896_9297949146_R06C02",0.516894954843853
"69",15,20225000,102410696,-0.0272,"GSM2403896_9297949146_R06C02",0.516894954843853
"70",16,105000,90222377,0.0784,"GSM2403896_9297949146_R06C02",0.516894954843853
