"chromosome","start","end","segmean","sample","noise"
"1",1,635684,121193348,0.019,"GSM2404455_9420867121_R04C02",0.576504568761782
"2",1,121392717,145375000,0.2924,"GSM2404455_9420867121_R04C02",0.576504568761782
"3",1,145425000,249195311,0.024,"GSM2404455_9420867121_R04C02",0.576504568761782
"4",10,105000,93375000,0.0064,"GSM2404455_9420867121_R04C02",0.576504568761782
"5",10,93525000,94825000,-0.4301,"GSM2404455_9420867121_R04C02",0.576504568761782
"6",10,95025000,135462374,0.0039,"GSM2404455_9420867121_R04C02",0.576504568761782
"7",11,130000,134873258,0.0088,"GSM2404455_9420867121_R04C02",0.576504568761782
"8",12,172870,25350000,-0.3841,"GSM2404455_9420867121_R04C02",0.576504568761782
"9",12,25425000,49525000,0.0043,"GSM2404455_9420867121_R04C02",0.576504568761782
"10",12,49575000,49825000,-0.4625,"GSM2404455_9420867121_R04C02",0.576504568761782
"11",12,49925000,133770948,0.1759,"GSM2404455_9420867121_R04C02",0.576504568761782
"12",13,19110000,111225000,-0.4463,"GSM2404455_9420867121_R04C02",0.576504568761782
"13",13,111275000,115079939,-0.2169,"GSM2404455_9420867121_R04C02",0.576504568761782
"14",14,19325000,107119770,-0.4094,"GSM2404455_9420867121_R04C02",0.576504568761782
"15",15,20225000,102410696,0.0187,"GSM2404455_9420867121_R04C02",0.576504568761782
"16",16,105000,35017901,0.057,"GSM2404455_9420867121_R04C02",0.576504568761782
"17",16,46517901,90222377,-0.3177,"GSM2404455_9420867121_R04C02",0.576504568761782
"18",17,25000,81122605,0.0034,"GSM2404455_9420867121_R04C02",0.576504568761782
"19",18,80000,77983624,-0.0858,"GSM2404455_9420867121_R04C02",0.576504568761782
"20",19,180000,59084492,-0.0198,"GSM2404455_9420867121_R04C02",0.576504568761782
"21",2,130000,243026238,-0.0116,"GSM2404455_9420867121_R04C02",0.576504568761782
"22",20,155000,62907760,-0.0077,"GSM2404455_9420867121_R04C02",0.576504568761782
"23",21,10848948,48084948,0.0126,"GSM2404455_9420867121_R04C02",0.576504568761782
"24",22,16373925,51222283,0.0292,"GSM2404455_9420867121_R04C02",0.576504568761782
"25",3,155000,197831215,0.004,"GSM2404455_9420867121_R04C02",0.576504568761782
"26",4,55000,71950000,-0.017,"GSM2404455_9420867121_R04C02",0.576504568761782
"27",4,72075000,159900000,-0.5307,"GSM2404455_9420867121_R04C02",0.576504568761782
"28",4,160175000,190972138,-0.0859,"GSM2404455_9420867121_R04C02",0.576504568761782
"29",5,55000,180777630,-0.0133,"GSM2404455_9420867121_R04C02",0.576504568761782
"30",6,155000,170952534,0.0303,"GSM2404455_9420867121_R04C02",0.576504568761782
"31",7,55000,4325000,-0.321,"GSM2404455_9420867121_R04C02",0.576504568761782
"32",7,4525000,159039332,0.0204,"GSM2404455_9420867121_R04C02",0.576504568761782
"33",8,105000,146277011,-0.4411,"GSM2404455_9420867121_R04C02",0.576504568761782
"34",9,130000,141076716,0.1075,"GSM2404455_9420867121_R04C02",0.576504568761782
"35",1,635684,55225000,-0.2476,"GSM2404649_9741950027_R05C01",0.73465981572129
"36",1,55275000,109500000,-0.7152,"GSM2404649_9741950027_R05C01",0.73465981572129
"37",1,109575000,121193348,-0.1846,"GSM2404649_9741950027_R05C01",0.73465981572129
"38",1,121392717,145425000,0.3045,"GSM2404649_9741950027_R05C01",0.73465981572129
"39",1,145475000,239800000,-0.1492,"GSM2404649_9741950027_R05C01",0.73465981572129
"40",1,240150000,241425000,-0.8239,"GSM2404649_9741950027_R05C01",0.73465981572129
"41",1,241725000,249195311,-0.0516,"GSM2404649_9741950027_R05C01",0.73465981572129
"42",10,105000,135462374,-0.1767,"GSM2404649_9741950027_R05C01",0.73465981572129
"43",11,130000,69475000,-0.1921,"GSM2404649_9741950027_R05C01",0.73465981572129
"44",11,69525000,69925000,-0.6648,"GSM2404649_9741950027_R05C01",0.73465981572129
"45",11,69975000,134873258,-0.1644,"GSM2404649_9741950027_R05C01",0.73465981572129
"46",12,172870,133770948,-0.1402,"GSM2404649_9741950027_R05C01",0.73465981572129
"47",13,19110000,115079939,-0.1807,"GSM2404649_9741950027_R05C01",0.73465981572129
"48",14,19325000,61900000,-0.1139,"GSM2404649_9741950027_R05C01",0.73465981572129
"49",14,62075000,107119770,-0.7608,"GSM2404649_9741950027_R05C01",0.73465981572129
"50",15,20225000,26050000,0.1872,"GSM2404649_9741950027_R05C01",0.73465981572129
"51",15,26125000,27200000,-0.2773,"GSM2404649_9741950027_R05C01",0.73465981572129
"52",15,27500000,83725000,0.1254,"GSM2404649_9741950027_R05C01",0.73465981572129
"53",15,83850000,84250000,-0.3849,"GSM2404649_9741950027_R05C01",0.73465981572129
"54",15,84667237,102410696,0.1322,"GSM2404649_9741950027_R05C01",0.73465981572129
"55",16,105000,90222377,-0.1476,"GSM2404649_9741950027_R05C01",0.73465981572129
"56",17,25000,81122605,-0.2309,"GSM2404649_9741950027_R05C01",0.73465981572129
"57",18,80000,77983624,-0.2666,"GSM2404649_9741950027_R05C01",0.73465981572129
"58",19,180000,59084492,0.0396,"GSM2404649_9741950027_R05C01",0.73465981572129
"59",2,130000,243026238,-0.1779,"GSM2404649_9741950027_R05C01",0.73465981572129
"60",20,155000,62907760,-0.2559,"GSM2404649_9741950027_R05C01",0.73465981572129
"61",21,10848948,15475000,0.2664,"GSM2404649_9741950027_R05C01",0.73465981572129
"62",21,15650000,48084948,-0.1685,"GSM2404649_9741950027_R05C01",0.73465981572129
"63",22,16373925,51222283,-0.2119,"GSM2404649_9741950027_R05C01",0.73465981572129
"64",3,155000,197831215,0.1913,"GSM2404649_9741950027_R05C01",0.73465981572129
"65",4,55000,190972138,-0.1679,"GSM2404649_9741950027_R05C01",0.73465981572129
"66",5,55000,180777630,0.1514,"GSM2404649_9741950027_R05C01",0.73465981572129
"67",6,155000,170952534,0.1868,"GSM2404649_9741950027_R05C01",0.73465981572129
"68",7,55000,159039332,0.1739,"GSM2404649_9741950027_R05C01",0.73465981572129
"69",8,105000,7050000,-0.1115,"GSM2404649_9741950027_R05C01",0.73465981572129
"70",8,7225000,8100000,0.4612,"GSM2404649_9741950027_R05C01",0.73465981572129
"71",8,8175000,11825000,-0.2716,"GSM2404649_9741950027_R05C01",0.73465981572129
"72",8,11900000,12575000,0.3048,"GSM2404649_9741950027_R05C01",0.73465981572129
"73",8,12625000,146277011,-0.1763,"GSM2404649_9741950027_R05C01",0.73465981572129
"74",9,130000,141076716,0.1067,"GSM2404649_9741950027_R05C01",0.73465981572129
"75",1,635684,249195311,-0.1649,"GSM2405093_9969477123_R02C02",0.682796398679905
"76",10,105000,135462374,-0.161,"GSM2405093_9969477123_R02C02",0.682796398679905
"77",11,130000,134873258,0.1308,"GSM2405093_9969477123_R02C02",0.682796398679905
"78",12,172870,133770948,-0.2002,"GSM2405093_9969477123_R02C02",0.682796398679905
"79",13,19110000,110875000,-0.3291,"GSM2405093_9969477123_R02C02",0.682796398679905
"80",13,110925000,115079939,0.0107,"GSM2405093_9969477123_R02C02",0.682796398679905
"81",14,19325000,107119770,-0.1857,"GSM2405093_9969477123_R02C02",0.682796398679905
"82",15,20225000,102410696,0.1809,"GSM2405093_9969477123_R02C02",0.682796398679905
"83",16,105000,90222377,-0.1042,"GSM2405093_9969477123_R02C02",0.682796398679905
"84",17,25000,81122605,-0.1349,"GSM2405093_9969477123_R02C02",0.682796398679905
"85",18,80000,77983624,0.1099,"GSM2405093_9969477123_R02C02",0.682796398679905
"86",19,180000,59084492,0.1389,"GSM2405093_9969477123_R02C02",0.682796398679905
"87",2,130000,243026238,-0.2228,"GSM2405093_9969477123_R02C02",0.682796398679905
"88",20,155000,62907760,-0.2028,"GSM2405093_9969477123_R02C02",0.682796398679905
"89",21,10848948,48084948,-0.1405,"GSM2405093_9969477123_R02C02",0.682796398679905
"90",22,16373925,51222283,-0.0836,"GSM2405093_9969477123_R02C02",0.682796398679905
"91",3,155000,197831215,0.0826,"GSM2405093_9969477123_R02C02",0.682796398679905
"92",4,55000,190972138,-0.2738,"GSM2405093_9969477123_R02C02",0.682796398679905
"93",5,55000,180777630,-0.0961,"GSM2405093_9969477123_R02C02",0.682796398679905
"94",6,155000,32375000,-0.2073,"GSM2405093_9969477123_R02C02",0.682796398679905
"95",6,32425000,32650000,-1.1987,"GSM2405093_9969477123_R02C02",0.682796398679905
"96",6,32725000,166775000,-0.2909,"GSM2405093_9969477123_R02C02",0.682796398679905
"97",6,166825000,170952534,0.0605,"GSM2405093_9969477123_R02C02",0.682796398679905
"98",7,55000,159039332,0.1466,"GSM2405093_9969477123_R02C02",0.682796398679905
"99",8,105000,33575000,-0.0952,"GSM2405093_9969477123_R02C02",0.682796398679905
"100",8,34325000,36800000,-0.7916,"GSM2405093_9969477123_R02C02",0.682796398679905
"101",8,37100000,42975000,-0.1775,"GSM2405093_9969477123_R02C02",0.682796398679905
"102",8,43050000,47250000,0.1742,"GSM2405093_9969477123_R02C02",0.682796398679905
"103",8,47740250,146277011,-0.2717,"GSM2405093_9969477123_R02C02",0.682796398679905
"104",9,130000,141076716,0.1713,"GSM2405093_9969477123_R02C02",0.682796398679905
"105",1,635684,249195311,-0.1464,"GSM2405107_9855358003_R05C01",0.687349350538254
"106",10,105000,135462374,-0.1766,"GSM2405107_9855358003_R05C01",0.687349350538254
"107",11,130000,56300000,-0.1923,"GSM2405107_9855358003_R05C01",0.687349350538254
"108",11,56675000,134873258,0.2272,"GSM2405107_9855358003_R05C01",0.687349350538254
"109",12,172870,114375000,-0.1826,"GSM2405107_9855358003_R05C01",0.687349350538254
"110",12,114625000,116200000,-0.48,"GSM2405107_9855358003_R05C01",0.687349350538254
"111",12,116500000,118825000,-0.0888,"GSM2405107_9855358003_R05C01",0.687349350538254
"112",12,119125000,120050000,-0.4665,"GSM2405107_9855358003_R05C01",0.687349350538254
"113",12,120125000,125675000,-0.0186,"GSM2405107_9855358003_R05C01",0.687349350538254
"114",12,125775000,131225000,-0.3206,"GSM2405107_9855358003_R05C01",0.687349350538254
"115",12,131275000,133770948,-0.0081,"GSM2405107_9855358003_R05C01",0.687349350538254
