"chrom","start.pos","end.pos","n.probes","GSM2404537_9553932008_R05C02","GSM2404538_9553932008_R06C02","GSM2404610_9741950007_R05C02","GSM2404732_9741950101_R04C01","GSM2405126_9855358058_R01C01","GSM2405127_9855358058_R03C01","GSM2405128_9855358058_R04C01","GSM2405182_9878820104_R04C02","GSM2405183_9878820105_R01C01","GSM2940795_10006823160_R01C01","GSM2941545_9741950008_R01C02"
"1",1,521369,121086696,900,-0.21,-0.066,-0.306,0.025,-0.386,-0.104,-0.219,-0.031,0.019,-0.11,-0.157
"2",1,121300001,249150001,693,0.16,-0.026,0.354,-0.021,0.248,0.226,0.222,-0.023,0.017,0.021,0.317
"3",2,10001,242950001,1282,0.121,-0.035,0.101,-0.018,0.256,0.085,0.084,0.072,0.002,0.007,0.208
"4",3,60001,197700001,978,-0.247,-0.017,-0.362,-0.064,-0.411,-0.191,-0.137,-0.039,-0.219,-0.046,-0.214
"5",4,10001,190900001,742,-0.255,-0.035,0.047,-0.057,0.034,-0.148,-0.075,0.097,-0.01,-0.044,-0.25
"6",5,10001,180650001,849,0.074,0.227,0.092,0.121,0.016,-0.144,0.043,0.067,0.017,0.016,0.126
"7",6,60001,170850001,988,0.139,0.186,0.089,-0.04,0.005,0.055,0.001,0.029,0.008,0.006,0.122
"8",7,10001,158950001,952,0.193,0.3,0.124,0.141,0.274,0.345,0.161,0.246,0.052,0.166,0.137
"9",8,10001,146250001,726,0.154,-0.007,0.108,-0.002,0.045,-0.119,0.08,0.06,0.015,0.033,-0.002
"10",9,10001,141000001,383,-0.214,-0.411,0.113,-0.045,0.028,-0.106,0.016,-0.111,-0.157,0.095,-0.037
"11",10,60001,135400001,840,-0.187,0.048,-0.309,0.003,0.055,-0.095,-0.096,-0.059,0.059,-0.105,-0.176
"12",11,60001,134800001,914,0.141,-0.006,0.092,-0.041,-0.006,-0.163,-0.018,0.015,0.01,0.009,0.091
"13",12,145740,133700001,848,0.159,0.242,0.109,-0.016,0.036,0.24,0.032,0.046,0.032,0.018,-0.004
"14",13,19020001,115050001,431,-0.257,0.057,-0.371,-0.284,-0.474,-0.548,-0.113,-0.074,0.018,-0.034,-0.067
"15",14,19000001,106950001,528,-0.165,-0.072,-0.319,-0.212,-0.392,-0.108,-0.231,-0.067,-0.181,0.03,-0.162
"16",15,20000001,102300001,571,0.177,-0.03,0.128,0.019,0.059,0.113,-0.028,0.046,0.035,0.051,0.028
"17",16,60001,90150001,624,0.163,0.113,0.123,0.033,0.047,-0.083,0.047,0.082,0.068,0.049,0.113
"18",17,1,81050001,814,0.011,-0.053,0.066,0.006,0.023,0.1,0.027,-0.003,-0.015,-0.03,0.049
"19",18,10001,77950001,243,-0.254,0.171,-0.257,-0.005,0.069,-0.088,-0.166,-0.036,-0.027,-0.059,-0.55
"20",19,60001,59050001,711,-0.048,-0.026,0.096,0.026,0.053,0.094,0.042,0.073,0.026,0.101,0.149
"21",20,60001,62850001,359,0.077,0.154,0.065,-0.016,-0.029,-0.136,-0.04,0.013,-0.035,-0.014,0.039
"22",21,10697897,48050001,157,-0.156,0.059,0.114,0.028,0.073,0.106,0.02,0.102,0.061,0.019,0.101
"23",22,16050001,51200001,300,-0.175,-0.059,0.13,0.081,0.065,-0.052,0.057,-0.043,-0.039,0.032,-0.01
