"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,-0.1286,"GSM2404139_9406922158_R06C02",0.642421294422639
"2",10,105000,135462374,-0.1217,"GSM2404139_9406922158_R06C02",0.642421294422639
"3",11,130000,50516927,-0.1426,"GSM2404139_9406922158_R06C02",0.642421294422639
"4",11,54922103,56675000,-0.5537,"GSM2404139_9406922158_R06C02",0.642421294422639
"5",11,56975000,134873258,-0.154,"GSM2404139_9406922158_R06C02",0.642421294422639
"6",12,172870,133770948,0.1843,"GSM2404139_9406922158_R06C02",0.642421294422639
"7",13,19110000,109775000,-0.237,"GSM2404139_9406922158_R06C02",0.642421294422639
"8",13,110050000,115079939,4e-04,"GSM2404139_9406922158_R06C02",0.642421294422639
"9",14,19325000,107119770,0.0635,"GSM2404139_9406922158_R06C02",0.642421294422639
"10",15,20225000,22048557,0.2498,"GSM2404139_9406922158_R06C02",0.642421294422639
"11",15,22429154,102410696,-0.1198,"GSM2404139_9406922158_R06C02",0.642421294422639
"12",16,105000,31825000,-0.0703,"GSM2404139_9406922158_R06C02",0.642421294422639
"13",16,32075000,33986575,0.2113,"GSM2404139_9406922158_R06C02",0.642421294422639
"14",16,34286575,90222377,-0.0722,"GSM2404139_9406922158_R06C02",0.642421294422639
"15",17,25000,81122605,-0.1122,"GSM2404139_9406922158_R06C02",0.642421294422639
"16",18,80000,77983624,-0.1476,"GSM2404139_9406922158_R06C02",0.642421294422639
"17",19,180000,59084492,0.0707,"GSM2404139_9406922158_R06C02",0.642421294422639
"18",2,130000,209225000,-0.1764,"GSM2404139_9406922158_R06C02",0.642421294422639
"19",2,209775000,214050000,-0.4746,"GSM2404139_9406922158_R06C02",0.642421294422639
"20",2,214675000,243026238,-0.0999,"GSM2404139_9406922158_R06C02",0.642421294422639
"21",20,155000,62907760,0.0344,"GSM2404139_9406922158_R06C02",0.642421294422639
"22",21,10848948,48084948,-0.0769,"GSM2404139_9406922158_R06C02",0.642421294422639
"23",22,16373925,51222283,-0.058,"GSM2404139_9406922158_R06C02",0.642421294422639
"24",3,155000,3175000,-0.7536,"GSM2404139_9406922158_R06C02",0.642421294422639
"25",3,3500000,197831215,-0.1886,"GSM2404139_9406922158_R06C02",0.642421294422639
"26",4,55000,190972138,-0.2011,"GSM2404139_9406922158_R06C02",0.642421294422639
"27",5,55000,180777630,0.0352,"GSM2404139_9406922158_R06C02",0.642421294422639
"28",6,155000,170952534,-0.1829,"GSM2404139_9406922158_R06C02",0.642421294422639
"29",7,55000,159039332,0.1907,"GSM2404139_9406922158_R06C02",0.642421294422639
"30",8,105000,146277011,0.1546,"GSM2404139_9406922158_R06C02",0.642421294422639
"31",9,130000,141076716,0.212,"GSM2404139_9406922158_R06C02",0.642421294422639
"32",1,635684,249195311,-0.228,"GSM2404256_9406921039_R06C01",0.768259561722264
"33",10,105000,135462374,-0.1936,"GSM2404256_9406921039_R06C01",0.768259561722264
"34",11,130000,134873258,-0.2547,"GSM2404256_9406921039_R06C01",0.768259561722264
"35",12,172870,113850000,0.0904,"GSM2404256_9406921039_R06C01",0.768259561722264
"36",12,113925000,116200000,-0.2876,"GSM2404256_9406921039_R06C01",0.768259561722264
"37",12,116500000,133770948,0.1083,"GSM2404256_9406921039_R06C01",0.768259561722264
"38",13,19110000,115079939,-0.2147,"GSM2404256_9406921039_R06C01",0.768259561722264
"39",14,19325000,107119770,0.0343,"GSM2404256_9406921039_R06C01",0.768259561722264
"40",15,20225000,102410696,-0.245,"GSM2404256_9406921039_R06C01",0.768259561722264
"41",16,105000,90222377,-0.1768,"GSM2404256_9406921039_R06C01",0.768259561722264
"42",17,25000,32175000,-0.2258,"GSM2404256_9406921039_R06C01",0.768259561722264
"43",17,32475000,32925000,-0.8193,"GSM2404256_9406921039_R06C01",0.768259561722264
"44",17,33100000,81122605,-0.2013,"GSM2404256_9406921039_R06C01",0.768259561722264
"45",18,80000,77983624,-0.2536,"GSM2404256_9406921039_R06C01",0.768259561722264
"46",19,180000,59084492,-0.0107,"GSM2404256_9406921039_R06C01",0.768259561722264
"47",2,130000,243026238,-0.2661,"GSM2404256_9406921039_R06C01",0.768259561722264
"48",20,155000,62907760,0.0349,"GSM2404256_9406921039_R06C01",0.768259561722264
"49",21,10848948,48084948,-0.2562,"GSM2404256_9406921039_R06C01",0.768259561722264
"50",22,16373925,51222283,-0.2892,"GSM2404256_9406921039_R06C01",0.768259561722264
"51",3,155000,197831215,0.2802,"GSM2404256_9406921039_R06C01",0.768259561722264
"52",4,55000,190972138,-0.2619,"GSM2404256_9406921039_R06C01",0.768259561722264
"53",5,55000,180777630,0.0278,"GSM2404256_9406921039_R06C01",0.768259561722264
"54",6,155000,170952534,-0.236,"GSM2404256_9406921039_R06C01",0.768259561722264
"55",7,55000,54725000,0.2272,"GSM2404256_9406921039_R06C01",0.768259561722264
"56",7,54825000,55725000,0.6849,"GSM2404256_9406921039_R06C01",0.768259561722264
"57",7,55875000,159039332,0.264,"GSM2404256_9406921039_R06C01",0.768259561722264
"58",8,105000,146277011,0.0273,"GSM2404256_9406921039_R06C01",0.768259561722264
"59",9,130000,141076716,0.001,"GSM2404256_9406921039_R06C01",0.768259561722264
"60",1,635684,775000,0.3557,"GSM2404421_9426021103_R05C02",0.730154769050918
"61",1,825000,249195311,-0.083,"GSM2404421_9426021103_R05C02",0.730154769050918
"62",10,105000,135462374,-0.0932,"GSM2404421_9426021103_R05C02",0.730154769050918
"63",11,130000,134873258,-0.4918,"GSM2404421_9426021103_R05C02",0.730154769050918
"64",12,172870,133770948,-0.1249,"GSM2404421_9426021103_R05C02",0.730154769050918
"65",13,19110000,115079939,-0.0244,"GSM2404421_9426021103_R05C02",0.730154769050918
"66",14,19325000,20450000,0.5748,"GSM2404421_9426021103_R05C02",0.730154769050918
"67",14,20800000,107119770,0.0533,"GSM2404421_9426021103_R05C02",0.730154769050918
"68",15,20225000,102410696,0.0503,"GSM2404421_9426021103_R05C02",0.730154769050918
"69",16,105000,31825000,-0.1112,"GSM2404421_9426021103_R05C02",0.730154769050918
"70",16,32075000,46517901,0.3389,"GSM2404421_9426021103_R05C02",0.730154769050918
"71",16,46675000,90222377,-0.1007,"GSM2404421_9426021103_R05C02",0.730154769050918
"72",17,25000,81122605,-0.2214,"GSM2404421_9426021103_R05C02",0.730154769050918
"73",18,80000,77983624,-0.1711,"GSM2404421_9426021103_R05C02",0.730154769050918
"74",19,180000,59084492,-0.128,"GSM2404421_9426021103_R05C02",0.730154769050918
"75",2,130000,89315218,-0.1186,"GSM2404421_9426021103_R05C02",0.730154769050918
"76",2,91672552,92288086,0.3259,"GSM2404421_9426021103_R05C02",0.730154769050918
"77",2,95438086,236575000,-0.1333,"GSM2404421_9426021103_R05C02",0.730154769050918
"78",2,236625000,237025000,0.3452,"GSM2404421_9426021103_R05C02",0.730154769050918
"79",2,237075000,243026238,-0.1236,"GSM2404421_9426021103_R05C02",0.730154769050918
"80",20,155000,62907760,-0.1947,"GSM2404421_9426021103_R05C02",0.730154769050918
"81",21,10848948,15475000,0.3708,"GSM2404421_9426021103_R05C02",0.730154769050918
"82",21,15650000,48084948,-0.1363,"GSM2404421_9426021103_R05C02",0.730154769050918
"83",22,16373925,51222283,-0.246,"GSM2404421_9426021103_R05C02",0.730154769050918
"84",3,155000,197831215,0.1446,"GSM2404421_9426021103_R05C02",0.730154769050918
"85",4,55000,187475000,-0.2135,"GSM2404421_9426021103_R05C02",0.730154769050918
"86",4,187525000,190972138,0.2478,"GSM2404421_9426021103_R05C02",0.730154769050918
"87",5,55000,180777630,-0.0683,"GSM2404421_9426021103_R05C02",0.730154769050918
"88",6,155000,170952534,0.1446,"GSM2404421_9426021103_R05C02",0.730154769050918
"89",7,55000,159039332,0.1439,"GSM2404421_9426021103_R05C02",0.730154769050918
