"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,0.009,"GSM2403069_6229017057_R05C01",0.486184633235006
"2",10,105000,135462374,-0.013,"GSM2403069_6229017057_R05C01",0.486184633235006
"3",11,130000,48550000,-0.0062,"GSM2403069_6229017057_R05C01",0.486184633235006
"4",11,48975000,54922103,-0.1895,"GSM2403069_6229017057_R05C01",0.486184633235006
"5",11,55350000,134873258,-0.0096,"GSM2403069_6229017057_R05C01",0.486184633235006
"6",12,172870,133770948,-0.0113,"GSM2403069_6229017057_R05C01",0.486184633235006
"7",13,19110000,115079939,-0.0817,"GSM2403069_6229017057_R05C01",0.486184633235006
"8",14,19325000,107119770,-0.0055,"GSM2403069_6229017057_R05C01",0.486184633235006
"9",15,20225000,102410696,0.0048,"GSM2403069_6229017057_R05C01",0.486184633235006
"10",16,105000,90222377,0.0024,"GSM2403069_6229017057_R05C01",0.486184633235006
"11",17,25000,81122605,-0.0312,"GSM2403069_6229017057_R05C01",0.486184633235006
"12",18,80000,77983624,-0.0765,"GSM2403069_6229017057_R05C01",0.486184633235006
"13",19,180000,59084492,-0.0062,"GSM2403069_6229017057_R05C01",0.486184633235006
"14",2,130000,243026238,-0.0429,"GSM2403069_6229017057_R05C01",0.486184633235006
"15",20,155000,62907760,-0.0359,"GSM2403069_6229017057_R05C01",0.486184633235006
"16",21,10848948,48084948,-0.0079,"GSM2403069_6229017057_R05C01",0.486184633235006
"17",22,16373925,51222283,0.0236,"GSM2403069_6229017057_R05C01",0.486184633235006
"18",3,155000,197831215,-0.0316,"GSM2403069_6229017057_R05C01",0.486184633235006
"19",4,55000,190972138,-0.0763,"GSM2403069_6229017057_R05C01",0.486184633235006
"20",5,55000,180777630,-0.0308,"GSM2403069_6229017057_R05C01",0.486184633235006
"21",6,155000,32375000,-0.0349,"GSM2403069_6229017057_R05C01",0.486184633235006
"22",6,32425000,32650000,-0.6011,"GSM2403069_6229017057_R05C01",0.486184633235006
"23",6,32725000,170952534,-0.0517,"GSM2403069_6229017057_R05C01",0.486184633235006
"24",7,55000,159039332,-0.0176,"GSM2403069_6229017057_R05C01",0.486184633235006
"25",8,105000,146277011,-0.0426,"GSM2403069_6229017057_R05C01",0.486184633235006
"26",9,130000,141076716,-0.01,"GSM2403069_6229017057_R05C01",0.486184633235006
"27",1,635684,249195311,0.0095,"GSM2403189_6929806024_R02C01",0.479561851791669
"28",10,105000,135462374,-0.018,"GSM2403189_6929806024_R02C01",0.479561851791669
"29",11,130000,36600000,-0.021,"GSM2403189_6929806024_R02C01",0.479561851791669
"30",11,38475000,43325000,-0.2247,"GSM2403189_6929806024_R02C01",0.479561851791669
"31",11,43450000,134873258,-0.0204,"GSM2403189_6929806024_R02C01",0.479561851791669
"32",12,172870,133770948,-0.0228,"GSM2403189_6929806024_R02C01",0.479561851791669
"33",13,19110000,115079939,-0.0849,"GSM2403189_6929806024_R02C01",0.479561851791669
"34",14,19325000,107119770,-0.0025,"GSM2403189_6929806024_R02C01",0.479561851791669
"35",15,20225000,102410696,0.0017,"GSM2403189_6929806024_R02C01",0.479561851791669
"36",16,105000,90222377,0.004,"GSM2403189_6929806024_R02C01",0.479561851791669
"37",17,25000,81122605,-0.0268,"GSM2403189_6929806024_R02C01",0.479561851791669
"38",18,80000,77983624,-0.0815,"GSM2403189_6929806024_R02C01",0.479561851791669
"39",19,180000,59084492,-0.0087,"GSM2403189_6929806024_R02C01",0.479561851791669
"40",2,130000,243026238,-0.0437,"GSM2403189_6929806024_R02C01",0.479561851791669
"41",20,155000,62907760,-0.0271,"GSM2403189_6929806024_R02C01",0.479561851791669
"42",21,10848948,48084948,-0.019,"GSM2403189_6929806024_R02C01",0.479561851791669
"43",22,16373925,51222283,0.0395,"GSM2403189_6929806024_R02C01",0.479561851791669
"44",3,155000,197831215,-0.0515,"GSM2403189_6929806024_R02C01",0.479561851791669
"45",4,55000,190972138,-0.0944,"GSM2403189_6929806024_R02C01",0.479561851791669
"46",5,55000,180777630,-0.0468,"GSM2403189_6929806024_R02C01",0.479561851791669
"47",6,155000,32425000,-0.0392,"GSM2403189_6929806024_R02C01",0.479561851791669
"48",6,32475000,32725000,-0.4395,"GSM2403189_6929806024_R02C01",0.479561851791669
"49",6,32775000,170952534,-0.0644,"GSM2403189_6929806024_R02C01",0.479561851791669
"50",7,55000,159039332,-0.0232,"GSM2403189_6929806024_R02C01",0.479561851791669
"51",8,105000,146277011,-0.0443,"GSM2403189_6929806024_R02C01",0.479561851791669
"52",9,130000,141076716,-0.0046,"GSM2403189_6929806024_R02C01",0.479561851791669
"53",1,635684,249195311,0.0121,"GSM2403500_8622007061_R04C02",0.496413270765909
"54",10,105000,135462374,-0.0118,"GSM2403500_8622007061_R04C02",0.496413270765909
"55",11,130000,36600000,-0.004,"GSM2403500_8622007061_R04C02",0.496413270765909
"56",11,38475000,43325000,-0.2178,"GSM2403500_8622007061_R04C02",0.496413270765909
"57",11,43450000,134873258,-0.0066,"GSM2403500_8622007061_R04C02",0.496413270765909
"58",12,172870,133770948,-0.0191,"GSM2403500_8622007061_R04C02",0.496413270765909
"59",13,19110000,115079939,-0.0711,"GSM2403500_8622007061_R04C02",0.496413270765909
"60",14,19325000,107119770,-7e-04,"GSM2403500_8622007061_R04C02",0.496413270765909
"61",15,20225000,102410696,0.0065,"GSM2403500_8622007061_R04C02",0.496413270765909
"62",16,105000,90222377,0.0114,"GSM2403500_8622007061_R04C02",0.496413270765909
"63",17,25000,81122605,-0.0317,"GSM2403500_8622007061_R04C02",0.496413270765909
"64",18,80000,77983624,-0.0705,"GSM2403500_8622007061_R04C02",0.496413270765909
"65",19,180000,59084492,-0.0158,"GSM2403500_8622007061_R04C02",0.496413270765909
"66",2,130000,243026238,-0.0355,"GSM2403500_8622007061_R04C02",0.496413270765909
"67",20,155000,62907760,-0.0255,"GSM2403500_8622007061_R04C02",0.496413270765909
"68",21,10848948,48084948,-0.0146,"GSM2403500_8622007061_R04C02",0.496413270765909
"69",22,16373925,51222283,0.0365,"GSM2403500_8622007061_R04C02",0.496413270765909
"70",3,155000,197831215,-0.0333,"GSM2403500_8622007061_R04C02",0.496413270765909
"71",4,55000,190972138,-0.0757,"GSM2403500_8622007061_R04C02",0.496413270765909
"72",5,55000,180777630,-0.0343,"GSM2403500_8622007061_R04C02",0.496413270765909
"73",6,155000,32375000,-0.0393,"GSM2403500_8622007061_R04C02",0.496413270765909
"74",6,32425000,32650000,-0.4167,"GSM2403500_8622007061_R04C02",0.496413270765909
"75",6,32725000,170952534,-0.0509,"GSM2403500_8622007061_R04C02",0.496413270765909
"76",7,55000,159039332,-0.0211,"GSM2403500_8622007061_R04C02",0.496413270765909
"77",8,105000,146277011,-0.0375,"GSM2403500_8622007061_R04C02",0.496413270765909
"78",9,130000,141076716,0.0091,"GSM2403500_8622007061_R04C02",0.496413270765909
"79",1,635684,249195311,0.0032,"GSM2403702_9007217139_R03C01",0.51225280643126
"80",10,105000,135462374,-0.0206,"GSM2403702_9007217139_R03C01",0.51225280643126
"81",11,130000,36425000,-0.0211,"GSM2403702_9007217139_R03C01",0.51225280643126
"82",11,36525000,43325000,-0.258,"GSM2403702_9007217139_R03C01",0.51225280643126
"83",11,43450000,134873258,-0.0139,"GSM2403702_9007217139_R03C01",0.51225280643126
"84",12,172870,133770948,-0.0344,"GSM2403702_9007217139_R03C01",0.51225280643126
"85",13,19110000,115079939,-0.1209,"GSM2403702_9007217139_R03C01",0.51225280643126
"86",14,19325000,107119770,-0.0118,"GSM2403702_9007217139_R03C01",0.51225280643126
"87",15,20225000,84250000,-0.0018,"GSM2403702_9007217139_R03C01",0.51225280643126
"88",15,84667237,85725000,0.2681,"GSM2403702_9007217139_R03C01",0.51225280643126
"89",15,85925000,102410696,0.0191,"GSM2403702_9007217139_R03C01",0.51225280643126
"90",16,105000,90222377,0.023,"GSM2403702_9007217139_R03C01",0.51225280643126
"91",17,25000,81122605,-0.0203,"GSM2403702_9007217139_R03C01",0.51225280643126
"92",18,80000,77983624,-0.1011,"GSM2403702_9007217139_R03C01",0.51225280643126
"93",19,180000,59084492,-0.0138,"GSM2403702_9007217139_R03C01",0.51225280643126
"94",2,130000,243026238,-0.0638,"GSM2403702_9007217139_R03C01",0.51225280643126
"95",20,155000,62907760,-0.0263,"GSM2403702_9007217139_R03C01",0.51225280643126
"96",21,10848948,48084948,-0.0158,"GSM2403702_9007217139_R03C01",0.51225280643126
"97",22,16373925,51222283,0.0491,"GSM2403702_9007217139_R03C01",0.51225280643126
"98",3,155000,197831215,-0.0511,"GSM2403702_9007217139_R03C01",0.51225280643126
"99",4,55000,190972138,-0.1139,"GSM2403702_9007217139_R03C01",0.51225280643126
"100",5,55000,180777630,-0.053,"GSM2403702_9007217139_R03C01",0.51225280643126
"101",6,155000,32425000,-0.0558,"GSM2403702_9007217139_R03C01",0.51225280643126
"102",6,32475000,32725000,-0.599,"GSM2403702_9007217139_R03C01",0.51225280643126
"103",6,32775000,170952534,-0.087,"GSM2403702_9007217139_R03C01",0.51225280643126
"104",7,55000,159039332,-0.0457,"GSM2403702_9007217139_R03C01",0.51225280643126
"105",8,105000,87525000,-0.0602,"GSM2403702_9007217139_R03C01",0.51225280643126
"106",8,88200000,91225000,-0.5289,"GSM2403702_9007217139_R03C01",0.51225280643126
"107",8,91550000,146277011,-0.0614,"GSM2403702_9007217139_R03C01",0.51225280643126
"108",9,130000,141076716,0.0105,"GSM2403702_9007217139_R03C01",0.51225280643126
"109",1,635684,249195311,-7e-04,"GSM2403751_9003865025_R02C02",0.520475016686101
"110",10,105000,135462374,-0.0145,"GSM2403751_9003865025_R02C02",0.520475016686101
"111",11,130000,134873258,-0.0155,"GSM2403751_9003865025_R02C02",0.520475016686101
"112",12,172870,133770948,-0.0277,"GSM2403751_9003865025_R02C02",0.520475016686101
"113",13,19110000,115079939,-0.0546,"GSM2403751_9003865025_R02C02",0.520475016686101
"114",14,19325000,107119770,-0.0135,"GSM2403751_9003865025_R02C02",0.520475016686101
"115",15,20225000,22429154,0.3443,"GSM2403751_9003865025_R02C02",0.520475016686101
"116",15,22748097,102410696,-0.0044,"GSM2403751_9003865025_R02C02",0.520475016686101
"117",16,105000,90222377,0.0082,"GSM2403751_9003865025_R02C02",0.520475016686101
"118",17,25000,81122605,-0.0522,"GSM2403751_9003865025_R02C02",0.520475016686101
"119",18,80000,77983624,-0.1028,"GSM2403751_9003865025_R02C02",0.520475016686101
"120",19,180000,59084492,-0.0304,"GSM2403751_9003865025_R02C02",0.520475016686101
"121",2,130000,243026238,-0.045,"GSM2403751_9003865025_R02C02",0.520475016686101
"122",20,155000,62907760,-0.0383,"GSM2403751_9003865025_R02C02",0.520475016686101
"123",21,10848948,48084948,-0.0101,"GSM2403751_9003865025_R02C02",0.520475016686101
"124",22,16373925,51222283,0.0041,"GSM2403751_9003865025_R02C02",0.520475016686101
"125",3,155000,197831215,-0.0327,"GSM2403751_9003865025_R02C02",0.520475016686101
"126",4,55000,190972138,-0.08,"GSM2403751_9003865025_R02C02",0.520475016686101
"127",5,55000,180777630,-0.0352,"GSM2403751_9003865025_R02C02",0.520475016686101
"128",6,155000,170952534,-0.0551,"GSM2403751_9003865025_R02C02",0.520475016686101
"129",7,55000,159039332,-0.0142,"GSM2403751_9003865025_R02C02",0.520475016686101
"130",8,105000,146277011,-0.0427,"GSM2403751_9003865025_R02C02",0.520475016686101
