"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,-0.0667,"GSM2404142_9406922158_R03C02",0.628080275215109
"2",10,105000,135462374,-0.0376,"GSM2404142_9406922158_R03C02",0.628080275215109
"3",11,130000,134873258,-0.0751,"GSM2404142_9406922158_R03C02",0.628080275215109
"4",12,172870,133770948,-0.0761,"GSM2404142_9406922158_R03C02",0.628080275215109
"5",13,19110000,109450000,-0.0884,"GSM2404142_9406922158_R03C02",0.628080275215109
"6",13,109775000,115079939,0.1617,"GSM2404142_9406922158_R03C02",0.628080275215109
"7",14,19325000,20025000,0.4853,"GSM2404142_9406922158_R03C02",0.628080275215109
"8",14,20450000,107119770,-0.0678,"GSM2404142_9406922158_R03C02",0.628080275215109
"9",15,20225000,102410696,-0.0493,"GSM2404142_9406922158_R03C02",0.628080275215109
"10",16,105000,31825000,0.0077,"GSM2404142_9406922158_R03C02",0.628080275215109
"11",16,32075000,33986575,0.2977,"GSM2404142_9406922158_R03C02",0.628080275215109
"12",16,34286575,90222377,0.0103,"GSM2404142_9406922158_R03C02",0.628080275215109
"13",17,25000,81122605,-0.0657,"GSM2404142_9406922158_R03C02",0.628080275215109
"14",18,80000,77983624,-0.0985,"GSM2404142_9406922158_R03C02",0.628080275215109
"15",19,180000,59084492,-0.0396,"GSM2404142_9406922158_R03C02",0.628080275215109
"16",2,130000,243026238,-0.0714,"GSM2404142_9406922158_R03C02",0.628080275215109
"17",20,155000,62907760,-0.0738,"GSM2404142_9406922158_R03C02",0.628080275215109
"18",21,10848948,48084948,-0.0054,"GSM2404142_9406922158_R03C02",0.628080275215109
"19",22,16373925,51222283,-0.0069,"GSM2404142_9406922158_R03C02",0.628080275215109
"20",3,155000,197831215,-0.1061,"GSM2404142_9406922158_R03C02",0.628080275215109
"21",4,55000,190972138,-0.1108,"GSM2404142_9406922158_R03C02",0.628080275215109
"22",5,55000,180777630,-0.0858,"GSM2404142_9406922158_R03C02",0.628080275215109
"23",6,155000,170952534,-0.0838,"GSM2404142_9406922158_R03C02",0.628080275215109
"24",7,55000,159039332,-0.0304,"GSM2404142_9406922158_R03C02",0.628080275215109
"25",8,105000,146277011,-0.0578,"GSM2404142_9406922158_R03C02",0.628080275215109
"26",9,130000,141076716,-0.0282,"GSM2404142_9406922158_R03C02",0.628080275215109
"27",1,635684,249195311,-0.0615,"GSM2404143_9406922161_R04C01",0.630227320213834
"28",10,105000,135462374,-0.0457,"GSM2404143_9406922161_R04C01",0.630227320213834
"29",11,130000,134873258,-0.0705,"GSM2404143_9406922161_R04C01",0.630227320213834
"30",12,172870,133770948,-0.0785,"GSM2404143_9406922161_R04C01",0.630227320213834
"31",13,19110000,115079939,-0.0636,"GSM2404143_9406922161_R04C01",0.630227320213834
"32",14,19325000,107119770,-0.0754,"GSM2404143_9406922161_R04C01",0.630227320213834
"33",15,20225000,83725000,-0.0528,"GSM2404143_9406922161_R04C01",0.630227320213834
"34",15,83850000,84250000,-0.3672,"GSM2404143_9406922161_R04C01",0.630227320213834
"35",15,84667237,102410696,-0.0274,"GSM2404143_9406922161_R04C01",0.630227320213834
"36",16,105000,90222377,0.0159,"GSM2404143_9406922161_R04C01",0.630227320213834
"37",17,25000,81122605,-0.0521,"GSM2404143_9406922161_R04C01",0.630227320213834
"38",18,80000,77983624,-0.1331,"GSM2404143_9406922161_R04C01",0.630227320213834
"39",19,180000,59084492,-0.0241,"GSM2404143_9406922161_R04C01",0.630227320213834
"40",2,130000,243026238,-0.0844,"GSM2404143_9406922161_R04C01",0.630227320213834
"41",20,155000,62907760,-0.0675,"GSM2404143_9406922161_R04C01",0.630227320213834
"42",21,10848948,48084948,-0.019,"GSM2404143_9406922161_R04C01",0.630227320213834
"43",22,16373925,51222283,-0.0062,"GSM2404143_9406922161_R04C01",0.630227320213834
"44",3,155000,197831215,-0.1033,"GSM2404143_9406922161_R04C01",0.630227320213834
"45",4,55000,10275000,0.0811,"GSM2404143_9406922161_R04C01",0.630227320213834
"46",4,10475000,190972138,-0.1909,"GSM2404143_9406922161_R04C01",0.630227320213834
"47",5,55000,180777630,-0.1011,"GSM2404143_9406922161_R04C01",0.630227320213834
"48",6,155000,170952534,-0.0947,"GSM2404143_9406922161_R04C01",0.630227320213834
"49",7,55000,159039332,-0.0464,"GSM2404143_9406922161_R04C01",0.630227320213834
"50",8,105000,146277011,-0.0785,"GSM2404143_9406922161_R04C01",0.630227320213834
"51",9,130000,141076716,-0.0267,"GSM2404143_9406922161_R04C01",0.630227320213834
"52",1,635684,16825000,-0.0431,"GSM2404375_9422493151_R04C01",0.657465304818739
"53",1,16875000,17187829,0.3176,"GSM2404375_9422493151_R04C01",0.657465304818739
"54",1,17225000,249195311,-0.0633,"GSM2404375_9422493151_R04C01",0.657465304818739
"55",10,105000,135462374,-0.0387,"GSM2404375_9422493151_R04C01",0.657465304818739
"56",11,130000,134873258,-0.0376,"GSM2404375_9422493151_R04C01",0.657465304818739
"57",12,172870,125625000,-0.0415,"GSM2404375_9422493151_R04C01",0.657465304818739
"58",12,125675000,128875000,-0.3778,"GSM2404375_9422493151_R04C01",0.657465304818739
"59",12,129075000,133770948,0.013,"GSM2404375_9422493151_R04C01",0.657465304818739
"60",13,19110000,115079939,-0.0064,"GSM2404375_9422493151_R04C01",0.657465304818739
"61",14,19325000,107119770,-0.0755,"GSM2404375_9422493151_R04C01",0.657465304818739
