"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0679,"GSM2402925_6929689136_R05C02"
"2",10,105000,135462374,0.0505,"GSM2402925_6929689136_R05C02"
"3",11,130000,134873258,0.0843,"GSM2402925_6929689136_R05C02"
"4",12,172870,133770948,0.0499,"GSM2402925_6929689136_R05C02"
"5",13,19110000,115079939,0.0939,"GSM2402925_6929689136_R05C02"
"6",14,19325000,107119770,0.0394,"GSM2402925_6929689136_R05C02"
"7",15,20225000,102410696,0.0375,"GSM2402925_6929689136_R05C02"
"8",16,105000,90222377,0.0771,"GSM2402925_6929689136_R05C02"
"9",17,25000,81122605,-0.0736,"GSM2402925_6929689136_R05C02"
"10",18,80000,77983624,-0.1386,"GSM2402925_6929689136_R05C02"
"11",19,180000,59084492,-0.0168,"GSM2402925_6929689136_R05C02"
"12",2,130000,243026238,0.0267,"GSM2402925_6929689136_R05C02"
"13",20,155000,62907760,0.0194,"GSM2402925_6929689136_R05C02"
"14",21,10848948,48084948,0.0358,"GSM2402925_6929689136_R05C02"
"15",22,16373925,51222283,9e-04,"GSM2402925_6929689136_R05C02"
"16",3,155000,197831215,0.0695,"GSM2402925_6929689136_R05C02"
"17",4,55000,190972138,-0.0373,"GSM2402925_6929689136_R05C02"
"18",5,55000,180777630,0.0579,"GSM2402925_6929689136_R05C02"
"19",6,155000,170952534,0.0442,"GSM2402925_6929689136_R05C02"
"20",7,55000,159039332,0.1036,"GSM2402925_6929689136_R05C02"
"21",8,105000,146277011,0.0332,"GSM2402925_6929689136_R05C02"
"22",9,130000,141076716,0.0702,"GSM2402925_6929689136_R05C02"
"23",1,635684,249195311,0.0029,"GSM2403506_8622007067_R04C01"
"24",10,105000,135462374,0.0379,"GSM2403506_8622007067_R04C01"
"25",11,130000,134873258,0.0156,"GSM2403506_8622007067_R04C01"
"26",12,172870,133770948,0.0167,"GSM2403506_8622007067_R04C01"
"27",13,19110000,115079939,0.0419,"GSM2403506_8622007067_R04C01"
"28",14,19325000,107119770,0.0097,"GSM2403506_8622007067_R04C01"
"29",15,20225000,102410696,0.0267,"GSM2403506_8622007067_R04C01"
"30",16,105000,90222377,0.0551,"GSM2403506_8622007067_R04C01"
"31",17,25000,81122605,-0.0311,"GSM2403506_8622007067_R04C01"
"32",18,80000,77983624,-0.0589,"GSM2403506_8622007067_R04C01"
"33",19,180000,59084492,-0.0018,"GSM2403506_8622007067_R04C01"
"34",2,130000,243026238,0.0068,"GSM2403506_8622007067_R04C01"
"35",20,155000,62907760,-0.0273,"GSM2403506_8622007067_R04C01"
"36",21,10848948,48084948,0.0456,"GSM2403506_8622007067_R04C01"
"37",22,16373925,51222283,0.0098,"GSM2403506_8622007067_R04C01"
"38",3,155000,197831215,0.001,"GSM2403506_8622007067_R04C01"
"39",4,55000,190972138,-0.025,"GSM2403506_8622007067_R04C01"
"40",5,55000,180777630,0.0118,"GSM2403506_8622007067_R04C01"
"41",6,155000,170952534,0.0106,"GSM2403506_8622007067_R04C01"
"42",7,55000,159039332,0.0605,"GSM2403506_8622007067_R04C01"
"43",8,105000,146277011,0.0219,"GSM2403506_8622007067_R04C01"
"44",9,130000,141076716,0.0205,"GSM2403506_8622007067_R04C01"
"45",1,635684,249195311,0.0104,"GSM2403630_8622007189_R02C02"
"46",10,105000,135462374,0.0316,"GSM2403630_8622007189_R02C02"
"47",11,130000,134873258,0.0218,"GSM2403630_8622007189_R02C02"
"48",12,172870,133770948,0.0205,"GSM2403630_8622007189_R02C02"
"49",13,19110000,115079939,0.0653,"GSM2403630_8622007189_R02C02"
"50",14,19325000,107119770,0.0159,"GSM2403630_8622007189_R02C02"
"51",15,20225000,102410696,0.0272,"GSM2403630_8622007189_R02C02"
"52",16,105000,90222377,0.0407,"GSM2403630_8622007189_R02C02"
"53",17,25000,81122605,-0.0522,"GSM2403630_8622007189_R02C02"
"54",18,80000,77983624,-0.0691,"GSM2403630_8622007189_R02C02"
