"chromosome","start","end","segmean","sample","noise"
"1",1,635684,154925000,-0.0125,"GSM2402976_6929718027_R03C02",0.49944034059482
"2",1,154975000,249195311,0.2018,"GSM2402976_6929718027_R03C02",0.49944034059482
"3",10,105000,128375000,-0.0194,"GSM2402976_6929718027_R03C02",0.49944034059482
"4",10,128583035,131775000,-0.3809,"GSM2402976_6929718027_R03C02",0.49944034059482
"5",10,131825000,135462374,0.0332,"GSM2402976_6929718027_R03C02",0.49944034059482
"6",11,130000,2025000,-0.2625,"GSM2402976_6929718027_R03C02",0.49944034059482
"7",11,2075000,2475000,0.0017,"GSM2402976_6929718027_R03C02",0.49944034059482
"8",11,2525000,4025000,-0.2741,"GSM2402976_6929718027_R03C02",0.49944034059482
"9",11,4275000,49625000,-0.0057,"GSM2402976_6929718027_R03C02",0.49944034059482
"10",11,49850000,62225000,0.2172,"GSM2402976_6929718027_R03C02",0.49944034059482
"11",11,62325000,63425000,-0.3548,"GSM2402976_6929718027_R03C02",0.49944034059482
"12",11,63500000,87194189,0.0064,"GSM2402976_6929718027_R03C02",0.49944034059482
"13",11,87894189,89375000,-0.6049,"GSM2402976_6929718027_R03C02",0.49944034059482
"14",11,89675000,108075000,-0.0957,"GSM2402976_6929718027_R03C02",0.49944034059482
"15",11,108225000,108525000,-0.4815,"GSM2402976_6929718027_R03C02",0.49944034059482
"16",11,108700000,114750000,-0.0181,"GSM2402976_6929718027_R03C02",0.49944034059482
"17",11,115025000,115600000,-0.3656,"GSM2402976_6929718027_R03C02",0.49944034059482
"18",11,115875000,132350000,0.0099,"GSM2402976_6929718027_R03C02",0.49944034059482
"19",11,132675000,134873258,-0.312,"GSM2402976_6929718027_R03C02",0.49944034059482
"20",12,172870,133770948,-0.0153,"GSM2402976_6929718027_R03C02",0.49944034059482
"21",13,19110000,115079939,-0.0647,"GSM2402976_6929718027_R03C02",0.49944034059482
"22",14,19325000,107119770,-0.0161,"GSM2402976_6929718027_R03C02",0.49944034059482
"23",15,20225000,102410696,-0.0108,"GSM2402976_6929718027_R03C02",0.49944034059482
"24",16,105000,90222377,0.0184,"GSM2402976_6929718027_R03C02",0.49944034059482
"25",17,25000,81122605,-0.0476,"GSM2402976_6929718027_R03C02",0.49944034059482
"26",18,80000,77983624,-0.1101,"GSM2402976_6929718027_R03C02",0.49944034059482
"27",19,180000,59084492,-0.0218,"GSM2402976_6929718027_R03C02",0.49944034059482
"28",2,130000,243026238,-0.0474,"GSM2402976_6929718027_R03C02",0.49944034059482
"29",20,155000,62907760,-0.0335,"GSM2402976_6929718027_R03C02",0.49944034059482
"30",21,10848948,48084948,-0.0047,"GSM2402976_6929718027_R03C02",0.49944034059482
"31",22,16373925,51222283,0.0164,"GSM2402976_6929718027_R03C02",0.49944034059482
"32",3,155000,197831215,-0.0277,"GSM2402976_6929718027_R03C02",0.49944034059482
"33",4,55000,190972138,-0.0776,"GSM2402976_6929718027_R03C02",0.49944034059482
"34",5,55000,180777630,-0.0327,"GSM2402976_6929718027_R03C02",0.49944034059482
"35",6,155000,31075000,0.1736,"GSM2402976_6929718027_R03C02",0.49944034059482
"36",6,31125000,170952534,-0.0547,"GSM2402976_6929718027_R03C02",0.49944034059482
"37",7,55000,159039332,-0.0105,"GSM2402976_6929718027_R03C02",0.49944034059482
"38",8,105000,146277011,-0.0513,"GSM2402976_6929718027_R03C02",0.49944034059482
"39",9,130000,2e+07,-0.4485,"GSM2402976_6929718027_R03C02",0.49944034059482
"40",9,2.1e+07,30825000,-2.0055,"GSM2402976_6929718027_R03C02",0.49944034059482
"41",9,32500000,141076716,-0.3486,"GSM2402976_6929718027_R03C02",0.49944034059482
"42",1,635684,148927230,-0.0201,"GSM2402979_6929689149_R01C01",0.504276496341156
"43",1,149077230,149379823,-0.3071,"GSM2402979_6929689149_R01C01",0.504276496341156
"44",1,149579823,249195311,-0.0191,"GSM2402979_6929689149_R01C01",0.504276496341156
"45",10,105000,135462374,-0.0308,"GSM2402979_6929689149_R01C01",0.504276496341156
"46",11,130000,134873258,-0.0166,"GSM2402979_6929689149_R01C01",0.504276496341156
"47",12,172870,133770948,-0.0242,"GSM2402979_6929689149_R01C01",0.504276496341156
"48",13,19110000,115079939,-0.0385,"GSM2402979_6929689149_R01C01",0.504276496341156
"49",14,19325000,107119770,-0.0334,"GSM2402979_6929689149_R01C01",0.504276496341156
"50",15,20225000,22429154,0.4114,"GSM2402979_6929689149_R01C01",0.504276496341156
"51",15,22748097,34625000,0.1542,"GSM2402979_6929689149_R01C01",0.504276496341156
"52",15,34700000,35150000,-0.1201,"GSM2402979_6929689149_R01C01",0.504276496341156
"53",15,35275000,102410696,0.1666,"GSM2402979_6929689149_R01C01",0.504276496341156
"54",16,105000,90222377,-0.0069,"GSM2402979_6929689149_R01C01",0.504276496341156
"55",17,25000,62330380,-0.0856,"GSM2402979_6929689149_R01C01",0.504276496341156
"56",17,62480380,64400000,-0.5157,"GSM2402979_6929689149_R01C01",0.504276496341156
"57",17,64575000,81122605,-0.0787,"GSM2402979_6929689149_R01C01",0.504276496341156
"58",18,80000,77983624,-0.1428,"GSM2402979_6929689149_R01C01",0.504276496341156
"59",19,180000,59084492,-0.0462,"GSM2402979_6929689149_R01C01",0.504276496341156
"60",2,130000,243026238,-0.0547,"GSM2402979_6929689149_R01C01",0.504276496341156
"61",20,155000,62907760,0.0957,"GSM2402979_6929689149_R01C01",0.504276496341156
"62",21,10848948,48084948,0.2495,"GSM2402979_6929689149_R01C01",0.504276496341156
"63",22,16373925,51222283,-0.0295,"GSM2402979_6929689149_R01C01",0.504276496341156
"64",3,155000,197831215,-0.0365,"GSM2402979_6929689149_R01C01",0.504276496341156
"65",4,55000,190972138,-0.0951,"GSM2402979_6929689149_R01C01",0.504276496341156
"66",5,55000,180777630,-0.0261,"GSM2402979_6929689149_R01C01",0.504276496341156
"67",6,155000,170952534,-0.0588,"GSM2402979_6929689149_R01C01",0.504276496341156
"68",7,55000,159039332,-0.0154,"GSM2402979_6929689149_R01C01",0.504276496341156
"69",8,105000,146277011,0.1313,"GSM2402979_6929689149_R01C01",0.504276496341156
"70",9,130000,141076716,-0.0129,"GSM2402979_6929689149_R01C01",0.504276496341156
"71",1,635684,152775000,0.0042,"GSM2402980_6929689149_R03C01",0.522514136428647
"72",1,152875000,153425000,0.2581,"GSM2402980_6929689149_R03C01",0.522514136428647
"73",1,153525000,249195311,0.0088,"GSM2402980_6929689149_R03C01",0.522514136428647
"74",10,105000,135462374,-0.0048,"GSM2402980_6929689149_R03C01",0.522514136428647
"75",11,130000,134873258,0.0089,"GSM2402980_6929689149_R03C01",0.522514136428647
"76",12,172870,133770948,-0.0047,"GSM2402980_6929689149_R03C01",0.522514136428647
"77",13,19110000,115079939,-0.0317,"GSM2402980_6929689149_R03C01",0.522514136428647
