"chrom","start.pos","end.pos","n.probes","GSM2403839_9297949139_R04C01","GSM2404262_9406921148_R04C02","GSM2404279_9422491056_R05C01","GSM2404281_9422491056_R03C02","GSM2404282_9422491056_R05C02","GSM2404719_9721366150_R01C02","GSM2404725_9741950120_R04C01","GSM2404726_9741950120_R06C01","GSM2404727_9741950120_R01C02","GSM2404729_9741950120_R03C02","GSM2404731_9741950120_R05C02","GSM2404819_9533774041_R01C02","GSM2405243_9878827221_R01C02","GSM2405259_9878827235_R02C01","GSM2405260_9878827235_R04C01","GSM2405263_9878827235_R01C02"
"1",1,521369,249150001,1593,-0.263,-0.096,-0.171,-0.113,-0.116,-0.104,-0.099,-0.136,-0.179,-0.191,-0.18,-0.149,-0.168,-0.158,-0.149,-0.24
"2",2,10001,242950001,1282,0.008,-0.099,-0.134,-0.126,0.025,-0.172,-0.124,-0.153,0.017,-0.191,-0.159,-0.177,-0.135,-0.26,-0.054,-0.189
"3",3,60001,197700001,978,-0.275,-0.127,-0.292,-0.179,-0.133,-0.181,-0.119,-0.136,-0.195,-0.177,-0.163,-0.182,-0.13,-0.182,-0.179,-0.221
"4",4,10001,190900001,742,-0.248,-0.121,-0.168,-0.121,0.014,-0.191,-0.161,-0.189,-0.234,0.034,-0.202,-0.171,-0.155,-0.213,-0.18,-0.238
"5",5,10001,180650001,849,0.253,0.335,0.23,0.154,0.139,0.166,0.168,0.316,0.236,0.399,0.179,0.276,0.372,0.213,0.267,0.257
"6",6,60001,170850001,988,0.196,-0.104,0.217,-0.147,-0.119,0.103,0.033,-0.14,0.121,0.24,0.182,0.26,-0.088,-0.168,0.099,0.293
"7",7,10001,158950001,952,0.249,0.222,0.269,0.16,0.149,0.179,0.186,0.211,0.167,0.307,0.226,0.267,0.431,0.279,0.218,0.336
"8",8,10001,146250001,726,0.019,-0.107,-0.041,-0.1,-0.09,-0.137,-0.123,-0.141,-0.011,-0.214,-0.151,-0.126,-0.116,-0.195,-0.146,-0.169
"9",9,10001,141000001,383,-0.254,-0.144,-0.143,-0.125,-0.083,0.157,-0.087,-0.159,-0.165,-0.126,-0.159,-0.172,-0.174,-0.167,-0.158,-0.238
"10",10,60001,135400001,840,-0.18,-0.078,-0.11,-0.1,-0.088,-0.122,-0.086,-0.097,-0.148,-0.154,0.206,-0.129,-0.104,-0.224,-0.135,-0.158
"11",11,60001,134800001,914,0.216,0.117,0.375,0.123,0.101,0.14,0.126,0.291,0.127,0.059,0.172,0.241,0.366,0.251,0.174,0.242
"12",12,145740,133700001,848,-0.244,-0.14,-0.143,-0.133,-0.122,-0.149,-0.106,-0.129,-0.177,-0.158,-0.16,-0.117,-0.125,-0.128,-0.141,-0.2
"13",13,19020001,115050001,431,0.006,0.263,-0.082,0.128,0.063,0.101,0.033,0.332,0.012,-0.184,-0.108,-0.187,0.488,0.295,0.038,-0.095
"14",14,19000001,106950001,528,0.208,0.126,0.292,0.195,0.135,0.197,0.335,0.302,0.13,0.35,0.14,0.363,0.322,0.24,0.246,0.474
"15",15,20000001,102300001,571,0.308,-0.081,0.201,0.202,-0.102,0.203,0.171,0.302,0.128,0.063,0.166,-0.124,0.331,0.179,0.201,0.248
"16",16,60001,90150001,624,0.09,0.214,0.083,0.159,0.11,-0.118,0.079,0.31,0.151,0.252,0.064,0.158,0.383,0.246,0.19,0.283
"17",17,1,81050001,814,-0.001,0.031,-0.017,-0.082,-0.02,0.093,0.044,-0.149,-0.052,0.033,0.068,0.114,-0.204,0.286,0.151,0.16
"18",18,10001,77950001,243,0.036,0.046,-0.216,0.187,0.063,0.112,-0.017,0.187,0.021,-0.303,-0.248,0.224,0.225,0.132,-0.202,-0.29
"19",19,60001,59050001,711,0.021,0.161,-0.215,0.12,0.089,0.127,-0.116,0.184,0.079,-0.164,0.108,-0.144,0.211,0.171,-0.216,0.189
"20",20,60001,62850001,359,0.422,0.153,0.135,0.082,0.194,0.094,0.113,0.189,0.289,0.005,0.103,0.209,0.254,0.183,0.153,0.187
"21",21,10697897,48050001,157,-0.154,-0.09,0.054,-0.061,0.123,0.154,-0.07,-0.023,0.014,-0.159,0.16,-0.065,-0.095,0.212,0.283,-0.162
"22",22,16050001,51200001,300,0.176,0.189,0.217,0.186,0.109,0.185,0.164,0.267,0.101,0.302,0.128,0.176,0.237,0.331,0.229,0.161
