"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0093,"GSM2405606_3998523003_R01C01"
"2",10,105000,135462374,0.0411,"GSM2405606_3998523003_R01C01"
"3",11,130000,134873258,0.0132,"GSM2405606_3998523003_R01C01"
"4",12,172870,133770948,0.0112,"GSM2405606_3998523003_R01C01"
"5",13,19110000,115079939,0.0824,"GSM2405606_3998523003_R01C01"
"6",14,19325000,20025000,0.4428,"GSM2405606_3998523003_R01C01"
"7",14,20450000,107119770,-0.0063,"GSM2405606_3998523003_R01C01"
"8",15,20225000,102410696,0.014,"GSM2405606_3998523003_R01C01"
"9",16,105000,90222377,0.0734,"GSM2405606_3998523003_R01C01"
"10",17,25000,81122605,-0.0185,"GSM2405606_3998523003_R01C01"
"11",18,80000,77983624,-0.0242,"GSM2405606_3998523003_R01C01"
"12",19,180000,59084492,0.0217,"GSM2405606_3998523003_R01C01"
"13",2,130000,243026238,0.006,"GSM2405606_3998523003_R01C01"
"14",20,155000,62907760,-0.0065,"GSM2405606_3998523003_R01C01"
"15",21,10848948,48084948,0.0648,"GSM2405606_3998523003_R01C01"
"16",22,16373925,51222283,0.02,"GSM2405606_3998523003_R01C01"
"17",3,155000,197831215,0.0016,"GSM2405606_3998523003_R01C01"
"18",4,55000,190972138,-0.0162,"GSM2405606_3998523003_R01C01"
"19",5,55000,180777630,-0.0035,"GSM2405606_3998523003_R01C01"
"20",6,155000,170952534,0.0159,"GSM2405606_3998523003_R01C01"
"21",7,55000,159039332,0.0616,"GSM2405606_3998523003_R01C01"
"22",8,105000,146277011,0.032,"GSM2405606_3998523003_R01C01"
"23",9,130000,141076716,0.0241,"GSM2405606_3998523003_R01C01"
"24",1,635684,249195311,0.0063,"GSM2405607_3998523003_R02C01"
"25",10,105000,135462374,0.0201,"GSM2405607_3998523003_R02C01"
"26",11,130000,134873258,-0.0169,"GSM2405607_3998523003_R02C01"
"27",12,172870,133770948,-0.0053,"GSM2405607_3998523003_R02C01"
"28",13,19110000,115079939,0.0274,"GSM2405607_3998523003_R02C01"
"29",14,19325000,20025000,0.4967,"GSM2405607_3998523003_R02C01"
"30",14,20450000,107119770,0.0023,"GSM2405607_3998523003_R02C01"
"31",15,20225000,102410696,0.0149,"GSM2405607_3998523003_R02C01"
"32",16,105000,90222377,0.0423,"GSM2405607_3998523003_R02C01"
"33",17,25000,81122605,-0.0023,"GSM2405607_3998523003_R02C01"
"34",18,80000,77983624,0.0016,"GSM2405607_3998523003_R02C01"
"35",19,180000,59084492,0.0267,"GSM2405607_3998523003_R02C01"
"36",2,130000,131875000,-0.0097,"GSM2405607_3998523003_R02C01"
"37",2,131975000,133100000,0.247,"GSM2405607_3998523003_R02C01"
"38",2,133175000,243026238,-0.0128,"GSM2405607_3998523003_R02C01"
"39",20,155000,62907760,-0.0152,"GSM2405607_3998523003_R02C01"
"40",21,10848948,15475000,0.2911,"GSM2405607_3998523003_R02C01"
"41",21,15650000,48084948,0.0395,"GSM2405607_3998523003_R02C01"
"42",22,16373925,51222283,0.0424,"GSM2405607_3998523003_R02C01"
"43",3,155000,197831215,-0.0288,"GSM2405607_3998523003_R02C01"
"44",4,55000,190972138,-0.0225,"GSM2405607_3998523003_R02C01"
"45",5,55000,180777630,-0.0227,"GSM2405607_3998523003_R02C01"
"46",6,155000,170952534,-0.0099,"GSM2405607_3998523003_R02C01"
"47",7,55000,159039332,0.0276,"GSM2405607_3998523003_R02C01"
