"chrom","start.pos","end.pos","n.probes","GSM2404037_9373550164_R06C01","GSM2405004_9969477022_R03C02","GSM2405501_3999543047_R01C01","GSM2405539_3998909070_R04C01","GSM2405540_3998909071_R02C01","GSM2405547_3998909182_R06C01","GSM2405548_3998909182_R02C02","GSM2405605_3999095104_R05C01","GSM2941104_3998909182_R03C02","GSM2941109_3998909193_R01C01","GSM2941383_9406921149_R01C01","GSM2941629_9878820021_R01C02"
"1",1,521369,121086696,900,-0.305,-0.257,-0.113,-0.345,-0.229,-0.237,-0.319,-0.127,0.084,-0.159,-0.247,-0.399
"2",1,121300001,249150001,693,0.021,0.035,0.087,0.052,0.161,0.101,0.054,0.02,0.08,0.037,0.056,0.23
"3",2,10001,242950001,1282,0.01,0.018,-0.026,0.029,-0.026,0.057,0.033,-0.004,0.035,-0.018,-0.249,0.161
"4",3,60001,197700001,978,-0.012,0.037,-0.053,0.024,-0.07,0.09,0.033,-0.008,-0.038,-0.046,0.027,-0.022
"5",4,10001,190900001,742,-0.008,0.003,-0.063,-0.009,-0.07,-0.011,-0.014,-0.056,-0.036,-0.073,0.005,-0.076
"6",5,10001,180650001,849,0.023,0.034,-0.028,0.038,-0.035,0.075,0.069,0.026,-0.021,-0.009,0.053,-0.026
"7",6,60001,170850001,988,0.018,0.121,-0.041,0.015,0.042,0.068,0.034,-0.011,-0.042,-0.048,0.045,-0.063
"8",7,10001,158950001,952,0.08,0.186,0.111,0.198,0.079,0.137,0.119,0.059,0.038,0.006,0.072,0.213
"9",8,10001,146250001,726,0.036,0.075,0.106,0.051,0,0.058,0.059,0.017,0.181,0.008,0.079,0.182
"10",9,10001,141000001,383,0.032,0.025,0.019,0.041,-0.013,-0.174,0.046,0.028,0.071,0.046,0.062,0.166
"11",10,60001,135400001,840,0.076,0.056,0.011,0.058,0.01,0.107,0.064,0.038,0.007,0.043,0.084,-0.012
"12",11,60001,134800001,914,0.002,0.048,-0.035,0.038,0.027,0.083,0.032,0.014,-0.105,0.001,0.041,-0.018
"13",12,145740,133700001,848,0.03,0.054,-0.014,0.04,-0.015,0.093,0.052,0.013,-0.005,0.018,0.064,-0.023
"14",13,19020001,115050001,431,0.016,0.093,-0.053,0.068,-0.034,-0.185,0.062,-0.007,0.12,-0.109,-0.008,0.279
"15",14,19000001,106950001,528,0.049,0.054,0.011,0.041,0.05,0.071,0.053,0.027,-0.228,0.072,0.114,-0.005
"16",15,20000001,102300001,571,0.076,0.044,0.025,0.052,0.06,0.091,0.06,0.036,0.006,0.082,0.061,-0.003
"17",16,60001,90150001,624,0.083,0.055,0.021,0.063,0.02,0.037,0.064,0.055,0.024,0.073,0.165,-0.021
"18",17,1,81050001,814,-0.001,-0.05,-0.01,-0.021,0.018,-0.05,-0.025,-0.01,0.044,0.034,0.038,0.114
"19",18,10001,77950001,243,-0.028,-0.019,-0.04,-0.045,-0.041,-0.091,-0.051,-0.082,0.054,-0.04,0.013,0.075
"20",19,60001,59050001,711,-0.071,-0.014,0,-0.148,-0.011,0.03,-0.12,0.023,-0.019,-0.077,0.054,-0.127
"21",20,60001,62850001,359,-0.047,-0.029,-0.032,-0.001,-0.018,0.024,-0.013,-0.025,0.082,-0.008,0.008,-0.103
"22",21,10697897,48050001,157,0.082,0.068,0.17,0.046,0.012,0.045,0.046,0.019,0.058,0.029,0.057,-0.035
"23",22,16050001,51200001,300,0.076,-0.01,0.054,0.044,0.054,0.044,0.049,0.066,0.082,0.134,-0.178,-0.014
