"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,0.0023,"GSM2403712_9007225017_R03C02",0.553382366729823
"2",10,105000,135462374,-0.0119,"GSM2403712_9007225017_R03C02",0.553382366729823
"3",11,130000,134873258,-0.0091,"GSM2403712_9007225017_R03C02",0.553382366729823
"4",12,172870,113775000,0.0166,"GSM2403712_9007225017_R03C02",0.553382366729823
"5",12,113850000,114225000,-0.3205,"GSM2403712_9007225017_R03C02",0.553382366729823
"6",12,114275000,133770948,-0.0385,"GSM2403712_9007225017_R03C02",0.553382366729823
"7",13,19110000,115079939,0.0373,"GSM2403712_9007225017_R03C02",0.553382366729823
"8",14,19325000,107119770,-0.0121,"GSM2403712_9007225017_R03C02",0.553382366729823
"9",15,20225000,102410696,-0.0057,"GSM2403712_9007225017_R03C02",0.553382366729823
"10",16,105000,90222377,-0.0321,"GSM2403712_9007225017_R03C02",0.553382366729823
"11",17,25000,81122605,-0.088,"GSM2403712_9007225017_R03C02",0.553382366729823
"12",18,80000,77983624,-0.0854,"GSM2403712_9007225017_R03C02",0.553382366729823
"13",19,180000,59084492,-0.0882,"GSM2403712_9007225017_R03C02",0.553382366729823
"14",2,130000,243026238,-0.008,"GSM2403712_9007225017_R03C02",0.553382366729823
"15",20,155000,62907760,-0.0512,"GSM2403712_9007225017_R03C02",0.553382366729823
"16",21,10848948,48084948,-0.0127,"GSM2403712_9007225017_R03C02",0.553382366729823
"17",22,16373925,51222283,-0.0662,"GSM2403712_9007225017_R03C02",0.553382366729823
"18",3,155000,197831215,0.0162,"GSM2403712_9007225017_R03C02",0.553382366729823
"19",4,55000,190972138,-0.0406,"GSM2403712_9007225017_R03C02",0.553382366729823
"20",5,55000,180777630,0.0036,"GSM2403712_9007225017_R03C02",0.553382366729823
"21",6,155000,170952534,0.003,"GSM2403712_9007225017_R03C02",0.553382366729823
"22",7,55000,159039332,0.0095,"GSM2403712_9007225017_R03C02",0.553382366729823
"23",8,105000,146277011,-0.0223,"GSM2403712_9007225017_R03C02",0.553382366729823
"24",9,130000,141076716,-0.0147,"GSM2403712_9007225017_R03C02",0.553382366729823
"25",1,635684,249195311,-0.0315,"GSM2403713_9007225026_R02C02",0.626275166451937
"26",10,105000,135462374,-0.0317,"GSM2403713_9007225026_R02C02",0.626275166451937
"27",11,130000,4275000,-0.0035,"GSM2403713_9007225026_R02C02",0.626275166451937
"28",11,4500000,6225000,-0.2702,"GSM2403713_9007225026_R02C02",0.626275166451937
"29",11,6275000,36525000,-0.069,"GSM2403713_9007225026_R02C02",0.626275166451937
"30",11,36600000,42500000,-0.347,"GSM2403713_9007225026_R02C02",0.626275166451937
"31",11,43325000,50516927,-0.0344,"GSM2403713_9007225026_R02C02",0.626275166451937
"32",11,54922103,56100000,-0.5222,"GSM2403713_9007225026_R02C02",0.626275166451937
"33",11,56300000,134873258,-0.0547,"GSM2403713_9007225026_R02C02",0.626275166451937
"34",12,172870,54975000,-0.0572,"GSM2403713_9007225026_R02C02",0.626275166451937
"35",12,55175000,56075000,-0.3034,"GSM2403713_9007225026_R02C02",0.626275166451937
"36",12,56125000,133770948,-0.0426,"GSM2403713_9007225026_R02C02",0.626275166451937
"37",13,19110000,115079939,-0.0588,"GSM2403713_9007225026_R02C02",0.626275166451937
"38",14,19325000,107119770,-0.034,"GSM2403713_9007225026_R02C02",0.626275166451937
"39",15,20225000,102410696,-0.0238,"GSM2403713_9007225026_R02C02",0.626275166451937
"40",16,105000,90222377,-0.0025,"GSM2403713_9007225026_R02C02",0.626275166451937
"41",17,25000,81122605,-0.0548,"GSM2403713_9007225026_R02C02",0.626275166451937
"42",18,80000,77983624,-0.0899,"GSM2403713_9007225026_R02C02",0.626275166451937
"43",19,180000,59084492,-0.0236,"GSM2403713_9007225026_R02C02",0.626275166451937
"44",2,130000,243026238,-0.0635,"GSM2403713_9007225026_R02C02",0.626275166451937
"45",20,155000,62907760,-0.057,"GSM2403713_9007225026_R02C02",0.626275166451937
"46",21,10848948,48084948,-0.0147,"GSM2403713_9007225026_R02C02",0.626275166451937
"47",22,16373925,51222283,0.0206,"GSM2403713_9007225026_R02C02",0.626275166451937
"48",3,155000,197831215,-0.0855,"GSM2403713_9007225026_R02C02",0.626275166451937
"49",4,55000,190972138,-0.1166,"GSM2403713_9007225026_R02C02",0.626275166451937
"50",5,55000,180777630,-0.0675,"GSM2403713_9007225026_R02C02",0.626275166451937
"51",6,155000,170952534,-0.0784,"GSM2403713_9007225026_R02C02",0.626275166451937
"52",7,55000,159039332,-0.0345,"GSM2403713_9007225026_R02C02",0.626275166451937
"53",8,105000,146277011,-0.0666,"GSM2403713_9007225026_R02C02",0.626275166451937
"54",9,130000,141076716,-0.0064,"GSM2403713_9007225026_R02C02",0.626275166451937
"55",1,635684,249195311,-0.0688,"GSM2403716_9007225017_R01C01",0.763060464926323
"56",10,105000,25375000,-0.0116,"GSM2403716_9007225017_R01C01",0.763060464926323
"57",10,25475000,26700000,-0.6505,"GSM2403716_9007225017_R01C01",0.763060464926323
"58",10,26875000,135462374,-0.0828,"GSM2403716_9007225017_R01C01",0.763060464926323
"59",11,130000,48125000,-0.1025,"GSM2403716_9007225017_R01C01",0.763060464926323
"60",11,48550000,56300000,-0.3953,"GSM2403716_9007225017_R01C01",0.763060464926323
"61",11,56675000,134873258,-0.0737,"GSM2403716_9007225017_R01C01",0.763060464926323
"62",12,172870,125625000,-0.0731,"GSM2403716_9007225017_R01C01",0.763060464926323
"63",12,125675000,128875000,-0.4374,"GSM2403716_9007225017_R01C01",0.763060464926323
"64",12,129075000,133770948,-0.0306,"GSM2403716_9007225017_R01C01",0.763060464926323
"65",13,19110000,115079939,-0.0273,"GSM2403716_9007225017_R01C01",0.763060464926323
"66",14,19325000,107119770,-0.0896,"GSM2403716_9007225017_R01C01",0.763060464926323
"67",15,20225000,102410696,-0.0723,"GSM2403716_9007225017_R01C01",0.763060464926323
