"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0426,"GSM2403209_6929806048_R02C01"
"2",10,105000,135462374,0.0257,"GSM2403209_6929806048_R02C01"
"3",11,130000,134873258,0.0365,"GSM2403209_6929806048_R02C01"
"4",12,172870,133770948,0.0256,"GSM2403209_6929806048_R02C01"
"5",13,19110000,115079939,0.0157,"GSM2403209_6929806048_R02C01"
"6",14,19325000,107119770,0.0221,"GSM2403209_6929806048_R02C01"
"7",15,20225000,102410696,0.032,"GSM2403209_6929806048_R02C01"
"8",16,105000,90222377,0.0464,"GSM2403209_6929806048_R02C01"
"9",17,25000,81122605,-0.0364,"GSM2403209_6929806048_R02C01"
"10",18,80000,77983624,-0.0995,"GSM2403209_6929806048_R02C01"
"11",19,180000,59084492,0.0109,"GSM2403209_6929806048_R02C01"
"12",2,130000,243026238,-5e-04,"GSM2403209_6929806048_R02C01"
"13",20,155000,62907760,0.0195,"GSM2403209_6929806048_R02C01"
"14",21,10848948,48084948,0.0014,"GSM2403209_6929806048_R02C01"
"15",22,16373925,51222283,0.0244,"GSM2403209_6929806048_R02C01"
"16",3,155000,197831215,0.0184,"GSM2403209_6929806048_R02C01"
"17",4,55000,190972138,-0.0572,"GSM2403209_6929806048_R02C01"
"18",5,55000,180777630,0.0127,"GSM2403209_6929806048_R02C01"
"19",6,155000,170952534,0.0087,"GSM2403209_6929806048_R02C01"
"20",7,55000,159039332,0.0519,"GSM2403209_6929806048_R02C01"
"21",8,105000,146277011,0.0081,"GSM2403209_6929806048_R02C01"
"22",9,130000,141076716,0.0338,"GSM2403209_6929806048_R02C01"
"23",1,635684,249195311,0.0197,"GSM2403573_8622007083_R02C01"
"24",10,105000,135462374,0.0175,"GSM2403573_8622007083_R02C01"
"25",11,130000,134873258,-0.0084,"GSM2403573_8622007083_R02C01"
"26",12,172870,133770948,0.0018,"GSM2403573_8622007083_R02C01"
"27",13,19110000,115079939,-0.0355,"GSM2403573_8622007083_R02C01"
"28",14,19325000,20025000,0.1955,"GSM2403573_8622007083_R02C01"
"29",14,20450000,107119770,0.0237,"GSM2403573_8622007083_R02C01"
"30",15,20225000,102410696,0.0287,"GSM2403573_8622007083_R02C01"
"31",16,105000,90222377,0.0318,"GSM2403573_8622007083_R02C01"
"32",17,25000,81122605,-0.0062,"GSM2403573_8622007083_R02C01"
"33",18,80000,77983624,-0.0353,"GSM2403573_8622007083_R02C01"
"34",19,180000,59084492,0.0281,"GSM2403573_8622007083_R02C01"
"35",2,130000,243026238,-0.0181,"GSM2403573_8622007083_R02C01"
"36",20,155000,62907760,-0.0087,"GSM2403573_8622007083_R02C01"
"37",21,10848948,48084948,0.0337,"GSM2403573_8622007083_R02C01"
"38",22,16373925,51222283,0.0625,"GSM2403573_8622007083_R02C01"
"39",3,155000,197831215,-0.0184,"GSM2403573_8622007083_R02C01"
"40",4,55000,190972138,-0.0409,"GSM2403573_8622007083_R02C01"
"41",5,55000,180777630,-0.015,"GSM2403573_8622007083_R02C01"
"42",6,155000,170952534,-0.028,"GSM2403573_8622007083_R02C01"
"43",7,55000,159039332,0.0147,"GSM2403573_8622007083_R02C01"
"44",8,105000,146277011,-0.0049,"GSM2403573_8622007083_R02C01"
"45",9,130000,141076716,0.0148,"GSM2403573_8622007083_R02C01"
"46",1,635684,249195311,-0.001,"GSM2403575_8622007084_R02C02"
"47",10,105000,135462374,0.0517,"GSM2403575_8622007084_R02C02"
"48",11,130000,134873258,0.0238,"GSM2403575_8622007084_R02C02"
"49",12,172870,133770948,0.0198,"GSM2403575_8622007084_R02C02"
"50",13,19110000,115079939,0.0955,"GSM2403575_8622007084_R02C02"
"51",14,19325000,20800000,0.3961,"GSM2403575_8622007084_R02C02"
"52",14,20875000,107119770,-0.0045,"GSM2403575_8622007084_R02C02"
"53",15,20225000,102410696,0.0191,"GSM2403575_8622007084_R02C02"
"54",16,105000,90222377,0.0794,"GSM2403575_8622007084_R02C02"
"55",17,25000,81122605,-0.0302,"GSM2403575_8622007084_R02C02"
"56",18,80000,77983624,-0.047,"GSM2403575_8622007084_R02C02"
"57",19,180000,59084492,0.0162,"GSM2403575_8622007084_R02C02"
"58",2,130000,243026238,0.0108,"GSM2403575_8622007084_R02C02"
"59",20,155000,62907760,-0.0143,"GSM2403575_8622007084_R02C02"
"60",21,10848948,48084948,0.0768,"GSM2403575_8622007084_R02C02"
"61",22,16373925,51222283,0.0062,"GSM2403575_8622007084_R02C02"
"62",3,155000,197831215,0.0241,"GSM2403575_8622007084_R02C02"
"63",4,55000,190972138,-0.0165,"GSM2403575_8622007084_R02C02"
"64",5,55000,180777630,0.0176,"GSM2403575_8622007084_R02C02"
"65",6,155000,170952534,0.0184,"GSM2403575_8622007084_R02C02"
"66",7,55000,159039332,0.0712,"GSM2403575_8622007084_R02C02"
"67",8,105000,146277011,0.0324,"GSM2403575_8622007084_R02C02"
"68",9,130000,141076716,0.0339,"GSM2403575_8622007084_R02C02"
"69",1,635684,249195311,0.0105,"GSM2403576_8622007083_R04C01"
"70",10,105000,135462374,0.0214,"GSM2403576_8622007083_R04C01"
"71",11,130000,134873258,7e-04,"GSM2403576_8622007083_R04C01"
"72",12,172870,133770948,0.0068,"GSM2403576_8622007083_R04C01"
"73",13,19110000,115079939,-0.0033,"GSM2403576_8622007083_R04C01"
"74",14,19325000,107119770,0.0167,"GSM2403576_8622007083_R04C01"
"75",15,20225000,102410696,0.0259,"GSM2403576_8622007083_R04C01"
"76",16,105000,90222377,0.041,"GSM2403576_8622007083_R04C01"
"77",17,25000,81122605,-0.0215,"GSM2403576_8622007083_R04C01"
"78",18,80000,77983624,-0.0472,"GSM2403576_8622007083_R04C01"
"79",19,180000,59084492,0.0223,"GSM2403576_8622007083_R04C01"
"80",2,130000,243026238,-0.0135,"GSM2403576_8622007083_R04C01"
"81",20,155000,62907760,-0.0136,"GSM2403576_8622007083_R04C01"
"82",21,10848948,48084948,0.0338,"GSM2403576_8622007083_R04C01"
"83",22,16373925,51222283,0.0362,"GSM2403576_8622007083_R04C01"
"84",3,155000,197831215,-0.0141,"GSM2403576_8622007083_R04C01"
"85",4,55000,190972138,-0.0436,"GSM2403576_8622007083_R04C01"
"86",5,55000,180777630,-0.0092,"GSM2403576_8622007083_R04C01"
"87",6,155000,170952534,-0.0171,"GSM2403576_8622007083_R04C01"
"88",7,55000,159039332,0.031,"GSM2403576_8622007083_R04C01"
"89",8,105000,146277011,-7e-04,"GSM2403576_8622007083_R04C01"
"90",9,130000,141076716,0.0158,"GSM2403576_8622007083_R04C01"
"91",1,635684,249195311,-0.0036,"GSM2403577_8622007084_R03C02"
"92",10,105000,135462374,0.0414,"GSM2403577_8622007084_R03C02"
"93",11,130000,134873258,0.0277,"GSM2403577_8622007084_R03C02"
"94",12,172870,133770948,0.0193,"GSM2403577_8622007084_R03C02"
"95",13,19110000,115079939,0.0961,"GSM2403577_8622007084_R03C02"
"96",14,19325000,107119770,-0.0083,"GSM2403577_8622007084_R03C02"
"97",15,20225000,102410696,0.0027,"GSM2403577_8622007084_R03C02"
"98",16,105000,90222377,0.071,"GSM2403577_8622007084_R03C02"
"99",17,25000,81122605,-0.0496,"GSM2403577_8622007084_R03C02"
"100",18,80000,77983624,-0.0782,"GSM2403577_8622007084_R03C02"
"101",19,180000,59084492,0.0057,"GSM2403577_8622007084_R03C02"
"102",2,130000,243026238,0.0084,"GSM2403577_8622007084_R03C02"
"103",20,155000,62907760,-0.0155,"GSM2403577_8622007084_R03C02"
"104",21,10848948,48084948,0.0435,"GSM2403577_8622007084_R03C02"
"105",22,16373925,51222283,-0.0157,"GSM2403577_8622007084_R03C02"
"106",3,155000,197831215,0.0265,"GSM2403577_8622007084_R03C02"
"107",4,55000,190972138,-0.0381,"GSM2403577_8622007084_R03C02"
"108",5,55000,180777630,0.0194,"GSM2403577_8622007084_R03C02"
"109",6,155000,170952534,0.0221,"GSM2403577_8622007084_R03C02"
"110",7,55000,159039332,0.0715,"GSM2403577_8622007084_R03C02"
"111",8,105000,146277011,0.0213,"GSM2403577_8622007084_R03C02"
