"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,-0.0802,"GSM2402999_6929718020_R03C02",0.512115351954736
"2",10,105000,135462374,-0.1068,"GSM2402999_6929718020_R03C02",0.512115351954736
"3",11,130000,134873258,0.0633,"GSM2402999_6929718020_R03C02",0.512115351954736
"4",12,172870,133770948,0.0585,"GSM2402999_6929718020_R03C02",0.512115351954736
"5",13,19110000,115079939,-0.1653,"GSM2402999_6929718020_R03C02",0.512115351954736
"6",14,19325000,107119770,0.0548,"GSM2402999_6929718020_R03C02",0.512115351954736
"7",15,20225000,102410696,0.0635,"GSM2402999_6929718020_R03C02",0.512115351954736
"8",16,105000,90222377,-0.0622,"GSM2402999_6929718020_R03C02",0.512115351954736
"9",17,25000,81122605,0.0245,"GSM2402999_6929718020_R03C02",0.512115351954736
"10",18,80000,77983624,-0.0512,"GSM2402999_6929718020_R03C02",0.512115351954736
"11",19,180000,42775000,0.0365,"GSM2402999_6929718020_R03C02",0.512115351954736
"12",19,42825000,47400000,-0.286,"GSM2402999_6929718020_R03C02",0.512115351954736
"13",19,47550000,52025000,0.0616,"GSM2402999_6929718020_R03C02",0.512115351954736
"14",19,52075000,54025000,-0.4335,"GSM2402999_6929718020_R03C02",0.512115351954736
"15",19,54100000,54875000,0.2695,"GSM2402999_6929718020_R03C02",0.512115351954736
"16",19,54925000,59084492,0.0443,"GSM2402999_6929718020_R03C02",0.512115351954736
"17",2,130000,243026238,0.025,"GSM2402999_6929718020_R03C02",0.512115351954736
"18",20,155000,62907760,0.0283,"GSM2402999_6929718020_R03C02",0.512115351954736
"19",21,10848948,48084948,0.0509,"GSM2402999_6929718020_R03C02",0.512115351954736
"20",22,16373925,51222283,-0.0482,"GSM2402999_6929718020_R03C02",0.512115351954736
"21",3,155000,197831215,0.042,"GSM2402999_6929718020_R03C02",0.512115351954736
"22",4,55000,190972138,-0.0466,"GSM2402999_6929718020_R03C02",0.512115351954736
"23",5,55000,180777630,0.0299,"GSM2402999_6929718020_R03C02",0.512115351954736
"24",6,155000,32425000,-0.1417,"GSM2402999_6929718020_R03C02",0.512115351954736
"25",6,32475000,32725000,-0.7716,"GSM2402999_6929718020_R03C02",0.512115351954736
"26",6,32775000,170952534,-0.1549,"GSM2402999_6929718020_R03C02",0.512115351954736
"27",7,55000,159039332,-0.1057,"GSM2402999_6929718020_R03C02",0.512115351954736
"28",8,105000,88875000,0.0166,"GSM2402999_6929718020_R03C02",0.512115351954736
"29",8,89100000,91225000,-0.2901,"GSM2402999_6929718020_R03C02",0.512115351954736
"30",8,91550000,146277011,0.0173,"GSM2402999_6929718020_R03C02",0.512115351954736
"31",9,130000,141076716,-0.0815,"GSM2402999_6929718020_R03C02",0.512115351954736
"32",1,635684,249195311,-0.0085,"GSM2403001_6929718057_R03C02",0.513709187662889
"33",10,105000,135462374,-0.0268,"GSM2403001_6929718057_R03C02",0.513709187662889
"34",11,130000,134873258,-0.0178,"GSM2403001_6929718057_R03C02",0.513709187662889
"35",12,172870,133770948,-0.0292,"GSM2403001_6929718057_R03C02",0.513709187662889
"36",13,19110000,115079939,-0.1032,"GSM2403001_6929718057_R03C02",0.513709187662889
"37",14,19325000,107119770,-0.0253,"GSM2403001_6929718057_R03C02",0.513709187662889
"38",15,20225000,102410696,-0.0221,"GSM2403001_6929718057_R03C02",0.513709187662889
"39",16,105000,9175000,0.0093,"GSM2403001_6929718057_R03C02",0.513709187662889
"40",16,9525000,10675000,-0.3477,"GSM2403001_6929718057_R03C02",0.513709187662889
"41",16,10750000,90222377,0.0048,"GSM2403001_6929718057_R03C02",0.513709187662889
"42",17,25000,81122605,-0.0567,"GSM2403001_6929718057_R03C02",0.513709187662889
"43",18,80000,77983624,-0.121,"GSM2403001_6929718057_R03C02",0.513709187662889
"44",19,180000,40425000,-0.0333,"GSM2403001_6929718057_R03C02",0.513709187662889
"45",19,40500000,43975000,-0.3728,"GSM2403001_6929718057_R03C02",0.513709187662889
"46",19,44025000,54100000,-0.0323,"GSM2403001_6929718057_R03C02",0.513709187662889
"47",19,54175000,54925000,0.5332,"GSM2403001_6929718057_R03C02",0.513709187662889
"48",19,54975000,59084492,-0.0526,"GSM2403001_6929718057_R03C02",0.513709187662889
"49",2,130000,243026238,0.1559,"GSM2403001_6929718057_R03C02",0.513709187662889
"50",20,155000,62907760,-0.059,"GSM2403001_6929718057_R03C02",0.513709187662889
"51",21,10848948,48084948,-0.031,"GSM2403001_6929718057_R03C02",0.513709187662889
"52",22,16373925,51222283,0.0048,"GSM2403001_6929718057_R03C02",0.513709187662889
"53",3,155000,197831215,-0.0384,"GSM2403001_6929718057_R03C02",0.513709187662889
"54",4,55000,190972138,-0.0953,"GSM2403001_6929718057_R03C02",0.513709187662889
"55",5,55000,180777630,-0.0499,"GSM2403001_6929718057_R03C02",0.513709187662889
"56",6,155000,170952534,-0.0774,"GSM2403001_6929718057_R03C02",0.513709187662889
"57",7,55000,159039332,-0.0335,"GSM2403001_6929718057_R03C02",0.513709187662889
"58",8,105000,88875000,-0.0711,"GSM2403001_6929718057_R03C02",0.513709187662889
"59",8,89100000,90925000,-0.4923,"GSM2403001_6929718057_R03C02",0.513709187662889
"60",8,9.1e+07,146277011,-0.0675,"GSM2403001_6929718057_R03C02",0.513709187662889
"61",9,130000,141076716,-0.0098,"GSM2403001_6929718057_R03C02",0.513709187662889
"62",1,635684,249195311,-0.0051,"GSM2403002_6929718057_R04C02",0.514285381818452
"63",10,105000,135462374,-0.0196,"GSM2403002_6929718057_R04C02",0.514285381818452
"64",11,130000,134873258,-0.0124,"GSM2403002_6929718057_R04C02",0.514285381818452
"65",12,172870,133770948,-0.0246,"GSM2403002_6929718057_R04C02",0.514285381818452
"66",13,19110000,115079939,-0.0897,"GSM2403002_6929718057_R04C02",0.514285381818452
"67",14,19325000,107119770,-0.0256,"GSM2403002_6929718057_R04C02",0.514285381818452
"68",15,20225000,102410696,-0.0234,"GSM2403002_6929718057_R04C02",0.514285381818452
"69",16,105000,90222377,0.0096,"GSM2403002_6929718057_R04C02",0.514285381818452
"70",17,25000,81122605,-0.0658,"GSM2403002_6929718057_R04C02",0.514285381818452
"71",18,80000,77983624,-0.1339,"GSM2403002_6929718057_R04C02",0.514285381818452
"72",19,180000,53975000,-0.0463,"GSM2403002_6929718057_R04C02",0.514285381818452
"73",19,54025000,54925000,0.2125,"GSM2403002_6929718057_R04C02",0.514285381818452
"74",19,54975000,59084492,-0.0555,"GSM2403002_6929718057_R04C02",0.514285381818452
"75",2,130000,243026238,0.153,"GSM2403002_6929718057_R04C02",0.514285381818452
"76",20,155000,62907760,-0.0578,"GSM2403002_6929718057_R04C02",0.514285381818452
"77",21,10848948,48084948,-0.0275,"GSM2403002_6929718057_R04C02",0.514285381818452
"78",22,16373925,51222283,-0.0122,"GSM2403002_6929718057_R04C02",0.514285381818452
"79",3,155000,197831215,-0.0314,"GSM2403002_6929718057_R04C02",0.514285381818452
"80",4,55000,190972138,-0.0927,"GSM2403002_6929718057_R04C02",0.514285381818452
"81",5,55000,180777630,-0.0394,"GSM2403002_6929718057_R04C02",0.514285381818452
"82",6,155000,170952534,-0.0698,"GSM2403002_6929718057_R04C02",0.514285381818452
"83",7,55000,159039332,-0.0247,"GSM2403002_6929718057_R04C02",0.514285381818452
"84",8,105000,146277011,-0.0656,"GSM2403002_6929718057_R04C02",0.514285381818452
"85",9,130000,141076716,-0.0061,"GSM2403002_6929718057_R04C02",0.514285381818452
"86",1,635684,249195311,-0.0443,"GSM2403028_6929718049_R01C01",0.544144986951595
"87",10,105000,135462374,-5e-04,"GSM2403028_6929718049_R01C01",0.544144986951595
"88",11,130000,134873258,0.0102,"GSM2403028_6929718049_R01C01",0.544144986951595
"89",12,172870,133770948,0.0105,"GSM2403028_6929718049_R01C01",0.544144986951595
"90",13,19110000,115079939,-0.1639,"GSM2403028_6929718049_R01C01",0.544144986951595
"91",14,19325000,107119770,-0.0231,"GSM2403028_6929718049_R01C01",0.544144986951595
"92",15,20225000,102410696,-0.0198,"GSM2403028_6929718049_R01C01",0.544144986951595
"93",16,105000,90222377,-0.0207,"GSM2403028_6929718049_R01C01",0.544144986951595
"94",17,25000,81122605,0.005,"GSM2403028_6929718049_R01C01",0.544144986951595
"95",18,80000,77983624,-0.1223,"GSM2403028_6929718049_R01C01",0.544144986951595
"96",19,180000,54100000,-0.0178,"GSM2403028_6929718049_R01C01",0.544144986951595
"97",19,54175000,54925000,0.5538,"GSM2403028_6929718049_R01C01",0.544144986951595
"98",19,54975000,59084492,-0.0679,"GSM2403028_6929718049_R01C01",0.544144986951595
"99",2,130000,243026238,0.0989,"GSM2403028_6929718049_R01C01",0.544144986951595
"100",20,155000,62907760,-0.0278,"GSM2403028_6929718049_R01C01",0.544144986951595
"101",21,10848948,48084948,0.0343,"GSM2403028_6929718049_R01C01",0.544144986951595
"102",22,16373925,51222283,0.0385,"GSM2403028_6929718049_R01C01",0.544144986951595
"103",3,155000,197831215,-0.0034,"GSM2403028_6929718049_R01C01",0.544144986951595
"104",4,55000,190972138,-0.1382,"GSM2403028_6929718049_R01C01",0.544144986951595
"105",5,55000,180777630,-0.02,"GSM2403028_6929718049_R01C01",0.544144986951595
"106",6,155000,170952534,-0.1541,"GSM2403028_6929718049_R01C01",0.544144986951595
"107",7,55000,159039332,-0.0355,"GSM2403028_6929718049_R01C01",0.544144986951595
"108",8,105000,146277011,-0.0398,"GSM2403028_6929718049_R01C01",0.544144986951595
"109",9,130000,141076716,-0.02,"GSM2403028_6929718049_R01C01",0.544144986951595
"110",1,635684,249195311,-0.0125,"GSM2403048_6229009095_R02C02",0.579185640551741
"111",10,105000,135462374,-0.0234,"GSM2403048_6229009095_R02C02",0.579185640551741
"112",11,130000,134873258,-0.0096,"GSM2403048_6229009095_R02C02",0.579185640551741
"113",12,172870,133770948,-0.0258,"GSM2403048_6229009095_R02C02",0.579185640551741
"114",13,19110000,115079939,-0.0832,"GSM2403048_6229009095_R02C02",0.579185640551741
"115",14,19325000,107119770,-0.0396,"GSM2403048_6229009095_R02C02",0.579185640551741
"116",15,20225000,102410696,-0.0294,"GSM2403048_6229009095_R02C02",0.579185640551741
"117",16,105000,90222377,0.0032,"GSM2403048_6229009095_R02C02",0.579185640551741
"118",17,25000,81122605,-0.0759,"GSM2403048_6229009095_R02C02",0.579185640551741
