"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0504,"GSM2404113_9379082039_R01C01"
"2",10,105000,135462374,-0.0381,"GSM2404113_9379082039_R01C01"
"3",11,130000,134873258,-0.032,"GSM2404113_9379082039_R01C01"
"4",12,172870,133770948,0.1121,"GSM2404113_9379082039_R01C01"
"5",13,19110000,115079939,-0.038,"GSM2404113_9379082039_R01C01"
"6",14,19325000,107119770,0.1165,"GSM2404113_9379082039_R01C01"
"7",15,20225000,102410696,0.0415,"GSM2404113_9379082039_R01C01"
"8",16,105000,90222377,-0.0089,"GSM2404113_9379082039_R01C01"
"9",17,25000,81122605,-0.0753,"GSM2404113_9379082039_R01C01"
"10",18,80000,77983624,-0.0279,"GSM2404113_9379082039_R01C01"
"11",19,180000,59084492,-0.0404,"GSM2404113_9379082039_R01C01"
"12",2,130000,243026238,-0.0606,"GSM2404113_9379082039_R01C01"
"13",20,155000,62907760,0.016,"GSM2404113_9379082039_R01C01"
"14",21,10848948,48084948,0.0546,"GSM2404113_9379082039_R01C01"
"15",22,16373925,51222283,0.0729,"GSM2404113_9379082039_R01C01"
"16",3,155000,197831215,-0.0427,"GSM2404113_9379082039_R01C01"
"17",4,55000,190972138,-0.1095,"GSM2404113_9379082039_R01C01"
"18",5,55000,180777630,0.0136,"GSM2404113_9379082039_R01C01"
"19",6,155000,170952534,0.1171,"GSM2404113_9379082039_R01C01"
"20",7,55000,159039332,0.0594,"GSM2404113_9379082039_R01C01"
"21",8,105000,146277011,-0.0594,"GSM2404113_9379082039_R01C01"
"22",9,130000,141076716,-0.0237,"GSM2404113_9379082039_R01C01"
"23",1,635684,249195311,0.0418,"GSM2404120_9376561062_R04C02"
"24",10,105000,135462374,0.0327,"GSM2404120_9376561062_R04C02"
"25",11,130000,134873258,-0.3362,"GSM2404120_9376561062_R04C02"
"26",12,172870,133770948,0.0214,"GSM2404120_9376561062_R04C02"
"27",13,19110000,115079939,-0.0018,"GSM2404120_9376561062_R04C02"
"28",14,19325000,107119770,0.0415,"GSM2404120_9376561062_R04C02"
"29",15,20225000,102410696,0.0406,"GSM2404120_9376561062_R04C02"
"30",16,105000,90222377,0.0691,"GSM2404120_9376561062_R04C02"
"31",17,25000,81122605,0.0303,"GSM2404120_9376561062_R04C02"
"32",18,80000,77983624,-0.0066,"GSM2404120_9376561062_R04C02"
"33",19,180000,59084492,0.0568,"GSM2404120_9376561062_R04C02"
"34",2,130000,243026238,0.0017,"GSM2404120_9376561062_R04C02"
"35",20,155000,62907760,0.0199,"GSM2404120_9376561062_R04C02"
"36",21,10848948,48084948,0.0565,"GSM2404120_9376561062_R04C02"
"37",22,16373925,51222283,0.0809,"GSM2404120_9376561062_R04C02"
"38",3,155000,197831215,8e-04,"GSM2404120_9376561062_R04C02"
"39",4,55000,190972138,-0.0379,"GSM2404120_9376561062_R04C02"
"40",5,55000,180777630,0.001,"GSM2404120_9376561062_R04C02"
"41",6,155000,170952534,-3e-04,"GSM2404120_9376561062_R04C02"
"42",7,55000,159039332,0.0342,"GSM2404120_9376561062_R04C02"
"43",8,105000,146277011,0.0178,"GSM2404120_9376561062_R04C02"
"44",9,130000,141076716,0.0527,"GSM2404120_9376561062_R04C02"
"45",1,635684,249195311,0.0422,"GSM2404138_9406922158_R05C02"
"46",10,105000,135462374,0.0494,"GSM2404138_9406922158_R05C02"
"47",11,130000,134873258,-0.3084,"GSM2404138_9406922158_R05C02"
"48",12,172870,133770948,0.0361,"GSM2404138_9406922158_R05C02"
"49",13,19110000,115079939,0.0398,"GSM2404138_9406922158_R05C02"
"50",14,19325000,105975000,0.0357,"GSM2404138_9406922158_R05C02"
"51",14,106025000,107119770,0.2236,"GSM2404138_9406922158_R05C02"
"52",15,20225000,102410696,0.0504,"GSM2404138_9406922158_R05C02"
"53",16,105000,90222377,0.0637,"GSM2404138_9406922158_R05C02"
"54",17,25000,81122605,-0.0079,"GSM2404138_9406922158_R05C02"
"55",18,80000,73275000,-0.3907,"GSM2404138_9406922158_R05C02"
"56",18,73875000,77983624,-0.2266,"GSM2404138_9406922158_R05C02"
"57",19,180000,59084492,0.0344,"GSM2404138_9406922158_R05C02"
