"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,-0.0383,"GSM2404029_9340996032_R01C01",0.681764131193664
"2",10,105000,135462374,-0.0199,"GSM2404029_9340996032_R01C01",0.681764131193664
"3",11,130000,134873258,-0.0221,"GSM2404029_9340996032_R01C01",0.681764131193664
"4",12,172870,133770948,0.0029,"GSM2404029_9340996032_R01C01",0.681764131193664
"5",13,19110000,115079939,0.0521,"GSM2404029_9340996032_R01C01",0.681764131193664
"6",14,19325000,107119770,-0.0432,"GSM2404029_9340996032_R01C01",0.681764131193664
"7",15,20225000,22429154,0.3726,"GSM2404029_9340996032_R01C01",0.681764131193664
"8",15,22748097,83725000,-0.0106,"GSM2404029_9340996032_R01C01",0.681764131193664
"9",15,83850000,84250000,-0.4393,"GSM2404029_9340996032_R01C01",0.681764131193664
"10",15,84667237,102410696,-7e-04,"GSM2404029_9340996032_R01C01",0.681764131193664
"11",16,105000,90222377,0.0022,"GSM2404029_9340996032_R01C01",0.681764131193664
"12",17,25000,81122605,-0.1427,"GSM2404029_9340996032_R01C01",0.681764131193664
"13",18,80000,77983624,-0.1339,"GSM2404029_9340996032_R01C01",0.681764131193664
"14",19,180000,59084492,-0.0955,"GSM2404029_9340996032_R01C01",0.681764131193664
"15",2,130000,243026238,-0.0152,"GSM2404029_9340996032_R01C01",0.681764131193664
"16",20,155000,62907760,-0.0663,"GSM2404029_9340996032_R01C01",0.681764131193664
"17",21,10848948,48084948,-0.0216,"GSM2404029_9340996032_R01C01",0.681764131193664
"18",22,16373925,51222283,-0.3489,"GSM2404029_9340996032_R01C01",0.681764131193664
"19",3,155000,197831215,-0.0584,"GSM2404029_9340996032_R01C01",0.681764131193664
"20",4,55000,190972138,-0.0728,"GSM2404029_9340996032_R01C01",0.681764131193664
"21",5,55000,180777630,0.008,"GSM2404029_9340996032_R01C01",0.681764131193664
"22",6,155000,170952534,-0.0197,"GSM2404029_9340996032_R01C01",0.681764131193664
"23",7,55000,159039332,0.0295,"GSM2404029_9340996032_R01C01",0.681764131193664
"24",8,105000,146277011,-0.0261,"GSM2404029_9340996032_R01C01",0.681764131193664
"25",9,130000,141076716,-0.0643,"GSM2404029_9340996032_R01C01",0.681764131193664
"26",1,635684,249195311,-0.0565,"GSM2404556_9553932098_R03C02",0.56770973817681
"27",10,105000,135462374,-0.0377,"GSM2404556_9553932098_R03C02",0.56770973817681
"28",11,130000,134873258,-0.0816,"GSM2404556_9553932098_R03C02",0.56770973817681
"29",12,172870,133770948,-0.0611,"GSM2404556_9553932098_R03C02",0.56770973817681
"30",13,19110000,115079939,-0.0629,"GSM2404556_9553932098_R03C02",0.56770973817681
"31",14,19325000,20025000,0.3572,"GSM2404556_9553932098_R03C02",0.56770973817681
"32",14,20450000,107119770,-0.0564,"GSM2404556_9553932098_R03C02",0.56770973817681
"33",15,20225000,102410696,-0.0367,"GSM2404556_9553932098_R03C02",0.56770973817681
"34",16,105000,90222377,0.0058,"GSM2404556_9553932098_R03C02",0.56770973817681
"35",17,25000,81122605,-0.0301,"GSM2404556_9553932098_R03C02",0.56770973817681
"36",18,80000,77983624,-0.0536,"GSM2404556_9553932098_R03C02",0.56770973817681
"37",19,180000,59084492,2e-04,"GSM2404556_9553932098_R03C02",0.56770973817681
"38",2,130000,243026238,-0.0704,"GSM2404556_9553932098_R03C02",0.56770973817681
"39",20,155000,62907760,-0.051,"GSM2404556_9553932098_R03C02",0.56770973817681
"40",21,10848948,48084948,0.0066,"GSM2404556_9553932098_R03C02",0.56770973817681
"41",22,16373925,51222283,0.0302,"GSM2404556_9553932098_R03C02",0.56770973817681
"42",3,155000,197831215,-0.1045,"GSM2404556_9553932098_R03C02",0.56770973817681
"43",4,55000,190972138,-0.0937,"GSM2404556_9553932098_R03C02",0.56770973817681
"44",5,55000,180777630,-0.0865,"GSM2404556_9553932098_R03C02",0.56770973817681
"45",6,155000,170952534,-0.0828,"GSM2404556_9553932098_R03C02",0.56770973817681
"46",7,55000,159039332,-0.0459,"GSM2404556_9553932098_R03C02",0.56770973817681
"47",8,105000,146277011,-0.0672,"GSM2404556_9553932098_R03C02",0.56770973817681
"48",9,130000,141076716,-0.0357,"GSM2404556_9553932098_R03C02",0.56770973817681
"49",1,635684,249195311,-0.0686,"GSM2404616_9741950021_R06C01",0.608685134820944
"50",10,105000,135462374,-0.0576,"GSM2404616_9741950021_R06C01",0.608685134820944
