"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,0.0475,"GSM2403087_6229017111_R06C01",0.538582974484879
"2",10,105000,131825000,-0.2766,"GSM2403087_6229017111_R06C01",0.538582974484879
"3",10,131900000,134325000,-0.9087,"GSM2403087_6229017111_R06C01",0.538582974484879
"4",10,134375000,135462374,-0.1769,"GSM2403087_6229017111_R06C01",0.538582974484879
"5",11,130000,50516927,0.0197,"GSM2403087_6229017111_R06C01",0.538582974484879
"6",11,54922103,56100000,-0.2939,"GSM2403087_6229017111_R06C01",0.538582974484879
"7",11,56300000,134873258,0.0115,"GSM2403087_6229017111_R06C01",0.538582974484879
"8",12,172870,133770948,0.0193,"GSM2403087_6229017111_R06C01",0.538582974484879
"9",13,19110000,115079939,-0.2152,"GSM2403087_6229017111_R06C01",0.538582974484879
"10",14,19325000,94775000,-0.2828,"GSM2403087_6229017111_R06C01",0.538582974484879
"11",14,94850000,95225000,-0.9624,"GSM2403087_6229017111_R06C01",0.538582974484879
"12",14,95375000,107119770,-0.1975,"GSM2403087_6229017111_R06C01",0.538582974484879
"13",15,20225000,102410696,0.048,"GSM2403087_6229017111_R06C01",0.538582974484879
"14",16,105000,90222377,0.0602,"GSM2403087_6229017111_R06C01",0.538582974484879
"15",17,25000,22156503,-0.2204,"GSM2403087_6229017111_R06C01",0.538582974484879
"16",17,25431503,81122605,0.109,"GSM2403087_6229017111_R06C01",0.538582974484879
"17",18,80000,77983624,-0.1569,"GSM2403087_6229017111_R06C01",0.538582974484879
"18",19,180000,59084492,0.0166,"GSM2403087_6229017111_R06C01",0.538582974484879
"19",2,130000,243026238,-0.0176,"GSM2403087_6229017111_R06C01",0.538582974484879
"20",20,155000,62907760,-0.0133,"GSM2403087_6229017111_R06C01",0.538582974484879
"21",21,10848948,48084948,0.0155,"GSM2403087_6229017111_R06C01",0.538582974484879
"22",22,16373925,51222283,-0.1863,"GSM2403087_6229017111_R06C01",0.538582974484879
"23",3,155000,197831215,0.0046,"GSM2403087_6229017111_R06C01",0.538582974484879
"24",4,55000,190972138,-0.0357,"GSM2403087_6229017111_R06C01",0.538582974484879
"25",5,55000,180777630,0.0149,"GSM2403087_6229017111_R06C01",0.538582974484879
"26",6,155000,170952534,-0.0147,"GSM2403087_6229017111_R06C01",0.538582974484879
"27",7,55000,53950000,0.1899,"GSM2403087_6229017111_R06C01",0.538582974484879
"28",7,54625000,55425000,1.0771,"GSM2403087_6229017111_R06C01",0.538582974484879
"29",7,55525000,159039332,0.1893,"GSM2403087_6229017111_R06C01",0.538582974484879
"30",8,105000,88875000,-0.2335,"GSM2403087_6229017111_R06C01",0.538582974484879
"31",8,89100000,90925000,-0.793,"GSM2403087_6229017111_R06C01",0.538582974484879
"32",8,9.1e+07,146277011,-0.2234,"GSM2403087_6229017111_R06C01",0.538582974484879
"33",9,130000,141076716,-0.225,"GSM2403087_6229017111_R06C01",0.538582974484879
"34",1,635684,249195311,0.087,"GSM2403091_6229017111_R04C02",0.499978294587547
"35",10,105000,89425000,-0.138,"GSM2403091_6229017111_R04C02",0.499978294587547
"36",10,89525000,90475000,-0.4929,"GSM2403091_6229017111_R04C02",0.499978294587547
"37",10,90625000,135462374,-0.1165,"GSM2403091_6229017111_R04C02",0.499978294587547
"38",11,130000,134873258,0.003,"GSM2403091_6229017111_R04C02",0.499978294587547
"39",12,172870,133770948,-0.1539,"GSM2403091_6229017111_R04C02",0.499978294587547
"40",13,19110000,48725000,-0.2142,"GSM2403091_6229017111_R04C02",0.499978294587547
"41",13,48825000,50375000,-0.7835,"GSM2403091_6229017111_R04C02",0.499978294587547
"42",13,50475000,115079939,-0.1503,"GSM2403091_6229017111_R04C02",0.499978294587547
"43",14,19325000,107119770,-0.1405,"GSM2403091_6229017111_R04C02",0.499978294587547
"44",15,20225000,102410696,0.0258,"GSM2403091_6229017111_R04C02",0.499978294587547
"45",16,105000,90222377,0.0812,"GSM2403091_6229017111_R04C02",0.499978294587547
"46",17,25000,81122605,-0.0374,"GSM2403091_6229017111_R04C02",0.499978294587547
"47",18,80000,77983624,-0.214,"GSM2403091_6229017111_R04C02",0.499978294587547
"48",19,180000,59084492,-0.0526,"GSM2403091_6229017111_R04C02",0.499978294587547
"49",2,130000,243026238,-0.0398,"GSM2403091_6229017111_R04C02",0.499978294587547
"50",20,155000,62907760,-0.008,"GSM2403091_6229017111_R04C02",0.499978294587547
"51",21,10848948,48084948,0.1981,"GSM2403091_6229017111_R04C02",0.499978294587547
"52",22,16373925,51222283,-0.1116,"GSM2403091_6229017111_R04C02",0.499978294587547
"53",3,155000,197831215,0.0034,"GSM2403091_6229017111_R04C02",0.499978294587547
"54",4,55000,190972138,-0.0573,"GSM2403091_6229017111_R04C02",0.499978294587547
"55",5,55000,180777630,-0.0432,"GSM2403091_6229017111_R04C02",0.499978294587547
"56",6,155000,170952534,-0.0049,"GSM2403091_6229017111_R04C02",0.499978294587547
"57",7,55000,159039332,0.0858,"GSM2403091_6229017111_R04C02",0.499978294587547
"58",8,105000,146277011,-0.1748,"GSM2403091_6229017111_R04C02",0.499978294587547
"59",9,130000,141076716,0.0381,"GSM2403091_6229017111_R04C02",0.499978294587547
"60",1,635684,33025000,0.0029,"GSM2403092_6229017120_R01C01",0.560547577558439
"61",1,33125000,36925000,-0.2241,"GSM2403092_6229017120_R01C01",0.560547577558439
"62",1,37125000,249195311,0.0245,"GSM2403092_6229017120_R01C01",0.560547577558439
"63",10,105000,135462374,-0.2552,"GSM2403092_6229017120_R01C01",0.560547577558439
"64",11,130000,134873258,0.021,"GSM2403092_6229017120_R01C01",0.560547577558439
"65",12,172870,133770948,0.0105,"GSM2403092_6229017120_R01C01",0.560547577558439
"66",13,19110000,79575000,-0.0772,"GSM2403092_6229017120_R01C01",0.560547577558439
"67",13,8e+07,89725000,-0.4472,"GSM2403092_6229017120_R01C01",0.560547577558439
"68",13,91550000,115079939,-0.0137,"GSM2403092_6229017120_R01C01",0.560547577558439
"69",14,19325000,107119770,-0.2463,"GSM2403092_6229017120_R01C01",0.560547577558439
"70",15,20225000,102410696,0.0277,"GSM2403092_6229017120_R01C01",0.560547577558439
"71",16,105000,35017901,0.035,"GSM2403092_6229017120_R01C01",0.560547577558439
"72",16,46517901,90222377,-0.2075,"GSM2403092_6229017120_R01C01",0.560547577558439
"73",17,25000,81122605,-0.0133,"GSM2403092_6229017120_R01C01",0.560547577558439
"74",18,80000,77983624,-0.096,"GSM2403092_6229017120_R01C01",0.560547577558439
"75",19,180000,59084492,0.007,"GSM2403092_6229017120_R01C01",0.560547577558439
"76",2,130000,243026238,-0.0182,"GSM2403092_6229017120_R01C01",0.560547577558439
"77",20,155000,62907760,-0.0127,"GSM2403092_6229017120_R01C01",0.560547577558439
"78",21,10848948,48084948,0.0079,"GSM2403092_6229017120_R01C01",0.560547577558439
