"chrom","start.pos","end.pos","n.probes","GSM2403010_6929718009_R05C01","GSM2403644_8942351007_R01C02","GSM2403645_8942351007_R02C02","GSM2403647_8942351007_R04C02","GSM2403660_8963311099_R06C02","GSM2403705_9007217153_R01C01","GSM2403706_9007217153_R02C01","GSM2403707_9007217153_R04C01","GSM2404204_9376561042_R03C01","GSM2404257_9406921039_R04C02","GSM2405159_9878820030_R04C01","GSM2405206_9878820122_R03C02","GSM2405627_3998567085_R06C02","GSM2941685_9878827239_R03C02"
"1",1,521369,249150001,1593,0.005,0.033,-0.07,0.013,0.021,-0.032,-0.064,-0.097,-0.077,-0.016,-0.035,-0.061,-0.067,-0.047
"2",2,10001,242950001,1282,-0.085,0.004,0.116,-0.069,-0.036,-0.033,-0.078,-0.076,-0.054,-0.019,-0.113,-0.02,-0.069,-0.099
"3",3,60001,197700001,978,0.079,0.032,-0.083,-0.093,-0.077,-0.049,-0.132,-0.113,-0.113,-0.031,0.088,-0.128,-0.119,-0.142
"4",4,10001,190900001,742,-0.085,-0.007,-0.089,-0.061,-0.086,-0.016,-0.078,-0.071,0.051,-0.089,-0.075,-0.124,-0.071,-0.115
"5",5,10001,180650001,849,-0.069,0.017,-0.077,-0.08,-0.086,-0.029,-0.106,-0.089,-0.073,-0.082,-0.085,-0.101,-0.145,-0.101
"6",6,60001,58300001,495,-0.083,-0.225,-0.073,-0.06,-0.077,-0.092,-0.06,-0.164,-0.442,-0.223,-0.055,-0.11,-0.175,0.029
"7",6,62178590,170850001,493,-0.1,-0.217,-0.077,-0.295,-0.381,-0.261,-0.482,-0.082,-0.431,-0.447,-0.48,-0.13,-0.188,-0.309
"8",7,10001,158950001,952,-0.073,0.017,0.145,0.102,-0.098,-0.024,-0.08,0.068,-0.046,-0.075,-0.104,0.09,-0.063,0.052
"9",8,10001,146250001,726,-0.061,-0.023,-0.091,-0.043,-0.105,-0.023,-0.071,-0.068,-0.045,-0.048,0.084,-0.186,-0.014,-0.076
"10",9,10001,141000001,383,-0.101,0.049,-0.092,-0.078,-0.091,-0.059,-0.108,-0.143,-0.052,-0.039,0.042,0.134,-0.016,-0.068
"11",10,60001,135400001,840,-0.022,0.013,-0.066,-0.041,-0.06,-0.017,-0.008,0.096,-0.023,-0.034,-0.104,-0.054,0.013,0.035
"12",11,60001,134800001,914,0.105,0.019,-0.11,-0.091,-0.104,-0.053,-0.132,-0.124,-0.105,-0.041,0.054,-0.086,-0.157,0.02
"13",12,145740,133700001,848,0.116,0.018,0.16,-0.058,-0.002,-0.022,0.038,0.033,-0.1,-0.059,-0.03,0.099,-0.032,-0.083
"14",13,19020001,115050001,431,-0.135,-0.229,-0.101,-0.152,-0.133,-0.013,-0.103,-0.026,-0.081,-0.157,0.046,-0.165,-0.145,-0.143
"15",14,19000001,106950001,528,-0.035,0.017,-0.07,-0.059,-0.063,-0.043,-0.061,-0.089,-0.044,-0.003,-0.004,-0.066,-0.072,0.071
"16",15,20000001,102300001,571,0.151,0.025,-0.071,-0.039,-0.053,-0.017,-0.05,-0.059,-0.012,-0.105,-0.106,-0.042,-0.006,-0.05
"17",16,60001,90150001,624,-0.061,0.026,-0.085,-0.042,0.104,-0.034,0.13,0.051,-0.024,0.155,-0.025,-0.032,-0.004,-0.051
"18",17,1,81050001,814,-0.068,-0.089,-0.102,-0.064,-0.066,-0.061,-0.077,-0.125,-0.115,-0.056,-0.108,0.003,-0.009,-0.063
"19",18,10001,77950001,243,-0.077,-0.037,-0.096,-0.046,0.049,0.065,-0.018,-0.1,0.215,-0.019,0.129,0.045,-0.042,-0.07
"20",19,60001,59050001,711,-0.073,-0.014,-0.021,-0.055,-0.04,0.128,0.051,-0.128,0.058,-0.009,-0.024,-0.059,-0.022,-0.067
"21",20,60001,62850001,359,-0.127,-0.038,-0.154,-0.116,-0.145,-0.109,-0.126,-0.187,-0.088,-0.08,-0.113,-0.116,-0.09,-0.1
"22",21,10697897,48050001,157,-0.051,0.024,0.149,-0.024,-0.028,0.136,-0.056,0.168,0.012,-0.008,0.038,0.127,0.132,-0.039
"23",22,16050001,51200001,300,-0.007,0.017,-0.08,-0.048,-0.055,-0.053,-0.031,-0.115,-0.133,0.037,0.05,0.009,0.055,0.023
