"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,0.0043,"GSM2404034_9340996058_R03C01",0.476403930448178
"2",10,105000,135462374,0.0019,"GSM2404034_9340996058_R03C01",0.476403930448178
"3",11,130000,134873258,0.0084,"GSM2404034_9340996058_R03C01",0.476403930448178
"4",12,172870,133770948,-0.0126,"GSM2404034_9340996058_R03C01",0.476403930448178
"5",13,19110000,115079939,-0.0151,"GSM2404034_9340996058_R03C01",0.476403930448178
"6",14,19325000,107119770,-0.0168,"GSM2404034_9340996058_R03C01",0.476403930448178
"7",15,20225000,102410696,-0.0067,"GSM2404034_9340996058_R03C01",0.476403930448178
"8",16,105000,90222377,-0.0073,"GSM2404034_9340996058_R03C01",0.476403930448178
"9",17,25000,81122605,-0.0208,"GSM2404034_9340996058_R03C01",0.476403930448178
"10",18,80000,77983624,-0.1492,"GSM2404034_9340996058_R03C01",0.476403930448178
"11",19,180000,59084492,-0.0876,"GSM2404034_9340996058_R03C01",0.476403930448178
"12",2,130000,243026238,-0.0278,"GSM2404034_9340996058_R03C01",0.476403930448178
"13",20,155000,62907760,-0.0606,"GSM2404034_9340996058_R03C01",0.476403930448178
"14",21,10848948,48084948,-0.027,"GSM2404034_9340996058_R03C01",0.476403930448178
"15",22,16373925,51222283,-0.0301,"GSM2404034_9340996058_R03C01",0.476403930448178
"16",3,155000,197831215,-0.0076,"GSM2404034_9340996058_R03C01",0.476403930448178
"17",4,55000,190972138,-0.0742,"GSM2404034_9340996058_R03C01",0.476403930448178
"18",5,55000,180777630,-0.0041,"GSM2404034_9340996058_R03C01",0.476403930448178
"19",6,155000,170952534,0.0387,"GSM2404034_9340996058_R03C01",0.476403930448178
"20",7,55000,159039332,0.0178,"GSM2404034_9340996058_R03C01",0.476403930448178
"21",8,105000,104925000,-0.1493,"GSM2404034_9340996058_R03C01",0.476403930448178
"22",8,105350000,146277011,0.2201,"GSM2404034_9340996058_R03C01",0.476403930448178
"23",9,130000,141076716,-0.0098,"GSM2404034_9340996058_R03C01",0.476403930448178
"24",1,635684,775000,0.3148,"GSM2404239_9406921149_R04C01",0.671127083730206
