"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,-0.0447,"GSM2402999_6929718020_R03C02"
"2",10,105000,135462374,-0.0754,"GSM2402999_6929718020_R03C02"
"3",11,130000,134873258,0.1165,"GSM2402999_6929718020_R03C02"
"4",12,172870,133770948,0.1082,"GSM2402999_6929718020_R03C02"
"5",13,19110000,115079939,-0.0906,"GSM2402999_6929718020_R03C02"
"6",14,19325000,107119770,0.0953,"GSM2402999_6929718020_R03C02"
"7",15,20225000,102410696,0.1001,"GSM2402999_6929718020_R03C02"
"8",16,105000,90222377,-0.0285,"GSM2402999_6929718020_R03C02"
"9",17,25000,81122605,0.0259,"GSM2402999_6929718020_R03C02"
"10",18,80000,77983624,-0.0537,"GSM2402999_6929718020_R03C02"
"11",19,180000,42725000,0.0603,"GSM2402999_6929718020_R03C02"
"12",19,42775000,47400000,-0.267,"GSM2402999_6929718020_R03C02"
"13",19,47550000,52025000,0.0828,"GSM2402999_6929718020_R03C02"
"14",19,52075000,54025000,-0.4101,"GSM2402999_6929718020_R03C02"
"15",19,54100000,54925000,0.3009,"GSM2402999_6929718020_R03C02"
"16",19,54975000,59084492,0.076,"GSM2402999_6929718020_R03C02"
"17",2,130000,243026238,0.0737,"GSM2402999_6929718020_R03C02"
"18",20,155000,62907760,0.0791,"GSM2402999_6929718020_R03C02"
"19",21,10848948,48084948,0.0791,"GSM2402999_6929718020_R03C02"
"20",22,16373925,51222283,-0.0396,"GSM2402999_6929718020_R03C02"
"21",3,155000,197831215,0.1067,"GSM2402999_6929718020_R03C02"
"22",4,55000,190972138,-0.0203,"GSM2402999_6929718020_R03C02"
"23",5,55000,180777630,0.0799,"GSM2402999_6929718020_R03C02"
"24",6,155000,170952534,-0.1061,"GSM2402999_6929718020_R03C02"
"25",7,55000,159039332,-0.0447,"GSM2402999_6929718020_R03C02"
"26",8,105000,146277011,0.0686,"GSM2402999_6929718020_R03C02"
"27",9,130000,141076716,-0.041,"GSM2402999_6929718020_R03C02"
"28",1,635684,249195311,0.032,"GSM2403001_6929718057_R03C02"
"29",10,105000,135462374,0.0154,"GSM2403001_6929718057_R03C02"
"30",11,130000,134873258,0.0268,"GSM2403001_6929718057_R03C02"
"31",12,172870,133770948,0.0181,"GSM2403001_6929718057_R03C02"
"32",13,19110000,115079939,-0.0398,"GSM2403001_6929718057_R03C02"
"33",14,19325000,107119770,0.0156,"GSM2403001_6929718057_R03C02"
"34",15,20225000,102410696,0.0228,"GSM2403001_6929718057_R03C02"
"35",16,105000,90222377,0.0334,"GSM2403001_6929718057_R03C02"
"36",17,25000,81122605,-0.0545,"GSM2403001_6929718057_R03C02"
"37",18,80000,77983624,-0.1208,"GSM2403001_6929718057_R03C02"
"38",19,180000,40425000,-0.0156,"GSM2403001_6929718057_R03C02"
"39",19,40500000,43975000,-0.3662,"GSM2403001_6929718057_R03C02"
"40",19,44025000,54100000,-0.0026,"GSM2403001_6929718057_R03C02"
"41",19,54175000,54925000,0.5487,"GSM2403001_6929718057_R03C02"
"42",19,54975000,59084492,-0.0144,"GSM2403001_6929718057_R03C02"
"43",2,130000,243026238,0.2082,"GSM2403001_6929718057_R03C02"
"44",20,155000,62907760,-0.0272,"GSM2403001_6929718057_R03C02"
"45",21,10848948,48084948,-0.0092,"GSM2403001_6929718057_R03C02"
"46",22,16373925,51222283,0.0184,"GSM2403001_6929718057_R03C02"
"47",3,155000,197831215,0.0157,"GSM2403001_6929718057_R03C02"
"48",4,55000,190972138,-0.0639,"GSM2403001_6929718057_R03C02"
"49",5,55000,180777630,0.0012,"GSM2403001_6929718057_R03C02"
"50",6,155000,170952534,-0.0274,"GSM2403001_6929718057_R03C02"
"51",7,55000,159039332,0.0278,"GSM2403001_6929718057_R03C02"
"52",8,105000,146277011,-0.0232,"GSM2403001_6929718057_R03C02"
"53",9,130000,141076716,0.0283,"GSM2403001_6929718057_R03C02"
"54",1,635684,249195311,0.0366,"GSM2403002_6929718057_R04C02"
"55",10,105000,135462374,0.0167,"GSM2403002_6929718057_R04C02"
"56",11,130000,134873258,0.0376,"GSM2403002_6929718057_R04C02"
"57",12,172870,133770948,0.0226,"GSM2403002_6929718057_R04C02"
