"chrom","start.pos","end.pos","n.probes","GSM2404023_9340996014_R04C02","GSM2404025_9340996014_R05C01","GSM2404131_9406921073_R04C01","GSM2404499_9444375017_R01C01","GSM2404617_9741950021_R01C02","GSM2404659_9741950109_R06C01","GSM2404661_9741950109_R02C02","GSM2404667_9741950099_R04C02","GSM2404674_9741950100_R06C02","GSM2405005_9969477032_R06C01","GSM2405009_9969477029_R06C02","GSM2405213_9878820156_R06C02","GSM2405380_3999834089_R06C01","GSM2941143_3998998187_R02C01","GSM2941174_3999078119_R01C01","GSM2941321_9297949139_R05C02","GSM2941398_9420867051_R04C01","GSM2941414_9444374133_R04C01","GSM2941462_9533774088_R02C02","GSM2941660_9878827210_R01C02","GSM2941662_9878827210_R02C02","GSM2941668_9878827210_R06C01"
"1",1,521369,160800001,1070,-0.078,-0.048,-0.017,0.063,-0.02,0.177,0.01,0.035,0.032,0.038,0.048,0.078,0.153,0.027,0.069,0.08,0.053,0.101,0.024,-0.033,-0.032,0.005
"2",1,160950001,249150001,523,0.289,-0.043,-0.001,0.039,-0.05,-0.208,-0.021,0.023,0.352,0.054,0.03,0.007,0.21,0.034,0.01,0.061,0.047,0.047,0.024,0.011,-0.028,0.01
"3",2,10001,242950001,1282,0.142,-0.008,-0.003,0.02,0.085,0.035,-0.009,0.016,0.161,0.049,0.038,-0.032,0.158,0.022,0.036,0.03,0.038,0.078,0.016,0.01,-0.006,0.002
"4",3,60001,197700001,978,0.196,0.053,0.234,0.043,-0.097,0.074,-0.023,0.007,0.176,0.065,0.053,-0.03,0.111,0.041,-0.046,0.051,-0.008,0.005,0.009,-0.004,-0.006,-0.007
"5",4,10001,190900001,742,-0.004,-0.095,-0.023,-0.061,-0.005,-0.199,-0.046,0.007,0.173,0.009,-0.003,-0.105,-0.04,-0.036,-0.09,-0.036,-0.143,-0.057,-0.002,0.012,-0.009,-0.038
"6",5,10001,180650001,849,0.151,0.033,-0.005,0.048,-0.02,0.071,-0.018,0.013,0.146,0.049,0.031,-0.024,0.134,-0.148,-0.003,0.043,0.016,-0.018,0.081,0.003,-0.022,0.002
"7",6,60001,170850001,988,0.134,0.152,-0.005,0.042,-0.049,-0.031,-0.023,-0.002,-0.09,0.053,0.03,-0.057,0.058,0.028,-0.046,0.035,-0.003,-0.013,0.019,0.019,0.005,0.015
"8",7,10001,158950001,952,0.308,0.21,0.242,0.076,0.162,0.102,0.038,0.069,0.156,0.08,0.043,-0.036,0.071,0.258,0.238,0.069,0.25,0.037,0.275,0.197,0.062,0.046
"9",8,10001,146250001,726,0.216,0.023,0.003,0.052,0.054,-0.017,-0.006,0.034,0.182,0.035,0.008,-0.031,0.123,0.167,-0.104,0.041,-0.002,-0.251,-0.003,0.025,0.036,0.02
"10",9,10001,141000001,383,0.115,0.058,-0.022,-0.055,-0.219,-0.035,0.028,0.037,0.135,0.039,0.032,0.037,-0.058,0.241,-0.005,0.076,-0.015,0.05,0.166,-0.018,-0.026,0.01
