"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,-0.0636,"GSM2403502_8622007067_R05C02",0.684744254379
"2",10,105000,135462374,-0.02,"GSM2403502_8622007067_R05C02",0.684744254379
"3",11,130000,134873258,-0.0908,"GSM2403502_8622007067_R05C02",0.684744254379
"4",12,172870,133770948,-0.067,"GSM2403502_8622007067_R05C02",0.684744254379
"5",13,19110000,115079939,-0.0243,"GSM2403502_8622007067_R05C02",0.684744254379
"6",14,19325000,20025000,0.3871,"GSM2403502_8622007067_R05C02",0.684744254379
"7",14,20450000,107119770,-0.0775,"GSM2403502_8622007067_R05C02",0.684744254379
"8",15,20225000,102410696,-0.047,"GSM2403502_8622007067_R05C02",0.684744254379
"9",16,105000,90222377,0.0125,"GSM2403502_8622007067_R05C02",0.684744254379
"10",17,25000,81122605,-0.0807,"GSM2403502_8622007067_R05C02",0.684744254379
"11",18,80000,77983624,-0.1226,"GSM2403502_8622007067_R05C02",0.684744254379
"12",19,180000,59084492,-0.0596,"GSM2403502_8622007067_R05C02",0.684744254379
"13",2,130000,243026238,-0.0674,"GSM2403502_8622007067_R05C02",0.684744254379
"14",20,155000,62907760,-0.0913,"GSM2403502_8622007067_R05C02",0.684744254379
"15",21,10848948,48084948,-0.0199,"GSM2403502_8622007067_R05C02",0.684744254379
"16",22,16373925,51222283,-0.0433,"GSM2403502_8622007067_R05C02",0.684744254379
"17",3,155000,197831215,-0.1172,"GSM2403502_8622007067_R05C02",0.684744254379
"18",4,55000,190972138,-0.0945,"GSM2403502_8622007067_R05C02",0.684744254379
"19",5,55000,180777630,-0.0629,"GSM2403502_8622007067_R05C02",0.684744254379
"20",6,155000,170952534,-0.0615,"GSM2403502_8622007067_R05C02",0.684744254379
"21",7,55000,101475000,-0.0175,"GSM2403502_8622007067_R05C02",0.684744254379
"22",7,101525000,101875000,0.3269,"GSM2403502_8622007067_R05C02",0.684744254379
"23",7,101925000,159039332,-0.0158,"GSM2403502_8622007067_R05C02",0.684744254379
"24",8,105000,146277011,-0.0646,"GSM2403502_8622007067_R05C02",0.684744254379
"25",9,130000,141076716,-0.0335,"GSM2403502_8622007067_R05C02",0.684744254379
"26",1,635684,249195311,-0.0144,"GSM2403905_9305216208_R01C01",0.549555875577135
"27",10,105000,135462374,-0.0011,"GSM2403905_9305216208_R01C01",0.549555875577135
"28",11,130000,134873258,-0.014,"GSM2403905_9305216208_R01C01",0.549555875577135
"29",12,172870,133770948,-0.0239,"GSM2403905_9305216208_R01C01",0.549555875577135
"30",13,19110000,115079939,-0.0175,"GSM2403905_9305216208_R01C01",0.549555875577135
"31",14,19325000,107119770,-0.019,"GSM2403905_9305216208_R01C01",0.549555875577135
"32",15,20225000,83725000,-0.0117,"GSM2403905_9305216208_R01C01",0.549555875577135
"33",15,83850000,84250000,-0.2689,"GSM2403905_9305216208_R01C01",0.549555875577135
"34",15,84667237,102410696,0.0198,"GSM2403905_9305216208_R01C01",0.549555875577135
"35",16,105000,90222377,0.0176,"GSM2403905_9305216208_R01C01",0.549555875577135
"36",17,25000,81122605,-0.0573,"GSM2403905_9305216208_R01C01",0.549555875577135
"37",18,80000,77983624,-0.0911,"GSM2403905_9305216208_R01C01",0.549555875577135
