"chromosome","start","end","segmean","sample"
"1",1,635684,45125000,-0.2765,"GSM2402997_6929718001_R01C02"
"2",1,45175000,55475000,0.0953,"GSM2402997_6929718001_R01C02"
"3",1,55525000,112100000,-0.4146,"GSM2402997_6929718001_R01C02"
"4",1,112200000,249195311,0.0859,"GSM2402997_6929718001_R01C02"
"5",10,105000,135462374,0.0665,"GSM2402997_6929718001_R01C02"
"6",11,130000,134873258,0.0672,"GSM2402997_6929718001_R01C02"
"7",12,172870,133770948,0.0691,"GSM2402997_6929718001_R01C02"
"8",13,19110000,115079939,0.0123,"GSM2402997_6929718001_R01C02"
"9",14,19325000,107119770,0.0803,"GSM2402997_6929718001_R01C02"
"10",15,20225000,22748097,-0.1426,"GSM2402997_6929718001_R01C02"
"11",15,22875000,102410696,0.087,"GSM2402997_6929718001_R01C02"
"12",16,105000,90222377,0.0665,"GSM2402997_6929718001_R01C02"
"13",17,25000,81122605,-0.0145,"GSM2402997_6929718001_R01C02"
"14",18,80000,77983624,-0.0576,"GSM2402997_6929718001_R01C02"
"15",19,180000,24290891,0.0294,"GSM2402997_6929718001_R01C02"
"16",19,28015891,59084492,-0.3405,"GSM2402997_6929718001_R01C02"
"17",2,130000,243026238,0.0295,"GSM2402997_6929718001_R01C02"
"18",20,155000,62907760,0.0158,"GSM2402997_6929718001_R01C02"
"19",21,10848948,48084948,0.0461,"GSM2402997_6929718001_R01C02"
"20",22,16373925,51222283,0.0818,"GSM2402997_6929718001_R01C02"
"21",3,155000,197831215,0.0549,"GSM2402997_6929718001_R01C02"
"22",4,55000,190972138,0.001,"GSM2402997_6929718001_R01C02"
"23",5,55000,180777630,0.0574,"GSM2402997_6929718001_R01C02"
"24",6,155000,170952534,0.0332,"GSM2402997_6929718001_R01C02"
"25",7,55000,159039332,0.0795,"GSM2402997_6929718001_R01C02"
"26",8,105000,146277011,0.0387,"GSM2402997_6929718001_R01C02"
"27",9,130000,141076716,0.0673,"GSM2402997_6929718001_R01C02"
"28",1,635684,249195311,0.0279,"GSM2403462_8622007027_R02C01"
"29",10,105000,135462374,0.0159,"GSM2403462_8622007027_R02C01"
"30",11,130000,134873258,1e-04,"GSM2403462_8622007027_R02C01"
"31",12,172870,133770948,-0.0041,"GSM2403462_8622007027_R02C01"
"32",13,19110000,115079939,-0.1103,"GSM2403462_8622007027_R02C01"
"33",14,19325000,107119770,0.0175,"GSM2403462_8622007027_R02C01"
"34",15,20225000,102410696,0.0252,"GSM2403462_8622007027_R02C01"
"35",16,105000,90222377,0.0345,"GSM2403462_8622007027_R02C01"
"36",17,25000,81122605,-0.0322,"GSM2403462_8622007027_R02C01"
"37",18,80000,77983624,-0.1015,"GSM2403462_8622007027_R02C01"
"38",19,180000,59084492,-0.0068,"GSM2403462_8622007027_R02C01"
"39",2,130000,243026238,-0.0488,"GSM2403462_8622007027_R02C01"
"40",20,155000,62907760,-0.0465,"GSM2403462_8622007027_R02C01"
"41",21,10848948,48084948,0.0125,"GSM2403462_8622007027_R02C01"
"42",22,16373925,51222283,0.0501,"GSM2403462_8622007027_R02C01"
"43",3,155000,197831215,-0.02,"GSM2403462_8622007027_R02C01"
"44",4,55000,190972138,-0.0742,"GSM2403462_8622007027_R02C01"
"45",5,55000,180777630,-0.0129,"GSM2403462_8622007027_R02C01"
"46",6,155000,170952534,0.1765,"GSM2403462_8622007027_R02C01"
"47",7,55000,159039332,-0.0125,"GSM2403462_8622007027_R02C01"
"48",8,105000,146277011,-0.0344,"GSM2403462_8622007027_R02C01"
"49",9,130000,141076716,0.0282,"GSM2403462_8622007027_R02C01"
"50",1,635684,249195311,-0.0454,"GSM2403606_8622007149_R02C02"
"51",10,105000,135462374,-0.0211,"GSM2403606_8622007149_R02C02"
"52",11,130000,20625000,0.0072,"GSM2403606_8622007149_R02C02"
"53",11,20675000,33350000,-0.1926,"GSM2403606_8622007149_R02C02"
"54",11,33525000,48975000,0.0273,"GSM2403606_8622007149_R02C02"
"55",11,49250000,56300000,-0.4241,"GSM2403606_8622007149_R02C02"
"56",11,56675000,134873258,0.0026,"GSM2403606_8622007149_R02C02"
"57",12,172870,133770948,-0.0239,"GSM2403606_8622007149_R02C02"
"58",13,19110000,115079939,-0.2285,"GSM2403606_8622007149_R02C02"
"59",14,19325000,107119770,0.0086,"GSM2403606_8622007149_R02C02"
"60",15,20225000,22429154,0.2756,"GSM2403606_8622007149_R02C02"
"61",15,22748097,102410696,0.0178,"GSM2403606_8622007149_R02C02"
"62",16,105000,90222377,0.0407,"GSM2403606_8622007149_R02C02"
"63",17,25000,81122605,-3e-04,"GSM2403606_8622007149_R02C02"
"64",18,80000,25100000,-0.1795,"GSM2403606_8622007149_R02C02"
"65",18,27175000,77983624,-0.514,"GSM2403606_8622007149_R02C02"
"66",19,180000,40425000,0.0094,"GSM2403606_8622007149_R02C02"
"67",19,40500000,41275000,-0.2265,"GSM2403606_8622007149_R02C02"
"68",19,41325000,59084492,0.0402,"GSM2403606_8622007149_R02C02"
"69",2,130000,243026238,-0.0967,"GSM2403606_8622007149_R02C02"
"70",20,155000,62907760,-0.0327,"GSM2403606_8622007149_R02C02"
"71",21,10848948,48084948,-0.0164,"GSM2403606_8622007149_R02C02"
"72",22,16373925,51222283,-0.0111,"GSM2403606_8622007149_R02C02"
"73",3,155000,75550000,-0.0757,"GSM2403606_8622007149_R02C02"
"74",3,75675000,97025000,-0.435,"GSM2403606_8622007149_R02C02"
"75",3,97600000,197831215,-0.094,"GSM2403606_8622007149_R02C02"
"76",4,55000,17625000,0.3062,"GSM2403606_8622007149_R02C02"
"77",4,17725000,190972138,-0.0468,"GSM2403606_8622007149_R02C02"
"78",5,55000,17940329,-0.0159,"GSM2403606_8622007149_R02C02"
"79",5,19125000,29900000,-0.4633,"GSM2403606_8622007149_R02C02"
"80",5,31025000,180777630,-0.0722,"GSM2403606_8622007149_R02C02"
"81",6,155000,170952534,0.147,"GSM2403606_8622007149_R02C02"
"82",7,55000,78500000,-0.0705,"GSM2403606_8622007149_R02C02"
"83",7,79075000,93600000,-0.3655,"GSM2403606_8622007149_R02C02"
"84",7,93825000,106125000,-0.0115,"GSM2403606_8622007149_R02C02"
"85",7,106400000,126625000,-0.2703,"GSM2403606_8622007149_R02C02"
"86",7,126875000,159039332,-0.0079,"GSM2403606_8622007149_R02C02"
"87",8,105000,146277011,0.3629,"GSM2403606_8622007149_R02C02"
"88",9,130000,72075000,-0.0543,"GSM2403606_8622007149_R02C02"
"89",9,72450000,141076716,0.2404,"GSM2403606_8622007149_R02C02"
"90",1,635684,249195311,0.0667,"GSM2403686_7497398017_R06C02"
"91",10,105000,135462374,0.0591,"GSM2403686_7497398017_R06C02"
"92",11,130000,134873258,0.0768,"GSM2403686_7497398017_R06C02"
"93",12,172870,133770948,0.0574,"GSM2403686_7497398017_R06C02"
"94",13,19110000,115079939,0.0623,"GSM2403686_7497398017_R06C02"
"95",14,19325000,107119770,0.0353,"GSM2403686_7497398017_R06C02"
"96",15,20225000,102410696,0.0489,"GSM2403686_7497398017_R06C02"
"97",16,105000,14725000,0.0571,"GSM2403686_7497398017_R06C02"
"98",16,14900000,16200000,-0.2992,"GSM2403686_7497398017_R06C02"
"99",16,16725000,90222377,0.0748,"GSM2403686_7497398017_R06C02"
"100",17,25000,81122605,-0.054,"GSM2403686_7497398017_R06C02"
"101",18,80000,77983624,-0.1105,"GSM2403686_7497398017_R06C02"
"102",19,180000,59084492,0.0109,"GSM2403686_7497398017_R06C02"
"103",2,130000,243026238,0.0282,"GSM2403686_7497398017_R06C02"
"104",20,155000,62907760,0.0233,"GSM2403686_7497398017_R06C02"
"105",21,10848948,48084948,0.0341,"GSM2403686_7497398017_R06C02"
"106",22,16373925,51222283,0.0255,"GSM2403686_7497398017_R06C02"
"107",3,155000,197831215,0.0677,"GSM2403686_7497398017_R06C02"
"108",4,55000,190972138,-0.0332,"GSM2403686_7497398017_R06C02"
"109",5,55000,180777630,0.0571,"GSM2403686_7497398017_R06C02"
"110",6,155000,170952534,0.0399,"GSM2403686_7497398017_R06C02"
"111",7,55000,159039332,0.0868,"GSM2403686_7497398017_R06C02"
"112",8,105000,146277011,0.0161,"GSM2403686_7497398017_R06C02"
"113",9,130000,141076716,0.0731,"GSM2403686_7497398017_R06C02"
"114",1,635684,249195311,0.0521,"GSM2403687_7497398022_R05C02"
"115",10,105000,135462374,0.0525,"GSM2403687_7497398022_R05C02"
"116",11,130000,134873258,0.0721,"GSM2403687_7497398022_R05C02"
"117",12,172870,133770948,0.0428,"GSM2403687_7497398022_R05C02"
"118",13,19110000,115079939,0.0291,"GSM2403687_7497398022_R05C02"
"119",14,19325000,107119770,0.0342,"GSM2403687_7497398022_R05C02"
"120",15,20225000,102410696,0.0403,"GSM2403687_7497398022_R05C02"
"121",16,105000,90222377,0.0511,"GSM2403687_7497398022_R05C02"
"122",17,25000,81122605,-0.0662,"GSM2403687_7497398022_R05C02"
"123",18,80000,77983624,-0.0871,"GSM2403687_7497398022_R05C02"
"124",19,180000,59084492,-0.0321,"GSM2403687_7497398022_R05C02"
"125",2,130000,243026238,0.0186,"GSM2403687_7497398022_R05C02"
"126",20,155000,62907760,0.0182,"GSM2403687_7497398022_R05C02"
"127",21,10848948,48084948,0.0387,"GSM2403687_7497398022_R05C02"
"128",22,16373925,51222283,0.0095,"GSM2403687_7497398022_R05C02"
"129",3,155000,197831215,0.0631,"GSM2403687_7497398022_R05C02"
"130",4,55000,190972138,-0.037,"GSM2403687_7497398022_R05C02"
"131",5,55000,180777630,0.0528,"GSM2403687_7497398022_R05C02"
"132",6,155000,170952534,0.0117,"GSM2403687_7497398022_R05C02"
"133",7,55000,159039332,0.0546,"GSM2403687_7497398022_R05C02"
"134",8,105000,146277011,0.2417,"GSM2403687_7497398022_R05C02"
"135",9,130000,141076716,0.0654,"GSM2403687_7497398022_R05C02"
"136",1,635684,249195311,0.0484,"GSM2403701_9007225035_R04C02"
"137",10,105000,135462374,0.0215,"GSM2403701_9007225035_R04C02"
"138",11,130000,134873258,0.028,"GSM2403701_9007225035_R04C02"
"139",12,172870,133770948,0.0155,"GSM2403701_9007225035_R04C02"
"140",13,19110000,115079939,-0.0338,"GSM2403701_9007225035_R04C02"
"141",14,19325000,107119770,0.0288,"GSM2403701_9007225035_R04C02"
"142",15,20225000,102410696,0.0344,"GSM2403701_9007225035_R04C02"
"143",16,105000,90222377,0.0402,"GSM2403701_9007225035_R04C02"
"144",17,25000,81122605,-0.0311,"GSM2403701_9007225035_R04C02"
"145",18,80000,77983624,-0.0966,"GSM2403701_9007225035_R04C02"
"146",19,180000,59084492,0.003,"GSM2403701_9007225035_R04C02"
"147",2,130000,243026238,-0.0145,"GSM2403701_9007225035_R04C02"
"148",20,155000,62907760,-0.0011,"GSM2403701_9007225035_R04C02"
"149",21,10848948,48084948,-6e-04,"GSM2403701_9007225035_R04C02"
"150",22,16373925,51222283,0.0417,"GSM2403701_9007225035_R04C02"
"151",3,155000,75550000,0.0268,"GSM2403701_9007225035_R04C02"
"152",3,75675000,97025000,-0.2039,"GSM2403701_9007225035_R04C02"
"153",3,97600000,197831215,-0.0047,"GSM2403701_9007225035_R04C02"
"154",4,55000,190972138,-0.0672,"GSM2403701_9007225035_R04C02"
"155",5,55000,180777630,0.0045,"GSM2403701_9007225035_R04C02"
"156",6,155000,170952534,-0.017,"GSM2403701_9007225035_R04C02"
"157",7,55000,159039332,0.0226,"GSM2403701_9007225035_R04C02"
"158",8,105000,146277011,-0.0101,"GSM2403701_9007225035_R04C02"
"159",9,130000,141076716,0.0341,"GSM2403701_9007225035_R04C02"
"160",1,635684,249195311,0.0602,"GSM2403721_9007225026_R04C01"
"161",10,105000,135462374,0.0376,"GSM2403721_9007225026_R04C01"
"162",11,130000,134873258,0.0406,"GSM2403721_9007225026_R04C01"
