"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.1292,"GSM2403090_6229017111_R02C02"
"2",10,105000,135462374,-0.3623,"GSM2403090_6229017111_R02C02"
"3",11,130000,134873258,-0.0555,"GSM2403090_6229017111_R02C02"
"4",12,172870,133770948,-0.0216,"GSM2403090_6229017111_R02C02"
"5",13,19110000,46700000,-0.079,"GSM2403090_6229017111_R02C02"
"6",13,46850000,72850000,-0.5614,"GSM2403090_6229017111_R02C02"
"7",13,73325000,115079939,0.0128,"GSM2403090_6229017111_R02C02"
"8",14,19325000,26075000,0.1276,"GSM2403090_6229017111_R02C02"
"9",14,26875000,33850000,-0.4291,"GSM2403090_6229017111_R02C02"
"10",14,34325000,66425000,0.0614,"GSM2403090_6229017111_R02C02"
"11",14,66975000,87275000,-0.3723,"GSM2403090_6229017111_R02C02"
"12",14,88525000,107119770,0.0981,"GSM2403090_6229017111_R02C02"
"13",15,20225000,102410696,0.0955,"GSM2403090_6229017111_R02C02"
"14",16,105000,90222377,0.0906,"GSM2403090_6229017111_R02C02"
"15",17,25000,81122605,0.0352,"GSM2403090_6229017111_R02C02"
"16",18,80000,77983624,-0.0383,"GSM2403090_6229017111_R02C02"
"17",19,180000,59084492,0.0036,"GSM2403090_6229017111_R02C02"
"18",2,130000,243026238,0.0302,"GSM2403090_6229017111_R02C02"
"19",20,155000,62907760,0.0154,"GSM2403090_6229017111_R02C02"
"20",21,10848948,48084948,0.0698,"GSM2403090_6229017111_R02C02"
"21",22,16373925,51222283,0.0841,"GSM2403090_6229017111_R02C02"
"22",3,155000,197831215,0.0761,"GSM2403090_6229017111_R02C02"
"23",4,55000,11375000,-0.246,"GSM2403090_6229017111_R02C02"
"24",4,11425000,190972138,-0.4789,"GSM2403090_6229017111_R02C02"
"25",5,55000,180777630,0.0731,"GSM2403090_6229017111_R02C02"
"26",6,155000,170952534,0.0252,"GSM2403090_6229017111_R02C02"
"27",7,55000,159039332,0.3,"GSM2403090_6229017111_R02C02"
"28",8,105000,112325000,0.0409,"GSM2403090_6229017111_R02C02"
"29",8,114025000,137925000,0.8355,"GSM2403090_6229017111_R02C02"
"30",8,139300000,146277011,0.0705,"GSM2403090_6229017111_R02C02"
"31",9,130000,141076716,0.0923,"GSM2403090_6229017111_R02C02"
"32",1,635684,249195311,0.0619,"GSM2403110_6969568010_R02C02"
"33",10,105000,135462374,-0.1913,"GSM2403110_6969568010_R02C02"
"34",11,130000,134873258,-0.0194,"GSM2403110_6969568010_R02C02"
"35",12,172870,133770948,0.0183,"GSM2403110_6969568010_R02C02"
"36",13,19110000,115079939,-0.1172,"GSM2403110_6969568010_R02C02"
"37",14,19325000,107119770,0.005,"GSM2403110_6969568010_R02C02"
"38",15,20225000,102410696,-0.0093,"GSM2403110_6969568010_R02C02"
"39",16,105000,90222377,-0.0024,"GSM2403110_6969568010_R02C02"
"40",17,25000,81122605,0.0029,"GSM2403110_6969568010_R02C02"
"41",18,80000,77983624,-0.0585,"GSM2403110_6969568010_R02C02"
"42",19,180000,59084492,0.0168,"GSM2403110_6969568010_R02C02"
"43",2,130000,243026238,-0.0204,"GSM2403110_6969568010_R02C02"
"44",20,155000,62907760,-0.018,"GSM2403110_6969568010_R02C02"
"45",21,10848948,48084948,0.0083,"GSM2403110_6969568010_R02C02"
"46",22,16373925,51222283,0.0532,"GSM2403110_6969568010_R02C02"
"47",3,155000,168875000,0.011,"GSM2403110_6969568010_R02C02"
"48",3,169125000,170625000,0.3222,"GSM2403110_6969568010_R02C02"
"49",3,170775000,189825000,0.5445,"GSM2403110_6969568010_R02C02"
"50",3,189950000,197831215,0.2516,"GSM2403110_6969568010_R02C02"
"51",4,55000,190972138,-0.0716,"GSM2403110_6969568010_R02C02"
"52",5,55000,180777630,0.0049,"GSM2403110_6969568010_R02C02"
"53",6,155000,170952534,-0.0328,"GSM2403110_6969568010_R02C02"
"54",7,55000,53950000,0.1754,"GSM2403110_6969568010_R02C02"
"55",7,54625000,55975000,0.7226,"GSM2403110_6969568010_R02C02"
"56",7,56050000,159039332,0.1935,"GSM2403110_6969568010_R02C02"
"57",8,105000,146277011,-0.0012,"GSM2403110_6969568010_R02C02"
"58",9,130000,141076716,0.0419,"GSM2403110_6969568010_R02C02"
"59",1,635684,249195311,0.2289,"GSM2403124_6285641005_R06C01"
"60",10,105000,135462374,-0.4731,"GSM2403124_6285641005_R06C01"
"61",11,130000,134873258,-0.2297,"GSM2403124_6285641005_R06C01"
"62",12,172870,133770948,0.05,"GSM2403124_6285641005_R06C01"
"63",13,19110000,115079939,-0.0147,"GSM2403124_6285641005_R06C01"
"64",14,19325000,20025000,0.5707,"GSM2403124_6285641005_R06C01"
"65",14,20450000,107119770,-0.1557,"GSM2403124_6285641005_R06C01"
"66",15,20225000,102410696,0.0586,"GSM2403124_6285641005_R06C01"
"67",16,105000,90222377,-0.0568,"GSM2403124_6285641005_R06C01"
"68",17,25000,81122605,-0.1427,"GSM2403124_6285641005_R06C01"
"69",18,80000,77983624,0.1649,"GSM2403124_6285641005_R06C01"
"70",19,180000,59084492,0.3045,"GSM2403124_6285641005_R06C01"
"71",2,130000,57450000,0.0937,"GSM2403124_6285641005_R06C01"
"72",2,58475000,68675000,-0.5165,"GSM2403124_6285641005_R06C01"
"73",2,68800000,243026238,0.1312,"GSM2403124_6285641005_R06C01"
"74",20,155000,62907760,0.0456,"GSM2403124_6285641005_R06C01"
"75",21,10848948,15475000,0.6236,"GSM2403124_6285641005_R06C01"
"76",21,15650000,48084948,-0.12,"GSM2403124_6285641005_R06C01"
"77",22,16373925,51222283,0.0226,"GSM2403124_6285641005_R06C01"
"78",3,155000,197831215,0.1473,"GSM2403124_6285641005_R06C01"
"79",4,55000,190972138,0.0046,"GSM2403124_6285641005_R06C01"
"80",5,55000,180777630,0.2227,"GSM2403124_6285641005_R06C01"
"81",6,155000,170952534,0.0758,"GSM2403124_6285641005_R06C01"
"82",7,55000,53950000,0.4408,"GSM2403124_6285641005_R06C01"
"83",7,54625000,55425000,2.789,"GSM2403124_6285641005_R06C01"
"84",7,55525000,159039332,0.482,"GSM2403124_6285641005_R06C01"
"85",8,105000,146277011,-0.139,"GSM2403124_6285641005_R06C01"
