"chromosome","start","end","segmean","sample","noise"
"1",1,635684,2475000,-0.1489,"GSM2404345_9407210003_R02C02",0.858345269743669
"2",1,2525000,3675000,-0.683,"GSM2404345_9407210003_R02C02",0.858345269743669
"3",1,3725000,181075000,-0.1242,"GSM2404345_9407210003_R02C02",0.858345269743669
"4",1,181275000,182450000,-0.6493,"GSM2404345_9407210003_R02C02",0.858345269743669
"5",1,182575000,249195311,-0.0449,"GSM2404345_9407210003_R02C02",0.858345269743669
"6",10,105000,135462374,-0.0593,"GSM2404345_9407210003_R02C02",0.858345269743669
"7",11,130000,134873258,-0.0927,"GSM2404345_9407210003_R02C02",0.858345269743669
"8",12,172870,113850000,-0.0838,"GSM2404345_9407210003_R02C02",0.858345269743669
"9",12,113925000,116200000,-0.6481,"GSM2404345_9407210003_R02C02",0.858345269743669
"10",12,116500000,133770948,-0.0186,"GSM2404345_9407210003_R02C02",0.858345269743669
"11",13,19110000,28200000,-0.0282,"GSM2404345_9407210003_R02C02",0.858345269743669
"12",13,28375000,29125000,-0.6425,"GSM2404345_9407210003_R02C02",0.858345269743669
"13",13,29200000,115079939,0.0461,"GSM2404345_9407210003_R02C02",0.858345269743669
"14",14,19325000,107119770,-0.1071,"GSM2404345_9407210003_R02C02",0.858345269743669
"15",15,20225000,102410696,-0.0987,"GSM2404345_9407210003_R02C02",0.858345269743669
"16",16,105000,90222377,-0.0801,"GSM2404345_9407210003_R02C02",0.858345269743669
"17",17,25000,32175000,-0.1797,"GSM2404345_9407210003_R02C02",0.858345269743669
"18",17,32475000,33100000,-0.9551,"GSM2404345_9407210003_R02C02",0.858345269743669
"19",17,33275000,81122605,-0.1905,"GSM2404345_9407210003_R02C02",0.858345269743669
"20",18,80000,77983624,-0.1373,"GSM2404345_9407210003_R02C02",0.858345269743669
"21",19,180000,51175000,-0.1853,"GSM2404345_9407210003_R02C02",0.858345269743669
"22",19,51250000,52075000,-0.7078,"GSM2404345_9407210003_R02C02",0.858345269743669
"23",19,52150000,59084492,-0.1498,"GSM2404345_9407210003_R02C02",0.858345269743669
"24",2,130000,176475000,-0.0572,"GSM2404345_9407210003_R02C02",0.858345269743669
"25",2,176925000,177225000,-0.7279,"GSM2404345_9407210003_R02C02",0.858345269743669
"26",2,177425000,243026238,-0.0263,"GSM2404345_9407210003_R02C02",0.858345269743669
"27",20,155000,62907760,-0.1385,"GSM2404345_9407210003_R02C02",0.858345269743669
"28",21,10848948,45875000,-0.0228,"GSM2404345_9407210003_R02C02",0.858345269743669
"29",21,45925000,46125000,-0.838,"GSM2404345_9407210003_R02C02",0.858345269743669
"30",21,46200000,48084948,-0.1777,"GSM2404345_9407210003_R02C02",0.858345269743669
"31",22,16373925,51222283,-0.1901,"GSM2404345_9407210003_R02C02",0.858345269743669
"32",3,155000,197831215,0.0156,"GSM2404345_9407210003_R02C02",0.858345269743669
"33",4,55000,190972138,-0.0352,"GSM2404345_9407210003_R02C02",0.858345269743669
"34",5,55000,180777630,-0.0323,"GSM2404345_9407210003_R02C02",0.858345269743669
"35",6,155000,170952534,-0.0157,"GSM2404345_9407210003_R02C02",0.858345269743669
"36",7,55000,159039332,-0.0117,"GSM2404345_9407210003_R02C02",0.858345269743669
"37",8,105000,146277011,-0.0501,"GSM2404345_9407210003_R02C02",0.858345269743669
"38",9,130000,141076716,-0.0858,"GSM2404345_9407210003_R02C02",0.858345269743669
"39",1,635684,249195311,-0.0525,"GSM2404346_9407210003_R03C02",0.805849558648378
"40",10,105000,135462374,-0.0237,"GSM2404346_9407210003_R03C02",0.805849558648378
"41",11,130000,134873258,-0.3759,"GSM2404346_9407210003_R03C02",0.805849558648378
"42",12,172870,133770948,-0.0575,"GSM2404346_9407210003_R03C02",0.805849558648378
"43",13,19110000,115079939,-0.0485,"GSM2404346_9407210003_R03C02",0.805849558648378
"44",14,19325000,20025000,0.3986,"GSM2404346_9407210003_R03C02",0.805849558648378
"45",14,20450000,107119770,-0.0458,"GSM2404346_9407210003_R03C02",0.805849558648378
"46",15,20225000,102410696,-0.0349,"GSM2404346_9407210003_R03C02",0.805849558648378
"47",16,105000,31825000,0.0094,"GSM2404346_9407210003_R03C02",0.805849558648378
"48",16,32075000,33986575,0.3518,"GSM2404346_9407210003_R03C02",0.805849558648378
"49",16,34286575,90222377,0.023,"GSM2404346_9407210003_R03C02",0.805849558648378
"50",17,25000,81122605,-0.0536,"GSM2404346_9407210003_R03C02",0.805849558648378
