"chromosome","start","end","segmean","sample"
"1",1,635684,71525000,0.0791,"GSM2402855_5684819014_R05C02"
"2",1,72150000,121193348,-0.3664,"GSM2402855_5684819014_R05C02"
"3",1,121392717,249195311,0.2407,"GSM2402855_5684819014_R05C02"
"4",10,105000,91175000,0.0335,"GSM2402855_5684819014_R05C02"
"5",10,91250000,110200000,-0.328,"GSM2402855_5684819014_R05C02"
"6",10,111175000,135462374,0.0592,"GSM2402855_5684819014_R05C02"
"7",11,130000,134873258,0.0463,"GSM2402855_5684819014_R05C02"
"8",12,172870,133770948,0.0409,"GSM2402855_5684819014_R05C02"
"9",13,19110000,115079939,-0.0042,"GSM2402855_5684819014_R05C02"
"10",14,19325000,107119770,0.0383,"GSM2402855_5684819014_R05C02"
"11",15,20225000,102410696,0.0518,"GSM2402855_5684819014_R05C02"
"12",16,105000,90222377,0.0604,"GSM2402855_5684819014_R05C02"
"13",17,25000,81122605,-0.0445,"GSM2402855_5684819014_R05C02"
"14",18,80000,77983624,-0.1189,"GSM2402855_5684819014_R05C02"
"15",19,180000,59084492,-0.0501,"GSM2402855_5684819014_R05C02"
"16",2,130000,243026238,-0.0028,"GSM2402855_5684819014_R05C02"
"17",20,155000,62907760,0.0018,"GSM2402855_5684819014_R05C02"
"18",21,10848948,48084948,0.0254,"GSM2402855_5684819014_R05C02"
"19",22,16373925,51222283,0.0226,"GSM2402855_5684819014_R05C02"
"20",3,155000,197831215,0.0264,"GSM2402855_5684819014_R05C02"
"21",4,55000,119200000,-0.0313,"GSM2402855_5684819014_R05C02"
"22",4,119275000,123100000,-0.5526,"GSM2402855_5684819014_R05C02"
"23",4,123325000,190972138,-0.1119,"GSM2402855_5684819014_R05C02"
"24",5,55000,180777630,0.0302,"GSM2402855_5684819014_R05C02"
"25",6,155000,170952534,0.0057,"GSM2402855_5684819014_R05C02"
"26",7,55000,159039332,0.0626,"GSM2402855_5684819014_R05C02"
"27",8,105000,146277011,0.0123,"GSM2402855_5684819014_R05C02"
"28",9,130000,10800000,-0.1471,"GSM2402855_5684819014_R05C02"
"29",9,13525000,33025000,0.1743,"GSM2402855_5684819014_R05C02"
"30",9,33150000,106025000,-0.1011,"GSM2402855_5684819014_R05C02"
"31",9,107525000,141076716,0.1613,"GSM2402855_5684819014_R05C02"
"32",1,635684,109825000,0.2075,"GSM2402856_5684819014_R06C02"
"33",1,109900000,249195311,0.5488,"GSM2402856_5684819014_R06C02"
"34",10,105000,82350000,0.1066,"GSM2402856_5684819014_R06C02"
"35",10,8.3e+07,91475000,-0.4539,"GSM2402856_5684819014_R06C02"
"36",10,92050000,96325000,0.3094,"GSM2402856_5684819014_R06C02"
"37",10,96650000,134775000,-0.4609,"GSM2402856_5684819014_R06C02"
"38",10,134825000,135462374,-0.1168,"GSM2402856_5684819014_R06C02"
"39",11,130000,61725000,-0.0477,"GSM2402856_5684819014_R06C02"
"40",11,61825000,134873258,-0.3727,"GSM2402856_5684819014_R06C02"
"41",12,172870,34703347,-0.0583,"GSM2402856_5684819014_R06C02"
"42",12,38178347,54075000,0.4168,"GSM2402856_5684819014_R06C02"
"43",12,54200000,105600000,-0.0521,"GSM2402856_5684819014_R06C02"
