"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,0.01,"GSM2402866_5684819013_R02C01",0.627805108773233
"2",10,105000,135462374,-0.0167,"GSM2402866_5684819013_R02C01",0.627805108773233
"3",11,130000,48550000,8e-04,"GSM2402866_5684819013_R02C01",0.627805108773233
"4",11,48975000,56100000,-0.2301,"GSM2402866_5684819013_R02C01",0.627805108773233
"5",11,56300000,134873258,0.0019,"GSM2402866_5684819013_R02C01",0.627805108773233
"6",12,172870,133770948,-0.01,"GSM2402866_5684819013_R02C01",0.627805108773233
"7",13,19110000,115079939,-0.0756,"GSM2402866_5684819013_R02C01",0.627805108773233
"8",14,19325000,107119770,-0.0105,"GSM2402866_5684819013_R02C01",0.627805108773233
"9",15,20225000,102410696,-0.0054,"GSM2402866_5684819013_R02C01",0.627805108773233
"10",16,105000,90222377,0.0139,"GSM2402866_5684819013_R02C01",0.627805108773233
"11",17,25000,81122605,-0.0345,"GSM2402866_5684819013_R02C01",0.627805108773233
"12",18,80000,77983624,-0.0906,"GSM2402866_5684819013_R02C01",0.627805108773233
"13",19,180000,59084492,-0.0025,"GSM2402866_5684819013_R02C01",0.627805108773233
"14",2,130000,243026238,-0.0537,"GSM2402866_5684819013_R02C01",0.627805108773233
"15",20,155000,62907760,-0.0292,"GSM2402866_5684819013_R02C01",0.627805108773233
"16",21,10848948,48084948,-0.0161,"GSM2402866_5684819013_R02C01",0.627805108773233
"17",22,16373925,51222283,0.0196,"GSM2402866_5684819013_R02C01",0.627805108773233
"18",3,155000,197831215,-0.0283,"GSM2402866_5684819013_R02C01",0.627805108773233
"19",4,55000,190972138,-0.0756,"GSM2402866_5684819013_R02C01",0.627805108773233
"20",5,55000,180777630,-0.0272,"GSM2402866_5684819013_R02C01",0.627805108773233
"21",6,155000,170952534,-0.0509,"GSM2402866_5684819013_R02C01",0.627805108773233
"22",7,55000,159039332,-0.0218,"GSM2402866_5684819013_R02C01",0.627805108773233
"23",8,105000,88875000,-0.0536,"GSM2402866_5684819013_R02C01",0.627805108773233
"24",8,89100000,91225000,-0.3694,"GSM2402866_5684819013_R02C01",0.627805108773233
"25",8,91550000,146277011,-0.051,"GSM2402866_5684819013_R02C01",0.627805108773233
"26",9,130000,141076716,-6e-04,"GSM2402866_5684819013_R02C01",0.627805108773233
"27",1,635684,249195311,0.032,"GSM2402916_6929689168_R01C02",0.508784229616791
"28",10,105000,49347768,0.0232,"GSM2402916_6929689168_R01C02",0.508784229616791
"29",10,49575000,135462374,-0.2801,"GSM2402916_6929689168_R01C02",0.508784229616791
