"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,-0.0268,"GSM2403844_9305651037_R01C01"
"2",10,105000,135462374,0.0249,"GSM2403844_9305651037_R01C01"
"3",11,130000,134873258,-0.0261,"GSM2403844_9305651037_R01C01"
"4",12,172870,133770948,-0.0034,"GSM2403844_9305651037_R01C01"
"5",13,19110000,115079939,0.0195,"GSM2403844_9305651037_R01C01"
"6",14,19325000,20025000,0.4378,"GSM2403844_9305651037_R01C01"
"7",14,20450000,107119770,0.0045,"GSM2403844_9305651037_R01C01"
"8",15,20225000,102410696,0.0255,"GSM2403844_9305651037_R01C01"
"9",16,105000,90222377,0.0464,"GSM2403844_9305651037_R01C01"
"10",17,25000,81122605,0.007,"GSM2403844_9305651037_R01C01"
"11",18,80000,77983624,0.0104,"GSM2403844_9305651037_R01C01"
"12",19,180000,59084492,0.0067,"GSM2403844_9305651037_R01C01"
"13",2,130000,243026238,-0.0079,"GSM2403844_9305651037_R01C01"
"14",20,155000,62907760,-0.0454,"GSM2403844_9305651037_R01C01"
"15",21,10848948,15475000,0.3902,"GSM2403844_9305651037_R01C01"
"16",21,15650000,48084948,0.0421,"GSM2403844_9305651037_R01C01"
"17",22,16373925,51222283,0.0442,"GSM2403844_9305651037_R01C01"
"18",3,155000,197831215,-0.0316,"GSM2403844_9305651037_R01C01"
"19",4,55000,190972138,-0.0108,"GSM2403844_9305651037_R01C01"
"20",5,55000,180777630,-0.02,"GSM2403844_9305651037_R01C01"
"21",6,155000,170952534,-0.0077,"GSM2403844_9305651037_R01C01"
"22",7,55000,159039332,0.0164,"GSM2403844_9305651037_R01C01"
"23",8,105000,146277011,0.0086,"GSM2403844_9305651037_R01C01"
"24",9,130000,141076716,0.0171,"GSM2403844_9305651037_R01C01"
"25",1,635684,249195311,-0.0038,"GSM2404121_9379086132_R03C02"
"26",10,105000,135462374,0.0203,"GSM2404121_9379086132_R03C02"
"27",11,130000,134873258,0.0156,"GSM2404121_9379086132_R03C02"
"28",12,172870,133770948,-0.0032,"GSM2404121_9379086132_R03C02"
"29",13,19110000,19300000,0.3203,"GSM2404121_9379086132_R03C02"
"30",13,19525000,115079939,0.0024,"GSM2404121_9379086132_R03C02"
"31",14,19325000,20025000,0.2921,"GSM2404121_9379086132_R03C02"
"32",14,20450000,107119770,-0.1067,"GSM2404121_9379086132_R03C02"
"33",15,20225000,102410696,0.0788,"GSM2404121_9379086132_R03C02"
"34",16,105000,90222377,0.0286,"GSM2404121_9379086132_R03C02"
"35",17,25000,81122605,-0.0121,"GSM2404121_9379086132_R03C02"
"36",18,80000,77983624,-0.0014,"GSM2404121_9379086132_R03C02"
"37",19,180000,59084492,0.1583,"GSM2404121_9379086132_R03C02"
"38",2,130000,243026238,-0.1042,"GSM2404121_9379086132_R03C02"
"39",20,155000,62907760,-0.0616,"GSM2404121_9379086132_R03C02"
"40",21,10848948,48084948,0.0423,"GSM2404121_9379086132_R03C02"
"41",22,16373925,51222283,0.0493,"GSM2404121_9379086132_R03C02"
"42",3,155000,197831215,-0.0465,"GSM2404121_9379086132_R03C02"
"43",4,55000,190972138,0.0221,"GSM2404121_9379086132_R03C02"
"44",5,55000,180777630,-0.0245,"GSM2404121_9379086132_R03C02"
"45",6,155000,170952534,0.0411,"GSM2404121_9379086132_R03C02"
"46",7,55000,159039332,0.0135,"GSM2404121_9379086132_R03C02"
"47",8,105000,146277011,0.0765,"GSM2404121_9379086132_R03C02"
"48",9,130000,141076716,-0.0173,"GSM2404121_9379086132_R03C02"
"49",1,635684,249195311,0.0101,"GSM2404189_9376538149_R03C02"
"50",10,105000,4300000,0.3608,"GSM2404189_9376538149_R03C02"
"51",10,4625000,135462374,0.0214,"GSM2404189_9376538149_R03C02"
"52",11,130000,134873258,-0.052,"GSM2404189_9376538149_R03C02"
"53",12,172870,133770948,0.0043,"GSM2404189_9376538149_R03C02"
"54",13,19110000,115079939,-0.041,"GSM2404189_9376538149_R03C02"
"55",14,19325000,20025000,0.3046,"GSM2404189_9376538149_R03C02"
"56",14,20450000,107119770,-0.3566,"GSM2404189_9376538149_R03C02"
"57",15,20225000,102410696,0.0523,"GSM2404189_9376538149_R03C02"
"58",16,105000,90222377,0.0336,"GSM2404189_9376538149_R03C02"
"59",17,25000,81122605,0.0362,"GSM2404189_9376538149_R03C02"
"60",18,80000,77983624,0.0284,"GSM2404189_9376538149_R03C02"
"61",19,180000,59084492,0.03,"GSM2404189_9376538149_R03C02"
"62",2,130000,243026238,-0.0165,"GSM2404189_9376538149_R03C02"
"63",20,155000,62907760,-0.0715,"GSM2404189_9376538149_R03C02"
"64",21,10848948,48084948,0.0638,"GSM2404189_9376538149_R03C02"
"65",22,16373925,51222283,0.0889,"GSM2404189_9376538149_R03C02"
"66",3,155000,197831215,-0.0587,"GSM2404189_9376538149_R03C02"
"67",4,55000,190972138,0.0051,"GSM2404189_9376538149_R03C02"
"68",5,55000,180777630,-0.023,"GSM2404189_9376538149_R03C02"
"69",6,155000,170952534,-0.0282,"GSM2404189_9376538149_R03C02"
"70",7,55000,159039332,-0.0074,"GSM2404189_9376538149_R03C02"
"71",8,105000,8175000,0.3116,"GSM2404189_9376538149_R03C02"
"72",8,8225000,146277011,-0.0248,"GSM2404189_9376538149_R03C02"
"73",9,130000,141076716,0.0101,"GSM2404189_9376538149_R03C02"
"74",1,635684,249195311,0.013,"GSM2404293_9407201028_R02C02"
"75",10,105000,42723344,0.0868,"GSM2404293_9407201028_R02C02"
"76",10,42925000,135462374,-0.1105,"GSM2404293_9407201028_R02C02"
"77",11,130000,134873258,0.0376,"GSM2404293_9407201028_R02C02"
"78",12,172870,133770948,0.0506,"GSM2404293_9407201028_R02C02"
"79",13,19110000,19525000,0.0898,"GSM2404293_9407201028_R02C02"
"80",13,19725000,115079939,-0.1321,"GSM2404293_9407201028_R02C02"
"81",14,19325000,107119770,-0.1699,"GSM2404293_9407201028_R02C02"
"82",15,20225000,102410696,0.0603,"GSM2404293_9407201028_R02C02"
"83",16,105000,90222377,0.0619,"GSM2404293_9407201028_R02C02"
"84",17,25000,81122605,-0.0091,"GSM2404293_9407201028_R02C02"
