"chrom","start.pos","end.pos","n.probes","GSM2403778_9296930016_R05C01","GSM2404240_9406921038_R03C01","GSM2404241_9406921038_R04C01","GSM2404242_9406921038_R06C01","GSM2404250_9406921038_R04C02","GSM2404251_9406921038_R05C02","GSM2404254_9406921039_R02C01","GSM2404433_9420867053_R06C01","GSM2404434_9420867053_R01C02","GSM2404693_9647455233_R06C01","GSM2405070_9969477101_R02C01","GSM2405632_3998568167_R05C01","GSM2940804_101178130118_R02C01","GSM2940867_200362700194_R01C01","GSM2941089_3998909089_R01C02","GSM2941229_3999543051_R04C01","GSM2941573_9741950149_R01C02","GSM2941693_9968646118_R01C02"
"1",1,521369,119500001,891,0.011,-0.047,0.201,0.041,-0.045,-0.02,0.013,0.004,0.092,-0.169,-0.069,0.072,0.076,0.108,0.07,0.089,0.126,0.158
"2",1,119550001,249150001,702,0.15,0.194,0.036,0.078,0.354,0.148,-0.008,-0.027,-0.095,0.037,0.28,0.181,0.003,0.094,-0.017,0.193,0.118,0.094
"3",2,10001,242950001,1282,-0.081,0.071,0.096,0.037,-0.052,-0.043,-0.017,-0.052,-0.066,0.003,-0.086,-0.042,0.025,0,-0.057,-0.036,0.055,-0.054
"4",3,60001,197700001,978,-0.001,0.02,0.049,0.06,-0.109,-0.003,-0.037,0.093,-0.021,-0.112,-0.078,-0.059,0.045,-0.032,0.065,0.099,0.067,-0.264
"5",4,10001,190900001,742,0.006,-0.174,-0.207,-0.094,-0.1,-0.075,-0.01,-0.034,0.066,-0.051,0.022,-0.034,0.007,-0.11,-0.112,0.006,-0.095,0.13
"6",5,10001,43650001,198,0.02,0.174,-0.143,0.114,0.007,0.046,0.037,-0.01,-0.102,0.096,0.076,0.027,0.085,0.236,0.147,0.119,0.054,-0.162
"7",5,44800001,180650001,651,0.019,-0.113,-0.181,-0.379,-0.108,-0.067,-0.029,-0.06,-0.111,-0.05,-0.04,-0.174,0.077,0.068,-0.072,-0.228,0.056,0.028
"8",6,60001,68550001,502,0.141,0.102,0.087,0.232,0.121,0.044,-0.002,-0.043,0.119,0.279,0.133,0.164,-0.126,0.23,0.042,0.048,-0.016,0.073
"9",6,68600001,170850001,486,-0.099,-0.155,0.019,-0.361,-0.416,-0.044,-0.018,-0.059,-0.317,-0.005,-0.516,-0.048,-0.226,-0.088,-0.021,-0.26,-0.041,-0.202
"10",7,10001,158950001,952,0.112,0.169,0.229,0.279,0.066,0.35,-0.002,0.146,-0.081,0.22,0.339,0.199,0.14,0.254,-0.001,0.28,0.135,0.084
"11",8,10001,146250001,726,0.07,0.129,-0.103,0.025,0.182,-0.036,-0.004,-0.033,-0.004,0.18,0.005,-0.03,0.068,0.095,-0.043,0.052,0.187,0.102
"12",9,10001,141000001,383,-0.067,0.009,0.033,0.003,-0.309,-0.037,-0.229,-0.012,-0.218,-0.022,-0.18,-0.043,-0.031,-0.165,0.017,-0.07,-0.177,-0.158
"13",10,60001,135400001,840,-0.057,-0.039,-0.112,0.018,-0.031,0.003,0.023,0.006,-0.236,0.029,-0.166,0.009,-0.212,-0.104,0.039,-0.185,-0.165,-0.18
"14",11,60001,78800001,599,0.069,-0.066,-0.138,0.016,-0.059,-0.028,-0.015,-0.09,-0.052,0.029,-0.021,-0.155,0.187,0.196,-0.044,-0.062,0.084,-0.2
"15",11,79100001,134800001,315,0.088,-0.074,-0.25,-0.288,-0.121,-0.306,-0.278,-0.533,-0.112,0.002,-0.302,-0.432,-0.164,0.232,-0.097,-0.245,0.128,-0.314
"16",12,145740,133700001,848,0.005,-0.085,-0.032,0.182,-0.068,-0.014,-0.001,-0.022,0.102,0.037,-0.078,-0.035,-0.001,-0.135,0.009,-0.02,0.01,-0.168
"17",13,19020001,115050001,431,0.079,-0.102,-0.122,-0.366,-0.107,0.061,-0.031,-0.039,-0.049,0.028,0.064,-0.116,-0.1,-0.184,-0.097,0.002,0.062,-0.098
"18",14,19000001,106950001,528,0.031,-0.034,-0.109,0.044,-0.058,-0.032,-0.006,-0.004,-0.068,0.053,-0.006,0.004,0.125,-0.117,-0.047,-0.038,0.125,-0.043
"19",15,20000001,53100001,210,0.072,-0.079,-0.046,0.054,-0.064,-0.018,0.023,-0.323,0.109,-0.142,-0.414,0.042,-0.113,-0.43,0.091,0.063,-0.045,-0.062
"20",15,54100001,102300001,361,0.082,-0.076,-0.055,0.066,-0.039,-0.022,0.014,-0.095,0.108,-0.17,0.236,0.032,0.094,0.132,0.103,0.074,0.062,-0.1
"21",16,60001,90150001,624,0.022,-0.027,-0.071,0.072,0.075,0.014,0.024,0.004,-0.02,-0.087,0.066,0.018,0.026,0.077,0.005,0.071,0.144,0.132
"22",17,1,81050001,814,-0.086,0.054,-0.063,-0.108,-0.029,-0.064,0.03,0.01,0.099,-0.049,0.029,-0.052,0.069,-0.036,0.003,-0.015,-0.097,0.047
"23",18,10001,77950001,243,-0.055,-0.121,0.069,-0.05,-0.094,-0.07,0.017,0.15,-0.063,-0.059,-0.05,-0.011,0.047,-0.149,-0.01,-0.032,-0.059,0.118
"24",19,60001,59050001,711,-0.042,0.003,-0.032,-0.022,0.057,-0.053,0.016,0.007,0.099,-0.002,0.009,-0.005,0.015,0.127,-0.019,0.04,0.078,0.141
"25",20,60001,62850001,359,0.011,-0.04,0.08,0.01,-0.09,-0.079,-0.037,-0.028,0.049,-0.032,0.05,-0.073,0.015,0.245,-0.006,0.025,0.091,0.057
"26",21,10697897,48050001,157,-0.009,0.008,0.133,0.037,-0.018,-0.023,0.045,0.008,0.12,0.171,0.069,0.015,0.102,-0.146,0.073,-0.051,0.103,0.04
"27",22,16050001,51200001,300,-0.083,-0.012,0.247,0.057,-0.004,0.124,0.04,0.216,0.123,0.022,0.039,0.198,0.162,-0.127,0.007,0.082,-0.064,0.08
