"chrom","start.pos","end.pos","n.probes","GSM2403000_6929718020_R05C02","GSM2403047_6229009095_R06C02","GSM2403061_6229017023_R04C02","GSM2403067_6229017022_R04C02","GSM2403499_8622007061_R02C02","GSM2403501_8622007061_R05C02","GSM2403515_8622007070_R03C02","GSM2403518_8622007066_R04C01","GSM2403525_8622007067_R02C01","GSM2403526_8622007069_R03C01","GSM2403527_8622007069_R02C01","GSM2403621_8622007130_R02C01","GSM2403720_9007225017_R04C01","GSM2403764_9283265033_R01C02","GSM2403765_9283265033_R06C02","GSM2403894_9297949146_R04C02","GSM2403895_9297949146_R05C02","GSM2404060_9373551039_R02C01","GSM2404129_9379086124_R05C02","GSM2404130_9379086129_R01C01","GSM2404265_9379086095_R06C02","GSM2404585_9611519028_R04C01","GSM2404695_6969568075_R02C02","GSM2404696_8784241104_R01C02","GSM2404717_9721366138_R06C01","GSM2404810_9533774067_R01C01","GSM2405042_9969477079_R05C02","GSM2405409_9407210157_R03C01","GSM2405412_9741950038_R06C02","GSM2405413_9741950039_R02C02","GSM2405415_9741950056_R02C01","GSM2405416_9741950056_R02C02","GSM2405418_9741950086_R05C02","GSM2405423_9741950173_R06C02","GSM2405523_3998909025_R02C01","GSM2405524_3998909025_R05C01","GSM2405525_3998909025_R01C02","GSM2405535_9993943073_R04C01","GSM2405590_3999078079_R02C01","GSM2940796_10006823160_R01C02","GSM2940798_10006823160_R02C02","GSM2941370_9379086132_R05C01","GSM2941544_9741950008_R01C01"
"1",1,521369,121086696,900,-0.008,-0.037,-0.078,0.004,0.031,-0.003,-0.048,-0.03,-0.074,-0.029,-0.071,-0.115,-0.162,-0.021,-0.132,-0.027,-0.128,-0.016,-0.15,0.009,-0.013,-0.081,0.004,0.006,0.006,0,0.002,-0.104,-0.027,0.001,-0.044,-0.024,-0.352,-0.038,-0.057,-0.098,-0.074,-0.011,-0.117,-0.018,-0.021,-0.115,-0.106
"2",1,121300001,249150001,693,0.21,0.237,0.231,0.248,0.235,0.285,-0.052,0.333,0.193,0.25,0.331,0.261,0.211,0.442,0.234,0.405,0.209,0.169,0.263,0.195,0.378,0.261,0.388,0.267,0.277,0.208,0.291,0.121,0.125,0.306,0.084,0.276,0.283,0.26,0.25,0.323,0.329,0.252,0.298,0.3,0.297,0.11,0.284
"3",2,10001,242950001,1282,-0.057,-0.098,-0.006,-0.047,-0.039,-0.071,-0.075,-0.045,-0.059,0.005,-0.08,-0.054,-0.074,-0.072,-0.024,0.011,-0.073,-0.057,0.103,-0.053,-0.099,-0.07,-0.048,-0.081,-0.062,-0.025,-0.053,-0.101,-0.083,-0.071,-0.037,-0.062,-0.11,-0.028,-0.013,0.144,-0.033,-0.036,-0.013,-0.068,-0.078,-0.049,0.014
"4",3,60001,85050001,444,-0.031,-0.046,-0.162,-0.442,0.017,-0.037,-0.155,-0.027,-0.04,0.05,-0.073,-0.028,-0.391,-0.198,-0.46,-0.355,-0.359,-0.051,-0.479,-0.42,-0.052,-0.142,-0.001,-0.434,-0.01,-0.015,-0.044,-0.094,-0.073,-0.042,-0.295,-0.04,-0.125,-0.463,-0.155,-0.255,0.004,-0.189,-0.147,-0.103,-0.197,-0.18,-0.004
"5",3,87000001,197700001,534,-0.038,-0.005,0.132,0.038,-0.037,-0.083,0,-0.036,-0.045,0.072,-0.025,0.067,-0.041,-0.049,0.229,-0.139,-0.174,-0.065,0.134,-0.037,-0.119,-0.059,-0.01,0.143,-0.064,-0.03,-0.071,-0.116,-0.108,-0.055,0.018,-0.075,-0.127,-0.019,0.248,0.207,0.024,-0.215,-0.157,-0.049,0.014,-0.151,-0.014
"6",4,10001,190900001,742,-0.099,-0.232,-0.165,-0.082,-0.093,-0.125,-0.108,-0.072,-0.094,0,-0.101,-0.191,-0.097,-0.108,-0.066,-0.196,-0.315,-0.087,-0.059,-0.108,-0.178,-0.107,-0.074,-0.138,-0.121,-0.079,-0.101,-0.174,-0.155,-0.142,-0.108,-0.113,-0.13,-0.147,-0.039,-0.06,-0.044,-0.088,-0.221,-0.117,-0.143,-0.14,-0.092
"7",5,10001,180650001,849,-0.035,-0.074,-0.303,-0.037,-0.197,-0.062,-0.071,-0.034,-0.05,0.021,-0.073,-0.026,-0.069,-0.043,-0.076,-0.125,-0.084,-0.042,-0.009,-0.058,-0.096,-0.074,-0.015,-0.065,-0.041,-0.029,-0.051,-0.109,-0.079,-0.077,-0.061,-0.064,-0.123,0.004,0.01,0.083,0.013,-0.217,-0.164,-0.061,-0.069,-0.161,0.004
"8",6,60001,70550001,506,-0.046,-0.1,0.193,-0.053,-0.029,-0.061,-0.078,-0.046,-0.076,0.006,-0.091,-0.046,-0.122,-0.062,-0.015,-0.112,-0.082,-0.018,-0.023,-0.04,-0.084,-0.08,-0.024,-0.066,-0.065,-0.047,0.001,-0.101,-0.074,-0.076,-0.035,-0.068,-0.135,-0.024,-0.01,0.051,0.171,-0.055,-0.173,-0.068,-0.079,-0.178,-0.156
"9",6,70950001,170850001,482,-0.084,-0.154,-0.691,-0.543,-0.266,-0.119,-0.089,-0.041,-0.05,0.046,-0.078,0.018,-0.565,-0.093,-0.049,-0.177,-0.16,-0.252,-0.044,-0.326,-0.163,-0.071,-0.055,-0.135,-0.099,-0.061,-0.102,-0.176,-0.125,-0.132,-0.071,-0.092,-0.093,-0.29,-0.397,-0.009,-0.088,-0.084,-0.195,-0.088,-0.099,-0.185,-0.19
"10",7,10001,158950001,952,0,-0.073,0.119,-0.023,-0.001,-0.049,-0.033,-0.001,-0.034,0.035,-0.041,-0.016,-0.023,-0.029,0.015,0.034,0.05,-0.006,-0.034,0.006,-0.081,-0.047,-0.004,-0.046,-0.034,-0.003,-0.015,-0.093,-0.07,-0.047,0.034,-0.048,-0.06,0,0.03,0.075,0.188,-0.031,0.029,-0.027,-0.028,-0.081,0.008
