"chromosome","start","end","segmean","sample"
"1",1,635684,147825000,-0.1729,"GSM2403723_9007225064_R02C02"
"2",1,147938019,149700000,0.2317,"GSM2403723_9007225064_R02C02"
"3",1,149800000,249195311,-0.2077,"GSM2403723_9007225064_R02C02"
"4",10,105000,135462374,-0.1329,"GSM2403723_9007225064_R02C02"
"5",11,130000,134873258,0.0729,"GSM2403723_9007225064_R02C02"
"6",12,172870,133770948,-0.1947,"GSM2403723_9007225064_R02C02"
"7",13,19110000,115079939,0.0592,"GSM2403723_9007225064_R02C02"
"8",14,19325000,107119770,0.3328,"GSM2403723_9007225064_R02C02"
"9",15,20225000,102410696,-0.1513,"GSM2403723_9007225064_R02C02"
"10",16,105000,90222377,0.0781,"GSM2403723_9007225064_R02C02"
"11",17,25000,81122605,0.0961,"GSM2403723_9007225064_R02C02"
"12",18,80000,77983624,-0.1985,"GSM2403723_9007225064_R02C02"
"13",19,180000,59084492,0.0661,"GSM2403723_9007225064_R02C02"
"14",2,130000,243026238,0.1003,"GSM2403723_9007225064_R02C02"
"15",20,155000,62907760,0.2906,"GSM2403723_9007225064_R02C02"
"16",21,10848948,48084948,0.2723,"GSM2403723_9007225064_R02C02"
"17",22,16373925,51222283,0.2901,"GSM2403723_9007225064_R02C02"
"18",3,155000,197831215,-0.2176,"GSM2403723_9007225064_R02C02"
"19",4,55000,190972138,-0.1768,"GSM2403723_9007225064_R02C02"
"20",5,55000,180777630,0.3496,"GSM2403723_9007225064_R02C02"
"21",6,155000,170952534,0.0971,"GSM2403723_9007225064_R02C02"
"22",7,55000,159039332,0.3351,"GSM2403723_9007225064_R02C02"
"23",8,105000,8175000,0.1503,"GSM2403723_9007225064_R02C02"
"24",8,8225000,146277011,-0.2014,"GSM2403723_9007225064_R02C02"
"25",9,130000,141076716,-0.2147,"GSM2403723_9007225064_R02C02"
"26",1,635684,249195311,-0.2157,"GSM2403840_9297949139_R06C01"
"27",10,105000,88050000,0.2552,"GSM2403840_9297949139_R06C01"
"28",10,88125000,109325000,-0.3182,"GSM2403840_9297949139_R06C01"
"29",10,110200000,135462374,0.2793,"GSM2403840_9297949139_R06C01"
"30",11,130000,134873258,0.1082,"GSM2403840_9297949139_R06C01"
"31",12,172870,133770948,-0.2199,"GSM2403840_9297949139_R06C01"
"32",13,19110000,115079939,-0.0664,"GSM2403840_9297949139_R06C01"
"33",14,19325000,20025000,0.8583,"GSM2403840_9297949139_R06C01"
"34",14,20450000,107119770,0.2299,"GSM2403840_9297949139_R06C01"
"35",15,20225000,102410696,-0.1963,"GSM2403840_9297949139_R06C01"
"36",16,105000,90222377,0.2782,"GSM2403840_9297949139_R06C01"
"37",17,25000,81122605,0.1261,"GSM2403840_9297949139_R06C01"
"38",18,80000,77983624,0.1834,"GSM2403840_9297949139_R06C01"
"39",19,180000,59084492,0.233,"GSM2403840_9297949139_R06C01"
"40",2,130000,243026238,0.1948,"GSM2403840_9297949139_R06C01"
"41",20,155000,62907760,0.1647,"GSM2403840_9297949139_R06C01"
"42",21,10848948,48084948,0.2723,"GSM2403840_9297949139_R06C01"
"43",22,16373925,51222283,0.2373,"GSM2403840_9297949139_R06C01"
