"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.1087,"GSM2402989_6929689149_R06C01"
"2",10,105000,135462374,0.0893,"GSM2402989_6929689149_R06C01"
"3",11,130000,134873258,0.1234,"GSM2402989_6929689149_R06C01"
"4",12,172870,133770948,0.1008,"GSM2402989_6929689149_R06C01"
"5",13,19110000,115079939,0.148,"GSM2402989_6929689149_R06C01"
"6",14,19325000,107119770,0.0696,"GSM2402989_6929689149_R06C01"
"7",15,20225000,102410696,0.0789,"GSM2402989_6929689149_R06C01"
"8",16,105000,90222377,0.1094,"GSM2402989_6929689149_R06C01"
"9",17,25000,81122605,-0.0262,"GSM2402989_6929689149_R06C01"
"10",18,80000,77983624,-0.0951,"GSM2402989_6929689149_R06C01"
"11",19,180000,59084492,0.0417,"GSM2402989_6929689149_R06C01"
"12",2,130000,243026238,0.0731,"GSM2402989_6929689149_R06C01"
"13",20,155000,62907760,0.0685,"GSM2402989_6929689149_R06C01"
"14",21,10848948,48084948,0.0569,"GSM2402989_6929689149_R06C01"
"15",22,16373925,51222283,0.0418,"GSM2402989_6929689149_R06C01"
"16",3,155000,197831215,0.1108,"GSM2402989_6929689149_R06C01"
"17",4,55000,190972138,-0.0029,"GSM2402989_6929689149_R06C01"
"18",5,55000,180777630,0.0882,"GSM2402989_6929689149_R06C01"
"19",6,155000,170952534,-0.3832,"GSM2402989_6929689149_R06C01"
"20",7,55000,159039332,0.1411,"GSM2402989_6929689149_R06C01"
"21",8,105000,146277011,0.07,"GSM2402989_6929689149_R06C01"
"22",9,130000,141076716,0.1021,"GSM2402989_6929689149_R06C01"
"23",1,635684,249195311,0.0343,"GSM2403963_9305651060_R03C02"
"24",10,105000,135462374,0.0357,"GSM2403963_9305651060_R03C02"
"25",11,130000,134873258,0.0353,"GSM2403963_9305651060_R03C02"
"26",12,172870,133770948,0.0314,"GSM2403963_9305651060_R03C02"
"27",13,19110000,115079939,0.0386,"GSM2403963_9305651060_R03C02"
"28",14,19325000,107119770,0.0247,"GSM2403963_9305651060_R03C02"
"29",15,20225000,102410696,0.0268,"GSM2403963_9305651060_R03C02"
"30",16,105000,90222377,0.0574,"GSM2403963_9305651060_R03C02"
"31",17,25000,81122605,-0.0416,"GSM2403963_9305651060_R03C02"
"32",18,80000,77983624,-0.0975,"GSM2403963_9305651060_R03C02"
"33",19,180000,59084492,0.0093,"GSM2403963_9305651060_R03C02"
"34",2,130000,243026238,0.0025,"GSM2403963_9305651060_R03C02"
"35",20,155000,62907760,8e-04,"GSM2403963_9305651060_R03C02"
"36",21,10848948,48084948,0.0282,"GSM2403963_9305651060_R03C02"
"37",22,16373925,51222283,0.0337,"GSM2403963_9305651060_R03C02"
"38",3,155000,197831215,0.0246,"GSM2403963_9305651060_R03C02"
"39",4,55000,190972138,-0.059,"GSM2403963_9305651060_R03C02"
"40",5,55000,180777630,0.0131,"GSM2403963_9305651060_R03C02"
"41",6,155000,170952534,0.0067,"GSM2403963_9305651060_R03C02"
